% EVENT-FILTERED DATA
AbsoluteTime,RelativeTime_s,Mirror_Y_g,Mirror_X_g,Mirror_Z_g,Desk_Y_g
2025-11-24 17:19:22.369,368.356200,-0.000447,0.001000,0.005110,-0.052969
2025-11-24 18:32:44.439,4770.425700,-0.006038,-0.001237,0.004157,-0.064085
2025-11-25 02:09:16.635,32162.622400,-0.003177,-0.006926,-0.012254,-0.055665
2025-11-25 04:00:24.296,38830.282900,-0.004427,-0.005249,-0.009360,-0.056685
2025-11-25 05:54:36.389,45682.376200,-0.002585,0.001230,0.002940,-0.056290
2025-11-25 07:56:32.577,52998.564100,0.010866,0.003861,0.025994,-0.051028
2025-11-25 07:56:32.591,52998.577600,-0.000776,0.002874,0.000539,-0.057211
2025-11-25 07:56:32.603,52998.590400,0.004223,0.014418,0.006689,-0.053363
2025-11-25 07:56:32.604,52998.591300,0.009386,0.017114,0.051186,-0.006499
2025-11-25 07:56:57.878,53023.864800,0.007281,-0.001401,-0.009294,0.052797
2025-11-25 07:56:57.880,53023.867000,0.000868,-0.000776,-0.003572,0.052238
2025-11-25 07:56:57.899,53023.886300,-0.010511,-0.002815,-0.001763,0.053159
2025-11-25 07:56:57.918,53023.905500,0.015733,0.007380,-0.011202,0.052929
2025-11-25 07:56:57.921,53023.907900,-0.003539,0.019712,0.009386,-0.055435
2025-11-25 07:56:57.921,53023.908300,0.030368,0.000079,-0.002519,0.056546
2025-11-25 07:56:57.922,53023.908900,-0.005940,0.018989,0.001197,0.064702
2025-11-25 07:56:57.922,53023.909400,0.001493,-0.014227,-0.009064,-0.053692
2025-11-25 07:56:57.923,53023.909700,0.002151,0.022968,0.003236,0.054047
2025-11-25 07:56:57.929,53023.916500,0.018989,-0.002421,-0.008275,0.062335
2025-11-25 07:56:57.930,53023.916800,-0.018207,0.005538,0.009419,-0.056521
2025-11-25 07:56:57.930,53023.916900,0.001000,0.023495,-0.002059,-0.051160
2025-11-25 07:56:57.930,53023.917200,0.003927,-0.024850,-0.019720,0.050462
2025-11-25 07:56:57.930,53023.917500,0.014812,-0.005874,-0.011004,-0.062407
2025-11-25 07:56:57.931,53023.917800,-0.011004,0.022705,0.006327,0.054573
2025-11-25 07:56:57.931,53023.918300,0.020469,-0.025771,-0.017615,-0.054975
2025-11-25 07:56:57.932,53023.919000,0.002249,0.002940,-0.003111,-0.072898
2025-11-25 07:56:57.932,53023.919300,0.023692,-0.004920,0.000473,0.051284
2025-11-25 07:56:57.933,53023.919600,-0.012221,0.006919,0.002447,-0.057869
2025-11-25 07:56:57.933,53023.920000,-0.007716,-0.006269,-0.014556,0.052403
2025-11-25 07:56:57.934,53023.921100,0.000605,-0.015345,-0.014063,-0.050634
2025-11-25 07:56:57.935,53023.922100,-0.000382,-0.001566,-0.011859,0.054540
2025-11-25 07:56:57.936,53023.922900,-0.008702,0.002216,-0.001303,0.070195
2025-11-25 07:56:57.936,53023.923300,0.016292,-0.003144,-0.013570,-0.057770
2025-11-25 07:56:57.937,53023.924400,0.011754,-0.004328,-0.013964,0.058191
2025-11-25 07:56:57.938,53023.925000,0.001756,0.006689,-0.009886,0.064670
2025-11-25 07:56:57.943,53023.929800,-0.004624,0.008860,0.004486,0.072826
2025-11-25 07:56:57.943,53023.930100,0.021225,-0.012550,-0.012846,-0.053528
2025-11-25 07:56:57.943,53023.930500,-0.008932,0.009057,-0.011169,0.056382
2025-11-25 07:56:57.946,53023.932800,-0.013635,0.000704,0.000112,0.051679
2025-11-25 07:56:57.946,53023.933100,0.013497,-0.003243,-0.008340,-0.058296
2025-11-25 07:56:57.969,53023.956100,-0.003572,0.005275,-0.012682,0.051252
2025-11-25 07:56:57.971,53023.957800,0.009386,0.003466,-0.007748,-0.052969
2025-11-25 07:57:15.279,53041.266500,-0.011498,0.001296,-0.059809,0.003039
2025-11-25 07:57:15.281,53041.268300,-0.008012,-0.007025,-0.059875,-0.008538
2025-11-25 07:57:15.281,53041.268400,-0.001993,-0.001368,-0.059086,-0.000217
2025-11-25 07:57:15.285,53041.272500,0.007774,-0.008340,-0.056882,0.008695
2025-11-25 07:57:15.286,53041.272600,-0.000645,-0.009755,-0.053429,0.027638
2025-11-25 07:57:15.293,53041.279900,0.001328,-0.011794,-0.013931,0.054606
2025-11-25 07:57:15.296,53041.282800,-0.009919,0.005242,-0.011267,0.057171
2025-11-25 07:57:15.296,53041.282900,-0.013931,0.007445,-0.017154,0.055198
2025-11-25 07:57:15.297,53041.283500,0.000079,-0.000382,-0.033894,0.066544
2025-11-25 07:57:15.297,53041.283900,-0.001829,-0.008801,-0.003966,-0.058790
2025-11-25 07:57:15.300,53041.287500,0.004847,-0.010610,0.011688,0.055987
2025-11-25 07:57:15.302,53041.288900,-0.013372,0.013957,-0.010018,0.055001
2025-11-25 07:57:15.309,53041.296300,0.000243,0.004913,-0.013438,0.056612
2025-11-25 07:57:15.326,53041.312600,-0.001270,0.001098,-0.012155,0.053850
2025-11-25 07:57:15.344,53041.331300,-0.001763,-0.002487,-0.025541,0.054442
2025-11-25 08:04:06.772,53452.758700,-0.001697,-0.002355,0.007873,-0.063262
2025-11-25 10:56:22.125,63788.112200,-0.007157,-0.024159,-0.056192,0.005571
2025-11-25 10:56:22.132,63788.118800,-0.007847,0.001526,-0.052804,-0.019621
2025-11-25 10:56:22.132,63788.118900,-0.009656,-0.024422,-0.051094,-0.014951
2025-11-25 10:56:22.134,63788.121300,-0.012123,-0.011662,-0.057507,0.007709
2025-11-25 10:56:22.140,63788.127400,-0.009426,0.002019,-0.051456,-0.000020
2025-11-25 10:56:22.141,63788.128000,-0.010314,0.002282,-0.054975,-0.030671
2025-11-25 10:56:22.145,63788.132100,0.001197,-0.005413,-0.006466,-0.060007
2025-11-25 10:56:22.146,63788.133500,0.007347,-0.009130,-0.003802,-0.066288
2025-11-25 10:56:22.155,63788.142100,-0.001927,0.006558,-0.007650,0.052435
2025-11-25 10:56:22.176,63788.163100,0.008498,0.004321,-0.017680,-0.051620
2025-11-25 10:56:22.202,63788.188800,-0.009294,0.005209,-0.013372,0.051416
2025-11-25 10:56:22.202,63788.189200,0.006492,-0.007584,-0.011596,-0.052607
2025-11-25 10:56:22.204,63788.190600,0.001822,0.002381,-0.005183,-0.056685
2025-11-25 10:56:41.993,63807.979800,0.007873,0.010109,-0.051752,0.009057
2025-11-25 10:56:41.993,63807.980400,0.001723,0.003367,-0.064381,0.015404
