run_key,runname,camera,image_shape,pixel_scale_arcsec_per_pixel,notes
20250917_maxtest1,maxtest1,main_camera,480x640,,
20250917_maxtest2,maxtest2,main_camera,480x640,,
20250917_minuteSecondly,minuteSecondly,main_camera,480x640,,
20250917_morningsecondly,morningsecondly,main_camera,480x640,,
20250918_fanoff,fanoff,main_camera,480x640,,
20250918_longrun,longrun,main_camera,480x640,,
20250918_nightvideo,nightvideo,main_camera,480x640,,
20250918_overnightvideo,overnightvideo,main_camera,480x640,,
20250918_stability,stability,main_camera,480x640,,
20250919_weekend,weekend,main_camera,480x640,,
20250922_minutely,minutely,main_camera,480x640,,
20250922_morning5237,morning5237,main_camera,480x640,,
20250923_bigshakeA,bigshakeA,main_camera,480x640,,
20250923_bigshakeB,bigshakeB,main_camera,480x640,,
20250923_fanoff,fanoff,main_camera,480x640,,
20250923_minutely,minutely,main_camera,480x640,,
20250923_minutely2,minutely2,main_camera,480x640,,
20250923_stabilitytestA,stabilitytestA,main_camera,480x640,,
20250923_stabilitytestB,stabilitytestB,main_camera,480x640,,
20250924_PostNate,PostNate,main_camera,480x640,,
20250925_fanoff5237,fanoff5237,main_camera,480x640,,
20250925_minutely,minutely,main_camera,480x640,,
20250925_noon5237,noon5237,main_camera,480x640,,
20250926_dotrefound,dotrefound,main_camera,480x640,,
20250926_fanoff5237,fanoff5237,main_camera,480x640,,
20250926_minutely,minutely,main_camera,480x640,,
20250926_morning5237,morning5237,main_camera,480x640,,
20250929_fanoff5237,fanoff5237,main_camera,480x640,,
20250929_morning5237,morning5237,main_camera,480x640,,
20251014_minutelyovernight,minutelyovernight,main_camera,480x640,,
20251016_minutely,minutely,main_camera,480x640,,
20251017_minutely,minutely,main_camera,480x640,,
20251017_morning5237,morning5237,main_camera,480x640,,
20251020_minutely,minutely,main_camera,480x640,,
20251020_morning5237,morning5237,main_camera,480x640,,
20251020_morning_c5237,morning_c5237,main_camera,480x640,,
20251022_fan_restart5237,fan_restart5237,main_camera,480x640,,
20251022_installed_accel,installed_accel,main_camera,480x640,,
20251022_installed_accel_nofan,installed_accel_nofan,main_camera,480x640,,
20251022_morning5237,morning5237,main_camera,480x640,,
20251022_morning_nofan5237,morning_nofan5237,main_camera,480x640,,
20251022_night_accel,night_accel,main_camera,480x640,,
20251023_morning25,morning25,main_camera,480x640,,
20251023_nightdrift,nightdrift,main_camera,480x640,,
20251023_nightdriftB,nightdriftB,main_camera,480x640,,
20251023_noon5237,noon5237,main_camera,480x640,,
20251023_noondrift,noondrift,main_camera,480x640,,
20251024_weekenddrift,weekenddrift,main_camera,480x640,,
20251027_night5237,night5237,main_camera,480x640,,
20251027_overnight,overnight,main_camera,480x640,,
20251029_longweekend,longweekend,main_camera,1200x1600,,
20251029_newcomp,newcomp,main_camera,480x640,,
20251105_overnight,overnight,main_camera,1920x2560,,
20251106_laser,laser,main_camera,480x640,,
20251107_laserdaytest,laserdaytest,main_camera,480x640,,
20251107_laserweekend,laserweekend,main_camera,1920x2560,,
20251111_laserday,laserday,main_camera,1920x2560,,
20251111_lasernight,lasernight,main_camera,1920x2560,,
20251112_laserdaytest,laserdaytest,main_camera,1920x2560,,
20251112_lasernighttest,lasernighttest,main_camera,1920x2560,,
20251114_fansoff,fansoff,main_camera,1920x2560,,
20251117_lasersimultaneous,lasersimultaneous,main_camera,1920x2560,,
20251118_lasermirror,lasermirror,main_camera,1920x2560,,
20251120_pumpsoff,pumpsoff,main_camera,1920x2560,,
20251124_prethanksgiving,prethanksgiving,main_camera,1080x1920,,
20251125_thanksgiving,thanksgiving,main_camera,1920x2560,,
20251201_snowday,snowday,main_camera,1920x2560,,
20251205_lowhumidity,lowhumidity,main_camera,1920x2560,,
20251210_frosty,frosty,main_camera,1920x2560,,
20251217_warming,warming,main_camera,1920x2560,,
20251223_realwinterbreak,realwinterbreak,main_camera,1920x2560,,
20260105_postwinterbreak,postwinterbreak,main_camera,1920x2560,,
20260130_newsecondary,newsecondary,main_camera,1944x2592,,
20260206_replacedprimary,replacedprimary,main_camera,1024x1280,,
20260213_allmetal,allmetal,main_camera,1024x1280,,
20260216_warming,warming,main_camera,1024x1280,,
20260217_morewarming,morewarming,main_camera,1024x1280,,
20260219_hotandcold,hotandcold,main_camera,1080x1920,,
20260302_genieshots,genieshots,dalsa_genie,1216x1936,,
20260302_secondarylaser,secondarylaser,main_camera,1080x1920,,
20260306_springbreak,springbreak,main_camera,1080x1920,,
20260306_springgenie,springgenie,dalsa_genie,1216x1936,,
20260320_statictest,statictest,main_camera,1080x1920,,
20260320_statictestgenie,statictestgenie,dalsa_genie,1216x1936,,
20260415_zoeystatic,zoeystatic,main_camera,1024x1280,,
20260415_zoeystaticgenie,zoeystaticgenie,dalsa_genie,1216x1936,,
20260420_zoeysecondary,zoeysecondary,main_camera,1024x1280,,
20260420_zoeysecondarygenie,zoeysecondarygenie,dalsa_genie,1216x1936,,
20260529_newprimary,newprimary,main_camera,1216x1936,,
20260604_newprimaryagain,newprimaryagain,main_camera,1216x1936,,
20260624_bridgetstatic,bridgetstatic,main_camera,1944x2592,,
20260624_bridgetstaticgenie,bridgetstaticgenie,dalsa_genie,1216x1936,,
20260814_postspie,postspie,main_camera,960x1280,,
20260814_postspiegenie,postspiegenie,dalsa_genie,1216x1936,,
