frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,fanoff_FFT_reprocess.png,2026-08-21 05:23:52,,,,,,,,,,,False,0,0
-1,fanoff_FWHM_reprocess.png,2026-08-21 05:23:50,,,,,,,,,,,False,0,0
-1,fanoff_position_reprocess.png,2026-08-21 05:23:50,,,,,,,,,,,False,0,0
1,1-833-stability-fan-off0001 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,231.32600724510684,324.8291727007213,3.064186814937414,3.392381140665867,7.215608533534162,7.98844711042494,411.94976387452476,349.3929700121775,7706.69672750163,10275.997829940343,True,1,1
2,1-833-stability-fan-off0002 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,230.61552859024286,301.41790901689933,3.017715522909023,3.8011352834432794,7.106177003547221,8.950989559326633,465.74356872944605,358.4156125332408,7705.506218889171,10274.233341979583,True,1,1
3,1-833-stability-fan-off0003 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,229.5857534250896,311.98237985973435,3.1180856070634615,3.9403947096218634,7.342530489635536,9.27892044755147,442.78346415401717,346.12209357961257,7707.344151396617,10276.546491270821,True,1,1
4,1-833-stability-fan-off0004 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,227.75722062472377,313.475219014256,3.0775795432160464,4.197550982457653,7.247145998542339,9.884477193530635,448.4563252354798,354.22994922374136,7709.810081076486,10279.189372396679,True,1,1
5,1-833-stability-fan-off0005 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,229.97597443376506,316.36672805305534,2.9567484231842203,3.8029862671602745,6.962610455027854,8.95534829288644,447.42366183800675,342.924472891916,7708.6030207975555,10278.235444098436,True,1,1
6,1-833-stability-fan-off0006 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,232.20279559957217,282.74814630480614,3.0369469586422237,3.6772875787810615,7.151463573906486,8.65935050185697,413.4591098414508,309.8087382233355,7706.616474560506,10276.096477366902,True,1,1
7,1-833-stability-fan-off0007 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,230.17081129880384,320.27809172186187,3.1629517911370573,4.277127757305007,7.448182279236087,10.0718661780601,452.4515349558708,335.56911750069764,7707.1778256414445,10276.215222197497,True,1,1
8,1-833-stability-fan-off0008 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,229.27180618317243,326.8550442432801,3.12939351010943,4.292737192132506,7.369158566395448,10.1086235880835,418.07386701231434,307.9900301288204,7710.597709368507,10280.72486662232,True,1,1
9,1-833-stability-fan-off0009 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,228.01681577360745,296.8269452909172,2.940683410411722,3.548318895990299,6.924780240927497,8.355652462440045,467.7577118699246,350.2913965210346,7708.664162919431,10278.911244706222,True,1,1
10,1-833-stability-fan-off0010 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,228.05512333189702,302.5212906585723,2.924372220425702,4.014831243666133,6.886370323790109,9.454205090001544,430.98198084678035,336.5161216285592,7708.293385486347,10277.250846321926,True,1,1
11,1-833-stability-fan-off0011 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,227.63441467085707,323.1174815931426,3.0456651328096296,4.3145784465840515,7.171993305191964,10.160055811874619,462.8698033398988,327.14538702424557,7707.4629527513,10276.608141952585,True,1,1
12,1-833-stability-fan-off0012 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,230.5724760835384,311.9023071726825,2.909087087147506,3.756786139835663,6.850376585555644,8.846555306979463,432.539772849368,332.9595098322786,7708.279562497675,10277.744926650385,True,1,1
13,1-833-stability-fan-off0013 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,231.4421174540976,297.7972972807582,3.0157904214382096,3.8784902791871634,7.10164373601503,9.133146653887616,439.3826305044865,328.4628257232872,7707.002347099497,10276.270221423703,True,1,1
14,1-833-stability-fan-off0014 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,233.48741276276044,330.17364565429284,3.0800635574213184,4.194778954336329,7.252995404985055,9.877949566145153,463.1818583595704,317.5323798827607,7706.853078125394,10276.298387335173,True,1,1
15,1-833-stability-fan-off0015 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,231.41336999883214,301.90013570037814,3.146354736162013,4.445134350025492,7.409099201492372,10.467491470295649,446.0043202912706,324.9190479486676,7707.460123608335,10276.39928056403,True,1,1
16,1-833-stability-fan-off0016 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,228.82860452292667,309.9729666609,3.169376228022763,4.4690989358697015,7.463310671992583,10.523923757412458,442.16744827694106,320.90862486726934,7709.686286984195,10279.41054776057,True,1,1
17,1-833-stability-fan-off0017 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,227.53623219623933,312.47952242297276,3.120083607187745,3.9119178365789287,7.347235420378173,9.211862536090166,403.6147143141521,289.0782141314413,7707.545896565777,10277.398705950538,True,1,1
18,1-833-stability-fan-off0018 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,228.31264921090565,317.14833377083636,3.094075976837323,5.386451679011529,7.285992131105244,12.68412438532696,521.6409982283213,294.40936929621205,7707.434859034939,10276.726946109357,True,1,1
19,1-833-stability-fan-off0019 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,231.9954231104223,308.1876482065227,3.026398499357092,3.7422167388144656,7.126623850537665,8.812246989410653,397.0080863626953,335.5212265582449,7709.270741257756,10278.7451973046,True,1,1
20,1-833-stability-fan-off0020 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,232.20145432177495,290.23489290829804,3.0689678192673027,4.052041631520473,7.226866938365564,9.541828857204322,477.8910547794841,330.78618858618796,7706.416715762139,10275.88170252073,True,1,1
21,1-833-stability-fan-off0021 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,230.3490869476239,325.7540589435567,3.1449225995820855,4.3888254480261,7.405726777566737,10.334894139153798,440.5016999049558,315.57037051086473,7706.911653411129,10275.8840870175,True,1,1
22,1-833-stability-fan-off0022 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,227.60714907384533,301.5736522718225,3.272154941184116,4.35275344999762,7.705336045947424,10.249951075132017,411.6409348538908,299.55072622345733,7708.390140200194,10278.078503010913,True,1,1
