frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,minutely0001 25-09-22 09-39-50.fits,2025-09-22 09:39:50,289.6586838057019,443.56836401644284,3.650939254459297,3.1706771969534127,8.597304939591103,7.466374219708439,370.13512340501023,338.91619384590115,7881.830766894859,10510.552901410843,True,1,7
2,minutely0002 25-09-22 09-40-50.fits,2025-09-22 09:40:50,289.03358125578393,457.3215141406688,3.1509800341920933,4.439656478857138,7.4199909460078475,10.454592069464312,455.52154449958977,334.9976598852261,7910.170528041627,10546.622826325689,True,1,8
3,minutely0003 25-09-22 09-41-50.fits,2025-09-22 09:41:50,291.41152176523485,441.4821946092339,2.5859992855219187,3.6070197824286043,6.089562953982727,8.49388248648605,498.3529792036055,333.4360821646808,7876.5696980475905,10502.54219107559,True,1,7
4,minutely0004 25-09-22 09-42-49.fits,2025-09-22 09:42:49,290.8162466192036,447.49766122481054,3.319696581619912,3.7404977847698553,7.81728805381929,8.808199161969917,436.5771500141601,321.24267251149814,7892.354897553863,10524.433367978605,True,1,8
5,minutely0005 25-09-22 09-43-50.fits,2025-09-22 09:43:50,291.81587431703656,458.2185918042569,3.0170326091698474,2.936439492748556,7.1045688645851826,6.914786578544813,424.55251678737477,406.2206801523133,7891.89576239815,10522.987473732363,True,1,5
6,minutely0006 25-09-22 09-44-50.fits,2025-09-22 09:44:50,293.082995573551,389.67777727188104,3.17006215195285,131.30908141059123,7.464925899412519,309.20925700026106,405.5321237618047,29.059516340130248,7878.649334135723,10496.603429700077,True,1,7
7,minutely0007 25-09-22 09-45-50.fits,2025-09-22 09:45:50,288.74792133294414,456.7504687814941,3.2583611471890555,3.929042006326829,7.672854143350827,9.252186874267036,388.56205481737624,365.45517245836095,7858.167842723207,10476.670334865896,True,1,5
8,minutely0008 25-09-22 09-46-50.fits,2025-09-22 09:46:50,290.462751059081,458.85755404054254,2.8736265663606737,3.9912406810445815,6.766873440399574,9.398653560266759,474.43997533129675,335.36420398808394,7872.3664921254085,10496.618396147665,True,1,8
9,minutely0009 25-09-22 09-47-50.fits,2025-09-22 09:47:50,291.7054907048052,437.4399508982273,3.216225026175649,3.123028440980483,7.573631160968608,7.3541699740225965,387.77296698986413,377.701280701439,7857.7012822558745,10477.288024722031,True,1,5
10,minutely0010 25-09-22 09-48-50.fits,2025-09-22 09:48:50,291.5955630389949,446.8762743995927,2.770371425420757,2.9298737074203123,6.523726164761762,6.899325335642494,495.4250337707207,462.7519537788385,7889.404100351861,10519.292711224269,True,1,2
