frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,installed_accel_FFT_reprocess.png,2026-08-21 12:38:48,,,,,,,,,,,False,0,0
-1,installed_accel_FWHM_reprocess.png,2026-08-21 12:38:48,,,,,,,,,,,False,0,0
-1,installed_accel_position_reprocess.png,2026-08-21 12:38:46,,,,,,,,,,,False,0,0
1,installed_accel0001 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.57080205949063,285.11089598591997,4.386117242892496,5.411248201241769,10.32851680341913,12.742515732921785,3126.138361830073,2604.332863508768,7731.968894156824,10307.301793668528,True,1,1
2,installed_accel0002 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.33266298027945,284.77948640765385,4.428295807153628,5.464121824063268,10.42783973201187,12.867023599795257,3138.7360149904507,2591.9061744869505,7733.838661099872,10310.410207045588,True,1,1
3,installed_accel0003 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.36350492227365,284.93536131507534,4.377965984510091,5.438956096127498,10.309322056788016,12.807762839204312,3139.096340637081,2618.6674355967543,7733.28557198125,10308.436565975477,True,1,1
4,installed_accel0004 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.46445501284074,285.22306240683326,4.373534395051339,5.446746421443122,10.2988864610992,12.826107653414855,3163.851057406295,2597.1060215891252,7732.109772834556,10307.868318909597,True,1,1
5,installed_accel0005 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.44059507108534,285.0849849186997,4.382518432618905,5.534938117577359,10.320042252848616,13.033783227277034,3170.0367212188708,2602.583002428215,7734.181334638457,10309.565998213406,True,1,1
6,installed_accel0006 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.5816325333642,284.9429778609511,4.399570369945688,5.515663954700478,10.360196496672335,12.988396042183362,3158.9036618965665,2606.6837190149545,7734.803646974466,10310.566089165852,True,1,1
7,installed_accel0007 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.5772641121923,285.0447250338188,4.377193844821616,5.534810774847562,10.307503806772033,13.03348335806432,3187.7282950963786,2592.874991376521,7734.566018724748,10310.677491767703,True,1,1
8,installed_accel0008 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.47851135185755,284.93925162678966,4.384732540593823,5.528082204079727,10.325256078689815,13.017638784745811,3196.4770312109868,2618.787553527176,7734.209153084378,10309.87054402865,True,1,1
9,installed_accel0009 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.5158350310061,285.0308344701485,4.350746252720392,5.564302511594949,10.245224486749269,13.102931090919842,3228.858314257744,2592.817383893629,7731.693794298916,10306.94442024625,True,1,1
10,installed_accel0010 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.67431615713195,285.1159566867758,4.3324301499144005,5.508178286854911,10.202093360714871,12.97076864149018,3253.226077447676,2614.4273805620523,7733.4838152488965,10309.7119118045,True,1,1
11,installed_accel0011 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.55675358631686,285.18964613464107,4.32247191877327,5.6006748130135575,10.178643518410686,13.188581315384289,3239.6522001446147,2548.113317547022,7733.0561220156815,10309.342753484772,True,1,1
12,installed_accel0012 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.5342884691598,285.22310547752477,4.32382194784328,5.646850580183575,10.18182259392612,13.297316937510928,3235.5251260510586,2543.7711479659315,7734.455758049965,10310.65218863475,True,1,1
13,installed_accel0013 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.6795726899887,284.960960921785,4.30175178865188,5.722171321499829,10.129851340665187,13.474683728969033,3274.9210589130844,2554.1541318050377,7731.087308962442,10305.362201909356,True,1,1
14,installed_accel0014 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.6453816542288,284.9971602734397,4.300677201764912,5.658829600623153,10.127320881923627,13.325525374961883,3254.6857227324845,2571.6936030385223,7731.00287497745,10305.103334359594,True,1,1
15,installed_accel0015 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.51923340976026,285.047667266463,4.310346809055296,5.648477146642759,10.1500910669986,13.30114720881359,3269.6747258206733,2582.7681968443526,7738.257820018464,10315.090696260522,True,1,1
16,installed_accel0016 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.63842605814574,284.89548622583845,4.324403350905041,5.706303837237559,10.183191693510198,13.43731865896403,3257.4097058407624,2560.3678306608203,7730.790231502933,10304.984515408409,True,1,1
17,installed_accel0017 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.61514424791017,285.2823088046994,4.301522258227669,5.743354952792407,10.12931083782131,13.524567368563341,3279.7297719100234,2524.8844329292488,7733.806113886137,10309.686692846091,True,1,1
18,installed_accel0018 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.51338038280227,285.0449524904839,4.314611885676515,5.616145274494191,10.160134554919841,13.225011468184764,3251.3608643590005,2582.531158055954,7733.207993126257,10308.460810346585,True,1,1
19,installed_accel0019 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.4541460241341,284.67160134643376,4.301621323772526,5.719470641543458,10.129544119352111,13.468324113672558,3294.513712565361,2533.388908704549,7731.372952589064,10306.837187395551,True,1,1
20,installed_accel0020 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.57342410426855,285.28737823129256,4.2720398752469,5.715650762934231,10.059885131402917,13.459328986953965,3280.9658100382803,2524.7360344514186,7730.628208457724,10305.341827111439,True,1,1
21,installed_accel0021 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.5776908221535,285.81329155317275,4.284357227216674,5.650503423047703,10.08889027872304,13.305918725108725,3287.7424917571193,2544.094839720205,7732.137463695506,10308.004529769898,True,1,1
22,installed_accel0022 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.64686295914146,284.8200078239981,4.275735798574174,5.631730738526852,10.06858836573888,13.261712431299983,3290.8068173844,2557.618065870882,7736.11591371634,10313.081222602023,True,1,1
23,installed_accel0023 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.7642811464389,284.93003676066076,4.269172312417716,5.728373103617663,10.053132536972369,13.489287809815025,3275.2609481706368,2518.1424783979783,7733.076071470202,10308.458831169282,True,1,1
24,installed_accel0024 25-10-22 16-23-58.bmp,2025-10-22 16:23:58,292.6476841171708,285.2298237642769,4.288224923059414,5.68241434215564,10.097998006421609,13.381063197079458,3270.3077092524804,2529.8985609654774,7733.210169910531,10309.108088974976,True,1,1
