frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,laserday_position_reprocess.png,2026-08-21 14:14:02,,,,,,,,,,,False,0,0
-1,laserday_FFT_reprocess.png,2026-08-21 14:14:02,,,,,,,,,,,False,0,0
-1,laserday_FWHM_reprocess.png,2026-08-21 14:14:02,,,,,,,,,,,False,0,0
1,laserday0001 25-11-11 12-45-39.bmp,2025-11-11 12:45:39,1189.6196216386495,1262.3896226234128,172.87301826604252,163.45010068205912,407.08484865787835,384.8955734484396,11545.027218767425,11786.706108278267,25166.61948406096,33646.020309588814,True,7,7
2,laserday0002 25-11-11 12-46-40.bmp,2025-11-11 12:46:40,1188.6356596234825,1262.982826734212,172.2338417554097,164.31227903438514,405.5797029983273,386.92584831488875,11533.876435985194,11699.612548060471,25170.47779378761,33644.44707101105,True,7,7
3,laserday0003 25-11-11 12-47-39.bmp,2025-11-11 12:47:39,1188.968625632709,1262.478370592346,171.81581552665415,164.60884932739836,404.595326455505,387.62421798563696,11485.29218038427,11621.063562242236,25171.74959212167,33641.30171341038,True,7,8
4,laserday0004 25-11-11 12-48-39.bmp,2025-11-11 12:48:39,1186.0934288551098,1260.2009779535015,171.47584747037536,164.86855862195634,403.7947628619095,388.2357866383429,11459.379399997872,11537.71477108017,25168.24000393368,33639.72048509825,True,7,7
5,laserday0005 25-11-11 12-49-40.bmp,2025-11-11 12:49:40,1188.0098847279844,1264.5878726095068,170.9418263891151,164.88192379973398,402.5372393152888,388.2672592268791,11476.185719203573,11526.952433408956,25178.239667179274,33650.93954362656,True,7,7
6,laserday0006 25-11-11 12-50-39.bmp,2025-11-11 12:50:39,1188.2482031154752,1261.841478651095,170.9742313524426,165.1875555213552,402.6135471724908,388.9869669313501,11434.125370475393,11466.094578865295,25168.40004863509,33637.43856647888,True,7,7
7,laserday0007 25-11-11 12-51-40.bmp,2025-11-11 12:51:40,1182.418132013002,1294.9932378886654,170.4979443670152,164.7002472134781,401.49197703201907,387.83944355985096,11579.379839513764,11662.488046762433,25177.350355564755,33639.763396963644,True,7,7
