frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,lasernight_FWHM_reprocess.png,2026-08-21 14:26:18,,,,,,,,,,,False,0,0
-1,lasernight_FFT_reprocess.png,2026-08-21 14:26:18,,,,,,,,,,,False,0,0
-1,lasernight_position_reprocess.png,2026-08-21 14:26:16,,,,,,,,,,,False,0,0
1,lasernight0001 25-11-11 15-51-01.bmp,2025-11-11 15:51:01,1166.7360864098082,1336.0076310612133,185.2834754385531,190.50060006321064,436.3092419757044,448.59463161927255,11172.768245254994,10681.518811224094,25178.362612555287,33620.13835951692,True,8,8
2,lasernight0002 25-11-11 15-52-01.bmp,2025-11-11 15:52:01,1178.2173036126362,1318.8365468067384,180.44283702198047,189.06289460223212,424.9104096016123,445.20909398090987,12108.86192337863,11409.764125345127,25175.17304922099,33605.27889061087,True,7,8
3,lasernight0003 25-11-11 15-53-02.bmp,2025-11-11 15:53:02,1181.4004684819752,1312.6528580528538,180.35369492871374,185.10130410197814,424.7004960135318,435.88026126070764,12682.118659458605,12137.493482387892,25171.986705934673,33617.185800540436,True,7,9
4,lasernight0004 25-11-11 15-54-01.bmp,2025-11-11 15:54:01,1183.9471005185867,1316.2846665323432,182.9238274971543,179.70755751828662,430.7526957040825,423.1789586876136,14299.874997238061,14174.648581389083,25167.005145283318,33646.74313945158,True,7,8
5,lasernight0005 25-11-11 15-55-01.bmp,2025-11-11 15:55:01,1190.0605244688304,1297.571387971373,178.72498297327505,184.41101217261172,420.8651724532832,434.25474798851246,13515.40948744042,12896.985107453387,25171.701094725602,33611.98422663007,True,7,8
6,lasernight0006 25-11-11 15-56-01.bmp,2025-11-11 15:56:01,1190.7847235693027,1291.665926605145,178.4147956389937,184.91013819342527,420.13473710080274,435.43009994732074,13869.183687133354,13205.483649143905,25172.774068895367,33607.4036359314,True,7,8
7,lasernight0007 25-11-11 15-57-01.bmp,2025-11-11 15:57:01,1193.8499083329416,1288.29066967395,178.7651773371519,185.31446182844138,420.95982294703765,436.3822093477365,14131.940381024555,13468.200385641565,25170.33512763715,33601.269249785575,True,7,9
8,lasernight0008 25-11-11 15-58-01.bmp,2025-11-11 15:58:01,1192.7260216645282,1287.5074954409768,178.69936907351428,183.88178848497972,420.8048563286951,433.0085214405714,13950.688976120058,13374.603236484492,25169.54357539244,33604.24541275416,True,8,8
9,lasernight0009 25-11-11 15-59-02.bmp,2025-11-11 15:59:02,1195.748693663013,1290.3703020923094,179.01943114540387,181.80843217509155,421.5585449112349,428.1261404415554,13903.999001915225,13443.244320658578,25163.461201017337,33610.879235425615,True,8,8
10,lasernight0010 25-11-11 16-00-01.bmp,2025-11-11 16:00:01,1193.9886100507865,1288.7421888439674,179.06184227926596,180.69492318726108,421.6584154993858,425.5040271566901,13984.16512148449,13602.53779357882,25157.282685813832,33604.028830021205,True,8,8
11,lasernight0011 25-11-11 16-01-01.bmp,2025-11-11 16:01:01,1196.510561491399,1287.1625701848259,179.06701880955643,180.96409561556067,421.67060529667754,426.1378797864196,14107.94240866736,13684.649691423347,25155.957513963018,33607.10899645921,True,8,8
12,lasernight0012 25-11-11 16-02-01.bmp,2025-11-11 16:02:01,1193.9179162057148,1288.9688410706742,179.04249640466293,179.9090804268587,421.6128594460819,423.65350887225213,14213.182680624066,13860.074704374672,25163.94349016762,33619.52566143804,True,8,7
13,lasernight0013 25-11-11 16-03-01.bmp,2025-11-11 16:03:01,1198.711799992807,1288.3598577238179,180.6327838074909,178.76708117217535,425.35770009962147,420.9643061359133,14430.708901218994,14244.627510165752,25148.586540925717,33610.716535563275,True,8,8
14,lasernight0014 25-11-11 16-04-01.bmp,2025-11-11 16:04:01,1196.2816697780581,1286.6311419853514,180.6445769567574,177.9020995257475,425.38547084390825,418.9274300163212,14235.904240146889,14100.068317917345,25146.50907171531,33611.81121001701,True,8,8
15,lasernight0015 25-11-11 16-05-02.bmp,2025-11-11 16:05:02,1196.3840424587784,1285.4927589049116,179.88913567199378,177.40291380491678,423.60654256370293,417.75193747471576,14004.76807322872,13839.846282470728,25157.307144747527,33627.29425050012,True,8,8
16,lasernight0016 25-11-11 16-06-01.bmp,2025-11-11 16:06:01,1196.7292390024177,1285.5343466910385,179.7637398099776,177.24528905289438,423.31125787426333,417.3807595490604,13989.34313345437,13842.037809306044,25157.804598436927,33624.37896524905,True,8,8
17,lasernight0017 25-11-11 16-07-01.bmp,2025-11-11 16:07:01,1198.2966017288784,1285.9765384217183,179.64580883760846,177.08592334656302,423.03355165659843,417.0054819893008,13940.789725567935,13800.766607520789,25155.30898611186,33619.92803660768,True,8,9
18,lasernight0018 25-11-11 16-08-01.bmp,2025-11-11 16:08:01,1195.0277481024157,1284.167670580712,179.62751688577706,177.27666187778834,422.99047740176314,417.4546369059899,13998.295931138684,13835.987942015587,25157.552146487058,33624.472179292155,True,8,7
19,lasernight0019 25-11-11 16-09-01.bmp,2025-11-11 16:09:01,1195.0502580869174,1283.1687371366186,179.54499209939243,176.7791512804678,422.79614638057274,416.2830889788042,13979.829775350929,13841.16669260636,25161.954261113606,33632.26348752448,True,7,7
20,lasernight0020 25-11-11 16-10-01.bmp,2025-11-11 16:10:01,1197.103764228852,1283.2234742709447,179.46784986633074,176.91751716261615,422.6144903038406,416.60891573163553,13938.137737516816,13786.953396739087,25153.395973108087,33619.701991490605,True,8,8
21,lasernight0021 25-11-11 16-11-01.bmp,2025-11-11 16:11:01,1196.1777488804494,1284.6278086786776,179.3357901795221,176.67434517637986,422.3035135062031,416.0362894640563,13874.127018537434,13746.206208073441,25150.262960017648,33611.913973940755,True,8,7
22,lasernight0022 25-11-11 16-12-02.bmp,2025-11-11 16:12:02,1194.953937312885,1281.3063054813224,179.19581929116308,176.58916959863154,421.9739072525745,415.8357163062275,13898.775922588651,13759.513458845315,25153.851662490088,33618.351696748134,True,8,8
23,lasernight0023 25-11-11 16-13-01.bmp,2025-11-11 16:13:01,1195.7941978841495,1281.8209156566265,179.26933741189507,176.63382094452902,422.1470291969472,415.9408621905845,13882.694129400697,13761.376258607892,25159.369333409006,33622.05441920256,True,7,8
24,lasernight0024 25-11-11 16-14-01.bmp,2025-11-11 16:14:01,1196.0563633802558,1282.4940982451892,179.19581189467473,176.42529221973032,421.9738898351755,415.44981456946374,13947.590923631313,13830.994732851404,25156.701532757124,33620.059392193194,True,8,7
25,lasernight0025 25-11-11 16-15-01.bmp,2025-11-11 16:15:01,1194.443066556661,1280.1466563350934,179.3762643790642,176.65794690231533,422.3988229625914,415.9976744795852,14091.09162611275,13959.914915094003,25159.176125817514,33626.30497797287,True,7,7
26,lasernight0026 25-11-11 16-16-01.bmp,2025-11-11 16:16:01,1195.127980131585,1279.5911172808135,179.5885533225327,176.60600912903985,422.8987252220095,415.87537036998185,14140.470187204719,14050.093702596736,25158.99502251868,33621.69579216214,True,7,8
27,lasernight0027 25-11-11 16-17-02.bmp,2025-11-11 16:17:02,1196.4098817117085,1280.04787003585,179.64506330225842,176.64979906664652,423.0317960550119,415.97848779282873,14230.471465288118,14107.232635539203,25155.938041359695,33625.798996954574,True,8,7
28,lasernight0028 25-11-11 16-18-01.bmp,2025-11-11 16:18:01,1196.2129387362215,1280.308934515037,179.68797363101675,176.00860754186573,423.1328421573109,414.46859713757095,14205.59318958492,14145.386565824407,25147.348515903217,33612.32759086332,True,7,7
29,lasernight0029 25-11-11 16-19-01.bmp,2025-11-11 16:19:01,1196.7083642655682,1278.554451350261,179.63265371807432,176.1290685887625,423.0025737174247,414.7522612254489,14264.228282826796,14198.751531385451,25154.645032195345,33620.27465320019,True,7,7
30,lasernight0030 25-11-11 16-20-01.bmp,2025-11-11 16:20:01,1194.191595568169,1284.5816260044794,176.52214086768163,172.62151601941017,415.67787570699363,406.4926061261382,13093.241268575028,13009.011255487852,25168.92850439491,33644.57424049951,True,7,7
