frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,lasernighttest_FFT_reprocess.png,2026-08-21 14:54:34,,,,,,,,,,,False,0,0
-1,lasernighttest_FWHM_reprocess.png,2026-08-21 14:54:34,,,,,,,,,,,False,0,0
-1,lasernighttest_position_reprocess.png,2026-08-21 14:54:34,,,,,,,,,,,False,0,0
1,lasernight0001 25-11-12 15-00-39.bmp,2025-11-12 15:00:39,1620.626976918949,1243.491135750268,184.2823855969025,173.29447185394116,433.9518555497087,408.0772960147123,22539.331927306008,23304.889571433192,28300.397640796855,37884.243069198645,True,10,8
2,lasernight0002 25-11-12 15-01-39.bmp,2025-11-12 15:01:39,1628.2319731264288,1245.281870094988,184.4100378074991,172.41694685615954,434.2524535340141,406.0108825599204,22549.28767366753,23253.82885463767,28279.850534285873,37901.18098195057,True,9,9
3,lasernight0003 25-11-12 15-02-38.bmp,2025-11-12 15:02:38,1626.3992861487043,1244.909385403153,184.54295372812317,172.2359164363614,434.5654466082034,405.5845884986194,22542.016779763388,23255.572473564676,28214.539806306635,37821.35855234299,True,9,8
4,lasernight0004 25-11-12 15-03-38.bmp,2025-11-12 15:03:38,1628.320875725425,1240.0980219105757,184.26768267164374,172.05973750127632,433.9172328065888,405.1697188107688,22442.70130346123,23195.654088561252,28277.66517551085,37892.31096406007,True,9,8
5,lasernight0005 25-11-12 15-04-39.bmp,2025-11-12 15:04:39,1625.5597929484497,1246.3799079458856,184.09341816763165,172.52310456420082,433.50687125940374,406.26086485875055,22526.06757047427,23147.196692158726,28325.038395953838,37967.33234597945,True,9,8
6,lasernight0006 25-11-12 15-05-38.bmp,2025-11-12 15:05:38,1624.5644167858957,1243.2276587310835,184.2760166928888,172.44805355627113,433.93685792687234,406.084133240878,22471.523473360936,23152.804667452583,28279.616211142467,37900.00285997922,True,9,8
7,lasernight0007 25-11-12 15-06-38.bmp,2025-11-12 15:06:38,1627.1128659793146,1246.81639343856,184.15223073575902,172.65231633588363,433.6453642737298,406.5651353287632,22521.552546828392,23169.765962983747,28298.269423260917,37923.29862388699,True,9,8
8,lasernight0008 25-11-12 15-07-39.bmp,2025-11-12 15:07:39,1625.9864374457234,1245.4757791735979,184.7276677279371,173.0132696958259,435.0004148375631,407.41511553607654,22538.61241347884,23210.822336361376,28215.425056695534,37813.6824228172,True,9,8
9,lasernight0009 25-11-12 15-08-38.bmp,2025-11-12 15:08:38,1624.9404917982615,1244.3888335507613,184.33994187025257,172.65330860716125,434.0873902159108,406.56747194905785,22432.799258052903,23202.744169805996,28290.0711489121,37889.04975962023,True,9,8
