frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,frosty0001 25-12-10 15-58-34.fits,2025-12-10 15:58:34,1385.6241987197848,1033.3035200172542,173.26038028889005,171.85910051514196,407.99701651396344,404.69725481404504,20552.60100438038,20228.124900835177,25509.393894897712,34122.927227791806,True,8,8
2,frosty0002 25-12-10 15-59-35.fits,2025-12-10 15:59:35,1384.479804635073,1033.7237122396314,172.78683467707955,171.90252423232275,406.8819018150357,404.7995098536921,20432.905160965955,20210.597453759787,25647.228951609774,34269.78699361632,True,8,7
3,frosty0003 25-12-10 16-00-35.fits,2025-12-10 16:00:35,1384.8014197678037,1034.7416028280356,172.95126961711807,171.02233408478565,407.2691165079418,402.72682045083303,20365.87140502427,20069.09291932088,25822.671841966603,34547.78032683372,True,8,8
4,frosty0004 25-12-10 16-01-35.fits,2025-12-10 16:01:35,1383.6291741693794,1032.8609458195162,173.35266283185666,172.04678945386004,408.2143252959477,405.13922848916894,20299.50192689462,20101.595290531688,25758.856054497875,34424.20232340459,True,8,8
5,frosty0005 25-12-10 16-02-35.fits,2025-12-10 16:02:35,1386.9255281206122,1032.7505544206335,173.8189917230208,171.58282087059652,409.31244591643804,404.0466659690354,20246.75796700283,20043.27883670595,25775.388932146438,34471.875020349114,True,9,8
6,frosty0006 25-12-10 16-03-35.fits,2025-12-10 16:03:35,1387.146304253982,1033.098056859015,170.6120384519703,170.31470107727188,401.76064807029076,401.060472060214,20494.909572514098,20147.067862515716,25912.43136947734,34635.20800231117,True,9,8
7,frosty0007 25-12-10 16-04-35.fits,2025-12-10 16:04:35,1391.3241780624971,1032.7449634205243,171.57134063848446,170.67620988377874,404.0196320883363,401.91176024423163,20548.0325705141,20221.16777794619,25835.60296369376,34544.31730164313,True,8,8
8,frosty0008 25-12-10 16-05-35.fits,2025-12-10 16:05:35,1389.0355505657997,1032.915144135459,171.538472134163,171.42803231644206,403.94223267550996,403.6821667789711,20599.40845440927,20251.05740735905,25765.178810613837,34434.50520620106,True,8,8
9,frosty0009 25-12-10 16-06-35.fits,2025-12-10 16:06:35,1387.6422693512127,1034.0949549799996,171.74891790155831,170.74080340823684,404.43779458696434,402.06386637040475,20496.937141339502,20176.883295992673,25753.553270149096,34436.39075732211,True,9,8
10,frosty0010 25-12-10 16-07-36.fits,2025-12-10 16:07:36,1388.1627785090739,1032.7951824463948,171.69790592251536,171.0270926233256,404.31767055617735,402.7380259527719,20521.79509802232,20241.8679934751,25751.716733496578,34416.09785915793,True,8,8
11,frosty0011 25-12-10 16-08-35.fits,2025-12-10 16:08:35,1388.2795295372978,1029.821313907424,171.03228122907103,169.86850126658516,402.75024418558706,400.00975180191995,20457.75743098155,20139.406570711966,25949.777648303978,34701.38698584969,True,9,8
12,frosty0012 25-12-10 16-09-35.fits,2025-12-10 16:09:35,1387.507981105081,1033.2965929565346,171.41535290205678,171.07055281720747,403.6523090398174,402.8403668884859,20507.047723886855,20237.198599275453,25860.90667241399,34550.70837273638,True,9,8
13,frosty0013 25-12-10 16-10-35.fits,2025-12-10 16:10:35,1386.613093273148,1032.8797112401012,171.60351889139295,170.34291450051015,404.09540608329934,401.1269095947945,20490.509081773493,20188.659907479654,25839.24598314448,34553.17881064214,True,8,8
14,frosty0014 25-12-10 16-11-35.fits,2025-12-10 16:11:35,1389.256593933673,1035.1865985947766,172.28055336163138,170.2545991504957,405.68970042499365,400.9189428382965,20458.94299459784,20180.281200005345,25788.794693552394,34501.11215822765,True,8,8
15,frosty0015 25-12-10 16-12-36.fits,2025-12-10 16:12:36,1385.393494571556,1034.7469881597901,171.79259029803194,169.85323308374788,404.540635221595,399.9737979789235,20454.59052532967,20158.608469377894,25779.924558277566,34490.65599893293,True,8,8
16,frosty0016 25-12-10 16-13-35.fits,2025-12-10 16:13:35,1385.8218259347138,1034.2855572488636,171.96703052418837,170.33251945337182,404.9514105628079,401.1024311294241,20517.442004456596,20243.291673145282,25741.197798337456,34426.34416957053,True,8,8
17,frosty0017 25-12-10 16-14-36.fits,2025-12-10 16:14:36,1386.0875564110524,1036.631129694596,171.822542005528,170.1833351625678,404.6111661027896,400.75112897103503,20431.731887047426,20186.139265154972,25809.907535259117,34511.501173855664,True,8,8
18,frosty0018 25-12-10 16-15-35.fits,2025-12-10 16:15:35,1390.0373113790918,1031.9925581406221,172.04782578676836,169.95754704213886,405.14166886667476,400.2194385791191,20466.4366861193,20190.173870354283,25814.96197124782,34537.09998008834,True,8,8
19,frosty0019 25-12-10 16-16-35.fits,2025-12-10 16:16:35,1386.1873300395698,1034.5464354177013,167.85758934629146,166.92354083361667,395.2744161032207,393.07489994254274,20105.537189741877,19966.411001401884,26126.32810227927,34889.9407753727,True,8,8
20,frosty0020 25-12-10 16-17-35.fits,2025-12-10 16:17:35,1385.171049619636,1031.8186335440155,167.3347740621402,166.2274901873922,394.0432801922527,391.43582592845655,19988.962942548682,19948.288132518443,26166.96169163431,34927.00555243232,True,8,8
21,frosty0021 25-12-10 16-18-35.fits,2025-12-10 16:18:35,1384.9558190801185,1031.143153535454,167.35147993625773,167.06385037992118,394.0826195194945,393.4053036746898,20057.995853908054,19912.711874142162,26156.17555073091,34914.12052338261,True,7,8
22,frosty0022 25-12-10 16-19-36.fits,2025-12-10 16:19:36,1386.5410556732477,1032.7540682613835,167.08086068922987,166.58721175340182,393.44535989202205,392.28290548272594,20047.384709291684,19924.31657869428,26236.038920837877,35021.07105066481,True,8,8
23,frosty0023 25-12-10 16-20-35.fits,2025-12-10 16:20:35,1384.6128853796683,1037.1164438540836,167.14831003572732,166.2174692887484,393.6041909651785,391.4122285154609,20009.56841418563,19916.952057828425,26245.48532758481,35038.39522850569,True,8,7
24,frosty0024 25-12-10 16-21-36.fits,2025-12-10 16:21:36,1385.5027239878289,1038.8035274164558,167.83743037080626,167.46017641852026,395.2269453436608,394.3385801747506,20112.518595800462,19940.042414039228,26135.90069383829,34895.48133711996,True,8,8
25,frosty0025 25-12-10 16-22-35.fits,2025-12-10 16:22:35,1386.3563966446654,1039.1822073943508,167.17620228809685,166.2563019279828,393.6698722001593,391.5036723927316,20032.483190354385,19944.011983692115,26215.54142764077,34997.31674534584,True,8,8
26,frosty0026 25-12-10 16-23-35.fits,2025-12-10 16:23:35,1382.5141213222364,1035.8420826708057,167.01083485742413,166.66118760343707,393.2804616596159,392.45710529723715,20061.953813090742,19905.687279742426,26189.332189796172,34962.268455882295,True,8,8
27,frosty0027 25-12-10 16-24-36.fits,2025-12-10 16:24:36,1386.7923356497483,1037.7141729613948,167.3829919734488,166.48111326270634,394.15682469633174,392.03306263008875,20065.093741429973,19906.866119342747,26162.557816641434,34941.42631763465,True,8,8
28,frosty0028 25-12-10 16-25-35.fits,2025-12-10 16:25:35,1388.4895048506883,1037.1383444381358,167.34742556229983,166.53500064572285,394.07307219842835,392.15995771979027,20031.70868445192,19879.41506806649,26257.71177310588,35064.64051862885,True,8,8
29,frosty0029 25-12-10 16-26-36.fits,2025-12-10 16:26:36,1385.1410732169488,1037.495796478862,167.5081074486404,167.88503265283305,394.4514491252565,395.33904015156673,20113.96312685821,20031.36166469842,26142.739816989386,34865.19346473239,True,9,8
30,frosty0030 25-12-10 16-27-35.fits,2025-12-10 16:27:35,1385.946520305712,1036.0946424452102,167.46756464244376,166.7052383297475,394.35597811254286,392.5608368305511,20083.727270887357,19990.682138402226,26141.441954405527,34895.494711531006,True,8,8
31,frosty0031 25-12-10 16-28-35.fits,2025-12-10 16:28:35,1388.6270379586504,1036.364507377404,167.8261607801852,167.18618613230802,395.2004074857671,393.69338235663423,20088.309678613907,19962.96164259328,26059.348469548295,34789.941619073215,True,7,8
32,frosty0032 25-12-10 16-29-36.fits,2025-12-10 16:29:36,1386.1961396191389,1035.5083329449812,167.17296593692208,167.02025563662437,393.66225117554023,393.3026458993165,20062.936051291694,19947.010650836102,26143.215462202334,34886.898437485215,True,8,8
33,frosty0033 25-12-10 16-30-35.fits,2025-12-10 16:30:35,1388.9420149758935,1035.2631853894134,168.15839644295184,167.41968136868616,395.98276268412405,394.2432216196767,20142.66334669911,20054.33706037536,26072.776197494753,34802.43352563837,True,8,8
34,frosty0034 25-12-10 16-31-35.fits,2025-12-10 16:31:35,1387.489660937793,1034.0534305575306,166.9003739546945,166.64169009453568,393.02034611167596,392.411192172448,20062.99734995839,19973.278260714662,26212.44753016647,34976.22495480427,True,8,8
35,frosty0035 25-12-10 16-32-35.fits,2025-12-10 16:32:35,1387.5614626845168,1035.7363052526184,166.94885937756962,166.18092805672734,393.1345205573541,391.3261804898276,20057.261632871392,19953.03879236175,26194.95257729123,34969.32398349847,True,8,8
36,frosty0036 25-12-10 16-33-35.fits,2025-12-10 16:33:35,1388.320368351278,1034.4339197503675,167.1149727262658,166.38321024150656,393.5256876006111,391.8025186332984,20085.299974720976,19966.8660078693,26210.9843524741,34992.89382416602,True,8,8
37,frosty0037 25-12-10 16-34-36.fits,2025-12-10 16:34:36,1388.7554366709537,1035.203154384317,167.01639889678614,166.62546156526764,393.2935639710369,392.3729769064263,20093.994751688275,19957.274901157165,26211.56278382068,34988.74766262902,True,8,8
38,frosty0038 25-12-10 16-35-36.fits,2025-12-10 16:35:36,1389.8985229248487,1033.4698566577556,167.84037935621004,167.0159767789383,395.2338896736021,393.29256995946747,20161.959881876657,20058.214317129306,26066.850582249073,34800.12230923811,True,8,8
39,frosty0039 25-12-10 16-36-37.fits,2025-12-10 16:36:37,1391.4478439037127,1033.6029972853744,167.66296860535917,166.55256516574707,394.8161192812945,392.20131900362463,20117.671146265588,20033.580625271774,26161.344039691492,34929.24095708927,True,8,8
40,frosty0040 25-12-10 16-37-36.fits,2025-12-10 16:37:36,1390.1029393139183,1033.1108993518226,168.10418788417414,167.086823740946,395.8551112833021,393.45940180573274,20211.82859668081,20063.306537665187,26119.16975698916,34884.803650704474,True,8,8
41,frosty0041 25-12-10 16-38-36.fits,2025-12-10 16:38:36,1387.5456851077977,1034.0487952024068,166.91259996422306,166.21328221126595,393.0491361639846,391.40236870147515,20131.479997988885,20033.92443427745,26233.99121799902,35018.20419704727,True,8,8
42,frosty0042 25-12-10 16-39-36.fits,2025-12-10 16:39:36,1389.3840666931592,1033.3588482958294,167.11033550948687,165.86245084501547,393.5147677895869,390.57622396780295,20141.733136887247,19993.359145971346,26216.846675389883,35020.73863255664,True,8,8
43,frosty0043 25-12-10 16-40-36.fits,2025-12-10 16:40:36,1389.2125897189817,1032.3033053088323,168.21944573504462,167.1351904293956,396.1265227808791,393.57329665320566,20257.949818322435,20121.392151821623,26085.971314722963,34839.768154897196,True,8,8
44,frosty0044 25-12-10 16-41-37.fits,2025-12-10 16:41:37,1389.6096716404375,1032.3096605863147,166.7866983749614,166.47584822227205,392.75266057788997,392.02066440733614,20149.96604568782,20055.568661976104,26236.82237416606,35011.12376746935,True,8,8
45,frosty0045 25-12-10 16-42-36.fits,2025-12-10 16:42:36,1389.67028753412,1032.1398454838163,167.3331081959334,167.0433488083747,394.0393573771166,393.35702616305747,20217.396167413906,20089.595662195396,26128.9269268431,34874.088403265,True,8,8
46,frosty0046 25-12-10 16-43-36.fits,2025-12-10 16:43:36,1390.5890964026962,1030.7951736613152,167.0380288618084,166.17783771958707,393.3444986462447,391.3189033019838,20151.806079063197,20070.73732956315,26230.261145365683,35013.900356739316,True,8,8
47,frosty0047 25-12-10 16-44-36.fits,2025-12-10 16:44:36,1390.68077740393,1030.6091781339405,167.9201011193984,167.50234919672042,395.4216200795833,394.437889478211,20278.711392069552,20185.572228367262,26020.315706513487,34725.182027273375,True,8,7
48,frosty0048 25-12-10 16-45-36.fits,2025-12-10 16:45:36,1390.332772816537,1031.6763452281305,167.0970718787577,166.7064992553617,393.483534326076,392.5638060834628,20215.92854449546,20108.787546393658,26113.809131491038,34852.03893119224,True,8,8
49,frosty0049 25-12-10 16-46-36.fits,2025-12-10 16:46:36,1390.744421180855,1030.3009489219833,166.9080776315219,166.62909485781245,393.0384868842896,392.38153265654023,20231.402311977414,20154.334826558676,26151.656084359605,34893.00898561547,True,8,7
50,frosty0050 25-12-10 16-47-36.fits,2025-12-10 16:47:36,1390.4428782990608,1028.6958629340747,166.43068774547302,166.25398928080187,391.9143196113267,391.4982265247928,20211.31253276721,20099.88565665622,26264.373168815928,35048.01213793521,True,8,8
51,frosty0051 25-12-10 16-48-36.fits,2025-12-10 16:48:36,1392.3404933812355,1031.8086457846143,167.1277816692353,166.3402788529022,393.5558503562713,391.7014229388518,20248.571494424003,20141.576018387095,26137.149677292928,34893.586403999085,True,8,7
52,frosty0052 25-12-10 16-49-36.fits,2025-12-10 16:49:36,1393.0653698463657,1030.3071924677138,167.3299655424445,166.42240452536782,394.0319569936864,391.89481411858554,20280.549324442625,20227.22710370823,26147.250238982597,34898.61533266667,True,8,7
53,frosty0053 25-12-10 16-50-36.fits,2025-12-10 16:50:36,1393.7036880917808,1029.170808396156,166.61385461844563,166.14043385613994,392.34564463538817,391.2308239345769,20253.132118983925,20190.85594891723,26228.62585020773,34997.526964859826,True,8,8
54,frosty0054 25-12-10 16-51-36.fits,2025-12-10 16:51:36,1393.883661460549,1028.0093264297989,166.25261569413132,166.1355801975997,391.49499197536744,391.2193944421546,20265.977329257024,20219.571901916686,26289.36648056265,35065.650485548096,True,8,8
55,frosty0055 25-12-10 16-52-36.fits,2025-12-10 16:52:36,1394.3087840060825,1027.332403206452,166.51330397018714,166.3622007678073,392.10886595332823,391.7530451034958,20308.732692897294,20243.946701614102,26234.964798631845,34998.030546387396,True,8,8
56,frosty0056 25-12-10 16-53-36.fits,2025-12-10 16:53:36,1394.606312861937,1026.165947043509,166.5142686706265,165.44044574799753,392.1111376492603,389.5824779062399,20265.65508301782,20162.205833847518,26269.933168598058,35077.33224667369,True,8,8
57,frosty0057 25-12-10 16-54-37.fits,2025-12-10 16:54:37,1394.386471485892,1026.974032078655,166.31064759359472,165.64048082595494,391.6316466554751,390.05352451752333,20333.07841548968,20262.924121285698,26286.06569524864,35081.04853458555,True,8,8
58,frosty0058 25-12-10 16-55-36.fits,2025-12-10 16:55:36,1396.0830302353538,1025.3848231907587,166.42366149869602,165.37553586848455,391.89777406457483,389.42962682084215,20294.730746381647,20299.449273542923,26206.220838867073,34968.37978480613,True,8,7
59,frosty0059 25-12-10 16-56-37.fits,2025-12-10 16:56:37,1393.8331621437228,1027.019904658641,166.4303125510346,165.22840338541408,391.9134360959423,389.0831563004327,20359.27968914815,20327.32769799601,26168.47833625145,34930.1434695908,True,8,8
60,frosty0060 25-12-10 16-57-36.fits,2025-12-10 16:57:36,1395.2094878226033,1023.7215045557741,165.51862680843928,164.7822184448453,389.7665802345099,388.0324710585904,20300.809053259512,20255.28034804479,26394.764777041637,35222.33171552842,True,8,8
