run_key,source_path,bytes,sha256_16
20250917__maxtest1,E:/Reverse Telescope Test Data\20250917\maxtest1_frames.csv,24518,96f2ab805b14b1ea
20250917__maxtest2,E:/Reverse Telescope Test Data\20250917\maxtest2_frames.csv,69673,1a1031681073f746
20250917__minuteSecondly,E:/Reverse Telescope Test Data\20250917\minuteSecondly_frames.csv,15835,f0143ed3dbc8ced9
20250917__morningsecondly,E:/Reverse Telescope Test Data\20250917\morningsecondly_frames.csv,2608609,44e1749fc0c926c3
20250918__fanoff,E:/Reverse Telescope Test Data\20250918\fanoff_frames.csv,2483511,9069b6f80adff24e
20250918__longrun,E:/Reverse Telescope Test Data\20250918\longrun_frames.csv,4538675,9ddeac421eb147c6
20250918__nightvideo,E:/Reverse Telescope Test Data\20250918\nightvideo_frames.csv,2143365,16ac83cb281498c2
20250918__overnightvideo,E:/Reverse Telescope Test Data\20250918\overnightvideo_frames.csv,356119,206a0294d9c12268
20250918__stability,E:/Reverse Telescope Test Data\20250918\stability_frames.csv,1085483,2f47b2655e66cc38
20250925__fanoff5237,E:/Reverse Telescope Test Data\20250925\fanoff5237_frames.csv,2345493,fd74b91787d56642
20250925__minutely,E:/Reverse Telescope Test Data\20250925\minutely_frames.csv,288743,828e759590a856e1
20250925__noon5237,E:/Reverse Telescope Test Data\20250925\noon5237_frames.csv,2342048,92337a5d2d6c7215
20250926__dotrefound,E:/Reverse Telescope Test Data\20250926\dotrefound_frames.csv,1031203,4ebe71ef91df588b
20250926__fanoff5237,E:/Reverse Telescope Test Data\20250926\fanoff5237_frames.csv,2280406,e5fd1acb43937b49
20250926__minutely,E:/Reverse Telescope Test Data\20250926\minutely_frames.csv,49949,f8ef0ba59e9417e0
20250926__morning5237,E:/Reverse Telescope Test Data\20250926\morning5237_frames.csv,2298730,67ae970eafc31ea2
20251014__minutelyovernight,E:/Reverse Telescope Test Data\20251014\minutelyovernight_frames.csv,632974,c2a1efa46d95fe52
20251016__minutely,E:/Reverse Telescope Test Data\20251016\minutely_frames.csv,285342,a71cb075403db49d
20251017__minutely,E:/Reverse Telescope Test Data\20251017\minutely_frames.csv,553468,f57ed25b7d674f5d
20251017__morning5237,E:/Reverse Telescope Test Data\20251017\morning5237_frames.csv,1537596,066e9383c7281e1c
20251020__minutely,E:/Reverse Telescope Test Data\20251020\minutely_frames.csv,397002,15ec5b2129005b7b
20251020__morning5237,E:/Reverse Telescope Test Data\20251020\morning5237_frames.csv,1045102,605c216f2db94238
20251020__morning_c5237,E:/Reverse Telescope Test Data\20251020\morning_c5237_frames.csv,2055697,05733dcb4499738e
20251022__fan_restart5237,E:/Reverse Telescope Test Data\20251022\fan_restart5237_frames.csv,1597121,056df00b25749995
