frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,1-833-stability0001.bmp,2025-09-17 09:05:30,277.65766770980514,285.998650345953,5.5300101606340455,6.646824235401893,13.02217877548587,15.65207494532189,4077.2954817168898,3493.025014228897,7733.3309929306215,10307.608957446366,True,1,1
2,1-833-stability0002.bmp,2025-09-17 09:05:30,279.0615041513757,267.0397595618617,5.41456582743249,5.605507391728655,12.750328145577615,13.199961168611791,3483.3870509068684,3455.292875987385,7733.683457332075,10308.9269682153,True,1,1
2,maxtest2_position_reprocess.png,2026-08-21 04:23:16,,,,,,,,,,,False,0,0
2,maxtest2_FWHM_reprocess.png,2026-08-21 04:23:16,,,,,,,,,,,False,0,0
2,maxtest2_FFT_reprocess.png,2026-08-21 04:23:16,,,,,,,,,,,False,0,0
3,1-833-stability0003.bmp,2025-09-17 09:05:30,276.0000430472157,289.05159081068956,5.462995430145992,8.895225301719178,12.864371144820256,20.946654845554793,5463.075261212771,3471.6499036323353,7735.773894999904,10308.953211207523,True,1,1
4,1-833-stability0004.bmp,2025-09-17 09:05:30,276.1412349892694,289.64232910592716,5.539657244724586,7.175934176693521,13.044895922478375,16.898033641100564,4441.26187683492,3504.173129295234,7733.69726995712,10308.762579170922,True,1,1
5,1-833-stability0005.bmp,2025-09-17 09:05:30,275.51028124034025,257.25363074461785,5.5042439469451745,8.337177941710355,12.961503979006766,19.632553736129413,5097.958638037713,3465.527334199705,7731.759356233342,10304.666033352865,True,1,1
6,1-833-stability0006.bmp,2025-09-17 09:05:30,281.5761377411558,266.4145464787274,5.530880114751803,6.178866129576557,13.024227360880625,14.550117817489674,3815.4434673587994,3460.049588545445,7732.686287663457,10308.80486432377,True,1,1
7,1-833-stability0007.bmp,2025-09-17 09:05:30,271.90860521658277,297.1457039067799,5.521781771309656,6.387442535326082,13.002802399366479,15.041277718669166,3881.520593949802,3455.9127834049386,7731.436972870284,10305.23244529716,True,1,1
8,1-833-stability0008.bmp,2025-09-17 09:05:30,276.53698445981155,253.9089378313865,5.453142316096989,7.229612987072639,12.841168834351688,17.024437579774727,4513.277951125375,3473.147231175175,7731.443750705146,10305.991232176906,True,1,1
9,1-833-stability0009.bmp,2025-09-17 09:05:30,278.60925051590215,287.81786789011034,5.4503597737843315,7.207272534981265,12.834616447937695,16.97182983537491,4456.547054644667,3484.6225425138637,7733.82271663139,10307.456192725565,True,1,1
10,1-833-stability0010.bmp,2025-09-17 09:05:30,277.2558236261434,272.79131825680895,5.434701134512353,6.249797964321397,12.79774317030213,14.717149523777648,3909.7803410867978,3466.6865918970825,7732.509281313512,10307.831592049517,True,1,1
11,1-833-stability0011.bmp,2025-09-17 09:05:30,274.1824009457392,270.25365124197714,5.391801039593948,7.993638426257521,12.69672116685454,18.823579998880863,4952.129557035385,3441.7100633464684,7734.496524820719,10308.42745789115,True,1,1
12,1-833-stability0012.bmp,2025-09-17 09:05:30,279.4415174779834,278.0150894034753,5.4080351779013425,6.609131105832251,12.734949641154598,15.56331440825135,4121.333908812775,3459.37843507321,7733.442921894543,10308.253626002679,True,1,1
13,1-833-stability0013.bmp,2025-09-17 09:05:30,276.9902829834794,276.69327661373256,5.37069105095131,7.35829263346763,12.64701094244848,17.32745499049315,4623.372968471422,3443.8739929360468,7733.288508877756,10308.386356436262,True,1,1
14,1-833-stability0014.bmp,2025-09-17 09:05:30,278.565489275069,270.34710240420776,5.3020387904900526,5.8530903087642905,12.485347223377625,13.78297438445454,3695.485439342003,3421.268028030347,7731.725172371868,10306.714150028838,True,1,1
15,1-833-stability0015.bmp,2025-09-17 09:05:30,273.8430124330465,301.76342743338563,5.266674038340798,9.864703319271909,12.40206959612901,23.22960111450483,6214.678553165556,3426.2279450495726,7738.575525839172,10312.523265268144,True,1,1
16,1-833-stability0016.bmp,2025-09-17 09:05:30,277.43052720161944,260.2514807360962,5.270249162573122,5.751571804081178,12.410488370334761,13.543916574685177,3639.1346114455505,3416.2063395746236,7730.117203134003,10304.371612126082,True,1,1
17,1-833-stability0017.bmp,2025-09-17 09:05:30,274.8768450277241,281.11094030926284,5.317455060973775,8.143687473063476,12.521649766132315,19.176918502037314,5041.464019958807,3406.3286280339344,7731.882679549473,10304.308211911095,True,1,1
18,1-833-stability0018.bmp,2025-09-17 09:05:30,274.88355090231795,256.642860529768,5.245474419654737,6.1739008857480275,12.35214830910006,14.538425561793789,3922.999157585901,3408.250205589156,7733.324412639066,10308.675060650412,True,1,1
