frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
0,1-833-stability 25-09-17 08-54-00.bmp,2025-09-17 08:54:00,310.54363299004825,289.64108284836266,5.412919261758289,6.215733946368212,12.746450779722547,14.636934891487194,3906.9803893003536,3491.187277407876,6813.924063459126,9082.34882565519,True,1,1,640,480,44.29622144599844,65.21090283206513,False,False,28.1694,35.5824,False,
1,1-833-stability 25-09-17 08-54-01.bmp,2025-09-17 08:54:01,314.75851989785014,269.82096008761334,5.573491936911083,6.741601600197619,13.12457053385659,15.875258583758077,4276.991692126837,3560.250969773534,6814.908671678552,9085.688386316979,True,1,1,640,480,46.107038188851504,82.74077838275514,False,False,26.686799999999998,38.547599999999996,False,
2,1-833-stability 25-09-17 08-54-02.bmp,2025-09-17 08:54:02,311.85179287648714,279.1435773588765,5.6952264191651665,5.715130916053563,13.41123333283997,13.458104841099022,3653.4727245790123,3664.237419340757,6814.941714349391,9085.887920747376,True,1,1,640,480,44.703383929712594,71.00061371082803,False,False,26.686799999999998,34.099799999999995,False,
3,1-833-stability 25-09-17 08-54-03.bmp,2025-09-17 08:54:03,308.2736199113852,282.65292575827453,5.732058263182851,5.5889404671994205,13.497965697428267,13.160949042645834,3725.3230622629044,3791.6340819168345,6815.487561323352,9088.16561645265,True,1,1,640,480,52.157746580478744,68.76470994087938,False,False,25.2042,37.065,False,
4,1-833-stability 25-09-17 08-54-04.bmp,2025-09-17 08:54:04,311.6279557097608,291.0024130566179,5.889287666624777,6.064211254733058,13.868212648321572,14.28012621994769,3922.407451316767,3816.8904318699106,6818.558470409363,9091.169800662836,True,1,1,640,480,41.099604035581784,69.30180919926828,False,False,28.9107,38.547599999999996,False,
5,1-833-stability 25-09-17 08-54-05.bmp,2025-09-17 08:54:05,312.7712034145899,264.82531771540954,5.581839600228786,6.51131505041094,13.144227778766286,15.332975200219387,4288.364378737851,3667.3611245066536,6821.923334324188,9096.198670705275,True,1,1,640,480,43.206802035551775,71.52509687549153,False,False,29.651999999999997,40.0302,False,
6,1-833-stability 25-09-17 08-54-06.bmp,2025-09-17 08:54:06,311.7164798097664,264.24696843094694,5.570020934113143,6.305564889429991,13.11639694689164,14.848470596873105,4175.18260637106,3649.7956150155856,6816.4378398624385,9089.846664633573,True,1,1,640,480,40.80269741536588,53.87788388048243,False,False,26.686799999999998,34.8411,False,
7,1-833-stability 25-09-17 08-54-07.bmp,2025-09-17 08:54:07,310.1875652794692,280.7247183200159,5.49037603710463,5.911095518360889,12.92884754693157,13.919566214728832,3770.3763077090307,3542.8788046607724,6816.01535967607,9086.759273258725,True,1,1,640,480,40.81456837512512,66.89428128271346,False,False,28.1694,35.5824,False,
8,1-833-stability 25-09-17 08-54-08.bmp,2025-09-17 08:54:08,311.4509397101611,280.96935216276836,5.756142582161615,5.580218120880313,13.554679934530379,13.1404094866939,3610.3334975960825,3714.6887092603133,6818.316043643169,9091.363897681034,True,1,1,640,480,38.63948035720987,69.6733513753668,False,False,29.651999999999997,35.5824,False,
9,1-833-stability 25-09-17 08-54-09.bmp,2025-09-17 08:54:09,312.6511105133777,274.003030142108,5.726066836719347,5.7961962254238895,13.483856966293677,13.648999056560902,3885.824115459236,3793.1623853830315,6813.812962742732,9086.465599114867,True,1,1,640,480,40.51451882830443,60.103337099392505,False,False,27.428099999999997,38.547599999999996,False,
