frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,minuteSecondly_FWHM_reprocess.png,2026-08-21 04:23:34,,,,,,,,,,,False,0,0
-1,minuteSecondly_position_reprocess.png,2026-08-21 04:23:34,,,,,,,,,,,False,0,0
-1,minuteSecondly_FFT_reprocess.png,2026-08-21 04:23:36,,,,,,,,,,,False,0,0
0,1-833-stability 25-09-17 08-54-00.bmp,2025-09-17 08:54:00,310.5436355359769,289.64106340783064,5.412915041234914,6.215743007012513,12.746440841149504,14.636956227674014,3906.9818656933567,3491.1848596303184,6813.924096727542,9082.348738964381,True,1,1
1,1-833-stability 25-09-17 08-54-01.bmp,2025-09-17 08:54:01,314.75851960374274,269.8209699797072,5.573492617907385,6.741589273278979,13.124572137480332,15.87522955608297,4276.99143890627,3560.2540551076413,6814.908665805275,9085.688506894363,True,1,1
2,1-833-stability 25-09-17 08-54-02.bmp,2025-09-17 08:54:02,311.8517943420127,279.14357003560036,5.695222458744848,5.715133871817326,13.411224006762817,13.458111801390778,3653.4739537842574,3664.236512128316,6814.941743603593,9085.887891235936,True,1,1
3,1-833-stability 25-09-17 08-54-03.bmp,2025-09-17 08:54:03,308.2736215774344,282.65291916123545,5.732055254189758,5.588943149487721,13.497958611791015,13.160955358952092,3725.324006399136,3791.633215583748,6815.487584004707,9088.165588630241,True,1,1
4,1-833-stability 25-09-17 08-54-04.bmp,2025-09-17 08:54:04,311.6279557465484,291.00241652252095,5.889288139496015,6.064202301418929,13.868213761848242,14.280105136504108,3922.407300001633,3816.893113815685,6818.558466636767,9091.16989417008,True,1,1
5,1-833-stability 25-09-17 08-54-05.bmp,2025-09-17 08:54:05,312.7712045756741,264.82531445040587,5.581838966757599,6.511316979359551,13.144226287055636,15.332979742546241,4288.364614506456,3667.3606046451464,6821.923339805179,9096.198651440429,True,1,1
6,1-833-stability 25-09-17 08-54-06.bmp,2025-09-17 08:54:06,311.71648030786986,264.24696932126585,5.570020395901161,6.30555813039812,13.116395679499279,14.84845468056937,4175.182800649409,3649.7974716978147,6816.437844406169,9089.84673230258,True,1,1
7,1-833-stability 25-09-17 08-54-07.bmp,2025-09-17 08:54:07,310.1875652548277,280.7247147981774,5.490376103852542,5.911098439009584,12.928847704110892,13.919573092330923,3770.376286668476,3542.877971520473,6816.015359143005,9086.759244921679,True,1,1
8,1-833-stability 25-09-17 08-54-08.bmp,2025-09-17 08:54:08,311.45093969442775,280.9693486413241,5.756142895507296,5.580216574799806,13.554680672403071,13.140405845952529,3610.333402925484,3714.689197871277,6818.31604134924,9091.363913407149,True,1,1
9,1-833-stability 25-09-17 08-54-09.bmp,2025-09-17 08:54:09,312.6511102934638,274.00302704097635,5.7260662936963875,5.796193095376191,13.483855687572328,13.64899168586184,3885.8242934596747,3793.1633642827983,6813.812967004037,9086.465631487814,True,1,1
10,1-833-stability 25-09-17 08-54-10.bmp,2025-09-17 08:54:10,311.42111330883654,277.17822927570495,5.678866257289468,5.936857713777645,13.372708095715124,13.980231548900212,3802.399369421039,3674.752925212047,6816.227468548882,9087.137877544083,True,1,1
11,1-833-stability 25-09-17 08-54-11.bmp,2025-09-17 08:54:11,312.83511717401194,263.19822668425775,5.902082447499959,5.740674075221801,13.89834205479823,13.518254384321803,3627.448598518529,3697.2987813828054,6815.913031537302,9088.847597516418,True,1,1
12,1-833-stability 25-09-17 08-54-12.bmp,2025-09-17 08:54:12,310.6705710482936,309.4925492380778,6.044460810281285,6.020159964407061,14.233617477454382,14.176393358478554,3813.7445033126633,3809.715494228467,6815.197081007723,9087.540079463835,True,1,1
13,1-833-stability 25-09-17 08-54-13.bmp,2025-09-17 08:54:13,312.57245301800634,279.5772451991209,5.742512066006796,6.288727420557967,13.522582521864894,14.808821387665677,3976.401907562923,3628.071429339887,6815.008291544429,9086.774768537445,True,1,1
14,1-833-stability 25-09-17 08-54-14.bmp,2025-09-17 08:54:14,313.116973426011,292.1223061026146,5.763542182731777,6.831204813674395,13.57210466227822,16.086258026952375,4301.830350580741,3634.188084561526,6819.317512954681,9092.255707024384,True,1,1
15,1-833-stability 25-09-17 08-54-15.bmp,2025-09-17 08:54:15,309.8883868651781,292.6589684328187,5.4681443907785425,6.2064845890603495,12.87649602052886,14.615154319494986,3943.4665660796127,3535.416858327131,6814.502281416727,9084.023507091488,True,1,1
16,1-833-stability 25-09-17 08-53-16.bmp,2025-09-17 08:53:16,313.4509756545185,286.1603861530418,5.73821717623264,6.430687455789073,13.512468829333512,15.143111724221185,4141.167853472507,3650.8608768570984,6813.222174312998,9085.78650265806,True,1,1
16,1-833-stability 25-09-17 08-54-16.bmp,2025-09-17 08:54:16,314.14543494963755,278.2890365440693,5.22528610594606,5.912326767643507,12.304608463303493,13.922465585219971,3915.0818899804362,3530.530722636936,6813.098195436298,9081.957323869246,True,1,1
17,1-833-stability 25-09-17 08-53-17.bmp,2025-09-17 08:53:17,311.7640248916335,270.10503413154066,5.885845643945497,6.313783108746608,13.860107304320952,14.867823024454335,3999.759859469703,3736.184276951954,6819.551616401717,9092.487499275703,True,1,1
18,1-833-stability 25-09-17 08-53-18.bmp,2025-09-17 08:53:18,314.7917892050675,273.099657146907,5.711508279572978,7.4645287810334295,13.449574184098681,17.577622000287956,4728.385915725541,3617.1000464117737,6819.80071423497,9093.100350914228,True,1,1
19,1-833-stability 25-09-17 08-53-19.bmp,2025-09-17 08:53:19,311.2407780928436,306.6429612948452,5.717352957639106,6.537444997765971,13.46333734916555,15.394506524026617,4230.909579126832,3706.291313848591,6819.024462765034,9091.823354230008,True,1,1
20,1-833-stability 25-09-17 08-53-20.bmp,2025-09-17 08:53:20,310.8708903290971,295.9723552286889,6.005499611386345,6.330304788433394,14.14187086531814,14.906728606958358,4040.128302055996,3796.243687722978,6817.84954042949,9091.67555089614,True,1,1
21,1-833-stability 25-09-17 08-53-21.bmp,2025-09-17 08:53:21,311.1617999055061,273.35413236434675,6.006124275563599,5.744998386792231,14.143341837044153,13.528437359888812,3641.4846040854986,3805.528377567011,6817.2250139381495,9089.677503516343,True,1,1
22,1-833-stability 25-09-17 08-53-22.bmp,2025-09-17 08:53:22,312.94345880805196,273.5394722272653,5.614315127754657,5.581194892324374,13.220701801957162,13.142709607669788,3569.6848071751497,3645.2420649087608,6817.663784364207,9088.633610513612,True,1,1
23,1-833-stability 25-09-17 08-53-23.bmp,2025-09-17 08:53:23,311.62856747862946,264.20753275756164,5.821647446661755,6.651310581759359,13.708932102502345,15.662639483653404,4250.55417436867,3687.30348416031,6821.706112811362,9096.756119160713,True,1,1
24,1-833-stability 25-09-17 08-53-24.bmp,2025-09-17 08:53:24,312.30241351497625,275.8711136315751,5.731497703065991,6.296618640123208,13.49664567922864,14.827403789677648,4046.767272588844,3695.303934935916,6812.83776597721,9083.397864045424,True,1,1
25,1-833-stability 25-09-17 08-53-25.bmp,2025-09-17 08:53:25,312.8484725572937,265.2842134390192,5.306919570183466,5.906335912617963,12.496840581235057,13.908358199718945,3833.0163011608656,3493.598173113891,6813.316246605017,9082.892331001241,True,1,1
26,1-833-stability 25-09-17 08-53-26.bmp,2025-09-17 08:53:26,312.65366094932,263.78830984555475,5.073591453045722,7.401463646269185,11.947394853929767,17.429114956802536,4512.925265036876,3222.9015255411027,6819.40841640151,9087.544618115497,True,1,1
27,1-833-stability 25-09-17 08-53-27.bmp,2025-09-17 08:53:27,311.70275912306374,272.12198629126937,5.176025410963378,6.34500361454221,12.18860839132612,14.941341697317824,3916.058694748133,3327.8396704730517,6814.507186108228,9081.594075216159,True,1,1
28,1-833-stability 25-09-17 08-53-28.bmp,2025-09-17 08:53:28,310.19984479749064,272.1956441101658,5.261147592462536,5.950574824137269,12.3890558105971,14.012532875334957,3781.460124285283,3414.4439308149244,6811.17200327526,9079.353264846106,True,1,1
29,1-833-stability 25-09-17 08-53-29.bmp,2025-09-17 08:53:29,313.2624580847049,270.63076062389155,5.203776435142653,7.581888179109467,12.253957059333615,17.85398226335018,4753.954745454758,3406.044466407321,6816.813643938424,9083.4150189501,True,1,1
30,1-833-stability 25-09-17 08-53-30.bmp,2025-09-17 08:53:30,313.27778777425846,277.84216003785735,5.086091324677548,7.677212380760531,11.976829802208703,18.078453604174673,4785.800890147598,3259.397201951275,6823.00017197293,9093.771726544399,True,1,1
31,1-833-stability 25-09-17 08-53-31.bmp,2025-09-17 08:53:31,315.0955367551854,270.49920234839124,5.191613012720557,6.70021812056532,12.225314388397885,15.77780793638681,4395.5822280926795,3454.8116114462105,6818.005214009072,9088.961646536576,True,1,1
32,1-833-stability 25-09-17 08-53-32.bmp,2025-09-17 08:53:32,312.717852430177,263.720113025437,5.0631009053155,6.5260290836089885,11.922691501851286,15.367624100537403,4309.04979912635,3361.288430986597,6819.855476660022,9092.52070397444,True,1,1
33,1-833-stability 25-09-17 08-53-33.bmp,2025-09-17 08:53:33,311.972207326029,266.3520665319492,5.088389922999421,6.59192432944493,11.982242587612525,15.52279554630412,4304.648554927286,3369.817648463423,6821.138265996146,9093.232926905563,True,1,1
34,1-833-stability 25-09-17 08-53-34.bmp,2025-09-17 08:53:34,313.1510039297409,281.3392685690707,5.046479839137835,6.404335190158832,11.883551882046335,15.081056880883114,4167.488079432023,3334.9296286701306,6819.463653697203,9090.911281913919,True,1,1
35,1-833-stability 25-09-17 08-53-35.bmp,2025-09-17 08:53:35,312.90998114350776,282.17469520054675,5.052001786122193,7.950236487362044,11.8965550734927,18.721376243176586,5033.833975600655,3286.3301253464897,6818.143892449398,9087.223058780513,True,1,1
36,1-833-stability 25-09-17 08-53-36.bmp,2025-09-17 08:53:36,314.9800226616307,267.0385288011408,5.566056711253122,5.9950586828479855,13.107061915437894,14.117284357507277,3662.870908603072,3517.0016924683823,6818.782025625087,9088.070138401943,True,1,1
37,1-833-stability 25-09-17 08-53-37.bmp,2025-09-17 08:53:37,314.9898426936858,275.6980874044295,5.396204891432938,6.105933325561111,12.70709144544034,14.378374188653789,3833.929579723433,3416.840283756195,6818.020618649245,9089.783785239111,True,1,1
38,1-833-stability 25-09-17 08-53-38.bmp,2025-09-17 08:53:38,312.36269718964087,281.6185745970995,6.341630390460805,6.607650001169353,14.93339836163455,15.559826673302368,3830.8751593025886,3686.5033987584143,6813.232792035572,9083.970272019624,True,1,1
39,1-833-stability 25-09-17 08-53-39.bmp,2025-09-17 08:53:39,312.2578492738924,283.53704279263013,6.228191249826078,6.818706770201987,14.66626959937681,16.056827383659883,4172.445987737869,3804.834905568142,6820.012145977285,9093.572712214132,True,1,1
40,1-833-stability 25-09-17 08-53-40.bmp,2025-09-17 08:53:40,313.51657881960165,275.8841077273621,5.964838226666901,5.756662762546241,14.046120621522078,13.555904865727127,3635.5251553112867,3790.6206991788886,6821.254633143643,9094.295936881199,True,1,1
41,1-833-stability 25-09-17 08-53-41.bmp,2025-09-17 08:53:41,311.44709369546143,264.12194061325556,6.047447700031139,5.3838581601060325,14.240651065309637,12.678017115021131,3459.420464827039,3839.7077893901937,6812.491673814639,9084.618483521965,True,1,1
42,1-833-stability 25-09-17 08-53-42.bmp,2025-09-17 08:53:42,312.1312014094377,288.00071286319843,6.144835467845868,6.725599942332168,14.469981733100582,15.837577559062785,4211.420714429885,3853.081316685731,6814.600393501174,9085.946925653196,True,1,1
43,1-833-stability 25-09-17 08-53-43.bmp,2025-09-17 08:53:43,316.084140512157,270.76026346111814,6.073791309430032,6.265778738580482,14.302685524780616,14.754781371338057,3754.367165040153,3619.8033484475964,6818.648042498124,9092.169682710082,True,1,1
44,1-833-stability 25-09-17 08-53-44.bmp,2025-09-17 08:53:44,316.0076542718914,278.79694614932396,5.875584873302591,6.169765898974262,13.835945035933571,14.528688412052988,3750.324402968902,3605.042043135317,6820.550891135663,9092.987309375669,True,1,1
45,1-833-stability 25-09-17 08-53-45.bmp,2025-09-17 08:53:45,313.5314844353017,280.7275130226982,5.883043180572423,6.126390377164844,13.853508007394572,14.426546863832492,3621.266169066155,3489.476825143936,6813.516605766762,9084.303246497437,True,1,1
46,1-833-stability 25-09-17 08-53-46.bmp,2025-09-17 08:53:46,316.3150632916317,255.0761698549587,5.601702157825625,6.0334993850391205,13.191000527540904,14.207805293572028,3745.6200114676967,3541.7573314141105,6817.35204265607,9087.77996338282,True,1,1
47,1-833-stability 25-09-17 08-53-47.bmp,2025-09-17 08:53:47,314.4950489363835,260.5366030639929,5.730060644242184,6.287606215709671,13.49326166430445,14.806181152014323,3927.6623098461955,3652.7770226661128,6824.627293265557,9097.093141976255,True,1,1
48,1-833-stability 25-09-17 08-53-48.bmp,2025-09-17 08:53:48,315.6206202136899,273.85406554277785,5.644712806664888,6.475906582589226,13.292282865577388,15.249594630428982,4088.0231353443396,3623.6155640985926,6820.680869446121,9092.202020619729,True,1,1
49,1-833-stability 25-09-17 08-53-49.bmp,2025-09-17 08:53:49,312.53524001207865,274.50951216008394,5.5892552139830585,5.907443612740769,13.161690214681053,13.910966634172011,3790.070414509913,3609.3792945445034,6814.6381433560555,9085.460747738292,True,1,1
50,1-833-stability 25-09-17 08-53-50.bmp,2025-09-17 08:53:50,310.43144108332683,272.46499142900024,5.7433378858531166,5.290559088048211,13.524527178992594,12.458314589956588,3427.662233648289,3713.8752465403913,6820.079622483396,9093.636611251086,True,1,1
51,1-833-stability 25-09-17 08-53-51.bmp,2025-09-17 08:53:51,311.701031535276,278.93760481163304,6.095713002786894,4.969925035321075,14.354307167718378,11.703279095475215,3158.228067388618,3817.5591126740624,6817.203539099562,9091.059969469454,True,1,1
52,1-833-stability 25-09-17 08-53-52.bmp,2025-09-17 08:53:52,314.5898273110564,293.8449170439727,6.291681731062241,5.475681324803372,14.815778257260387,12.894244143848606,3362.677281153828,3842.2019544255622,6817.458637883207,9090.562221188147,True,1,1
53,1-833-stability 25-09-17 08-53-53.bmp,2025-09-17 08:53:53,313.06767732836914,265.2790313871365,6.167599430516213,6.12245633063739,14.523586768701046,14.41728289221156,3734.918268350633,3737.689489931312,6818.35721099719,9091.934829000102,True,1,1
54,1-833-stability 25-09-17 08-53-54.bmp,2025-09-17 08:53:54,311.1531342945928,269.1932060691854,5.809459773508898,6.309014719736096,13.680232325459713,14.856594326429876,3895.3939887650386,3591.8978253868777,6812.804163347669,9083.575945433036,True,1,1
55,1-833-stability 25-09-17 08-53-55.bmp,2025-09-17 08:53:55,310.6985937698844,276.4925515703849,5.8837408886827305,6.827569860287166,13.855150984438305,16.077698365853376,4341.4248160331945,3755.349697989304,6813.953346547518,9084.769313722698,True,1,1
56,1-833-stability 25-09-17 08-53-56.bmp,2025-09-17 08:53:56,312.95103406896504,270.8240105044223,5.632507348081437,6.488753474620132,13.263541207046282,15.279846749299708,4260.951662738019,3716.8035850904525,6818.956747786236,9091.328307623005,True,1,1
57,1-833-stability 25-09-17 08-53-57.bmp,2025-09-17 08:53:57,313.4315675458355,262.087351720478,5.435803082062947,6.714030230579317,12.800338058482842,15.810332969911942,4302.533456337242,3494.1203965536597,6817.80104402129,9090.025892084246,True,1,1
58,1-833-stability 25-09-17 08-53-58.bmp,2025-09-17 08:53:58,312.09601004659544,265.49897811576943,5.296141961826007,6.610508187713034,12.471461253037418,15.566557188267865,4172.545796693033,3445.793446085415,6817.057091506198,9085.858132800102,True,1,1
59,1-833-stability 25-09-17 08-53-59.bmp,2025-09-17 08:53:59,312.0418220621731,269.97642136376487,5.284404360636501,8.005994576547764,12.443821314475791,18.85267650926374,5095.640450114727,3392.5072435060656,6815.887431402294,9086.633306175685,True,1,1
