frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,longrun_position_reprocess.png,2026-08-21 06:21:14,,,,,,,,,,,False,0,0
-1,longrun_FFT_reprocess.png,2026-08-21 06:21:16,,,,,,,,,,,False,0,0
-1,longrun_FWHM_reprocess.png,2026-08-21 06:21:14,,,,,,,,,,,False,0,0
1,1-833-stability-longrun0001 25-09-18 11-21-50.bmp,2025-09-18 11:21:50,238.16624871420757,305.78661711714216,3.6673813318778383,3.6013511086794563,8.636023073078235,8.480533779912816,379.9630078497717,352.60107241247204,7706.257954059624,10275.656213524484,True,1,1
2,1-833-stability-longrun0002 25-09-18 11-21-51.bmp,2025-09-18 11:21:51,234.6196767816765,329.19752735487737,3.8992174365778767,4.7500266760881,9.181955379587778,11.185458031283991,390.4313392065136,318.156086939603,7706.671824304385,10275.620538062625,True,1,1
3,1-833-stability-longrun0003 25-09-18 11-21-52.bmp,2025-09-18 11:21:52,232.31194536961294,323.37858603576507,3.9922182454459265,4.699804883039617,9.400955548514354,11.067194746316027,371.86140417405284,299.46532362623225,7710.584031681286,10281.181457706763,True,1,1
4,1-833-stability-longrun0004 25-09-18 11-21-53.bmp,2025-09-18 11:21:53,234.81638307187507,324.51695341029284,3.6499025947191517,4.161019035334997,8.594863792455131,9.798451032162195,420.08080786943344,335.04892753254137,7709.387034520327,10279.909160019151,True,1,1
5,1-833-stability-longrun0005 25-09-18 11-21-54.bmp,2025-09-18 11:21:54,232.55045624629753,317.35894310072104,3.3600156268746986,3.7403446313085906,7.912232149781771,8.807838513129365,366.2749167231751,340.2028310988471,7707.69081100398,10276.702866869533,True,1,1
6,1-833-stability-longrun0006 25-09-18 11-21-55.bmp,2025-09-18 11:21:55,235.75779486565142,326.7640282038573,3.6412430071187947,4.703027901194911,8.57447202199211,11.074784374073612,440.3537755738425,326.9789123995269,7707.469975354431,10276.969436933865,True,1,1
7,1-833-stability-longrun0007 25-09-18 11-21-56.bmp,2025-09-18 11:21:56,237.61845998422072,303.7782322175817,3.651450520114175,4.312475086756088,8.598508878203544,10.155102777989818,410.3943861435491,354.3244746360709,7709.20895361401,10278.79131920616,True,1,1
8,1-833-stability-longrun0008 25-09-18 11-21-57.bmp,2025-09-18 11:21:57,235.92697249192162,311.1948881822685,3.7469477008385987,3.7746058423371514,8.82338755361736,8.888517499626456,360.80596993443595,346.8797773326511,7705.597244292253,10274.352052678452,True,1,1
9,1-833-stability-longrun0009 25-09-18 11-21-58.bmp,2025-09-18 11:21:58,236.19731841373766,313.9712453786131,3.1685702143628673,3.6317926900413666,7.461412654869692,8.552218225906284,400.02670292678255,356.3759720048894,7706.237213809601,10274.843150013905,True,1,1
10,1-833-stability-longrun0010 25-09-18 11-21-59.bmp,2025-09-18 11:21:59,233.15281719301163,319.5231532103726,3.403256254223074,4.645450001361772,8.01405604582144,10.939198781395753,460.1760827174948,325.7352100484634,7705.814651014342,10274.695840835577,True,1,1
11,1-833-stability-longrun0011 25-09-18 11-22-00.bmp,2025-09-18 11:22:00,233.5252975300952,298.31455207731244,3.646658646407419,3.001278253059912,8.58722487794562,7.06747019102095,355.9110536158984,365.5283319299509,7709.287003045419,10280.098120525805,True,1,1
12,1-833-stability-longrun0012 25-09-18 11-22-01.bmp,2025-09-18 11:22:01,236.20173769352942,303.9073793451758,3.5506237995484704,3.604953770554747,8.36108009554069,8.489017400312221,350.268043813553,338.1829044718318,7709.174346065389,10279.02726021728,True,1,1
13,1-833-stability-longrun0013 25-09-18 11-22-02.bmp,2025-09-18 11:22:02,234.00337639542389,293.6359206446478,3.4832052328893215,3.5559633698706694,8.20232150336447,8.373653822767256,398.7751437328111,382.30406545713976,7707.2832094571,10276.531960411778,True,1,1
14,1-833-stability-longrun0014 25-09-18 11-22-03.bmp,2025-09-18 11:22:03,236.88091351115415,327.23183276508314,3.385864696658029,3.58804012586317,7.973102057452961,8.449188810757963,390.1694221878329,339.7516457784591,7707.043111664028,10276.590236466269,True,1,1
15,1-833-stability-longrun0015 25-09-18 11-22-04.bmp,2025-09-18 11:22:04,236.19966184040558,312.8605029866581,3.487520019571467,4.068343742512256,8.21248204953362,9.580217394944091,445.3617525115385,348.16836845213334,7704.604195063612,10273.519666143442,True,1,1
16,1-833-stability-longrun0016 25-09-18 11-22-05.bmp,2025-09-18 11:22:05,234.40730338818034,296.74747377847393,3.37628555290066,4.371379461749885,7.950544897718876,10.29381198096523,458.8193581365158,346.2059924379302,7706.884326843346,10276.032238269496,True,1,1
17,1-833-stability-longrun0017 25-09-18 11-22-06.bmp,2025-09-18 11:22:06,235.97162340705967,310.5552295498712,3.6083314327740976,4.116686059745289,8.49697118701169,9.694054852587684,312.50694746858807,274.35522622112484,7708.253834630783,10277.66234991876,True,1,1
18,1-833-stability-longrun0018 25-09-18 11-22-07.bmp,2025-09-18 11:22:07,234.56783789397355,309.17991739926083,3.9802216772286356,4.736221869628332,9.372705789204696,11.152950196314755,353.292105998783,295.937190066113,7706.130042500525,10274.863852439295,True,1,1
19,1-833-stability-longrun0019 25-09-18 11-22-08.bmp,2025-09-18 11:22:08,233.9457704853206,314.24143354514837,4.217261911056031,4.531702241456972,9.93089288330027,10.67134327629456,340.9795257234419,305.8496620108527,7710.369482225031,10280.764091840665,True,1,1
20,1-833-stability-longrun0020 25-09-18 11-22-09.bmp,2025-09-18 11:22:09,236.00490120135018,310.95172405321847,4.76009315061353,3.787905235538376,11.209162767279267,8.919835177323447,287.3235569204302,338.84882560214544,7706.926120868377,10276.34098818137,True,1,1
21,1-833-stability-longrun0021 25-09-18 11-22-10.bmp,2025-09-18 11:22:10,233.13529899517548,316.761076938076,4.689414841264565,4.086736017559959,11.042728067675425,9.623527892900144,304.4514472158499,318.64427895776043,7710.255139029389,10280.995481107399,True,1,1
22,1-833-stability-longrun0022 25-09-18 11-22-11.bmp,2025-09-18 11:22:11,234.5568994733955,307.70474161317435,4.421981777181823,4.801105050269074,10.412971327669338,11.305738410672939,310.63952444533646,285.5408115057964,7706.81998332892,10275.774238837557,True,1,1
23,1-833-stability-longrun0023 25-09-18 11-22-12.bmp,2025-09-18 11:22:12,230.32511540781044,316.924381352443,3.5164732808419146,5.563834195456775,8.280661769542288,13.101828290690259,394.9596074339427,270.5593041080666,7707.243174929414,10275.715946603075,True,1,1
24,1-833-stability-longrun0024 25-09-18 11-22-13.bmp,2025-09-18 11:22:13,233.515742576123,305.1001426219541,3.5743953393490235,5.711631371944977,8.417057793964283,13.449864044483652,413.8285563803689,254.5383702209554,7707.755044351339,10277.139146380241,True,1,1
25,1-833-stability-longrun0025 25-09-18 11-22-14.bmp,2025-09-18 11:22:14,230.8890731996576,320.10349057294155,3.835679714121422,4.529942234771163,9.032335477131705,10.667198777271429,321.0720799544979,287.0911263502352,7709.1672076909135,10278.5294048763,True,1,1
26,1-833-stability-longrun0026 25-09-18 11-22-15.bmp,2025-09-18 11:22:15,233.6028481215663,303.7389307610117,3.8050139879890064,5.219183976457078,8.960123210539663,12.290239046465466,356.06461232929905,294.40369375536187,7707.0014730199455,10275.053016123318,True,1,1
27,1-833-stability-longrun0027 25-09-18 11-22-16.bmp,2025-09-18 11:22:16,234.3789168792577,308.83096804644856,3.50398066065789,4.2547842401948754,8.251243897117988,10.01925121609267,392.82970252223805,318.16321884777034,7705.719854988421,10274.411953282122,True,1,1
28,1-833-stability-longrun0028 25-09-18 11-22-17.bmp,2025-09-18 11:22:17,233.21094039717283,314.76063723637867,3.4405100758782785,4.480667784215596,8.101782091809122,10.551166313395294,361.7678557250046,282.0638940554131,7708.497008013342,10277.89590926856,True,1,1
29,1-833-stability-longrun0029 25-09-18 11-22-18.bmp,2025-09-18 11:22:18,231.91500943374785,302.66617925162035,3.1651921113209642,4.924250836278954,7.453457830112439,11.595724576030097,410.53147900840236,278.24168997070586,7708.191968200674,10277.219976463348,True,1,1
30,1-833-stability-longrun0030 25-09-18 11-22-19.bmp,2025-09-18 11:22:19,236.17836982732283,324.79701473273025,3.045025862319615,4.550668577409644,7.170487938227882,10.716005584376703,409.0762610095502,284.6660064749898,7706.643162528423,10275.264295769224,True,1,1
31,1-833-stability-longrun0031 25-09-18 11-22-20.bmp,2025-09-18 11:22:20,234.5130579541514,323.6361267202095,3.165210836299977,5.570187848813436,7.453501924068361,13.116790000973703,496.93054576937425,319.5536733684501,7709.188046221705,10277.835972647963,True,1,1
32,1-833-stability-longrun0032 25-09-18 11-22-21.bmp,2025-09-18 11:22:21,234.07215425978677,316.01916149990745,3.1167445298690732,4.396643555862962,7.339372494176256,10.353304376202253,406.4319593067197,295.05766804381733,7705.085534693936,10273.28800602684,True,1,1
33,1-833-stability-longrun0033 25-09-18 11-22-22.bmp,2025-09-18 11:22:22,231.87659833998484,322.33262962227263,2.9314335236953046,3.8094956939672846,6.902998422273412,8.97067682161325,442.40083319577116,346.9499983711247,7706.198800648344,10274.802037639607,True,1,1
34,1-833-stability-longrun0034 25-09-18 11-22-23.bmp,2025-09-18 11:22:23,232.6630078966986,314.4088850638039,3.432365069591743,4.758903355396444,8.082602067738685,11.20636101365259,462.8232024155569,334.6020942684296,7706.198476537019,10274.911662425044,True,1,1
35,1-833-stability-longrun0035 25-09-18 11-22-24.bmp,2025-09-18 11:22:24,229.1329017579448,303.92060182217404,3.545999412359374,5.35613762718756,8.350190495891821,12.612740248445773,429.460853247595,289.22418446747423,7706.926150281216,10275.764417987673,True,1,1
36,1-833-stability-longrun0036 25-09-18 11-22-25.bmp,2025-09-18 11:22:25,231.08804097518998,306.3857098322865,3.013218320539446,4.194997893189727,7.09558690126078,9.878465127745772,393.176931528739,296.21067149274603,7706.650511663438,10275.231782972181,True,1,1
37,1-833-stability-longrun0037 25-09-18 11-22-26.bmp,2025-09-18 11:22:26,231.41946176511047,334.7581669685435,3.400330651891347,4.995182102006198,8.0071667788069,11.762754942384028,447.5255208355965,308.79351801489753,7706.589963528276,10275.344950799139,True,1,1
38,1-833-stability-longrun0038 25-09-18 11-22-27.bmp,2025-09-18 11:22:27,232.49805574635363,314.82772004625355,3.372391578562222,4.521210863888598,7.941375288891886,10.646637970096565,393.88357735861257,299.47720245303015,7705.639642683324,10274.052138258108,True,1,1
39,1-833-stability-longrun0039 25-09-18 11-22-28.bmp,2025-09-18 11:22:28,233.75691405266363,309.83091786253544,3.020117123069732,4.4548477873842085,7.111832339745808,10.490364867294106,406.4130674332475,297.18703711972046,7707.069260462295,10275.588369033478,True,1,1
40,1-833-stability-longrun0040 25-09-18 11-22-29.bmp,2025-09-18 11:22:29,232.44389930470993,312.10907254137305,3.559529220198576,5.060078845225607,8.382050758596991,11.915575094174317,348.47132105906246,272.48964514096474,7710.1028026620725,10279.41419392359,True,1,1
41,1-833-stability-longrun0041 25-09-18 11-22-30.bmp,2025-09-18 11:22:30,229.85344702311914,306.57291014509525,3.3822162091559047,5.395030648092262,7.964510525948914,12.704326313683971,373.65201611301654,238.95311815631092,7710.0378025140935,10279.91782626017,True,1,1
42,1-833-stability-longrun0042 25-09-18 11-22-31.bmp,2025-09-18 11:22:31,229.6696262257479,299.6382064727615,3.5936366537937827,5.579925703979492,8.462367626911545,13.139720897514339,411.24625845683926,254.34507737187943,7707.702390943579,10277.242763307378,True,1,1
43,1-833-stability-longrun0043 25-09-18 11-22-32.bmp,2025-09-18 11:22:32,235.19515693843124,291.82247956844867,3.4454408094771716,5.054920194936943,8.113393082124503,11.903427401069267,381.80246376795606,254.88643503856989,7714.913415894495,10286.692465534485,True,1,1
44,1-833-stability-longrun0044 25-09-18 11-22-33.bmp,2025-09-18 11:22:33,231.88998359726062,320.5629430796211,3.286988420393574,5.4141342992925745,7.740266220127405,12.749311974463748,460.76921413493994,295.31882951986705,7709.782192990917,10279.269088683859,True,1,1
45,1-833-stability-longrun0045 25-09-18 11-22-34.bmp,2025-09-18 11:22:34,229.6794520100691,296.31964144356266,3.3744352178877906,3.8045647833329777,7.9461876917405485,8.959065414411326,415.2249375098667,363.325410483278,7705.168497912268,10273.656458568872,True,1,1
46,1-833-stability-longrun0046 25-09-18 11-22-35.bmp,2025-09-18 11:22:35,234.97390762558385,306.0641990130466,3.576744573454289,3.91842147204273,8.422589817525832,9.2271774272459,418.5006140517169,395.90614819366283,7709.359224740591,10278.861248952613,True,1,1
47,1-833-stability-longrun0047 25-09-18 11-22-36.bmp,2025-09-18 11:22:36,233.86958883186037,325.11991604540856,3.03585284614312,3.087103365839641,7.148887135862077,7.269572886961699,416.9052911488342,416.04439244725035,7709.819457891381,10279.661576496295,True,1,1
48,1-833-stability-longrun0048 25-09-18 11-22-37.bmp,2025-09-18 11:22:37,231.5222822908849,346.18230919355443,3.1679917231199903,3.5445176204524906,7.46005041209509,8.346701142606927,361.1708023113529,346.2555851188379,7707.407735530176,10276.109567712298,True,1,1
49,1-833-stability-longrun0049 25-09-18 11-22-38.bmp,2025-09-18 11:22:38,233.82014487598863,309.0423181435968,3.0821948344697705,4.3327646796398245,7.258014178900265,10.202881118017958,418.13500633257314,297.453515514412,7706.858630880196,10275.81139018752,True,1,1
50,1-833-stability-longrun0050 25-09-18 11-22-39.bmp,2025-09-18 11:22:39,232.10872163066617,329.60830481657035,3.3871552410623846,3.429214360549302,7.97614105728534,8.075182714929486,399.6058434045344,357.4444751570487,7709.361267006225,10279.815606351116,True,1,1
51,1-833-stability-longrun0051 25-09-18 11-22-40.bmp,2025-09-18 11:22:40,234.81707536302866,303.17334088974195,3.324371226596101,5.214589492143912,7.828296001512623,12.279419862708243,462.1557389134342,304.5919221807492,7707.384177137623,10276.240974111246,True,1,1
52,1-833-stability-longrun0052 25-09-18 11-22-41.bmp,2025-09-18 11:22:41,232.1656388762272,321.5908951425873,3.161969148013795,4.424853452563855,7.445868331512317,10.41973360642177,390.4579037247136,312.35875085878314,7705.9301203345885,10273.803092795817,True,1,1
53,1-833-stability-longrun0053 25-09-18 11-22-42.bmp,2025-09-18 11:22:42,233.0241447760574,316.80159196567547,3.6478583567739244,4.666065537623285,8.590049979964897,10.987744659423425,385.1881582270837,318.65593248537266,7707.679542074546,10276.479106162009,True,1,1
54,1-833-stability-longrun0054 25-09-18 11-22-43.bmp,2025-09-18 11:22:43,233.42383196442887,317.9841021244113,3.3099849083930857,4.372862298152297,7.794418811033968,10.297303793849133,423.06107173132943,312.24956473924755,7707.429537264472,10276.754976496293,True,1,1
55,1-833-stability-longrun0055 25-09-18 11-22-44.bmp,2025-09-18 11:22:44,235.28416515884547,332.2866387639635,3.0880235935023173,4.083237993852084,7.271739857507761,9.615290676554848,436.887093525973,328.8170358884575,7711.4800992902165,10282.00730226572,True,1,1
56,1-833-stability-longrun0056 25-09-18 11-22-45.bmp,2025-09-18 11:22:45,237.09643921984798,299.8277953992423,3.138246870877476,3.725457068943408,7.390006637797934,8.772780982850184,423.8301078172369,329.11877750254286,7706.117148541675,10275.365788043306,True,1,1
57,1-833-stability-longrun0057 25-09-18 11-22-46.bmp,2025-09-18 11:22:46,236.57896711749765,317.00425452765273,3.1996180107539556,4.7439354414885315,7.5345246281654665,11.17111426994994,409.50721805665376,284.6034837451894,7709.529138305645,10279.163957319191,True,1,1
58,1-833-stability-longrun0058 25-09-18 11-22-47.bmp,2025-09-18 11:22:47,234.71991769635918,315.772625224735,3.285194330072188,5.187381596796968,7.7360414602760095,12.215350165362153,435.0708910634012,287.785604497657,7707.298898744107,10276.066605383063,True,1,1
59,1-833-stability-longrun0059 25-09-18 11-22-48.bmp,2025-09-18 11:22:48,237.846133690205,302.35923577234064,3.117693773541043,4.246790750808827,7.341607792202629,10.000427987056662,302.37835113314947,230.2170557430705,7706.249911899752,10274.81731351357,True,1,1
60,1-833-stability-longrun0060 25-09-18 11-22-49.bmp,2025-09-18 11:22:49,233.6942420592612,293.07748603501426,3.1199702749309366,5.033801323665011,7.346968543308091,11.853696259669693,469.1990914385647,302.83189707200484,7710.272779542768,10280.04772265678,True,1,1
61,1-833-stability-longrun0061 25-09-18 11-22-50.bmp,2025-09-18 11:22:50,233.480488707262,302.7907181798048,3.1070178762009393,3.6160907124328094,7.31646797514746,8.515242894287026,391.88366764435744,304.55498629292043,7708.423368093143,10278.505112803277,True,1,1
62,1-833-stability-longrun0062 25-09-18 11-22-51.bmp,2025-09-18 11:22:51,235.89149609395204,307.76780006769843,3.0346066211186407,6.569577176956252,7.145952500193815,15.470172023674419,516.8014548788586,247.5854802989929,7709.573253368862,10279.126852285544,True,1,1
63,1-833-stability-longrun0063 25-09-18 11-22-52.bmp,2025-09-18 11:22:52,235.71598888493725,305.64190977809363,3.3601433248031705,8.3508423582252,7.9125328554234455,19.664730978042225,492.0133011869975,229.54174150072362,7709.845240433256,10278.416931737698,True,1,1
64,1-833-stability-longrun0064 25-09-18 11-22-53.bmp,2025-09-18 11:22:53,235.52852091973747,300.80625903196784,2.934320345501412,5.463334168578638,6.909796368128866,12.865168812871472,418.8644534112947,256.87677146818635,7705.8049173193485,10273.496226557505,True,1,1
65,1-833-stability-longrun0065 25-09-18 11-22-54.bmp,2025-09-18 11:22:54,236.54938142667694,322.5941065116945,2.5984601414249315,4.253767686288267,6.118906027241384,10.016857414576535,521.0809837075165,306.71693276482813,7709.581257570678,10279.699157558443,True,1,1
66,1-833-stability-longrun0066 25-09-18 11-22-55.bmp,2025-09-18 11:22:55,232.82736839848096,339.52508436487693,2.928820556814036,3.615725642405378,6.896845355484399,8.514383220068591,422.0985210530237,318.9442174516374,7705.90965425944,10274.979831690045,True,1,1
