frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,minutely0001 25-09-22 09-39-50.fits,2025-09-22 09:39:50,289.65868521236814,443.5683666690267,3.6509419287508815,3.170677527229446,8.597311237066531,7.466374997449063,370.1349896670433,338.9161573364713,7881.830764930479,10510.552901431744,True,1,7,640,480,21.555577687902606,32.0388727564573,False,False,22.238999999999997,31.1346,False,
2,minutely0002 25-09-22 09-40-50.fits,2025-09-22 09:40:50,289.0335890215985,457.32162252039024,3.1509645803483437,4.4394995216180755,7.419954554986813,10.454222463411554,455.5226426445847,335.0033827948145,7910.170542061544,10546.622968233536,True,1,8,640,480,24.54897539471906,32.15240489592752,False,False,22.238999999999997,29.651999999999997,False,
3,minutely0003 25-09-22 09-41-50.fits,2025-09-22 09:41:50,291.4115261400865,441.48238248809974,2.5860007222316055,3.60674079694224,6.089566337175497,8.493225525870487,498.35284689920707,333.4486426740145,7876.56969658938,10502.54244030987,True,1,7,640,480,21.793500989988328,35.48470069701516,False,False,20.0151,35.5824,False,
4,minutely0004 25-09-22 09-42-49.fits,2025-09-22 09:42:49,290.81624203471097,447.49765954900084,3.319685725964642,3.74049964029576,7.817262490704658,8.808203531399512,436.57785145504363,321.24259040953586,7892.35490699811,10524.433366470215,True,1,8,640,480,19.592368920562194,33.48508902102259,False,False,19.273799999999998,27.428099999999997,False,
5,minutely0005 25-09-22 09-43-50.fits,2025-09-22 09:43:50,291.8158713450121,458.2185827760951,3.0170268619740095,2.9364330450872695,7.104555330973221,6.914771395462772,424.55291003467045,406.2211097801913,7891.895767320553,10522.987480822501,True,1,5,640,480,29.553128119136698,34.418001455496196,False,False,24.462899999999998,32.6172,False,
6,minutely0006 25-09-22 09-44-50.fits,2025-09-22 09:44:50,293.08299464797693,434.2417650142269,3.1700642396153698,3.8755891515729535,7.4649308154820675,9.12631502042848,405.53199423664046,310.97105505293507,7878.649332429896,10505.285461476957,True,1,7,640,480,22.91212982811363,36.86998348930913,False,False,20.75640001744312,34.099799999999995,False,
7,minutely0007 25-09-22 09-45-50.fits,2025-09-22 09:45:50,288.7479168098984,456.75046778296837,3.2583284359852254,3.929028847681737,7.672777114352351,9.252155888025808,388.5639696628695,365.45574994665964,7858.1678680725645,10476.670348129812,True,1,5,640,480,23.50701146692472,36.50997358290125,False,False,23.7216,36.323699999999995,False,
8,minutely0008 25-09-22 09-46-50.fits,2025-09-22 09:46:50,290.4627517488007,458.8576466716536,2.87362479206865,3.991146386420353,6.766869262261151,9.398431513395487,474.44011970574604,335.3680405364084,7872.36649379732,10496.618481289717,True,1,8,640,480,19.166848894760445,34.76328993567103,False,False,20.0151,32.6172,False,
9,minutely0009 25-09-22 09-47-50.fits,2025-09-22 09:47:50,291.70548535521556,437.43994347935416,3.2162273821763887,3.1230330227711045,7.573636708926376,7.354180763314994,387.7728270928426,377.7010133769823,7857.701280437756,10477.288020049802,True,1,5,640,480,18.775853107311793,31.394268072333958,False,False,17.7912,26.686799999999998,False,
10,minutely0010 25-09-22 09-48-50.fits,2025-09-22 09:48:50,291.5955754883291,446.8762802561864,2.7703906231126108,2.9298568323960676,6.523771371871358,6.899285597997142,495.42334736871425,462.75325829107203,7889.404081394233,10519.292732064747,True,1,2,640,480,20.5293629162074,34.60805661529637,False,False,20.7564,32.6172,False,
11,minutely0011 25-09-22 09-49-50.fits,2025-09-22 09:49:50,292.8356662682933,447.7382647619879,3.416939925778822,2.8848517379802536,8.046278629890535,6.793306699538273,393.0430287381611,402.41617126618564,7884.16029242633,10513.164641005935,True,1,5,640,480,21.843279412132,34.38294228414349,False,False,20.756400790192497,32.6172,False,
12,minutely0012 25-09-22 09-50-50.fits,2025-09-22 09:50:50,287.6983205328241,458.40255573252637,3.136826953269195,2.8933638912087183,7.386662987351661,6.813351288587037,417.29351073854525,441.51135134378677,7886.1482498531805,10515.028958717114,True,1,1,640,480,22.03588954088863,33.45140834207101,False,False,20.7564,30.394272250587424,False,
13,minutely0013 25-09-22 09-51-50.fits,2025-09-22 09:51:50,289.31681940549254,454.7338625612691,3.1336644776011044,3.416668293325651,7.379215926256519,8.045638984344926,368.10000809003947,348.9242329875972,7882.927499175752,10510.368129414801,True,1,7,640,480,22.692777377687356,35.408593658934215,False,False,22.238999999999997,32.6172,False,
14,minutely0014 25-09-22 09-52-50.fits,2025-09-22 09:52:50,291.14020096599495,450.38094924240994,3.0421509259635724,3.3386343874774176,7.163717980468483,7.861883178661448,403.596821644398,353.5843924991464,7864.722430744139,10486.543651764512,True,1,6,640,480,23.524204812306287,36.931864881505035,False,False,22.9803,34.03595379157001,False,
15,minutely0015 25-09-22 09-53-50.fits,2025-09-22 09:53:50,291.83331969062766,434.5408074645833,3.2539277016782235,4.29437804587321,7.662414176993368,10.112487503363074,431.14366497316314,317.06782898668064,7887.2209770898735,10516.510316783475,True,1,7,640,480,21.14516100523491,30.71642449830408,False,False,20.7564,26.686799999999998,False,
16,minutely0016 25-09-22 09-54-50.fits,2025-09-22 09:54:50,289.4609374827148,416.62300691736687,2.9287131071024466,3.01188345171406,6.896592330749715,7.092443525393274,472.2326477565472,428.46956866563943,7889.783200009875,10520.194156667178,True,1,1,640,480,21.056659865292048,32.380127410973024,False,False,20.0151,29.651999999999997,False,
17,minutely0017 25-09-22 09-55-50.fits,2025-09-22 09:55:50,291.6308733341867,439.09489749704653,3.1640844384556774,3.3599815363919423,7.450849459845925,7.912151872829632,395.0658071957159,346.8683014437346,7876.286969658431,10502.157494196606,True,1,6,640,480,23.10201422608865,31.597396396865406,False,False,20.75642811721097,28.1694,False,
18,minutely0018 25-09-22 09-56-50.fits,2025-09-22 09:56:50,290.7507974297795,452.3656653929319,3.251370912886637,5.406167552790032,7.65639339949603,12.73055172010588,430.47958232752137,240.62641300134092,7862.261876186046,10483.531690700478,True,1,7,640,480,23.12700235392961,35.82510234177347,False,False,23.7216,32.86104206218444,False,
19,minutely0019 25-09-22 09-57-50.fits,2025-09-22 09:57:50,292.4433551138637,444.6774912857794,2.7458621952224274,2.5437401895157987,6.466011338202458,5.990050387622628,466.69545927308246,486.2170700367975,7855.201253817228,10473.834952766392,True,1,1,640,480,24.461373229977067,34.90695542000876,False,False,23.7216,34.099800825897226,False,
20,minutely0020 25-09-22 09-58-50.fits,2025-09-22 09:58:50,289.12014576885736,454.584579741941,3.2713599015668455,3.7382350705147775,7.703463870720081,8.802870877085882,415.79908841326,312.87625535796946,7871.208457608079,10495.940073025198,True,1,8,640,480,23.76210626763944,36.56216157904617,False,False,23.082835623617804,32.6172,False,
21,minutely0021 25-09-22 09-59-50.fits,2025-09-22 09:59:50,290.67067925894565,416.95173612573615,2.957621664271872,3.534675769769863,6.9646667806452,8.323525355339275,436.55972019372973,369.5986413747881,7879.850774215581,10506.38815070379,True,1,3,640,480,21.888498733450824,32.746087400666,False,False,20.7564,28.1694,False,
22,minutely0022 25-09-22 10-00-50.fits,2025-09-22 10:00:50,290.9046923304637,417.1615277298828,3.071334054701209,4.361535604659403,7.232438996996589,10.270631468968146,505.92155677117904,340.7022376490729,7842.93447712872,10457.600391934957,True,1,3,640,480,18.987601044882652,38.21065990112751,False,False,17.7912,38.547599999999996,False,
23,minutely0023 25-09-22 10-01-50.fits,2025-09-22 10:01:50,292.2959562186377,450.91163120938353,2.89640674600131,3.661563917802425,6.82051666404675,8.622324109803206,426.41322123587884,324.1032692043919,7872.75491924344,10497.2590041021,True,1,6,640,480,23.886313161428696,35.25839832746272,False,False,22.238999999999997,35.5824,False,
24,minutely0024 25-09-22 10-02-50.fits,2025-09-22 10:02:50,292.37363552162236,449.9286275999578,3.484777633793076,4.3574623369812855,8.206024224531456,10.261039656590937,414.5524160045402,346.7565115794956,7864.926354959737,10486.221955667737,True,1,4,640,480,23.9114579040622,36.392671499833476,False,False,23.7216,32.61719986184391,False,
25,minutely0025 25-09-22 10-03-50.fits,2025-09-22 10:03:50,287.66389804969856,458.0659624849188,3.189329689808915,2.708093740610222,7.510297483774373,6.377073424211795,379.46614736772943,457.10356509804984,7871.7193305523,10495.481451526277,True,1,2,640,480,19.003368591394608,33.64809750227444,False,False,17.7912,32.6172,False,
26,minutely0026 25-09-22 10-04-50.fits,2025-09-22 10:04:50,293.26870411204504,412.1552390690214,3.345496149255665,4.005604287705394,7.878041392841093,9.43247726915058,467.4116626942165,400.2625751106212,7875.0145709595,10499.812790024922,True,1,4,640,480,21.964572390340912,32.2772254652147,False,False,20.7564,29.651999999999997,False,
27,minutely0027 25-09-22 10-05-51.fits,2025-09-22 10:05:51,290.3691041644882,434.41318469714855,3.073419047720257,4.075759107882593,7.237348780351593,9.59767924595939,449.49746739848337,352.238266321318,7886.4892310659925,10515.036225807346,True,1,7,640,480,22.00687070385813,33.007960537068826,False,False,20.7564,33.52311867664431,False,
28,minutely0028 25-09-22 10-06-51.fits,2025-09-22 10:06:51,290.2276779174485,410.5019532216124,3.226634808872953,3.482595228626091,7.598144325928636,8.20088505309786,423.82821357787867,386.24949768016194,7861.214200639385,10481.735848598317,True,1,4,640,480,24.084230622272447,35.962655048521874,False,False,22.238999999999997,33.358501511010296,False,
29,minutely0029 25-09-22 10-07-51.fits,2025-09-22 10:07:51,291.0292110953358,443.87606713871736,2.811411619060658,3.732203087688963,6.620368435396952,8.788666643016372,480.7735949885786,388.029259892791,7853.493608902472,10470.82060604454,True,1,2,640,480,24.464833537654076,35.075945502491656,False,False,23.7216,34.099799999999995,False,
30,minutely0030 25-09-22 10-08-51.fits,2025-09-22 10:08:51,287.8840335452711,443.34003873211367,3.1624532379749053,3.244693877015478,7.447008276256338,7.640670181585233,399.34505455106387,374.4566817748662,7883.71774051987,10511.873861233418,True,1,4,640,480,22.70576797443291,32.82450942302202,False,False,22.238999999999997,29.651999999999997,False,
31,minutely0031 25-09-22 10-09-51.fits,2025-09-22 10:09:51,290.99176722002113,417.8731457490126,3.162407073414847,3.124277534730481,7.446899567024943,7.357111365023215,387.93161141017913,399.9612537603928,7893.888866043843,10525.066130131918,True,1,5,640,480,30.960829613148306,34.188729414839344,False,False,26.686799999999998,32.6172,False,
32,minutely0032 25-09-22 10-10-51.fits,2025-09-22 10:10:51,292.6914511262611,407.94642900069016,3.787904684529944,3.0161849925818465,8.919833879797746,7.102572880053257,337.71210544107834,401.9881940107165,7876.330418443627,10502.122471904893,True,1,8,640,480,23.46027145064769,35.3074669528719,False,False,20.7564,32.6172,False,
33,minutely0033 25-09-22 10-11-51.fits,2025-09-22 10:11:51,292.8571341619751,421.3805652365671,3.3345926312131935,3.49331370552179,7.852365569993324,8.226125137344054,443.3005329275813,423.338690384326,7884.021304970389,10512.025126293463,True,1,1,640,480,22.747463456532916,32.38003999402045,False,False,23.7216,31.133989032688973,False,
34,minutely0034 25-09-22 10-12-51.fits,2025-09-22 10:12:51,294.46832762994546,420.1747813961885,3.038724262424711,5.354636149189646,7.155648804479596,12.60920453795911,515.4643110831452,266.2973292197204,7862.208957820041,10483.678615118859,True,1,7,640,480,23.437509640370795,35.775675124601314,False,False,19.273799999999998,34.099799999999995,False,
35,minutely0035 25-09-22 10-13-51.fits,2025-09-22 10:13:51,291.28539785939455,422.01106116329487,2.869440816660996,4.921005677561419,6.757016753103291,11.588082811232738,516.5794602069052,306.16475615621044,7884.792874182678,10512.93003609659,True,1,7,640,480,21.066135415545162,33.551897047179565,False,False,20.7564,26.686799999999998,False,
36,minutely0036 25-09-22 10-14-51.fits,2025-09-22 10:14:51,293.61109276360736,447.20664953924023,3.257116506395618,4.058766787593825,7.669923238261577,9.557665389531813,357.16877971050457,286.7943505583152,7847.907716001396,10463.873345856187,True,1,8,640,480,20.017551340892325,36.059285669952736,False,False,17.7912,33.63512602479921,False,
37,minutely0037 25-09-22 10-15-51.fits,2025-09-22 10:15:51,293.5658041322736,451.60641781971947,3.3234795912707544,3.877240280148245,7.826196360775639,9.1302031310945,432.08868067127,352.18436145463403,7872.90372932315,10497.57331372538,True,1,6,640,480,23.74970758152881,34.33416163682276,False,False,22.238999999999997,31.1346,False,
38,minutely0038 25-09-22 10-16-51.fits,2025-09-22 10:16:51,292.4834274190834,439.8939184971041,3.4706237041527808,3.677657814851163,8.172694267298532,8.660222341176238,372.8118798420974,299.25658232869193,7861.288592772616,10482.727701850416,True,1,7,640,480,24.416019935399394,36.01538087015763,False,False,23.7216,35.5824,False,
39,minutely0039 25-09-22 10-17-51.fits,2025-09-22 10:17:51,295.461278814333,406.4709281709408,3.2953862717368745,3.338480377133391,7.760041648805799,7.861520512016192,367.8605007468045,391.029971213196,7877.3177481465245,10502.603609205553,True,1,6,640,480,23.755629969864433,37.8910993307318,False,False,23.7216,40.0302,False,
40,minutely0040 25-09-22 10-18-51.fits,2025-09-22 10:18:51,292.82280087061963,421.35932439302564,3.408575706351574,4.199947528915712,8.026582398322214,9.890120629168921,452.4305285203834,354.5263821684647,7890.053779646819,10520.349270896355,True,1,6,640,480,30.953100745231872,35.16404499747058,False,False,28.1694,34.099799999999995,False,
41,minutely0041 25-09-22 10-19-51.fits,2025-09-22 10:19:51,293.2952169828358,395.64827467261193,2.5649291892601416,3.9986846268970235,6.039946668954763,9.416182713174214,471.9344185740062,277.9375675601461,7884.993407348248,10513.842024432694,True,1,7,640,480,22.958816335601234,33.44557314468944,False,False,20.7564,28.169489003600912,False,
42,minutely0042 25-09-22 10-20-51.fits,2025-09-22 10:20:51,289.93935394172604,431.31614048516377,2.84512263502003,3.653347610993805,6.69975181151644,8.602976185834143,521.8356910453234,363.9231307250307,7886.302254295219,10515.879881682158,True,1,6,640,480,22.127124589593947,31.756026952506602,False,False,22.238999999999997,28.1694,False,
43,minutely0043 25-09-22 10-21-51.fits,2025-09-22 10:21:51,290.01330574509717,434.5356490099407,3.517388637401853,3.767260901707874,8.282817269517981,8.871221486203071,427.64132078477553,394.37188614175415,7883.486840734657,10511.412287269934,True,1,6,640,480,22.022023207646033,32.41544120974482,False,False,20.7564,29.651999999999997,False,
44,minutely0044 25-09-22 10-22-51.fits,2025-09-22 10:22:51,293.18666101503874,405.82363964461103,2.8556381410039746,4.485324880818865,6.724513935791076,10.562132937828318,526.7996866861284,361.9809771596113,7876.37524306782,10501.210901260009,True,1,7,640,480,22.86494607193018,34.941396638409586,False,False,20.7564,34.099799999999995,False,
45,minutely0045 25-09-22 10-23-51.fits,2025-09-22 10:23:51,291.58243743713496,450.35568245882314,3.192582716825603,3.858982901732203,7.517957777000297,9.08721029043069,397.5269780557913,304.44897078445143,7873.901161573359,10499.027196356505,True,1,8,640,480,22.848016441133076,33.76498547280575,False,False,20.756552859709053,32.6172,False,
46,minutely0046 25-09-22 10-24-51.fits,2025-09-22 10:24:51,292.3359530921359,425.2743429252054,3.2747229517480125,3.1531917315707174,7.711383248699138,7.425199095328574,349.22565097845074,380.5532045323224,7887.9521510092,10516.975319392219,True,1,7,640,480,21.5314954652412,34.581951326914165,False,False,20.76787418390616,34.099799999999995,False,
47,minutely0047 25-09-22 10-25-51.fits,2025-09-22 10:25:51,292.70186960764823,421.31569442762816,2.926790503892306,3.566760724233227,6.8920649461718355,8.39907964925351,459.43654106856036,325.1239047787776,7884.791251349112,10514.021282610405,True,1,8,640,480,21.770516846783707,33.634217839772354,False,False,20.7564,32.6172,False,
48,minutely0048 25-09-22 10-26-51.fits,2025-09-22 10:26:51,293.2818022794465,428.65359803124153,2.75060525596441,3.367915415087771,6.477180392712477,7.930834729417413,429.1432878637528,332.3036016366937,7892.495572653835,10523.647199530003,True,1,8,640,480,20.98644560700485,32.83222409542078,False,False,20.7564,29.651999999999997,False,
