frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,bigshakeB0001 25-09-23 10-03-49.fits,2025-09-23 10:03:49,382.5396653461817,231.68245255473778,3.3966661054213367,6.431506812793358,7.9985374313233715,15.145041162518911,922.7121352915956,539.7359116736145,7729.604474122035,10304.378548304425,True,1,1,640,480,18.273101607121617,24.79543578121892,False,False,16.3086,19.27368671916241,True,56.18748520613193
2,bigshakeB0002 25-09-23 10-03-49.fits,2025-09-23 10:03:49,387.3786856845266,234.23187071690288,3.2116218707623285,6.503894750249451,7.562791558330928,15.315501728658967,1034.5323898420402,564.083229806393,7727.036969150551,10300.907995212187,True,1,1,640,480,17.43486583235282,25.51224205047764,False,False,14.825999999999999,20.7564,False,
3,bigshakeB0003 25-09-23 10-03-49.fits,2025-09-23 10:03:49,388.7941818010836,236.885347169281,2.9044274651048947,6.965052714613601,6.839404014167434,16.401445747069335,1157.6839829823211,543.1922563431727,7727.783890841245,10301.513575174291,True,1,1,640,480,17.747460823403706,24.852663672331744,False,False,14.825999999999999,19.273799999999998,True,87.30283555337594
4,bigshakeB0004 25-09-23 10-03-49.fits,2025-09-23 10:03:49,382.35919863328803,230.83044608562855,2.8997171679654357,6.47237884620865,6.828312112045384,15.241287446086417,1063.6120274265206,560.3485499170173,7729.228315792504,10302.804146665936,True,1,1,640,480,19.30408637357656,22.989077011508154,False,False,17.7912,19.273799999999998,True,185.12051965283686
5,bigshakeB0005 25-09-23 10-03-49.fits,2025-09-23 10:03:49,378.0514087515778,231.873578309835,2.8607607251204628,6.3499836965558485,6.736576699550939,14.953068894269437,1074.3827264826393,561.9123255235891,7730.183981069718,10304.329196162991,True,1,1,640,480,20.57864620027455,23.938348779477856,False,False,16.3086,20.7564,False,
6,bigshakeB0006 25-09-23 10-03-49.fits,2025-09-23 10:03:49,378.8102146625878,225.94057161204455,2.9195843148899385,6.0594918498762835,6.875095667860778,14.269012870790341,1049.3749887534022,561.406678922176,7729.838040318754,10304.68511184663,True,1,1,640,480,18.068380293409263,24.659566707427867,False,False,16.3086,19.91639543296671,False,
7,bigshakeB0007 25-09-23 10-03-49.fits,2025-09-23 10:03:49,384.75272563425995,233.0411505398801,3.010230180512227,6.807698216706054,7.088550369227325,16.030904221220865,1132.164367386326,564.5680668367434,7727.69097182869,10301.314588072533,True,1,1,640,480,17.9458389734936,25.837741186669525,False,False,16.3086,19.273799999999998,True,91.3819198044382
8,bigshakeB0008 25-09-23 10-03-49.fits,2025-09-23 10:03:49,387.8467043510828,234.31439815134758,2.925376425869932,6.637515155741871,6.888735046899511,15.63015373793768,1124.9301572421246,559.8923948240537,7731.312620272517,10306.195066125738,True,1,1,640,480,19.067487223627772,25.302654996214216,False,False,17.7912,19.273799999999998,False,
9,bigshakeB0009 25-09-23 10-03-49.fits,2025-09-23 10:03:49,384.2292890245598,229.06739192934342,2.953783033999721,6.62551384051451,6.955627497134877,15.601892800273557,1134.3213467458818,545.377136585475,7729.522568487249,10304.657374894827,True,1,1,640,480,19.287691000060786,24.81991412798025,False,False,18.974263260661345,19.273799999999998,False,
10,bigshakeB0010 25-09-23 10-03-49.fits,2025-09-23 10:03:49,379.5568667768076,237.0431769736459,2.869750531420808,6.424192956158753,6.757746075627938,15.127818346309262,1119.3152021460162,576.5868375948534,7729.589563217838,10303.550386283518,True,1,1,640,480,17.94028968018851,23.934093404039093,False,False,16.3086,20.7564,False,
11,bigshakeB0011 25-09-23 10-03-49.fits,2025-09-23 10:03:49,378.8935015358094,234.86686710160828,2.962508710734125,7.233386328448202,6.976174895615512,17.03332311968265,1208.6663932424963,547.550894346054,7730.661803818226,10305.564853872145,True,1,1,640,480,18.318131521530663,22.09995193483256,False,False,16.3086,17.791199999997303,True,175.36616876828498
12,bigshakeB0012 25-09-23 10-03-49.fits,2025-09-23 10:03:49,381.3683357937584,221.65316052677667,3.0218854547699663,5.9458690686787845,7.115996442679783,14.001451668054305,1025.7542565939877,564.9220628983676,7727.445585293617,10301.906988307392,True,1,1,640,480,17.74177213452303,21.828097391002075,False,False,16.3086,20.7564,False,
13,bigshakeB0013 25-09-23 10-03-49.fits,2025-09-23 10:03:49,387.9413248350335,227.66429577224844,3.203461969054357,6.350973149511795,7.543576458223515,14.955398877923715,1054.5309098173695,573.2841771234746,7728.375366459993,10303.128304148584,True,1,1,640,480,18.284057489641583,26.567884039954894,False,False,17.7912,17.7912,True,231.9530850850449
14,bigshakeB0014 25-09-23 10-03-49.fits,2025-09-23 10:03:49,390.8954256918947,240.59433588725716,3.1005520187811495,6.467581048477026,7.301242044487028,15.229989495815985,1050.0742662141226,553.3650015005843,7728.373273250581,10302.81030282472,True,1,1,640,480,18.22379072894279,23.727661621402802,False,False,17.7912,19.273800209108437,False,
15,bigshakeB0015 25-09-23 10-03-49.fits,2025-09-23 10:03:49,385.9898702183813,237.29801413115186,3.013814721692577,6.8760402594788514,7.096991318651051,16.19183743346061,1100.0202568027682,548.6984622072821,7730.679503834818,10305.182938694374,True,1,1,640,480,19.295823805109276,22.9244659407542,False,False,17.7912,22.238999999999997,False,
16,bigshakeB0016 25-09-23 10-03-49.fits,2025-09-23 10:03:49,379.86518702265425,224.917058784658,2.870676813297091,6.439976815374569,6.759927302757558,15.164986494378613,1118.596252224917,543.205799164819,7735.8045233550165,10312.906730975677,True,1,1,640,480,21.60931293990267,26.353915127289554,False,False,19.273799999999998,23.7216,True,96.2214772031545
17,bigshakeB0017 25-09-23 10-03-49.fits,2025-09-23 10:03:49,379.4223543914084,225.91605981866493,2.925508553414695,6.881155082865643,6.88904618349042,16.20388192209862,1204.5948752616814,563.3470707954439,7730.2570470061055,10305.168977575802,True,1,1,640,480,18.870742033424797,27.092846261993696,False,False,16.3086,20.7564,False,
18,bigshakeB0018 25-09-23 10-03-49.fits,2025-09-23 10:03:49,383.4400491709558,236.48205886595795,2.9718478965152477,6.008958205258588,6.998166997497168,14.15001523149612,1000.0185560166177,561.3676159729562,7729.164912195246,10303.457406075035,True,1,1,640,480,18.608794789896447,25.272067929468022,False,False,16.3086,19.273799999999998,True,49.593393295621404
