frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,minutelyB0001 25-09-23 16-42-33.fits,2025-09-23 16:42:33,384.3885414738682,236.61782734034117,3.5306045106159263,4.694771175098952,8.313938272675069,11.055341269956516,820.8317522383151,622.6232971544288,6814.555797386856,9085.943625603435,True,1,1
2,minutelyB0002 25-09-23 16-43-33.fits,2025-09-23 16:43:33,383.5504319643474,237.2272672098186,2.720047975831683,4.692793135186711,6.4052234969343065,11.0506833419213,1071.3603706306262,653.5931087347603,6807.666101848609,9076.089014098963,True,1,1
3,minutelyB0003 25-09-23 16-44-33.fits,2025-09-23 16:44:33,384.9634344618598,242.15595799591446,2.9261038135215047,5.283919075854063,6.890447913921943,12.442678556142555,985.9284287527822,598.3474956777635,6804.678993063438,9071.460405310912,True,1,1
4,minutelyB0004 25-09-23 16-45-33.fits,2025-09-23 16:45:33,385.63219463793433,245.0384492111438,3.0196216596526657,4.756187272943186,7.11066561255972,11.199965128247701,956.7061466258823,618.5770216399065,6806.586914266903,9075.171518271758,True,1,1
5,minutelyB0005 25-09-23 16-46-33.fits,2025-09-23 16:46:33,384.2788311632237,246.3156912538656,2.6214729814172895,6.560851500515599,6.173097124148478,15.449624625885514,1120.4183480988827,505.48068454093163,6808.699477684742,9076.285539224571,True,1,1
6,minutelyB0006 25-09-23 16-47-33.fits,2025-09-23 16:47:33,383.79254817873095,250.07965663627925,2.733935219369152,5.223455924359702,6.437925456386565,12.300298715017894,1043.14432804227,618.1961182638058,6807.9990224222265,9075.362075114954,True,1,1
7,minutelyB0007 25-09-23 16-48-33.fits,2025-09-23 16:48:33,385.73991656006734,254.7392593404606,2.6080691005761785,6.747022589155394,6.1415333968626244,15.888024037219738,1073.4480259142126,467.5818251783078,6810.275588651843,9078.512763283114,True,1,1
8,minutelyB0008 25-09-23 16-49-33.fits,2025-09-23 16:49:33,384.5754028801769,254.53837178181118,2.618593715761608,5.28075625659096,6.16631697166751,12.435230685942992,1091.9974569222215,563.4182638358427,6806.373909792684,9074.560609906022,True,1,1
9,minutelyB0009 25-09-23 16-50-33.fits,2025-09-23 16:50:33,383.31805065095614,252.41544073923404,2.525962160609549,5.129888835555806,5.948186328793052,12.079965058747288,1069.6981462401454,605.8154299757755,6807.040699510581,9073.935388214346,True,1,1
10,minutelyB0010 25-09-23 16-51-33.fits,2025-09-23 16:51:33,384.9840562717318,250.37073644183369,2.759873131308587,3.928921881262237,6.499004571347794,9.251904001357023,1039.4300541098385,744.4964918050607,6804.6722621963245,9072.601959256035,True,1,1
