frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,dotrefound_FWHM_reprocess.png,2026-08-21 09:04:12,,,,,,,,,,,False,0,0
-1,dotrefound_FFT_reprocess.png,2026-08-21 09:04:12,,,,,,,,,,,False,0,0
-1,dotrefound_position_reprocess.png,2026-08-21 09:04:10,,,,,,,,,,,False,0,0
1,dotrefound0001 25-09-26 15-18-52.bmp,2025-09-26 15:18:52,332.415128449105,253.96376104314848,4.8736976089998105,2.6033902139109917,11.476680823092163,6.1305154607550145,841.3550314395155,1500.7957438605779,6804.882102625887,9074.185853977868,True,1,1
2,dotrefound0002 25-09-26 15-19-52.bmp,2025-09-26 15:19:52,331.77812493096684,251.9665880640881,3.93136773090007,2.6367053322351897,9.257663537111323,6.208966569187414,1033.8887243958602,1477.0891937363044,6803.305573146529,9071.961589188986,True,1,1
3,dotrefound0003 25-09-26 15-20-51.bmp,2025-09-26 15:20:51,330.1393415192547,247.73687160964585,3.9632618215977087,2.6059154313429853,9.332768381204158,6.136461893381934,1032.5443577398023,1523.3131775520837,6805.136353757831,9074.155468626255,True,1,1
4,dotrefound0004 25-09-26 15-21-51.bmp,2025-09-26 15:21:51,330.4425331707079,243.70395418829406,4.244804476838814,2.66021743408936,9.995750669297152,6.264333337934423,936.6687971342426,1490.6025537019239,6803.143291217851,9070.913332234595,True,1,1
5,dotrefound0005 25-09-26 15-22-51.bmp,2025-09-26 15:22:51,332.47751153511115,244.51855887263613,3.7827632567576353,2.671610616876003,8.907726742619435,6.291162233137111,1107.4380182017958,1519.9755099857778,6803.5223334077955,9072.033598423019,True,1,1
6,dotrefound0006 25-09-26 15-23-51.bmp,2025-09-26 15:23:51,331.59151130674735,248.03700736540938,3.824633384758862,2.8070886620955267,9.006323359324735,6.610188649681655,1047.7328651244168,1390.7988318002972,6808.513209340641,9078.556007294055,True,1,1
7,dotrefound0007 25-09-26 15-24-51.bmp,2025-09-26 15:24:51,335.79278794541244,243.066907909451,3.3810200224738174,2.8848396454076184,7.961693721572336,6.793278223705836,1181.1063407798813,1361.9581109595547,6804.226828984505,9072.638292542295,True,1,1
8,dotrefound0008 25-09-26 15-25-51.bmp,2025-09-26 15:25:51,334.4362417084136,236.32447266989038,3.12000811107293,2.9434542887700896,7.347057640613684,6.931305160828123,1248.5463076611054,1334.4983286153913,6802.317958134145,9069.587243403903,True,1,1
9,dotrefound0009 25-09-26 15-26-51.bmp,2025-09-26 15:26:51,332.54010794941775,241.95742445080504,3.657863331217742,2.95389221136372,8.613609894335221,6.955884590180085,1069.0563310566542,1299.7317862653547,6801.854571095592,9069.511215165177,True,1,1
10,dotrefound0010 25-09-26 15-27-51.bmp,2025-09-26 15:27:51,331.4844041999342,236.20040959990115,3.715055387641202,4.540250947113398,8.748286895217726,10.691473939733381,1070.4735804595,958.5599646202425,6801.224169713085,9066.339366872724,True,1,1
11,dotrefound0011 25-09-26 15-28-51.bmp,2025-09-26 15:28:51,335.3783978002172,232.50319064462175,3.5634347910792443,3.0508172092381667,8.391247675194078,7.184125518039415,1134.1118760484633,1263.98853980138,6805.5513728749,9075.035302264627,True,1,1
12,dotrefound0012 25-09-26 15-29-51.bmp,2025-09-26 15:29:51,335.27210950347524,230.818143839922,3.2226027394108674,4.379121313430958,7.58864952793636,10.312042648489479,1194.0296433248784,940.7828777677557,6801.316854960872,9067.002472790213,True,1,1
13,dotrefound0013 25-09-26 15-30-51.bmp,2025-09-26 15:30:51,336.6962475621929,234.04664725105724,2.7429896787360932,3.698088482553011,6.4592470788007565,8.708332887013917,1427.849535632279,1138.7256252174836,6809.7118726695135,9078.077744417336,True,1,1
14,dotrefound0014 25-09-26 15-31-51.bmp,2025-09-26 15:31:51,334.6716013367343,232.22332697471012,2.660030762056531,4.901109534041018,6.263893758889671,11.541230973652084,1466.1244699207011,864.7344097420272,6802.944233866029,9068.826069112527,True,1,1
15,dotrefound0015 25-09-26 15-32-51.bmp,2025-09-26 15:32:51,337.3994727936703,235.95934148841707,3.3852244142501577,3.3563506319427234,7.971594307604425,7.903601746251019,1218.0715863382927,1190.3641223692887,6799.52196013846,9066.698582820298,True,1,1
16,dotrefound0016 25-09-26 15-33-52.bmp,2025-09-26 15:33:52,339.84982694548506,232.2166894867973,2.6961018866922273,3.1275958999560944,6.348834766228618,7.364925517973223,1377.8973082750742,1245.9917844801553,6805.299996014979,9072.782860198411,True,1,1
17,dotrefound0017 25-09-26 15-34-52.bmp,2025-09-26 15:34:52,338.80276753810364,230.78119973313096,2.984286516350769,4.913317398290926,7.027457708818372,11.569978297094785,1310.2326571767353,862.6851541681434,6803.613763418269,9069.76935446695,True,1,1
