frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,fanoffrefocus0001 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.6270864015375,175.34646077079972,2.5964551711251773,3.3989588648863367,6.114184682989832,8.003936467269988,1469.122293667217,1145.569227988259,6805.241313969142,9073.24132186873,True,1,1,640,480,26.252402259714586,33.92096090149635,False,False,23.7697493493959,30.39329997412253,False,
2,fanoffrefocus0002 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.36357172699917,181.01151801596419,2.6622710132984184,3.289694635131095,6.269169147419973,7.746638868837478,1429.5794468090085,1186.0883508924871,6805.6249272781115,9073.665554442094,True,1,1,640,480,23.965541902593543,32.24630308318152,False,False,24.462899999999998,32.6172,False,
3,fanoffrefocus0003 25-09-29 11-08-11.fits,2025-09-29 11:08:11,382.5656777672823,189.68161043832868,2.5764880809468447,3.305860156138986,6.067165778796953,7.784705761745228,1460.15425229478,1156.6601925996913,6808.670138902451,9077.904714533706,True,1,1,640,480,24.00809055814545,34.04851861912377,False,False,22.238999999999997,32.6172,False,
4,fanoffrefocus0004 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.03572955827246,186.28200737378697,2.5689369976713174,3.300380686572812,6.0493843365380435,7.7718025969746645,1515.3651774043387,1158.0435078991077,6806.810941819586,9076.118137019404,True,1,1,640,480,26.24773443424512,33.072868006573785,False,False,23.7216,29.651999999999997,False,
5,fanoffrefocus0005 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.00878239443045,177.55980710426047,2.6565172301844617,3.2151640415190017,6.255620023608467,7.571132733031664,1469.0540473800147,1191.804046798116,6804.038615998744,9072.420807677507,True,1,1,640,480,24.176710125933827,30.908538451391998,False,False,20.7564,28.1694,False,
6,fanoffrefocus0006 25-09-29 11-08-11.fits,2025-09-29 11:08:11,386.4958734189073,176.5571768336697,2.647315121494283,3.440338451376562,6.23395071360828,8.101377946992262,1458.3197854371845,1133.3461069100526,6806.945047847073,9075.725875535021,True,1,1,640,480,25.58345805772955,33.27428645028246,False,False,25.204199998192447,29.651999999999997,False,
7,fanoffrefocus0007 25-09-29 11-08-11.fits,2025-09-29 11:08:11,386.2240542093575,182.22716889056034,2.6289965565130045,3.5176693740852674,6.190813789594164,8.28347835388746,1477.2644231498266,1121.3938579056426,6805.98898423847,9074.3335862831,True,1,1,640,480,25.906738610371473,33.27366893059823,False,False,25.2042,28.1694,False,
8,fanoffrefocus0008 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.49752949280963,187.6989999747647,2.5747617634573947,3.4287717397637385,6.063100611768709,8.074140422631293,1492.7947884235364,1159.5110835682767,6806.361791047004,9074.459168515921,True,1,1,640,480,26.009364204736716,32.44388332471253,False,False,25.9455,32.6172,False,
9,fanoffrefocus0009 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.30775190139184,186.38427251424665,2.712858214093557,3.6448128934520487,6.388292901874371,8.582878461888138,1484.3377416718142,1144.6573468294841,6810.558304205552,9079.98581622377,True,1,1,640,480,26.476265058985113,34.420626589172805,False,False,25.2042,34.099799999999995,False,
10,fanoffrefocus0010 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.59450067695565,177.53224395146168,2.5738322239863387,3.4539264203444424,6.060911713589618,8.133375168689085,1499.9576053896328,1142.7295862305887,6810.543457147774,9080.274123049245,True,1,1,640,480,26.18296549025022,32.46805504773288,False,False,25.2042,30.3933,False,
11,fanoffrefocus0011 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.75230583058067,175.96795657186308,2.593637617472592,3.555294478746599,6.107549851170773,8.372078704540352,1488.92312459815,1129.378377497006,6806.170446639051,9074.09209144414,True,1,1,640,480,26.92830333681019,31.757297897544806,False,False,26.686799999999998,29.651999999999997,False,
12,fanoffrefocus0012 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.9840380833962,186.1995838844269,2.646146458683916,3.3191526934776925,6.231198722996546,7.816007295119737,1431.9589643690263,1140.8550442831486,6807.562424160882,9076.762959717755,True,1,1,640,480,25.340944947809216,31.547265170758976,False,False,25.2042,28.1694,False,
13,fanoffrefocus0013 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.5415828148425,190.4500076068199,2.6448697109677672,3.4445948073039445,6.228192211882112,8.11140089924885,1507.6928615287154,1161.1086856932757,6806.9913137421,9075.926286494563,True,1,1,640,480,26.03145536341672,30.80109001970241,False,False,25.2042,28.1694,False,
14,fanoffrefocus0014 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.29454458833897,175.6092121441337,2.5639953378898945,3.435483192010867,6.037747617029026,8.0899446849141,1486.1711747799868,1133.2624019481216,6807.713129393572,9076.51861306632,True,1,1,640,480,25.246244145244958,34.68179614622373,False,False,23.7216,31.1346,False,
15,fanoffrefocus0015 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.1393556052427,181.72797134329966,2.6548555290836524,3.5326616342894526,6.2517070165474316,8.318782428736595,1456.8796501808865,1125.3932491030578,6809.168516622958,9078.328259418815,True,1,1,640,480,25.75983584780735,32.22668010413757,False,False,23.7216,28.1694,False,
16,fanoffrefocus0016 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.89517189287426,185.62118681556865,2.623582322180013,3.5296445529464204,6.178064242058341,8.311677745112535,1493.9153198996937,1153.8505416704818,6809.39765080179,9078.396457175644,True,1,1,640,480,27.178659720988865,34.72984128194656,False,False,26.686799999999998,34.099799999999995,False,
17,fanoffrefocus0017 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.68947680064616,185.3498578932058,2.595264739323888,3.434968074378806,6.111381430321913,8.088731675588573,1514.502531444308,1147.3317788729878,6810.758765297078,9080.956786607863,True,1,1,640,480,26.524448498603437,33.53718887559543,False,False,26.686799999999998,31.875899999999998,False,
18,fanoffrefocus0018 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.77789606476085,177.00311621721403,2.6416696444747076,3.718181064260948,6.220656631158823,8.75564730117619,1484.700105341373,1098.0112848744457,6805.60903958015,9073.30714052998,True,1,1,640,480,26.08031901354168,33.02911708682511,False,False,22.238999999999997,28.1694,False,
19,fanoffrefocus0019 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.7866525926108,178.29846902599303,2.618500162336259,3.725988520380699,6.166096670186218,8.774032455347678,1435.9667222154953,1088.8738069850347,6808.859186601679,9076.927666572734,True,1,1,640,480,26.225128874984566,32.34112469180192,False,False,25.2042,32.6172,False,
20,fanoffrefocus0020 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.8334097774846,187.16796611928348,2.5771329872566615,3.513239910277077,6.068684417102476,8.273047763723195,1475.1826288777886,1151.995728447185,6809.8428851128,9078.508500778142,True,1,1,640,480,25.52656269995203,32.552532448994214,False,False,23.7216,29.651999999999997,False,
21,fanoffrefocus0021 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.5165786024351,188.32149668847015,2.7047769616521222,3.543374885592019,6.3692630066363245,8.344010207651333,1506.5664802603048,1140.8501794500148,6806.247928908866,9075.166782875725,True,1,1,640,480,24.962264202689607,32.179515052794855,False,False,23.7216,29.651999999999997,True,115.37975399120228
22,fanoffrefocus0022 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.14462057082693,181.93817754193208,2.602905635805221,3.5824294985924796,6.129374366518163,8.435976793195744,1521.9600462647606,1095.8852331995447,6807.187415644293,9076.435726830621,True,1,1,640,480,24.711264665346224,30.89558765922952,False,False,23.7216,31.1345979667546,False,
