frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,minutelyovernight_FFT_reprocess.png,2026-08-21 10:59:52,,,,,,,,,,,False,0,0
-1,minutelyovernight_FWHM_reprocess.png,2026-08-21 10:59:50,,,,,,,,,,,False,0,0
-1,minutelyovernight_position_reprocess.png,2026-08-21 10:59:50,,,,,,,,,,,False,0,0
1,minutely0001 25-10-14 17-24-29.bmp,2025-10-14 17:24:29,335.3519769008038,174.67524444054385,7.995747612510784,6.674570096727055,18.82854675294875,15.71741145573703,2662.0895900194305,3202.0136080939615,7738.347536461165,10317.34412375761,True,1,1
2,minutely0002 25-10-14 17-25-28.bmp,2025-10-14 17:25:28,339.3310951615016,176.29082280530815,7.920817547500179,6.600232010458395,18.652099933886305,15.542358640082352,2614.543919298567,3114.049558316748,7732.264718011134,10310.500296143264,True,1,1
3,minutely0003 25-10-14 17-26-29.bmp,2025-10-14 17:26:29,340.35725211458737,176.54520987964185,7.0786390029104105,6.855104789621852,16.668921015591327,16.142538169389205,2928.3856942082584,3091.313095480422,7731.8533431616925,10306.723646658455,True,1,1
4,minutely0004 25-10-14 17-27-29.bmp,2025-10-14 17:27:29,340.76674016333635,175.0262694409566,8.65563813931411,5.978828123266164,20.382470192991256,14.079064310461936,2744.715577384212,3781.2597023572494,7729.644325375009,10312.196659685882,True,1,1
5,minutely0005 25-10-14 17-28-29.bmp,2025-10-14 17:28:29,340.5064694703823,171.94141337214845,6.455462918810558,7.807761501163772,15.201453481169102,18.385873289761385,3349.4161831021324,2956.1079800529005,7738.427505153,10310.286563202024,True,1,1
6,minutely0006 25-10-14 17-29-28.bmp,2025-10-14 17:29:28,339.41042945721426,174.44376376835126,6.997569076348556,7.167910518568159,16.478015927474285,16.879139370112487,3109.9871957125224,3160.5499152659813,7733.493558731781,10306.665608413448,True,1,1
7,minutely0007 25-10-14 17-30-29.bmp,2025-10-14 17:30:29,337.45946483302345,171.5350433145069,7.243786145061268,7.016949156866476,17.05781281630774,16.523652529552198,3045.194082593344,3074.9679105410637,7732.382737338613,10312.359893139383,True,1,1
8,minutely0008 25-10-14 17-31-29.bmp,2025-10-14 17:31:29,340.5126341159348,170.42818747651086,6.669924864032,6.98097829556668,15.706472768672882,16.43894762432641,3038.186576400158,2937.542612157692,7731.617954738021,10307.557857178645,True,1,1
9,minutely0009 25-10-14 17-32-29.bmp,2025-10-14 17:32:29,342.27165430362544,166.7278537301242,7.769277384964411,6.077856731064723,18.29525012151983,14.31225886113749,2654.4847230845585,3235.163132662684,7732.204268625421,10314.62192525293,True,1,1
10,minutely0010 25-10-14 17-33-29.bmp,2025-10-14 17:33:29,342.1808504807379,165.84735539456446,7.970394050552526,7.112952172171957,18.76884367703651,16.749722354376956,2901.6760199155265,3248.2484478527076,7736.101486476488,10314.921388532617,True,1,1
11,minutely0011 25-10-14 17-34-29.bmp,2025-10-14 17:34:29,342.52311391675283,165.9236680293104,6.425267685408671,7.149502324727585,15.130349140289951,16.83579138626389,3302.765117074124,3095.8689775062103,7737.752289750192,10312.23642533395,True,1,1
12,minutely0012 25-10-14 17-35-29.bmp,2025-10-14 17:35:29,343.97532442809097,166.17923859863419,7.868167665648155,7.12943517652114,18.528118936732646,16.788536863420745,2895.6740975202083,3265.1507221097377,7734.874781953498,10310.581253062006,True,1,1
13,minutely0013 25-10-14 17-36-29.bmp,2025-10-14 17:36:29,342.6330251228393,165.718464233502,5.396136933268388,8.40507187666098,12.706931416192235,19.792431735087174,3684.265100190851,2594.2470349872083,7734.3394174164505,10302.404978315892,True,1,1
14,minutely0014 25-10-14 17-37-29.bmp,2025-10-14 17:37:29,342.0504490842478,168.57560628898617,6.546439980625276,6.857552430432685,15.41568808996842,16.148301923033593,3131.0817541656356,2993.6381142653427,7728.035219380524,10303.8819836107,True,1,1
15,minutely0015 25-10-14 17-38-29.bmp,2025-10-14 17:38:29,342.67387391407465,166.11435063615954,5.769981288958167,7.287244860964915,13.587267598692206,17.160150271648956,3463.4706271331656,2833.720530504175,7732.826777667036,10306.95851581706,True,1,1
16,minutely0016 25-10-14 17-39-30.bmp,2025-10-14 17:39:30,342.14993220072955,166.32215035131614,6.345958344111177,6.531919246431484,14.943589913644411,15.381494374020313,3053.965673664871,3098.305395332126,7732.679210021083,10305.760742001998,True,1,1
17,minutely0017 25-10-14 17-40-30.bmp,2025-10-14 17:40:30,340.53854042786156,160.9025150741639,7.872195800303371,5.906733105729322,18.537604468962833,13.909293518019322,2692.9824169468307,3379.8068961105882,7732.24573513114,10316.11590093773,True,1,1
18,minutely0018 25-10-14 17-41-30.bmp,2025-10-14 17:41:30,340.4241678749381,163.60418801881275,6.310756129657517,7.12372879070303,14.860695033419454,16.775099351711578,3303.9674720324024,2981.237439345643,7732.688225789341,10308.230029978475,True,1,1
19,minutely0019 25-10-14 17-42-30.bmp,2025-10-14 17:42:30,343.92703275970274,162.48496050950047,6.84380683930366,6.637551027554491,16.115933529512166,15.63023820960109,2878.9371385699815,2926.9590260584373,7733.729968184617,10313.076306690462,True,1,1
20,minutely0020 25-10-14 17-43-29.bmp,2025-10-14 17:43:29,342.9454898623277,161.9083927671037,6.120702373484442,7.959665718048026,14.413152638749672,18.743580384605156,3272.783530068972,2693.000528198315,7735.857639615333,10307.146792565176,True,1,1
21,minutely0021 25-10-14 17-44-30.bmp,2025-10-14 17:44:30,344.57607944470357,160.38911436179805,6.440239852078632,6.982028552954918,15.165605898481918,16.441420791476673,3176.730020021873,3046.005812070275,7734.429897756715,10308.351636701462,True,1,1
22,minutely0022 25-10-14 17-45-30.bmp,2025-10-14 17:45:30,344.7129404600053,159.7543145294532,6.080685013157522,6.585646647616456,14.318918956502614,15.508012735298104,3141.896837217597,2975.0229106732404,7738.373679750244,10315.285441072634,True,1,1
