frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,noondrift0001 25-10-23 11-28-18.bmp,2025-10-23 11:28:18,234.55876798564807,289.58325587889544,4.215252176964343,5.3398054765377925,9.926160321175981,12.574280972717235,3122.0346274568983,2493.552594706977,7734.53337917881,10311.902144690159,True,1,1,640,480,30.185410623142985,41.78979463699496,False,False,19.273799999999998,25.2042,False,
2,noondrift0002 25-10-23 11-29-18.bmp,2025-10-23 11:29:18,235.44708308460977,289.2037742264658,4.212121292275533,5.583836502176028,9.918787651152092,13.148930123499612,3211.9957167014654,2512.626692735109,7733.745367354713,10309.045339702177,True,1,1,640,480,28.828991902664487,43.709604880981715,False,False,17.7912,26.686799999999998,False,
3,noondrift0003 25-10-23 11-30-18.bmp,2025-10-23 11:30:18,237.15738337801633,289.0089188456594,4.059269862688467,5.492328202894815,9.558850040848831,12.933444546065521,3272.1291275377944,2477.467321399935,7734.227847426062,10310.608644878102,True,1,1,640,480,26.627754045332427,45.401378940247454,False,False,19.273799999999998,26.686799999999998,False,
4,noondrift0004 25-10-23 11-31-18.bmp,2025-10-23 11:31:18,239.1530263348701,288.96281590237174,4.128860943065482,5.275680509335633,9.722724511875986,12.423278214562636,3162.8140842404687,2517.214069291921,7733.341240155359,10309.966527892348,True,1,1,640,480,28.36228939261448,43.130984418327095,False,False,19.273799999999998,26.686799999999998,False,
5,noondrift0005 25-10-23 11-32-18.bmp,2025-10-23 11:32:18,239.09225263197536,288.71607008526377,4.17147850286048,5.634898061470897,9.823081195951552,13.269170906857706,3240.267642058522,2469.17898958888,7728.311938319688,10302.34343182143,True,1,1,640,480,30.742132366148624,43.88714359736505,False,False,17.7912,23.7216,False,
6,noondrift0006 25-10-23 11-33-18.bmp,2025-10-23 11:33:18,239.5391084499326,288.17628439555506,4.411929514861872,5.433604987044929,10.389300058860409,12.79516194027353,3106.722033109188,2566.055856517544,7729.361800084362,10304.58176595297,True,1,1,640,480,30.522755872687473,47.43192778722348,False,False,17.049899999999997,25.2042,False,
7,noondrift0007 25-10-23 11-34-19.bmp,2025-10-23 11:34:19,239.7972201862178,288.30350329224973,4.169350092348177,5.558165895066877,9.818069172213127,13.088480463310871,3256.4745947253496,2496.1327612026807,7730.457107418146,10305.72758310612,True,1,1,640,480,34.158130785190814,44.74663946538496,False,False,17.7912,23.7216,False,
8,noondrift0008 25-10-23 11-35-18.bmp,2025-10-23 11:35:18,239.96904385830763,288.78411000557514,4.181291954306568,5.420599296492216,9.846190108127738,12.764535879460531,3146.615887096079,2509.758641592544,7733.525770457136,10309.030909395797,True,1,1,640,480,31.42365755460667,40.49387544149552,False,False,19.273799999999998,23.7216,False,
9,noondrift0009 25-10-23 11-36-18.bmp,2025-10-23 11:36:18,240.62753455439568,288.97158394515134,4.212062982141765,5.531182063993786,9.918650341280266,13.024938397008226,3173.7953512581335,2482.1117048091915,7732.054417092879,10307.521814546099,True,1,1,640,480,30.106673927084444,43.076710059754866,False,False,20.7564,26.686799999999998,False,
10,noondrift0010 25-10-23 11-37-18.bmp,2025-10-23 11:37:18,240.96151405058475,289.1785976408232,4.133163676079255,5.504965375022337,9.732856673825236,12.963202812303917,3232.2553619161044,2500.6493757356957,7729.827888789913,10304.314134745451,True,1,1,640,480,29.12256711703172,41.135772912366065,False,False,19.273799999999998,22.238999999999997,False,
11,noondrift0011 25-10-23 11-38-18.bmp,2025-10-23 11:38:18,240.49045545864456,289.7257453239306,4.24395787200824,5.326608075069819,9.993757067271895,12.54320346719813,3163.414880118169,2552.0140244272825,7728.941428211049,10304.37698281717,True,1,1,640,480,31.19389226513736,40.864723013355025,False,False,18.5325,22.23900008998255,False,
12,noondrift0012 25-10-23 11-39-19.bmp,2025-10-23 11:39:19,240.69939209286244,289.76702362478653,4.111516260080951,5.514499770065546,9.681880904709306,12.98565459686891,3236.816341496013,2476.876126161572,7733.440987338545,10309.424237701773,True,1,1,640,480,32.28577719707714,42.5945944580087,False,False,20.7564,25.2042,False,
13,noondrift0013 25-10-23 11-40-18.bmp,2025-10-23 11:40:18,240.4039681441304,290.01606512986694,4.5355979458951,5.455632800158626,10.68051695919498,12.84703347614186,3157.155344842463,2677.5189736710768,7732.967371253287,10309.119325497682,True,1,1,640,480,30.45986532650151,40.72855934213557,False,False,19.273799999999998,26.686799999999998,False,
14,noondrift0014 25-10-23 11-41-18.bmp,2025-10-23 11:41:18,241.24588172529513,290.2488103153619,4.3190588732017146,5.3154914498467996,10.170606410284183,12.517025815289866,3079.2684568536656,2547.9419582120204,7731.607800960894,10307.536083967063,True,1,1,640,480,30.962117497208204,42.01929570818833,False,False,21.4977,26.686799999999998,False,
15,noondrift0015 25-10-23 11-42-18.bmp,2025-10-23 11:42:18,240.91707715134365,290.74949737050144,4.513483608757459,5.467582771155551,10.62844167482069,12.875173507382957,3049.353210688289,2550.566545534658,7732.169936499729,10308.608294977292,True,1,1,640,480,37.90685430457933,46.91325303118398,False,False,19.273799999999998,25.204200000825228,False,
16,noondrift0016 25-10-23 11-43-18.bmp,2025-10-23 11:43:18,241.79037570696704,289.90074401755845,4.453891321508795,5.554888492578062,10.488112562278296,13.080762770234575,3175.4549697801845,2575.0964087705515,7730.647542362122,10306.68802742835,True,1,1,640,480,30.87086177238105,37.178247716629485,False,False,17.7912,22.238999999999997,False,
17,noondrift0017 25-10-23 11-44-18.bmp,2025-10-23 11:44:18,240.93036692437119,290.1884128244432,4.21076128332799,5.650510800370494,9.915585074820996,13.305936097376312,3245.649087454565,2481.468615885604,7734.093406056755,10310.271142036901,True,1,1,640,480,31.17521038536522,43.69553042660109,False,False,19.273799999999998,26.686799999959547,True,125.87739026927343
18,noondrift0018 25-10-23 11-45-18.bmp,2025-10-23 11:45:18,240.6221927543931,290.65465424386906,4.224795505193581,5.338397555676377,9.9486331417865,12.570965572450957,3173.9004240598447,2564.9627442782257,7731.578781747539,10307.290131896827,True,1,1,640,480,29.275125847204933,38.460971234845644,False,False,20.7564,23.714262140589195,False,
19,noondrift0019 25-10-23 11-46-18.bmp,2025-10-23 11:46:18,241.42810529646127,290.81228728567487,4.227418094918706,5.556472707906419,9.954808868641116,13.084493312245435,3203.7209332324687,2486.1000332256467,7733.029000881832,10309.292853968973,True,1,1,640,480,34.04666339980992,43.73544946695313,False,False,20.7564,26.6867999063093,False,
