frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,night0001 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.4605042723682,218.55666865539692,4.510103832647663,4.763244553800225,10.620482910289626,11.21658375467327,2866.3950484259117,2640.420123483575,6843.662442433006,9126.715040577084,True,1,1,640,480,45.8021432828685,59.274218967163044,False,False,41.5128,44.47799942345336,False,
2,night0002 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.26597531654306,218.63718657645364,4.45311343585131,5.000424002686389,10.486280781539307,11.775098675179802,2875.0176601891294,2643.8217630132185,6841.20810973323,9119.430829550476,True,1,1,640,480,46.227027654290424,58.89653660571439,False,False,40.0302,40.771499999999996,False,
3,night0003 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9574892890226,218.26079530065869,4.510232957183637,4.850837745453697,10.620786975335243,11.422849958187104,2867.9900632455224,2679.342758931873,6845.170317179188,9126.571269717579,True,1,1,640,480,44.44763647462329,58.15790563968867,False,False,42.9954,40.0302,False,
4,night0004 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9120941626771,218.4279810442564,4.528888460125561,4.787117357227852,10.66471732761302,11.27279991071573,2852.2526993224164,2750.2813068603937,6846.657098744309,9127.579029613653,True,1,1,640,480,45.25412681342136,56.832808597939135,False,False,41.5128,42.2541,True,215.17002718975195
5,night0005 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9937277899542,218.7637000698797,4.510237812551519,4.807855029008823,10.620798408852858,11.321633395912832,2837.722471842423,2700.4657648203115,6843.6705594250725,9123.929838269696,True,1,1,640,480,46.606800184473066,59.141762962054095,False,False,41.541666065751116,42.96148520392492,False,
6,night0006 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2386285438646,219.13492717721505,4.459663564880719,4.815373132107225,10.501705156675298,11.33933717578956,2881.181719471613,2689.466437933196,6845.240749655743,9126.456661625189,True,1,1,640,480,46.9772898443784,60.436470127873,False,False,40.0302,40.0302,False,
7,night0007 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2872585714003,218.58972933104522,4.522789561741854,4.731893363609776,10.65035551944646,11.142757343577223,2867.1179130676433,2729.825614479805,6843.327533251901,9124.698482677166,True,1,1,640,480,47.682670704983614,65.1106762495602,False,False,42.9954,40.77150000005393,False,
8,night0008 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.02951322236356,217.8663517637154,4.48965674623035,4.917122208236691,10.572333701331658,11.578937939822605,2872.218853087126,2705.589475340662,6843.469272950729,9122.492779354565,True,1,1,640,480,45.57029428536248,66.40096550954556,False,False,41.5128,47.4432,False,
9,night0009 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.83794932446534,217.40728064019083,4.5343988701077516,4.842074961580986,10.67769335149542,11.40221517907337,2851.0468898337676,2727.3873611939207,6839.470080638387,9117.839438449626,True,1,1,640,480,42.49674120017016,56.93452522366988,False,False,40.0302,47.44319924172857,False,
10,night0010 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0475574613871,217.47501508090858,4.583864573453079,4.9193508384902955,10.794176181274553,11.584185963016756,2825.5812749378692,2661.457406328395,6851.0452270000715,9133.992940747754,True,1,1,640,480,50.821280962533805,59.80297883386071,False,False,44.477999999999994,42.2541,False,
11,night0011 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.1380919893403,217.2520590731043,4.513898974213708,4.774847447088918,10.62941978572308,11.243906480369839,2835.6124006146424,2698.4748725016275,6842.646860174621,9123.084544430218,True,1,1,640,480,45.85862119565259,58.36693809185806,False,False,40.0302,38.547599999999996,False,
12,night0012 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.18005965914585,217.94135571424795,4.587159983879377,4.755287166281351,10.801936279803003,11.197845539037747,2865.7302614420432,2747.256631643669,6842.442124455224,9123.682130725265,True,1,1,640,480,44.52569087238076,56.0906739894758,False,False,41.5128,44.477999999999994,False,
13,night0013 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9639880085151,218.19538957988507,4.532244580786213,4.6384777380109545,10.672620387818267,10.922780355898013,2842.0358452369937,2732.801324746609,6839.496279085052,9120.397675984386,True,1,1,640,480,45.56050034736384,58.89590736647259,False,False,42.9954,40.771499999999996,False,
14,night0014 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6348732808529,217.88668947105353,4.4976389623002095,4.705390378688812,10.591130383736731,11.080347583432184,2859.367601986113,2759.356403071713,6844.74023418134,9125.675660013607,True,1,1,640,480,47.01749155486562,60.39126621407694,False,False,45.9606,45.960600000186076,False,
15,night0015 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.65968130060145,218.24230963001773,4.542927610574366,4.715182420842551,10.697777000505072,11.103406080577596,2858.977455685709,2791.4367648386865,6845.747800104185,9126.755049700037,True,1,1,640,480,43.676600137144916,60.98540290781689,False,False,40.0302,47.4432,False,
16,night0016 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.09800724139257,218.40255320121597,4.5564059131749755,4.731341203920275,10.729515977641979,11.141457106872327,2844.700728356605,2734.093656254488,6846.325091924845,9128.567567025311,True,1,1,640,480,46.310976699684,57.42150636930834,False,False,42.9954,44.47710694580922,False,
17,night0017 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.43164659718207,218.84917700321702,4.590871488593286,4.635627129486229,10.810676205500542,10.916067685803453,2820.866295741406,2755.6834747578537,6850.319649476391,9134.678178338845,True,1,1,640,480,51.46394732187241,59.46461290420237,False,False,48.925799999999995,44.477999999999994,False,
18,night0018 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.38497846926555,218.51082658192516,4.527354323094699,4.677604356016565,10.661104710980924,11.014916500271893,2856.6579808314377,2733.6326654647532,6847.307060450869,9130.506489723755,True,1,1,640,480,45.30911161955616,55.541796923555864,False,False,42.99492601775215,42.25410000002292,False,
19,night0019 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2243333966657,218.69642407983065,4.597640865936689,4.623337606029041,10.826616870961166,10.88712806962259,2825.2501682416746,2791.2273617726005,6845.867481324331,9128.265619710895,True,1,1,640,480,47.270685509251116,54.555956393614004,False,False,44.477999998056255,42.9954,False,
20,night0020 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.5951924476881,218.9511654554134,4.5949424043397205,4.813878261972116,10.82026247950188,11.335817025630686,2818.981668147801,2686.635657862971,6838.796089937048,9118.498819040973,True,1,1,640,480,46.16683753056619,55.99560374614377,False,False,40.0302,45.9606,False,
21,night0021 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6084820738713,219.04737885059762,4.525962100838179,4.732199920680066,10.657826278104132,11.143479230311288,2853.788339593257,2738.3136039608257,6843.936005655117,9125.02810548301,True,1,1,640,480,46.612238825008134,61.01086184692241,False,False,41.5128,41.5128,False,
22,night0022 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.7220533608602,218.55235680903203,4.545539633828199,4.791091598405696,10.703927845221283,11.282158533505104,2827.7616014564273,2694.4149826082735,6842.968040691651,9123.66762892668,True,1,1,640,480,49.36734526427192,57.146081249035454,False,False,40.0302,40.77149998811505,False,
23,night0023 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.89645152316996,217.8700022296286,4.532161936270686,4.66552317747823,10.672425774856492,10.986467498882222,2831.921262976941,2747.4418140398043,6843.89392738732,9125.277923824586,True,1,1,640,480,46.479480939164546,56.40070815459018,False,False,41.5128,45.9606,False,
24,night0024 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.98886981597997,217.83616911347113,4.463341085249797,4.667152374158385,10.510365055356413,10.99030396388195,2847.4737576431176,2748.9658186587135,6845.016629830323,9126.059071696936,True,1,1,640,480,46.013711303339534,57.92559701662099,False,False,45.96059935726767,51.149699999999996,False,
25,night0025 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.03714447772614,217.33730625483847,4.553412080627912,4.704614885721023,10.722466040748689,11.078521437046854,2824.076764203501,2708.1713185000453,6844.082504136677,9126.061025101813,True,1,1,640,480,46.181418444309976,54.85262178816159,False,False,42.9954,38.547599999999996,False,
26,night0026 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9244417851018,217.59168279572677,4.475494004497651,4.599966321803426,10.5389829932069,10.832092901049993,2862.607559469988,2713.7613393523343,6855.828318574022,9142.819231118676,True,1,1,640,480,51.924349328506516,59.49367299682515,False,False,48.925799999999995,53.373599999999996,False,
27,night0027 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.82507988253246,217.7622830272721,4.526552087371947,4.782217100521984,10.659215590220144,11.261260687998954,2813.3918945682467,2663.9688068604623,6848.162776205752,9130.859093679645,True,1,1,640,480,48.00520210260187,58.10301787428608,False,False,47.44297124962044,45.9606,False,
28,night0028 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0386089074231,217.8263966256773,4.541288797225098,4.678229033056765,10.69391788998015,11.016387502287827,2824.7257169126315,2717.9348551725693,6846.25192977183,9128.924825636615,True,1,1,640,480,47.08632987903115,52.81876207670239,False,False,45.9606,40.0302,False,
29,night0029 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.94720467825096,218.07985832063645,4.561907703435423,4.665127198695353,10.742471703630839,10.985535040106896,2833.061588679364,2738.756958125263,6841.924877138708,9123.336851912127,True,1,1,640,480,44.615169830872,53.531994793361875,False,False,41.5128,38.547599999999996,False,
30,night0030 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.06953463260834,218.68741883455846,4.512717703171854,4.8174812636303965,10.626638104995108,11.344301446157885,2822.894156037309,2662.6653720086956,6847.211330984403,9129.153386475937,True,1,1,640,480,45.635948118776064,55.328457929750016,False,False,42.9954,42.9954,False,
31,night0031 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0056735187049,218.8999467375236,4.565535417219947,4.7501599704058455,10.75101431676827,11.185771915415305,2823.749686114299,2659.5084491840717,6844.046446467804,9126.746954095635,True,1,1,640,480,45.5363910428339,58.66431183665309,False,False,41.5128,47.4432,False,
32,night0032 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.55981401954705,218.29020075478263,4.511867866328676,4.761789443945425,10.624636892161787,11.213157232819464,2831.929750495429,2677.2670373756614,6843.978244514784,9125.454258547617,True,1,1,640,480,45.924662382971455,53.77393285476857,False,False,41.5128,42.9954,False,
33,night0033 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6306623530225,218.6827690852255,4.579921385550708,4.785321341587888,10.784890683360727,11.268570617085555,2827.0873958046172,2695.729877534888,6837.786848618069,9117.299294605587,True,1,1,640,480,43.83801792797172,54.426561966168805,False,False,38.547599999999996,47.44097737472001,False,
