frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,newcomp0001 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.45404684377047,269.44059487238314,4.430387673466464,4.75346084698429,10.43276570073686,11.1935448857484,2801.335537883464,2639.238010959366,6809.870672463414,9079.125121888874,True,1,1,640,480,32.81559553715765,50.097770403277494,False,False,23.726541303892272,36.323699999999995,False,
2,newcomp0002 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.3400436098238,269.46681580895483,4.418619073484234,4.662121116113566,10.405052765596757,10.978456256586286,2792.015744955802,2655.2235200235623,6815.482957631201,9087.09065554414,True,1,1,640,480,34.21383214138969,49.67029616815039,False,False,26.686799999999998,38.547599999999996,False,
3,newcomp0003 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.41470608990375,269.5397999572193,4.388089775036888,4.7189813210828095,10.333161761652212,11.11235180701243,2811.3711961016984,2650.729072495781,6815.284151501635,9086.146325367023,True,1,1,640,480,36.14259385741551,50.614518454130426,False,False,29.651891644093126,34.09886150346038,False,
4,newcomp0004 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.4766727072371,269.45084790755703,4.414488324262809,4.64402984497089,10.395325594529147,10.935854568659424,2787.979911363611,2686.812227177534,6812.011969623225,9081.794175776658,True,1,1,640,480,35.415337816131334,48.76831448962195,False,False,26.686799999999998,34.09980004972017,False,
5,newcomp0005 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.37757911027137,269.49234194786135,4.426111366090762,4.606468084453175,10.422695766409845,10.847403382065655,2790.7656869433563,2682.99720478089,6811.935197880043,9082.544224447387,True,1,1,640,480,35.39137277203155,45.81528524055602,False,False,28.1694,31.1346,False,
6,newcomp0006 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.39023515073035,269.56896317867125,4.497593696217533,4.710518110436598,10.591023790257884,11.092422468937412,2758.1420222196316,2654.3175803022004,6812.525423140682,9082.854370210991,True,1,1,640,480,32.922243278505505,49.213387676883976,False,False,23.7216,34.099799999999995,False,
7,newcomp0007 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.37425718399913,269.4968605365829,4.411014068557497,4.669181227301663,10.387144347552717,10.995081547932164,2801.0352333920996,2650.562191641069,6812.230610037183,9082.86683479249,True,1,1,640,480,36.12604264403093,49.32634371403221,False,False,29.651999999999997,32.6172,False,
8,newcomp0008 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.22277478107145,269.3793914646501,4.366601009524533,4.57876127001581,10.282559585880751,10.782158820044597,2798.881334262193,2646.040774591166,6810.653119899863,9081.424420842772,True,1,1,640,480,32.55500519312993,51.38456073893559,False,False,23.7216,34.09979999999326,False,
9,newcomp0009 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.3787972492005,269.5049822337427,4.406276778206141,4.661920246704877,10.375988881274212,10.977983245276274,2771.4107454027817,2648.0724007326007,6813.112579870374,9083.452952962301,True,1,1,640,480,34.67877556235142,49.78934081107397,False,False,29.651999999999997,37.065,False,
10,newcomp0010 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.4840889564326,269.2552185126866,4.389498516620981,4.658220892443036,10.336479094572704,10.96927193170682,2792.926654982265,2653.2688306889763,6810.204487234028,9079.750618764936,True,1,1,640,480,33.8803246825402,47.821743069060446,False,False,25.2042,31.1346,False,
11,newcomp0011 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.4874929911918,269.04493598948716,4.376611081396894,4.648947885299713,10.306131503777985,10.947435668608007,2780.7449653627805,2646.8427175711067,6812.7730222502805,9082.993446276225,True,1,1,640,480,32.245246266033284,52.27217330369141,False,False,25.2042,38.547599999999996,False,
12,newcomp0012 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.49887314261264,269.4703196583111,4.43918019849048,4.579936489950703,10.453470514909851,10.784926251504602,2768.2009880136015,2638.5685907478455,6812.211235368199,9084.013977803095,True,1,1,640,480,33.768915809347824,48.568838420041224,False,False,25.2042,36.23387209399277,False,
13,newcomp0013 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.5583305994837,269.2035087779071,4.435953466736938,4.6276678300768435,10.445872142296672,10.897324968009828,2764.2630983600748,2678.228632972311,6814.750573385387,9085.645767216876,True,1,1,640,480,34.81074438317596,47.426520096197876,False,False,26.686799999999998,32.6172,False,
14,newcomp0014 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.4210493451295,268.86245572812857,4.435764806113107,4.622795213736705,10.445427880477967,10.885850833380324,2765.2532870692194,2655.173702204436,6811.816663235849,9082.378816045999,True,1,1,640,480,33.42475433187376,49.78608397390225,False,False,26.686799999999998,35.5821749635326,False,
15,newcomp0015 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.4760596184398,269.17400342829507,4.431256947640034,4.582729698813521,10.434812684985413,10.791503755724726,2737.9603450137997,2646.5775893325263,6811.517292583654,9082.0442382099,True,1,1,640,480,33.872369090041666,50.84243986556003,False,False,25.2042,34.099799999999995,False,
16,newcomp0016 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.54479185638644,269.29763566289614,4.471393789153177,4.612163763336981,10.529327723924792,10.860815680871303,2748.8759406771474,2626.3746357987943,6812.775410655703,9084.630281478952,True,1,1,640,480,33.210703839547435,47.42494654242803,False,False,28.1694,34.8411,False,
17,newcomp0017 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6415833676494,269.1309261586896,4.489455365253768,4.699400113874218,10.571859485371315,11.066241587771735,2737.4853742541236,2642.185153740518,6814.596865175337,9085.466637016596,True,1,1,640,480,34.24662269206607,51.11142718942083,False,False,25.2042,35.5824,False,
18,newcomp0018 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.72367524718726,268.89714665356775,4.48524768823175,4.676344405037372,10.56195116317685,11.011949542450331,2757.160778767383,2642.128388071644,6815.5182165524975,9087.415309525193,True,1,1,640,480,36.93250672106657,53.202903416904455,False,False,29.651999999999997,32.6172,False,
19,newcomp0019 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6464341173925,269.37899020678276,4.505587606363691,4.732626849449045,10.609848010108234,11.14448457073428,2734.7946351324567,2618.7637972033576,6810.222945807093,9079.922441578618,True,1,1,640,480,31.253454819184267,51.26521552973762,False,False,25.20419943424879,33.3585,False,
20,newcomp0020 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.5660797604922,269.17510314020933,4.508637978615663,4.621063205435253,10.617031087831984,10.881772265513906,2750.4145878753275,2678.5262532070606,6815.076947017403,9086.889291301579,True,1,1,640,480,34.81569553915676,53.10925885817509,False,False,28.1694,34.099799999999995,False,
21,newcomp0021 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.56493523661277,269.0468656735592,4.5152301398970645,4.669209327532276,10.632554441357504,10.995147718918483,2747.1207234263916,2633.4213730932734,6815.18449678971,9087.476061802168,True,1,1,640,480,35.6723755619232,52.58391132800456,False,False,29.651999999999997,33.3585,False,
22,newcomp0022 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.67893728297145,268.9554562949668,4.49044162980925,4.6448507879919125,10.574181960916267,10.937787741741156,2752.560398371216,2656.5535459644284,6810.638349403477,9080.960363928432,True,1,1,640,480,33.03977653624536,52.62583082741596,False,False,23.7216,31.1346,False,
23,newcomp0023 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.64624056831775,268.7618214270987,4.5242123870261635,4.6601587746186315,10.65370601694653,10.97383529549882,2761.8116227253977,2693.6784312045284,6814.35097448949,9085.498692770356,True,1,1,640,480,34.64083161177615,53.70138058529947,False,False,25.2042,36.323699999999995,False,
24,newcomp0024 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.63581673764776,268.7370915657919,4.523863321369238,4.536185180229944,10.65288403014057,10.681899790377802,2759.756163589326,2722.548029610258,6816.175544331091,9088.937887233507,True,1,1,640,480,33.05155083689714,53.69155445362342,False,False,26.686799999999998,31.1346,False,
25,newcomp0025 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6523892211915,269.16510596833217,4.533118540233324,4.727970626505579,10.674678405042867,11.133520003612873,2774.9018152407066,2648.952417008587,6810.836290686602,9081.401173583276,True,1,1,640,480,33.524311435859225,49.356489140853455,False,False,26.686799999999998,34.099799999999995,False,
26,newcomp0026 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.574979046004,268.8739667602581,4.508348977736385,4.751090402635198,10.616350542768428,11.187962915879528,2785.246371259107,2631.005635275852,6820.474395453959,9094.26204488332,True,1,1,640,480,35.14266242622598,55.43845125177308,False,False,28.1694,34.099799999999995,False,
27,newcomp0027 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.5511531843206,268.9779771879544,4.505314256861833,4.884556564809739,10.609204321221961,11.50225170990149,2785.680204681427,2582.7404308318673,6808.467032622053,9077.615680012055,True,1,1,640,480,31.773959648547034,54.7232261287385,False,False,25.2042,32.6172,False,
28,newcomp0028 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6172666299809,269.2727515051071,4.505337836541236,4.752079706921491,10.609259847123674,11.190292549443527,2790.019953335064,2646.3981324392134,6816.048010233638,9088.033138253999,True,1,1,640,480,34.40103562398928,56.75854427916205,False,False,26.686799999999998,36.323699999999995,False,
29,newcomp0029 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6637280512685,268.8626576486837,4.524548265647591,4.679661223254124,10.654496950656965,11.019760052472863,2791.285055418735,2660.774175765535,6816.693796271566,9089.853465740247,True,1,1,640,480,34.45774161598143,54.75740317659176,False,False,26.686799999999998,38.547599999999996,False,
30,newcomp0030 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.7616386647913,269.13623166384696,4.475564257072501,4.811962258695615,10.539148425378375,11.331305182708835,2831.305146675905,2642.9350176950124,6813.724669199023,9084.725926405454,True,1,1,640,480,35.24480241199114,52.49191889547791,False,False,29.651999999999997,29.651999999999997,False,
31,newcomp0031 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.74541122375336,269.3022005931329,4.507352432956295,4.797293573326265,10.614003859144502,11.29676306836684,2815.0685584902235,2619.644796879602,6813.054112197802,9084.70560048704,True,1,1,640,480,34.959463261003606,55.782529135062596,False,False,26.686799999999998,37.065,False,
32,newcomp0032 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.64875346267803,268.98194056327645,4.4822024327614525,4.860561080960777,10.554780134553154,11.445746663543737,2853.466778556402,2628.110024672607,6814.299509762507,9085.814805358094,True,1,1,640,480,34.063475628812945,52.59851631903097,False,False,25.2042,34.09980000098974,False,
33,newcomp0033 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.65989785265907,269.1423356629088,4.50116847576495,4.788081367406369,10.599441752792709,11.275069981207716,2812.1928576047635,2631.696755949733,6809.780802631141,9080.007360575277,True,1,1,640,480,32.841461716914395,52.669070717496,False,False,23.7216,35.5824,False,
34,newcomp0034 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.74818978801414,269.5447719946788,4.506369929828861,4.770605113411011,10.611690241085714,11.233916547987395,2822.587000715583,2656.3813445860533,6812.254121712255,9083.251326703738,True,1,1,640,480,32.1159316584035,54.96342099634735,False,False,23.7216,34.099799999999995,False,
35,newcomp0035 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.70956714655546,269.13992999500715,4.468011867957511,4.7651318862256185,10.521363908102522,11.221028082900224,2819.6107250364485,2648.1440129469847,6812.2130643483,9082.84264736368,True,1,1,640,480,32.044045114848466,53.37345294338091,False,False,23.7216,32.6172,False,
36,newcomp0036 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.5496102517966,269.39297213296584,4.488131766452108,4.868268709822272,10.568742648381587,11.463896742486444,2825.474560413935,2616.9729814845023,6811.284673205463,9081.404657783498,True,1,1,640,480,34.57439835949297,52.15109386247716,False,False,26.686679745172064,32.61719999061771,False,
37,newcomp0037 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.5781095329728,269.66574643723817,4.52442840818564,4.929545541012296,10.654214707903016,11.608192652868691,2802.5969452927075,2610.6386202466106,6811.547780315427,9081.07613348046,True,1,1,640,480,34.028774927371686,52.815950411092295,False,False,28.1694,32.6172,False,
38,newcomp0038 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6656010988255,269.151276488081,4.4847996556072305,4.7701400766406685,10.560896126971805,11.232821470078916,2830.859173332777,2650.304084299745,6814.903527966335,9086.817497708078,True,1,1,640,480,35.76433662052103,52.95504384446106,False,False,26.686799999999998,32.6172,False,
39,newcomp0039 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.6860968577182,269.320784523571,4.477873757776292,4.8217618702913985,10.544586883929675,11.354381504528105,2838.2042608907877,2649.0408858857313,6809.067124237776,9078.42234565848,True,1,1,640,480,33.74496318203905,53.53779301079802,False,False,25.2042,32.6172,False,
40,newcomp0040 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.7858509589668,269.37879327234737,4.494104832104405,4.86123429251813,10.582808143109903,11.447331955613539,2840.104285815851,2640.531745424039,6812.4501289598675,9082.888144113122,True,1,1,640,480,34.31906421401331,51.370556369019994,False,False,25.2042,34.099799999999995,False,
41,newcomp0041 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.8266733932074,269.23265074314986,4.476540736353678,4.866065960284484,10.541447858363249,11.458709663720677,2827.0014106181134,2619.9499801937677,6813.514297663284,9084.19661164332,True,1,1,640,480,34.07678801162084,55.71697251387287,False,False,26.686799999999998,34.099799999999995,False,
42,newcomp0042 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.7280328390994,268.9199165001276,4.4375337370934,4.764196405361866,10.449593394608637,11.218825193810517,2846.54198054786,2671.7843817352905,6813.620638955467,9084.319511369471,True,1,1,640,480,35.011827061869745,52.7406813410091,False,False,26.686799999999998,32.6172,False,
43,newcomp0043 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.75790051707173,269.3192043088285,4.471331700606589,4.886885897504228,10.529181516570718,11.507736869222017,2818.1396792367814,2643.295577625892,6815.336539035223,9085.461811810726,True,1,1,640,480,38.13190187891479,53.38893856615292,False,False,28.1694,34.099799999999995,False,
44,newcomp0044 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.75510167081035,269.4191194278568,4.4554151798251596,4.842033290605199,10.491700974387458,11.402117051424291,2846.358207917004,2637.623824937639,6812.657301947083,9083.074356913701,True,1,1,640,480,34.014236399449054,52.172544245504035,False,False,25.2042,28.1694,False,
45,newcomp0045 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.69371666458983,269.17774175043144,4.45502823963544,4.905549418387584,10.490789799872477,11.551686102308997,2833.64731623268,2606.716983140787,6815.338090257229,9086.264154752174,True,1,1,640,480,35.99113683118087,50.71230311793089,False,False,28.1694,37.05435153631885,False,
46,newcomp0046 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.79585071792263,268.97962134469196,4.486242269817633,4.825690583319414,10.564293223831706,11.36363291671765,2851.320003203971,2659.539921217405,6814.421769075337,9085.674250134873,True,1,1,640,480,34.410244319267356,51.64929558580136,False,False,25.2042,35.5824,False,
47,newcomp0047 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.8595553870621,269.2450352294921,4.555286894210449,4.83188984735549,10.726880889353543,11.378231067934243,2799.5168152589918,2647.4756035047135,6808.595260311052,9077.919651725026,True,1,1,640,480,32.36897572665602,51.33877130140608,False,False,25.2042,31.1346,False,
48,newcomp0048 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.69651447354505,269.5663661671216,4.447794751461371,4.894845954233087,10.473756236924686,11.526481370366719,2846.572747871059,2637.3638179920613,6814.752580127537,9085.038975666224,True,1,1,640,480,35.58519874807957,54.5049244160815,False,False,28.1694,34.841100477683405,False,
49,newcomp0049 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.80262439033766,269.3107437064163,4.4898042010713475,4.84728779351218,10.572680930946976,11.414490460196323,2852.175040306929,2617.75158778566,6812.352893061737,9083.746678248015,True,1,1,640,480,33.97794302072142,55.1306290301765,False,False,26.686799999999998,35.5824,False,
