frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,laser0001 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.1227767682326,346.39708519597684,1.8222758920498856,2.0013515217028464,4.291131798175725,4.712822680459055,943.487305302582,896.6773244895116,7384.316200942388,9845.361851647767,True,1,1,640,480,65.34145955979287,66.25368982273689,False,False,62.2692,63.01049999999999,False,
2,laser0002 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.2064263095917,346.6048273915624,1.934426321499045,1.8447917193277563,4.555225877501434,4.34415251958011,900.2514878096988,901.2077135460282,7393.844971285093,9858.872143540553,True,1,1,640,480,69.23345794792716,63.623898010652155,False,False,71.1648,60.7866,False,
3,laser0003 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.1608634376561,346.47609327102333,1.8696719613205817,1.6099673127126775,4.402741012150035,3.791183299820424,931.2038955307353,968.9809808314204,7391.615383334735,9856.432480089832,True,1,1,640,480,69.61176412476728,60.8969199208808,False,False,71.1648,60.78659999993393,False,
4,laser0004 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.17485636943155,346.5617895498586,1.9332803070562672,1.7804087258281602,4.552527219719686,4.192542155928163,932.0511223962271,972.9547678592936,7411.0472908971815,9881.760156705492,True,1,1,640,480,74.3827224080869,66.47165056592317,False,False,78.5778,63.751799999999996,False,
5,laser0005 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.1644509563913,346.4607465535242,1.954974103785222,1.810601236721793,4.603612207109856,4.263640085790305,966.0328250454824,905.4852410443401,7414.523529850866,9887.332190376012,True,1,1,640,480,76.48297262560529,71.47248197856544,False,False,81.54299999999999,69.6822,False,
6,laser0006 25-11-06 13-51-35.fits,2025-11-06 13:51:35,346.30305144417423,346.52170279847974,1.9709863520786657,1.8130461688917845,4.64131817035727,4.269397461072942,900.8542764727107,1026.255176310132,7396.292659832209,9861.279264726883,True,1,1,640,480,71.23895629246795,64.20484120247393,False,False,75.6126,61.527899999999995,False,
7,laser0007 25-11-06 13-51-36.fits,2025-11-06 13:51:36,346.3099033528824,346.41097591059764,1.9806961856033591,1.616453831328072,4.664183080975132,3.806457883878421,869.2362852907833,993.0935709695026,7396.55211820275,9862.677364431845,True,1,1,640,480,68.82269342943493,58.44705811715054,False,False,70.42349999999999,54.114900353689734,False,
8,laser0008 25-11-06 13-51-36.fits,2025-11-06 13:51:36,346.1972147843912,346.35730044225204,1.9051191195042436,1.5695244417070189,4.486212690780306,3.6959476164976977,923.1226702686954,1030.782306204241,7394.680775765266,9860.309753042948,True,1,1,640,480,68.60752784163807,58.858778692220305,False,False,71.1648,58.54976820773427,False,
9,laser0009 25-11-06 13-51-36.fits,2025-11-06 13:51:36,346.18343073148094,346.35322305898495,1.9586676323812255,2.0467133501086185,4.612309802284621,4.819641623268223,873.5833963809487,952.6493395244846,7410.495327838312,9879.41369975888,True,1,1,640,480,74.57734056048477,62.19408189466846,False,False,80.8017,57.8214,False,
10,laser0010 25-11-06 13-51-36.fits,2025-11-06 13:51:36,346.2115477382191,346.6603662872898,1.9398408332046586,1.6182876169807374,4.567976078199869,3.810776119091608,875.8104474038327,1014.2025643626539,7389.178760668643,9852.539463686619,True,1,1,640,480,64.16576961528703,64.40545791356044,False,False,64.4931,60.0453,False,
11,laser0011 25-11-06 13-51-36.fits,2025-11-06 13:51:36,346.04042375115165,346.34743478317307,1.9126914597155917,1.8189769302173302,4.504044189297782,4.283363336724632,869.3698893148603,893.3831145522428,7412.032636462151,9882.90754286701,True,1,1,640,480,74.64886281912207,69.85413379743389,False,False,81.54299999999999,63.71639935492772,False,
