frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,laserdaytest0001 25-11-07 10-50-52.fits,2025-11-07 10:50:52,356.43908043972345,341.36574905840115,128.6238127961249,148.96542655673503,302.8859326406232,350.78677247238534,97403.2253539893,102934.8254822472,-19.42786646948553,-729.9073244545892,True,2,3
2,laserdaytest0002 25-11-07 10-51-52.fits,2025-11-07 10:51:52,356.01128560951,340.0925968004945,128.46573894890966,149.46530601978978,302.5136971766056,351.963898652086,97750.0873471387,103284.11334052599,-52.753349871074974,-1125.2427018706164,True,2,2
3,laserdaytest0003 25-11-07 10-52-52.fits,2025-11-07 10:52:52,356.17946705167276,340.31967521705405,128.4322409556354,149.33551829370535,302.43481543057504,351.65827191310336,97680.21104621308,103132.87675270074,-37.586732486870446,-1009.2512097899024,True,2,2
4,laserdaytest0004 25-11-07 10-53-52.fits,2025-11-07 10:53:52,356.02922518936253,339.4516824738819,128.32725171863382,149.20899253567597,302.18758467077123,351.3603265218831,97823.15743669496,103234.23893102344,-60.2636635400853,-1126.98451111838,True,2,3
5,laserdaytest0005 25-11-07 10-54-52.fits,2025-11-07 10:54:52,356.5734407380978,338.91661962053223,128.2886187425266,149.19912372770483,302.0966109642348,351.33708725505204,97891.48904977064,103271.91012393184,-37.414029792835336,-1162.9014390261748,True,2,2
6,laserdaytest0006 25-11-07 10-55-52.fits,2025-11-07 10:55:52,355.5934693688094,338.4305677898897,128.47278005924994,149.46533351879916,302.5302777243742,351.9639634073045,98131.19947427738,103512.46814379042,-190.61770625853134,-1397.43751700327,True,2,2
7,laserdaytest0007 25-11-07 10-56-52.fits,2025-11-07 10:56:52,355.24573979550144,338.2159760425993,128.48454393923984,149.46053375492156,302.55797954478174,351.9526608271141,98179.2137458815,103523.09952767784,-213.75627480818156,-1418.1790489656203,True,2,2
8,laserdaytest0008 25-11-07 10-57-52.fits,2025-11-07 10:57:52,355.51567459668706,337.7380083597234,128.41015563116937,149.53132658615482,302.3828084658215,352.11936520514666,98283.27316644236,103607.25370068899,-197.37681212307112,-1495.9002496168723,True,2,3
9,laserdaytest0009 25-11-07 10-58-52.fits,2025-11-07 10:58:52,355.2529331443598,337.7554762452278,128.48189975746968,149.15251916638172,302.55175297254664,351.2273418998585,98235.04149438505,103472.95685843399,-187.23728509450524,-1286.8350204649096,True,2,2
10,laserdaytest0010 25-11-07 10-59-52.fits,2025-11-07 10:59:52,355.3807967899361,337.85211910092903,128.38937361007868,148.98305796943436,302.33387054598086,350.82829127643197,98162.63011253758,103363.60858183537,-155.3227419835333,-1208.0173795033102,True,2,2
11,laserdaytest0011 25-11-07 11-00-52.fits,2025-11-07 11:00:52,355.4458683468164,337.66588457636686,128.46051807519672,149.3539314158403,302.5014029585338,351.7016315021984,98342.52964408268,103573.10142209096,-229.43767905211635,-1414.1915633433541,True,2,2
12,laserdaytest0012 25-11-07 11-01-52.fits,2025-11-07 11:01:52,355.50513450598856,337.1676299183955,128.5108740870974,149.06371905674266,302.61998230474535,351.01823362167954,98351.642683607,103563.52141849419,-200.1277058459522,-1321.4411934462664,True,2,2
13,laserdaytest0013 25-11-07 11-02-52.fits,2025-11-07 11:02:52,355.06463905209307,337.4063641858441,128.57363286223912,148.88930361359823,302.7677679264507,350.6075166400001,98331.49753435592,103442.74855738948,-288.9170121419081,-1265.3200072627521,True,2,2
14,laserdaytest0014 25-11-07 11-03-52.fits,2025-11-07 11:03:52,354.77039094764484,337.0177713811751,128.53800149330257,149.07785414545415,302.683862464647,351.05151921191566,98432.64169155374,103477.89822983395,-289.8366837886275,-1332.8203533733058,True,2,2
15,laserdaytest0015 25-11-07 11-04-52.fits,2025-11-07 11:04:52,354.6139131588968,336.8028084703007,128.48622880364604,149.24354864445274,302.5619470972586,351.4416999395089,98509.47143116783,103513.51148328779,-271.6958612073876,-1373.2773861947987,True,2,2
16,laserdaytest0016 25-11-07 11-05-52.fits,2025-11-07 11:05:52,354.9176855613937,336.3877554122556,128.58468219547262,149.64489948396525,302.7937871178332,352.3868089414829,98703.62247127987,103886.03009004676,-375.75247794628984,-1740.725236760747,True,2,2
17,laserdaytest0017 25-11-07 11-06-52.fits,2025-11-07 11:06:52,354.3088086129668,336.5023094766845,128.45897886527385,149.44460209355697,302.49777839615393,351.9151446315821,98631.88343309317,103637.03686988195,-306.5756826868963,-1517.3405069265307,True,2,2
18,laserdaytest0018 25-11-07 11-07-52.fits,2025-11-07 11:07:52,354.4043530724826,336.45841162087453,128.52565781009434,149.0643087461735,302.6547953119987,351.01962223417166,98553.67458623821,103578.9259015507,-318.661621038334,-1419.7847406351784,True,2,3
19,laserdaytest0019 25-11-07 11-08-52.fits,2025-11-07 11:08:52,354.47079727446646,336.39385327737943,128.35980887679642,149.21620354137968,302.2642509194218,351.377307142659,98573.97059695747,103601.92948470367,-288.04775287271457,-1506.0142633889657,True,2,2
20,laserdaytest0020 25-11-07 11-09-52.fits,2025-11-07 11:09:52,354.0488814905192,336.0812582548541,128.52269922673472,149.30198576337477,302.6478283805986,351.5793088385203,98686.02824503808,103666.60919347411,-360.3014477186111,-1550.882737111113,True,2,2
