frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,laserweekend0001 25-11-07 14-33-22.fits,2025-11-07 14:33:22,978.1691464986204,1365.0939151771777,201.20165619694095,193.04442438165736,473.7936931059821,454.5848801153881,4491.39924832681,4493.370726153921,25313.40471267,33800.85031994329,True,9,9,2560,1920,145.83045045587085,217.1341619298441,False,False,86.02132403765725,143.27847068112413,True,1118.3839783958645
2,laserweekend0002 25-11-07 14-34-22.fits,2025-11-07 14:34:22,976.5950355623771,1363.9966222132489,202.97291858686896,196.55063265839755,477.964697286794,462.8413696475093,3736.088733605505,3682.7703519934153,25301.894506002922,33783.0908734579,True,9,8,2560,1920,145.82669007525868,206.83667332639794,False,False,86.1942642808808,126.49750225208334,True,1120.088902670058
3,laserweekend0003 25-11-07 14-35-21.fits,2025-11-07 14:35:21,976.1394890804701,1360.6704849300706,214.0662206983092,210.06251593348563,504.0874274643976,494.65942322980516,2892.6594549280603,2843.2161942427642,25285.489792268345,33745.70744368267,True,12,10,2560,1920,130.02817165960428,194.90504081275782,False,False,83.01201815836787,124.53072523747278,True,1120.8976929216897
4,laserweekend0004 25-11-07 14-36-22.fits,2025-11-07 14:36:22,976.8530202943944,1358.5907747554613,213.37289234948858,209.66624751622103,502.4547639708066,493.72628241761777,3001.997647230667,2973.1574691532933,25289.744419643863,33745.11733450697,True,10,9,2560,1920,138.96124002147045,195.95059707261785,False,False,77.84082344833065,116.99345170497259,True,1117.5585285237842
5,laserweekend0005 25-11-07 14-37-22.fits,2025-11-07 14:37:22,970.0901809692351,1360.510180561716,205.2383544925092,198.9288100609278,483.2993911681284,468.44154946562713,4045.634037783354,4018.972450730103,25306.34046123977,33784.62100314741,True,9,8,2560,1920,144.2532329923669,212.9745085141198,False,False,81.43646083299014,124.5458453154908,True,1124.916714753341
6,laserweekend0006 25-11-07 14-38-22.fits,2025-11-07 14:38:22,970.5136594452078,1358.3618170393365,206.3697016426388,201.01244729809312,485.9635101151423,473.34814019827695,4016.3787867960996,3959.448100037285,25301.12480477564,33780.58804923862,True,9,8,2560,1920,137.89673990382047,218.0138695057775,False,False,81.34615059826133,135.87462899246785,True,1125.822968910292
7,laserweekend0007 25-11-07 14-39-22.fits,2025-11-07 14:39:22,969.6258123872968,1360.9061990600105,208.8062288222888,202.84984241947288,491.70109315804484,477.6748750607441,3840.4342115449326,3824.6363112319787,25301.87057867631,33772.85755978687,True,9,8,2560,1920,144.30293610964708,214.4388622170409,False,False,86.76592818760902,123.01360931199844,True,1128.5744623999935
8,laserweekend0008 25-11-07 14-40-22.fits,2025-11-07 14:40:22,972.882198273427,1358.5708608604832,214.39080595353641,207.00576715179454,504.85176732972815,487.46132992605504,3234.812449730886,3208.703847060034,25289.618344609284,33760.65239449052,True,11,10,2560,1920,140.8699074367625,198.2012532691051,False,False,79.41477011119468,117.48573975370749,True,1124.6905340312408
9,laserweekend0009 25-11-07 14-41-22.fits,2025-11-07 14:41:22,968.911959918039,1358.322973362485,215.57587612827808,214.9163966505092,507.64239433197815,506.0894388384414,2930.0454419157873,2879.2700250390685,25295.034744590495,33747.12456324129,True,10,10,2560,1920,138.07918991216812,194.37070889960378,False,False,80.51413197879766,127.21871714410783,True,1125.7706073820416
10,laserweekend0010 25-11-07 14-42-22.fits,2025-11-07 14:42:22,971.3780120673329,1354.657182720888,228.12915796028437,230.64611811296393,537.2031140209094,543.1301022409834,2232.928296197232,2175.159211001732,25279.200973416013,33720.34428218256,True,13,11,2560,1920,133.63317151660328,163.5241258324808,False,False,83.0256839595578,120.3145195544282,True,1122.907359873377
11,laserweekend0011 25-11-07 14-43-22.fits,2025-11-07 14:43:22,1696.1212654946078,494.3239206470649,3.1084749540347354,2.727661632070943,7.319899131237654,6.423152287262491,1356.3223113081433,1380.7139404545387,28984.804225689077,38646.99309116668,True,7,8,2560,1920,281.7419754308102,315.9407872528037,False,False,189.7728,268.350600012934,False,
12,laserweekend0012 25-11-07 14-44-22.fits,2025-11-07 14:44:22,1695.6882630189905,491.9788706398728,3.2921782242263697,2.7911035372536324,7.752487274222651,6.57254655728164,1430.200891191036,1612.4794429514855,28973.66234367703,38631.82118505533,True,6,7,2560,1920,269.2401377825093,300.93659436494386,False,False,188.2902,256.4898,False,
13,laserweekend0013 25-11-07 14-45-21.fits,2025-11-07 14:45:21,1698.4985558246703,488.98157046479065,3.058471192103939,3.384178382347471,7.202149270316059,7.969131090712237,1635.690428069623,1507.8700418494027,28918.281273541594,38557.5775642937,True,1,4,2560,1920,168.62092149616376,205.5984844552048,False,False,166.0512,214.97699999999998,False,
14,laserweekend0014 25-11-07 14-46-22.fits,2025-11-07 14:46:22,1698.6205231919487,487.7320582952949,3.2812367617668365,2.966568251174551,7.726722099100988,6.985734382818241,1425.8121404629717,1557.8460244449557,27481.14410926799,36641.59985682124,True,9,9,2560,1920,331.2002031489469,359.63034955310985,False,False,198.6684,344.7045,True,1833.463810451633
15,laserweekend0015 25-11-07 14-47-22.fits,2025-11-07 14:47:22,969.8240333927865,1350.089221779533,239.96564533133568,237.2696385603684,565.0759117450167,558.7273009592038,1496.646996063478,1489.7811018689836,27271.556848857428,36373.242633446884,True,12,13,2560,1920,134.3572962493608,156.8524351878289,False,False,83.32452579340003,125.44012773988932,True,1129.1126677998104
16,laserweekend0016 25-11-07 14-48-22.fits,2025-11-07 14:48:22,970.5295215045464,1345.0135014998693,241.7097747339453,241.2453564451846,569.1830226234097,568.089401127757,1700.4397473352062,1680.598457472743,27270.001852631438,36371.83206090202,True,12,12,2560,1920,136.89610728151573,164.37838133650018,False,False,83.94736457663184,120.87192845520529,True,1126.0813743715164
17,laserweekend0017 25-11-07 14-49-22.fits,2025-11-07 14:49:22,966.6569203143586,1349.5051150095667,241.54706603832787,236.16562267393624,568.7998729254689,556.1275422198007,1616.5232350809679,1604.1263905811209,27272.768065058193,36382.76110749267,True,14,12,2560,1920,132.08052987088826,168.75207571091974,False,False,79.85082319370548,117.69219093691304,True,1133.7660651435874
18,laserweekend0018 25-11-07 14-50-22.fits,2025-11-07 14:50:22,1698.780651659786,482.9549763343481,2.7322268407706742,2.7807144580359884,6.433902532218368,6.548082145290518,1516.818219020816,1303.7388507112128,27595.35265617694,36794.48106559052,True,11,12,2560,1920,481.7177109179707,505.52091852792904,False,False,233.50949999999997,443.2974,True,1346.7897666212168
19,laserweekend0019 25-11-07 14-51-22.fits,2025-11-07 14:51:22,1698.215827376065,481.7728965236732,2.9859441775624,4.2035781172109115,7.031361202667392,9.898670011261713,1899.7813390848717,1265.8391079075327,27411.90695218441,36549.668279146914,True,1,11,2560,1920,224.67328211275117,243.5237957549249,False,False,167.53379999999999,283.1766,True,1390.524782042138
20,laserweekend0020 25-11-07 14-52-22.fits,2025-11-07 14:52:22,1696.8495650529082,481.1561741591864,3.4079031875767534,3.7306926180325393,8.024998737630606,8.785109758792014,1754.4185185897227,1570.4456478295258,27370.287558234173,36493.87345837341,True,1,5,2560,1920,178.3137153080491,204.9268271501396,False,False,143.8122,226.8378,True,1395.576178891934
21,laserweekend0021 25-11-07 14-53-22.fits,2025-11-07 14:53:22,1695.6407111372127,480.67987579255674,3.3753602551808424,3.5778346116739277,7.948365988100628,8.425156661375288,1819.1318977393244,1599.593410660292,29142.37841294085,38857.04914795817,True,1,1,2560,1920,106.36908361715193,142.09999948191557,False,False,96.369,143.8122,True,1362.072772836071
22,laserweekend0022 25-11-07 14-54-21.fits,2025-11-07 14:54:21,1695.512233590517,479.6465705122652,3.154544623306735,4.4885565370088205,7.4283849119073055,10.569742906603073,2115.7290620367294,1512.124879090817,29115.08451464018,38819.96503497266,True,1,2,2560,1920,86.53650971380075,116.30479282703212,False,False,85.9908,115.6428,True,1865.5765656316657
23,laserweekend0023 25-11-07 14-55-22.fits,2025-11-07 14:55:22,1695.2511597776563,477.0783281380277,3.329442837447075,3.5611758561890676,7.840238732405093,8.38592829003427,1924.4371711554468,1701.1986938210484,29124.75909052419,38833.46779936904,True,1,1,2560,1920,93.01411328101612,125.75021574222825,False,False,88.95599999999999,121.5732,True,1410.7275439411735
24,laserweekend0024 25-11-07 14-56-22.fits,2025-11-07 14:56:22,1695.8592521058963,475.46749313175985,3.035130988034891,3.8235351136316593,7.1471872899191515,9.00373712845952,1875.4958565145537,1385.2161634005693,29170.4583321772,38894.461373423925,True,1,4,2560,1920,134.68338997203853,164.03185594543834,False,False,112.6776,177.91200001277218,True,1708.2144178973651
25,laserweekend0025 25-11-07 14-57-22.fits,2025-11-07 14:57:22,1694.9451437733285,474.36999884518656,3.0250061725055946,3.839577240153499,7.123345171358523,9.041513449558071,1917.8998456502713,1531.8321375883527,29167.215780387778,38889.51669038984,True,1,1,2560,1920,128.92660285451427,158.80741287701173,False,False,108.2298,163.08599999999998,True,1393.9515906039605
26,laserweekend0026 25-11-07 14-58-22.fits,2025-11-07 14:58:22,1693.8336229807028,474.3497885346335,3.0485675203620626,4.138205938706756,7.178827905578881,9.744730294932785,2052.2283826968155,1580.5081322162043,29148.85689029908,38864.77160289241,True,1,1,2560,1920,110.18114128136344,147.4886710503099,False,False,109.71239999999999,149.74260001667722,True,1401.8157836682194
27,laserweekend0027 25-11-07 14-59-22.fits,2025-11-07 14:59:22,1693.863392603282,473.20091841175,3.1601722167993067,4.223641373997749,7.441636881868899,9.94591537051196,2031.8352230963806,1644.5030663927284,29117.194948088796,38822.24139760959,True,1,1,2560,1920,85.74508327915764,118.39770527341179,False,False,84.5082,120.0906,True,1521.3146577136986
28,laserweekend0028 25-11-07 15-00-22.fits,2025-11-07 15:00:22,1693.6676199302856,469.9478929667714,3.2098780297040066,4.9300800431976235,7.558685126451444,11.609451309328813,2137.8343669521173,1457.896409684195,29096.11212758348,38794.39140308645,True,1,1,2560,1920,71.74363973917708,110.41306614992966,False,False,80.0604,111.195,True,1352.9102477001584
29,laserweekend0029 25-11-07 15-01-22.fits,2025-11-07 15:01:22,1693.9265269942805,468.6070080911202,2.9394254279910554,4.576948933838982,6.921817918707014,10.777891094487067,2249.3089534618116,1506.7595067620816,29100.03866644107,38799.67988839992,True,1,1,2560,1920,74.26732490969611,110.14307158016692,False,False,83.0256,115.6428,True,1412.655151534586
30,laserweekend0030 25-11-07 15-02-22.fits,2025-11-07 15:02:22,1693.1386604865095,466.94942608675166,3.0944052268680053,4.857325865610789,7.286767455677321,11.438128313587592,2239.4647458164386,1516.2831142223142,29100.804116703795,38800.503895435766,True,1,1,2560,1920,80.98492699004568,114.10872312224811,False,False,80.0604,114.16019999999999,True,1740.300572357791
31,laserweekend0031 25-11-07 15-03-22.fits,2025-11-07 15:03:22,1691.8117290812693,468.36194560337236,3.1598245623345718,4.7205903194899115,7.440818218166596,11.116140708713896,2206.5937639268964,1451.543499371456,29101.34557099836,38801.95115969848,True,1,1,2560,1920,81.658777355191,116.22949125300318,False,False,78.5778,112.6776,True,1340.155706298549
