frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,laserday0001 25-11-11 12-45-39.bmp,2025-11-11 12:45:39,1189.619622341824,1262.38962097614,172.87301943353853,163.45010452081632,407.0848514071214,384.89558248802206,11545.02719303744,11786.706028304345,25166.619475247302,33646.02026759435,True,7,7,2560,1920,133.18678391564535,193.6970042451731,False,False,45.17353457049739,154.36910760008425,True,935.3906395043548
2,laserday0002 25-11-11 12-46-40.bmp,2025-11-11 12:46:40,1188.6356607781331,1262.9828021678911,172.23384367203644,164.3123332556051,405.57970751163833,386.92597599610434,11533.876391662363,11699.61145479146,25170.477779615903,33644.44647774011,True,7,7,2560,1920,134.9731541414265,195.38286056375756,False,False,53.53864061593363,132.4289685754641,True,937.98578201521
3,laserday0003 25-11-11 12-47-39.bmp,2025-11-11 12:47:39,1188.9686269330625,1262.478367507129,171.81581780584997,164.60885657750214,404.595331822601,387.6242350583267,11485.292127581115,11621.063419036156,25171.749575405174,33641.30163424682,True,7,8,2560,1920,136.92821939434882,186.52501489884796,False,False,50.43969985311305,139.35087666995034,True,936.4870446394985
4,laserday0004 25-11-11 12-48-39.bmp,2025-11-11 12:48:39,1186.0934302544995,1260.2009750388836,171.47585000034928,164.86856558209146,403.7947688195428,388.23580302820864,11459.379340974932,11537.71463433808,25168.239985452172,33639.72040972381,True,7,7,2560,1920,139.81338293708242,195.9762018792035,False,False,40.22949945757048,136.39449261765844,True,934.2344328961234
5,laserday0005 25-11-11 12-49-40.bmp,2025-11-11 12:49:40,1188.009884625286,1264.587870614444,170.94182621303815,164.88192809533916,402.53723890065925,388.2672693422563,11476.185723397564,11526.95234870504,25178.23966843429,33650.939497251944,True,7,7,2560,1920,147.5785742659329,198.32023115944153,False,False,54.6590907016398,141.66869069941495,True,940.6011075894324
6,laserday0006 25-11-11 12-50-39.bmp,2025-11-11 12:50:39,1188.2482054683137,1261.841478659071,170.9742357498508,165.18755554727278,402.61355752759584,388.9869669923813,11434.125270036255,11466.094579913664,25168.40001626322,33637.43856586499,True,7,7,2560,1920,142.74444657447208,199.5879603164961,False,False,43.13216425037498,144.19605754013946,True,937.8657824138969
7,laserday0007 25-11-11 12-51-40.bmp,2025-11-11 12:51:40,1182.4181358676256,1294.9932363789724,170.4979511710034,164.70025087279058,401.4919930541868,387.83945217687335,11579.379679492265,11662.487974129883,25177.350305147847,33639.76335692324,True,7,7,2560,1920,141.92823585653355,196.3179703944245,False,False,57.82128644429977,130.8605397600502,True,937.0529872256193
8,laserday0008 25-11-11 12-52-39.bmp,2025-11-11 12:52:39,1184.463946700744,1294.4831197082617,170.37025182101624,165.17157460549623,401.19128406509964,388.9493347503474,11604.006545490001,11630.89845736318,25175.29892846856,33640.21689296184,True,7,6,2560,1920,138.44766238968015,198.9251074393045,False,False,53.373709208994924,146.77756041217697,True,937.5219805123838
9,laserday0009 25-11-11 12-53-39.bmp,2025-11-11 12:53:39,1184.4440443263804,1295.4703329003821,170.28136843141067,165.18709042647222,400.98197967758614,388.9858717165968,11587.969669770728,11599.736132150652,25177.049084022925,33644.12803167362,True,7,7,2560,1920,140.47049469146265,194.2184010806793,False,False,53.74121849699202,137.71513625990488,True,936.5094173472264
10,laserday0010 25-11-11 12-54-39.bmp,2025-11-11 12:54:39,1184.7274968700742,1294.722794803145,170.17266952633756,165.10022406487107,400.7260133170471,388.78131706705955,11600.629236175526,11606.726581352039,25178.61677465095,33647.19000730709,True,7,7,2560,1920,146.23729764958097,195.7901579372277,False,False,55.548400392990715,137.8818000044336,True,937.7592837191513
