frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,lasernight0001 25-11-11 15-51-01.bmp,2025-11-11 15:51:01,1166.7360950277487,1336.0076360262792,185.28348759654037,190.50059216379398,436.30927060557656,448.59461301756784,11172.768005631044,10681.518916401652,25178.362523028507,33620.13844244847,True,8,8,2560,1920,142.37783865845023,235.28296403193428,False,False,53.56226961011072,99.79837925747199,True,993.1408157010998
2,lasernight0002 25-11-11 15-52-01.bmp,2025-11-11 15:52:01,1178.2173019354518,1318.8365562847112,180.44283300935228,189.06289616305867,424.910400152595,445.2090976563755,12108.862014321508,11409.764101649564,25175.173080774373,33605.27887374896,True,7,8,2560,1920,167.46021258859778,216.62550094215388,False,False,54.60637720411171,96.66954781839142,True,976.8536724049715
3,lasernight0003 25-11-11 15-53-02.bmp,2025-11-11 15:53:02,1181.4004674946882,1312.6528671414385,180.35369178524917,185.10128989390057,424.7004886112384,435.8802278032417,12682.118733800655,12137.493708682274,25171.986731842975,33617.18596976069,True,7,9,2560,1920,174.39894292998576,216.58849660682088,False,False,54.833559527064665,110.98755631394474,True,971.6563444929612
4,lasernight0004 25-11-11 15-54-01.bmp,2025-11-11 15:54:01,1183.9470996663274,1316.2846505845664,182.92382447023698,179.707585096077,430.7526885762369,423.1790236283472,14299.87507559417,14174.64802908368,25167.00517361844,33646.74276086586,True,7,8,2560,1920,174.27911556975923,254.67319401006822,False,False,57.82770556959924,123.92249163183003,True,975.2852189308379
5,lasernight0005 25-11-11 15-55-01.bmp,2025-11-11 15:55:01,1190.0605156911668,1297.5713903449566,178.72497118273802,184.41100876444568,420.86514468869024,434.25473996289475,13515.40978689075,12896.985165128704,25171.701198348965,33611.984269920795,True,7,8,2560,1920,203.86358647212455,194.1480557830588,False,False,53.6718300457337,118.8502528477657,True,956.5762863372577
6,lasernight0006 25-11-11 15-56-01.bmp,2025-11-11 15:56:01,1190.784715715051,1291.665931637054,178.4147836729543,184.91013065639143,420.13470892293327,435.4300821989624,13869.184000437357,13205.483780689809,25172.77417665888,33607.40373361795,True,7,8,2560,1920,218.02142898984602,199.164936331841,False,False,54.855846921445014,127.85755436978879,True,951.6700058740087
7,lasernight0007 25-11-11 15-57-01.bmp,2025-11-11 15:57:01,1193.8498942659733,1288.2906698338527,178.76516260570412,185.31446231205584,420.95978825712916,436.38221048656146,14131.940771667527,13468.20037737147,25170.33526314135,33601.269243344665,True,7,9,2560,1920,228.95643364926227,198.27310326164888,False,False,53.37082901606435,117.53625338622871,True,947.3154354309468
8,lasernight0008 25-11-11 15-58-01.bmp,2025-11-11 15:58:01,1192.7260135713632,1287.507497969954,178.69935874218154,183.88178419590872,420.8048320002657,433.0085113405811,13950.689247765324,13374.603312463132,25169.543669004463,33604.245469145935,True,8,8,2560,1920,220.71550607271203,199.2967899792542,False,False,57.01700904325765,117.52400433987047,True,947.5148240985027
9,lasernight0009 25-11-11 15-59-02.bmp,2025-11-11 15:59:02,1195.7486769171578,1290.370305890523,179.01941156226883,181.80843051473227,421.55849879647593,428.126136531708,13903.999511905811,13443.244351627325,25163.461378225173,33610.87925717451,True,8,8,2560,1920,212.43350877123297,202.18491100936438,False,False,51.996394681247004,120.00027414984632,True,950.3942671115911
10,lasernight0010 25-11-11 16-00-01.bmp,2025-11-11 16:00:01,1193.9885976079615,1288.7421956846747,179.06182589815754,180.69491304777506,421.65837692482336,425.50400328002513,13984.165549053621,13602.537984732762,25157.282835099162,33604.0289645072,True,8,8,2560,1920,207.0200473755037,200.84044820554456,False,False,41.5154925283727,113.06046233459314,True,948.7553109093365
