frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,laserday0001 25-11-12 12-07-17.bmp,2025-11-12 12:07:17,1144.6842088895892,1309.3231192361704,219.12493931470487,213.5825356812362,515.9997994644574,502.948436290713,5210.170094736163,4985.332513365083,25359.027881389437,33915.40417264271,True,6,9,2560,1920,230.04260523766982,336.1977679309827,False,False,76.31068608317322,208.71423197804884,True,1268.8250066707562
2,laserday0002 25-11-12 12-07-17.bmp,2025-11-12 12:07:17,1144.9389417560226,1307.2190332714172,219.48721064599977,215.38171426033128,516.8528832571307,507.1851780733564,5207.766848289789,4937.967523185676,25356.938804239402,33916.133908988224,True,7,9,2560,1920,229.87002408879533,342.61238157796686,False,False,74.41445458870238,186.4328308668317,True,1266.7289559149365
3,laserday0003 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1143.3348587292874,1308.7807758587683,219.43370200388892,216.05010924688565,516.7268800341056,508.75912798569277,5216.53948826572,4963.077561435186,25354.43029470535,33903.73356616916,True,7,9,2560,1920,231.17380328171043,341.42844523138933,False,False,75.50613447081342,168.8332779702922,True,1268.245630057924
4,laserday0004 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1144.4854595633847,1306.5515271831505,219.33855381518376,214.3331658989683,516.5028231720943,504.7160353738345,5228.773951324979,4985.661712008283,25354.470384559732,33911.11345663942,True,7,8,2560,1920,230.92398872579022,337.4514338248012,False,False,70.58688030655632,180.9349861582368,True,1266.0489270940634
5,laserday0005 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1142.9421753995325,1310.6916520843881,219.4311358201062,213.8536848913594,516.7208371330948,503.5869438859054,5213.951891048322,4971.822149781097,25356.698974249233,33917.56314607864,True,7,8,2560,1920,228.01642040335008,342.7992464201938,False,False,75.89307415352894,200.73932532172225,True,1270.1452525768993
6,laserday0006 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1145.0747234225885,1307.2514157443534,218.66604454775515,213.91940959440984,514.9191848686844,503.7417137341023,5221.281040640487,4979.437512311951,25355.312279900118,33909.907252632795,True,7,9,2560,1920,230.96374208917348,345.2313228977787,False,False,76.89424620645792,183.0611372873326,True,1266.7098068030045
7,laserday0007 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1144.979860693055,1307.2567017392419,219.5347193635319,214.299228354173,516.964757737489,504.63611856307136,5212.457985861295,4959.516485108594,25356.18893337897,33917.61375885868,True,6,8,2560,1920,231.4821775214234,340.7785350411183,False,False,71.81636879056933,185.32704690893857,True,1266.7125426205673
8,laserday0008 25-11-12 12-07-18.bmp,2025-11-12 12:07:18,1145.1979554555091,1309.6544930661246,219.34743434758974,215.01489137182884,516.5237352278144,506.32137618253466,5230.215502495511,4967.838964861868,25342.00905842922,33895.76279468035,True,6,9,2560,1920,227.01341165974193,332.9841733254306,False,False,57.66253248995468,167.95132472307714,True,1269.1707981024558
9,laserday0009 25-11-12 12-07-19.bmp,2025-11-12 12:07:19,1145.1043200522672,1308.3952117368476,219.30416525267754,215.24243422647666,516.4218442957849,506.8571986577629,5232.741223248089,4955.305812434071,25350.104309190556,33908.99734103078,True,7,9,2560,1920,229.6495291884995,336.3707679615633,False,False,72.86226139685618,186.8538401027278,True,1267.90935979664
10,laserday0010 25-11-12 12-07-19.bmp,2025-11-12 12:07:19,1144.4438454693052,1307.736519724579,219.60923370034496,214.18959763168922,517.1402255914586,504.3779579402153,5191.331772075427,4958.5462833380325,25354.6764155949,33911.03340819775,True,7,8,2560,1920,230.79231001567703,336.7997316148616,False,False,70.21758733092572,183.93446459734335,True,1267.2322899080464
