frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,lasernight0001 25-11-12 15-00-39.bmp,2025-11-12 15:00:39,1620.6269465557768,1243.4911036280469,184.2824711902817,173.29454508315916,433.9520571067138,408.07746845634273,22539.328485697057,23304.88696211558,28300.396372880095,37884.241433118455,True,10,8,2560,1920,287.7575282599777,374.09461561431965,False,False,145.832672252842,236.7886865299713,True,847.6980400389853
2,lasernight0002 25-11-12 15-01-39.bmp,2025-11-12 15:01:39,1628.2319511791213,1245.2818621450724,184.41010233311712,172.41696287565065,434.25260548023283,406.0109202829392,22549.285080539463,23253.828277539604,28279.849577837285,37901.180625860674,True,9,9,2560,1920,279.8461702886101,371.342991440452,False,False,148.81066723018242,246.6436748783696,True,852.9921828490426
3,lasernight0003 25-11-12 15-02-38.bmp,2025-11-12 15:02:38,1626.3992688482438,1244.9093741319446,184.54300162121706,172.23594074619479,434.5655593878209,405.58464574390234,22542.014858625793,23255.571596973732,28214.539096304958,37821.358011882214,True,9,8,2560,1920,277.96193278927143,357.0615195929462,False,False,152.43624869521844,239.32623455722896,True,852.0859329198008
4,lasernight0004 25-11-12 15-03-38.bmp,2025-11-12 15:03:38,1628.3208610866939,1240.0979900170262,184.2677267852728,172.05980758764238,433.91733668624676,405.1698838515485,22442.699538098568,23195.651559979953,28277.66452465879,37892.30941088024,True,9,8,2560,1920,278.38894231464155,359.0253470545605,False,False,135.2148726957432,198.9376432148274,True,845.5665033665539
5,lasernight0005 25-11-12 15-04-39.bmp,2025-11-12 15:04:39,1625.559780167695,1246.379897360379,184.09345426025172,172.5230950160639,433.50695625102895,406.26084237460634,22526.066117220595,23147.197036318572,28325.037861852623,37967.33255674471,True,9,8,2560,1920,285.8486234383085,346.2489954026785,False,False,135.83970641581303,210.5260076048137,True,852.6435713608914
6,lasernight0006 25-11-12 15-05-38.bmp,2025-11-12 15:05:38,1624.5644029011235,1243.2276489220365,184.27605524842483,172.44807395426957,433.93694871822146,406.0841812744936,22471.52192829208,23152.803937467892,28279.61564164077,37900.00240817338,True,9,8,2560,1920,285.12023649361345,361.3853852567653,False,False,134.89892180714983,217.6946169277919,True,849.3379463927027
7,lasernight0007 25-11-12 15-06-38.bmp,2025-11-12 15:06:38,1627.1128459062897,1246.8163802154236,184.152264071951,172.65234587651392,433.64544277446294,406.56520489163154,22521.55120576152,23169.76490779407,28298.268929905465,37923.29796878811,True,9,8,2560,1920,285.1698178852798,371.5392468084333,False,False,143.69115588449534,248.59172930659173,True,851.6124743104094
8,lasernight0008 25-11-12 15-07-39.bmp,2025-11-12 15:07:39,1625.9864252242023,1245.4757648259847,184.72770027108587,173.01330047700648,435.0004914708221,407.41518802021756,22538.6111105197,23210.82123922684,28215.424574129836,37813.68173857446,True,9,8,2560,1920,280.7800303500107,378.71114989367413,False,False,151.1412273361813,247.64750007078638,True,853.8166397806062
9,lasernight0009 25-11-12 15-08-38.bmp,2025-11-12 15:08:38,1624.9404769012745,1244.38879209697,184.33998350158004,172.65340504180634,434.0874882501952,406.5676990352931,22432.79759221191,23202.740715908203,28290.070535183702,37889.047618928846,True,9,8,2560,1920,287.54406763643914,356.5566219997412,False,False,142.74575109814572,198.59454360774848,True,852.4688314503959
10,lasernight0010 25-11-12 15-09-38.bmp,2025-11-12 15:09:38,1626.591183106304,1244.007661406895,184.59458524887583,172.5098361354782,434.6870295482272,406.22962009682846,22485.734280901906,23146.511138129426,28241.805856336803,37861.91528035992,True,9,8,2560,1920,285.0627186478015,352.62843956602205,False,False,140.9022913939185,213.13708562515524,True,852.5942534279582
