frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,fansoff0001 25-11-14 16-36-04.fits,2025-11-14 16:36:04,1390.4526535725472,1002.8783115244734,3.997876333962376,3.5895620798023513,9.41427932876945,8.452772738401562,1636.8135837767918,1834.3281236282526,28417.07311731077,37889.37774469474,True,1,29,2560,1920,76.55621817965425,119.11009991660585,False,False,83.0256,120.0906,False,
2,fansoff0002 25-11-14 16-37-04.fits,2025-11-14 16:37:04,1390.8634306462893,1003.7600738758995,3.7651744522937567,3.4976737939890326,8.866308273299763,8.236392361064825,1693.9926318445437,1870.9558278718546,28450.49815595097,37933.781063363844,True,1,29,2560,1920,82.663858859668,127.70635131792928,False,False,93.40379999999999,133.434,False,
3,fansoff0003 25-11-14 16-38-05.fits,2025-11-14 16:38:05,1390.137804126971,1002.4900921894086,4.139895185080728,3.41658037994269,9.74870816615521,8.045431964148504,1629.0433447380424,1857.902383114083,28372.550049496313,37830.584241518445,True,1,28,2560,1920,59.72867529340015,124.70244032236897,False,False,57.8214,114.16019999999999,False,
4,fansoff0004 25-11-14 16-39-04.fits,2025-11-14 16:39:04,1388.3048630401076,1000.5023126544378,4.294540244884165,3.053905529103378,10.112869452845354,7.191397955563481,1502.09844870272,1912.9884898216571,28440.92741659132,37922.03128212785,True,1,30,2560,1920,83.93427305464671,129.9492704124461,False,False,90.4386,130.4688,False,
5,fansoff0005 25-11-14 16-40-05.fits,2025-11-14 16:40:05,1388.6512932490932,1003.3931050073732,4.2689308620827955,3.2595558672732468,10.052563964883818,7.675667494153282,1512.3623757656067,2040.614501816717,28407.939758063996,37876.99800498078,True,1,26,2560,1920,61.9562136745958,117.28753206255122,False,False,60.7866,108.2298,False,
6,fansoff0006 25-11-14 16-41-05.fits,2025-11-14 16:41:05,1389.7064170515491,996.8668126743731,3.803775872307585,3.551870238826968,8.957207670914986,8.36401523573861,1630.3866137186958,1745.32020756878,28433.06477764289,37910.756267221535,True,1,29,2560,1920,60.02143016047046,111.5576341723512,False,False,60.7866,99.3342,True,1268.434662497307
7,fansoff0007 25-11-14 16-42-05.fits,2025-11-14 16:42:05,1389.8797499554187,998.8653043611909,4.464531867601192,3.511418344681192,10.513169133506747,8.268758304544667,1617.0588958349178,1996.7195265342243,28466.19086726133,37955.19282969157,True,1,28,2560,1920,86.90832106336502,137.64792224438304,False,False,97.85159999999999,143.8122,False,
8,fansoff0008 25-11-14 16-43-04.fits,2025-11-14 16:43:04,1391.4683360915558,998.2753952233885,4.405602234519894,3.630519724875063,10.374400452280588,8.549220622016046,1607.9918103555342,2103.9590980869957,28370.32172397503,37826.37198314255,True,1,27,2560,1920,63.752023120650264,133.06256922243182,False,False,62.2692,126.02099999999999,False,
9,fansoff0009 25-11-14 16-44-05.fits,2025-11-14 16:44:05,1393.2759185116986,999.3528600344297,3.60813697870785,3.5510357342195378,8.496513282678652,8.362050127561362,1747.2700859262625,1930.1403930079127,28430.850093066314,37907.082591619415,True,1,31,2560,1920,86.36396936291521,134.71086552215212,False,False,90.4386,134.9166,True,1063.4186132517825
10,fansoff0010 25-11-14 16-45-05.fits,2025-11-14 16:45:05,1390.5595469555033,997.4205711817795,4.003000049949555,3.150939024389908,9.426344757881104,7.419894375303619,1641.9749468953262,1830.2303847885246,28382.130222273245,37843.89240319828,True,1,29,2560,1920,62.8558756272492,130.8063257828393,False,False,62.2692,120.0906,True,1074.007442615429
11,fansoff0011 25-11-14 16-46-05.fits,2025-11-14 16:46:05,1392.8253712030362,998.2791769259262,4.01729100680371,3.2730961152457243,9.45999738954394,7.707552341493562,1592.3882540762434,2036.3902502770288,28391.260500314165,37854.66383741414,True,1,28,2560,1920,90.73816550413886,138.2614528609525,False,False,81.54299999999999,137.1405,False,
12,fansoff0012 25-11-14 16-47-05.fits,2025-11-14 16:47:05,1393.1563643313052,997.0125794893179,4.297351935713462,3.442455472095113,10.119490478770611,8.106363149816053,1542.2452553081007,1846.6548510789323,28410.842243761133,37881.47619590319,True,1,29,2560,1920,80.951761656921,125.72534455776919,False,False,85.9908,130.4688,False,
13,fansoff0013 25-11-14 16-48-05.fits,2025-11-14 16:48:05,1392.9752526225152,997.6991384456492,3.9263719191927513,3.738784492827214,9.24589929956173,8.804164667760395,1706.7801787559117,1814.913855864931,28421.39841660453,37895.08806974849,True,1,27,2560,1920,69.5150255316442,144.42642236538254,False,False,71.1648,134.9166,False,
14,fansoff0014 25-11-14 16-49-05.fits,2025-11-14 16:49:05,1393.2254655735983,997.416467351984,4.043454834058582,3.3654875859798947,9.52160849441844,7.925117628768277,1628.1927335258154,1807.865534114401,28379.583809814292,37840.096770132615,True,1,29,2560,1920,63.92904293041344,133.5103399850421,False,False,66.717,127.50359999999999,False,
15,fansoff0015 25-11-14 16-50-05.fits,2025-11-14 16:50:05,1392.5869252819864,996.9646805864649,4.066270499825146,4.164854741471716,9.575335281506272,9.80748342985979,1723.5900993033026,1681.5666237544456,28343.087533684196,37790.79004020138,True,1,28,2560,1920,68.29605416341538,156.73707049977924,False,False,68.19959999999999,146.7774,False,
16,fansoff0016 25-11-14 16-51-05.fits,2025-11-14 16:51:05,1393.069632021305,997.3388703462854,4.15590927078844,3.504582554784689,9.786418456182574,8.25266124947276,1642.4934901653496,1783.4327247940703,28444.32250790331,37926.51515832832,True,1,29,2560,1920,92.70113548286788,139.93954588726214,False,False,97.85159999999999,148.26,False,
17,fansoff0017 25-11-14 16-52-04.fits,2025-11-14 16:52:04,1394.6906730750231,996.0297028913551,3.657866882062958,3.4027096153277823,8.613618255936712,8.012768809593412,1724.3541111257732,1818.9808021665617,28294.244745284497,37725.813706180496,True,1,29,2560,1920,67.59639248272723,151.76150850092844,False,False,65.2344,146.7774,False,
18,fansoff0018 25-11-14 16-53-05.fits,2025-11-14 16:53:05,1392.1274184679633,996.86606965994,3.401452210129156,4.109401529761531,8.00980784662696,9.6769010953633,1907.633332210377,1648.721947786546,28408.834055389772,37878.071323028984,True,1,29,2560,1920,83.89706869827054,132.43608485538013,False,False,87.4734,131.9514,False,
19,fansoff0019 25-11-14 16-54-05.fits,2025-11-14 16:54:05,1393.9821083225245,996.7340589231129,3.824582459211993,4.089253324968469,9.006203438826164,9.62945569884521,1818.6676311984604,1720.7564439467476,28404.869837997285,37873.05408167049,True,1,29,2560,1920,60.25909207667289,125.05191003256397,False,False,59.303999999999995,112.6776,False,
20,fansoff0020 25-11-14 16-55-05.fits,2025-11-14 16:55:05,1394.2079023740785,995.8345192564406,3.8444186263262643,3.555475720299923,9.052914042763435,8.372505495783113,1614.8002816625906,1719.7391546906479,28383.792160613884,37845.178252314974,True,1,27,2560,1920,67.68253925687826,150.73460453532533,False,False,68.19959999999999,137.8818,False,
