frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,lasersimultaneous0001 25-11-17 16-54-29.fits,2025-11-17 16:54:29,1309.3126862238514,1255.5330026619868,171.8663784626119,170.87884609742053,404.7143930706339,402.3889320619645,20510.22572473581,20082.84479983701,25201.493230140415,33724.00635009968,True,7,7,2560,1920,196.9218026955579,324.3718254253921,False,False,63.86287276688247,187.9159552969998,True,763.0601645981468
2,lasersimultaneous0002 25-11-17 16-55-29.fits,2025-11-17 16:55:29,1309.4820949536274,1250.5053124462609,172.6859797810175,169.31421195327684,406.6444066841492,398.7045002161951,20817.353277156508,20635.887885636675,25203.79008964573,33736.980161386,True,8,7,2560,1920,247.54024325366865,339.46806828737135,False,False,62.98589835053918,198.92923749276136,False,
3,lasersimultaneous0003 25-11-17 16-56-28.fits,2025-11-17 16:56:28,1308.889837073809,1244.8131533349076,171.97097636986183,168.7373032802391,404.96070231929434,397.3459841087736,20933.37740057537,20757.837482150666,25197.8813583732,33724.36497806791,True,8,7,2560,1920,261.32283983921053,328.2871199794187,False,False,45.85439703343575,198.91078318949192,False,
4,lasersimultaneous0004 25-11-17 16-57-29.fits,2025-11-17 16:57:29,1310.524262271699,1234.3621770467507,171.3764312549832,168.81174435502885,403.56065556510293,397.52127944386217,20967.980208657038,20738.741529601277,25208.33898210802,33731.96019374729,True,7,7,2560,1920,271.3515532742948,324.8759330246979,False,False,60.79269207012164,198.59803405726925,True,903.8436157141069
5,lasersimultaneous0005 25-11-17 16-58-28.fits,2025-11-17 16:58:28,1314.2315101244692,1230.5297630927348,171.2136949940915,168.47205909690848,403.1774409559018,396.7213817890388,21033.831036227624,20788.125779184975,25205.258554163604,33736.43863517232,True,7,7,2560,1920,276.96844737694295,320.4256900165188,False,False,64.98325502227534,194.84852842291687,True,904.5174982561199
6,lasersimultaneous0006 25-11-17 16-59-29.fits,2025-11-17 16:59:29,1314.5990777785623,1227.2623833878358,170.93115831417325,168.0976684162116,402.5121179185738,395.839759109461,21060.25676361938,20843.977579921953,25203.29803552685,33729.855409809745,True,7,7,2560,1920,286.9911566931727,311.29574654435675,False,False,65.22630154031579,181.5204658168097,True,900.1024445568939
7,lasersimultaneous0007 25-11-17 17-00-29.fits,2025-11-17 17:00:29,1314.7944806050664,1225.2020482783003,170.68728873980902,167.86152243347823,401.9378489564877,395.2836778157669,21050.3335458434,20863.68687039045,25206.98771396312,33727.95875769488,True,7,7,2560,1920,291.57096656042285,305.12802658594853,False,False,62.2707208070464,187.23069739734495,True,896.1225476951562
8,lasersimultaneous0008 25-11-17 17-01-29.fits,2025-11-17 17:01:29,1313.5992485369882,1225.3526281329328,170.57975359055777,167.96891900036292,401.6846230314855,395.5365774042345,21101.84282767755,20884.133817384885,25207.38411656592,33729.59531896651,True,7,8,2560,1920,295.6214473969715,307.8762850410495,False,False,62.54514383780376,191.15343363291538,True,899.5899203104361
9,lasersimultaneous0009 25-11-17 17-02-29.fits,2025-11-17 17:02:29,1315.519798197871,1221.256630626675,170.5033979274316,167.75298868722572,401.50481918540436,395.02810037452923,21069.652084286794,20880.919498319665,25209.289878545027,33729.44838485296,True,8,7,2560,1920,298.95890758945296,301.68925763587487,False,False,64.3881267393104,195.35396090803496,True,896.2255732583645
10,lasersimultaneous0010 25-11-17 17-03-28.fits,2025-11-17 17:03:28,1316.130804511518,1221.0830025129494,170.61583634582593,167.77960219792433,401.7695914268709,395.0907704029909,21110.056578633375,20916.169247460388,25205.374211355003,33727.873585491725,True,8,7,2560,1920,309.55805172145523,296.98131218462515,False,False,63.748431181384106,187.2935011021467,True,893.2119466162834
11,lasersimultaneous0011 25-11-17 17-04-29.fits,2025-11-17 17:04:29,1313.4738666669016,1219.6265025954854,170.43351365437346,167.45508358743805,401.34025429837465,394.32658747403224,21111.069693397607,20933.272886036026,25206.621399146436,33729.85433444418,True,8,8,2560,1920,304.9401403921491,301.0795127806715,False,False,65.25431557195441,205.8531987084181,True,890.1019590995542
12,lasersimultaneous0012 25-11-17 17-05-29.fits,2025-11-17 17:05:29,1316.8274956646098,1219.1285201558906,170.26829478494722,167.61819344355948,400.95119359283234,394.7106818327691,21153.269248891665,20958.081492573514,25209.833213628623,33729.07762186267,True,8,7,2560,1920,312.4753017360479,298.35004114043585,False,False,68.09968958379258,193.1471157893896,True,889.2512972258702
13,lasersimultaneous0013 25-11-17 17-06-29.fits,2025-11-17 17:06:29,1317.285074538614,1215.6976392364097,170.2114488744731,167.6194897024165,400.81733170336986,394.7137342891092,21142.933582282243,20936.379347467107,25197.103895355445,33712.94638173542,True,8,8,2560,1920,314.4953671921275,293.579556960796,False,False,51.160001997255364,188.64893604558355,True,889.1746092692691
14,lasersimultaneous0014 25-11-17 17-07-29.fits,2025-11-17 17:07:29,1316.04481405471,1215.8974949173191,170.14117794777587,167.26407711647582,400.65185631660034,393.87680160747976,21153.22078187706,20976.10354165139,25206.33627420889,33726.63953158984,True,8,8,2560,1920,314.0875425209721,293.89701047217113,False,False,62.77983444802073,182.3598113480712,True,887.7957422710688
15,lasersimultaneous0015 25-11-17 17-08-28.fits,2025-11-17 17:08:28,1314.237768328534,1213.418060025027,170.11716071839345,167.5371846067055,400.59530006342453,394.5199205999207,21142.05929543916,20963.982267581207,25208.52883598123,33721.59096311401,True,8,7,2560,1920,313.74646175964153,293.40755390485276,False,False,63.751799346309085,181.04580642371462,True,885.5342605994122
16,lasersimultaneous0016 25-11-17 17-09-29.fits,2025-11-17 17:09:29,1316.961587864248,1213.7305359063478,170.15781053046837,167.23178798498623,400.6910230557253,393.8007665134114,21162.801530087436,20983.804208346453,25200.664275209674,33720.86400288895,True,8,7,2560,1920,318.0760855053856,290.7145358331282,False,False,60.777899799066994,184.56576206596569,True,885.7880156798412
17,lasersimultaneous0017 25-11-17 17-10-29.fits,2025-11-17 17:10:29,1315.8329216382301,1212.4881685173566,169.94853858229382,167.16124993674293,400.19822527730116,393.63466210347076,21172.966769009123,21001.02600169595,25209.443547631035,33727.21495057885,True,8,7,2560,1920,318.43411612658304,292.46609390797136,False,False,68.19746249032681,197.20252923863268,True,885.7284924002233
