frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,lasermirror0001 25-11-18 16-40-57.fits,2025-11-18 16:40:57,979.8344251919114,1514.486891298154,192.14467722197247,171.53684757707558,452.46613746830246,403.9384071359162,23408.011585740784,25439.274071276086,27313.57369611306,36644.880466232564,True,9,7,2560,1920,251.64695898936276,428.58357627057035,False,False,109.22361642402437,225.98432289370737,True,1028.4213325432872
2,lasermirror0002 25-11-18 16-41-57.fits,2025-11-18 16:41:57,979.9063619127695,1510.5659816341854,191.65578950850542,171.45404875193512,451.3148948808609,403.74343080277043,23493.76174470571,25499.741424076972,27318.858551662473,36644.48281904483,True,9,7,2560,1920,254.4539156748517,426.9960482440496,False,False,105.2649383743174,225.35519863829316,True,1025.8817147234683
3,lasermirror0003 25-11-18 16-42-58.fits,2025-11-18 16:42:58,984.3666298901687,1511.907122237636,191.43139080258211,170.88823063886093,450.7864763100737,402.41103096826174,23530.593006364397,25582.728306098033,27317.386767127293,36645.15558025737,True,9,8,2560,1920,245.01951527479585,422.9561811625109,False,False,105.32436213462688,211.8833938910848,True,1029.5987185134102
4,lasermirror0004 25-11-18 16-43-57.fits,2025-11-18 16:43:57,981.979998696829,1509.3577975054177,191.19808036487245,170.8131600929433,450.23707221464,402.2342533419435,23615.2711174611,25630.143691098212,27312.80170123842,36642.93569370988,True,9,7,2560,1920,248.48129852165133,423.8259040460869,False,False,102.43766069158562,210.53318963339893,True,1026.1313970008998
5,lasermirror0005 25-11-18 16-44-57.fits,2025-11-18 16:44:57,985.3276318297851,1508.5773340017693,190.8135104053437,170.5468368313274,449.33147916522495,401.60710998703235,23650.84939989368,25656.983143463603,27313.34711058388,36642.52935883135,True,9,7,2560,1920,242.15080425258049,418.3014140368729,False,False,103.58571270187736,213.27422298038653,True,1025.8789392147687
6,lasermirror0006 25-11-18 16-45-57.fits,2025-11-18 16:45:57,987.7932087591354,1506.3079546587412,190.3846397235107,169.93758392564186,448.32156588691856,400.1724290322307,23666.40012821106,25719.670861482122,27318.047415035013,36643.191768182514,True,9,7,2560,1920,235.67838800348372,413.94513941959997,False,False,108.41085690275419,223.8723233462113,True,1023.924146203089
7,lasermirror0007 25-11-18 16-46-57.fits,2025-11-18 16:46:57,985.7766940613794,1508.3262996890392,190.5201416140893,170.07605384492305,448.64064845499263,400.49850077378784,23678.818106519855,25731.189494491904,27323.719823572355,36652.54738909184,True,9,7,2560,1920,242.65253488624182,410.1990693082426,False,False,105.24779062709011,229.81679807179944,True,1582.5234652869785
8,lasermirror0008 25-11-18 16-47-58.fits,2025-11-18 16:47:58,983.8815902334132,1505.9415121641787,190.40419210742886,169.9334158665519,448.36760823249716,400.1626140031368,23686.300081244004,25759.845235389537,27317.695281577555,36639.303924942535,True,9,7,2560,1920,242.93820618484247,411.447413001054,False,False,103.14892175500577,229.80298460696952,True,861.8455075441411
9,lasermirror0009 25-11-18 16-48-57.fits,2025-11-18 16:48:57,986.4769065375565,1502.3754463750254,190.16606994200586,169.74884439675097,447.8068733841929,399.72798140630874,23741.14795628836,25762.884711028983,27316.081292232935,36646.18859439113,True,9,7,2560,1920,239.74114017794176,408.5037057856274,False,False,107.67395289263445,224.6899871842882,True,1021.9970511785303
10,lasermirror0010 25-11-18 16-49-57.fits,2025-11-18 16:49:57,986.7562345775519,1503.4185431983778,190.23066083864813,169.74827535799625,447.95897332233267,399.7266414224427,23713.144973134426,25766.66986074882,27317.215688865577,36642.62248874459,True,9,7,2560,1920,238.26743490918946,412.74379685214933,False,False,102.87165197789155,210.5292000014455,True,1026.21558995268
