frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,prethanksgiving0001 25-11-24 17-18-27.fits,2025-11-24 17:18:27,1134.9853070507752,848.4194282150038,165.541395780508,160.11383889800248,389.8201970663421,377.0392773238724,24521.167121062583,26774.680215733966,16512.40958248233,29567.887570760377,True,8,7,1920,1080,494.0489420453816,319.99926009964565,False,False,109.82153013664947,256.60247055981995,True,914.1558871311568
2,prethanksgiving0002 25-11-24 17-19-28.fits,2025-11-24 17:19:28,1135.1369931173037,849.4856899536142,166.56146867262729,160.61617293346154,392.2222851600972,378.22218357987265,24216.043829062397,26569.70460658575,16506.384443294497,29554.78225311356,True,7,7,1920,1080,517.3914293120231,307.11970851456607,False,False,106.94510727190772,258.98989832106025,True,913.5841220754255
3,prethanksgiving0003 25-11-24 17-20-27.fits,2025-11-24 17:20:27,1136.9348752789344,848.1809589018184,167.61404000841105,160.77381768903948,394.7009012404259,378.5934086103016,23976.627979941946,26352.041334245907,16497.781621259703,29562.170530845582,True,8,7,1920,1080,529.7590086330249,318.6389275958779,False,False,109.52542741937027,249.045774444328,True,912.5003263501942
4,prethanksgiving0004 25-11-24 17-21-27.fits,2025-11-24 17:21:27,1136.950704381657,847.2278057176665,168.36138010285975,161.21617731939116,396.460752675289,379.6350859349662,23799.07088797778,26152.39085560935,16497.44755910588,29575.13160644467,True,8,8,1920,1080,539.2633507170375,332.3571081207518,False,False,104.51425766059542,238.9077094983891,True,910.4413143990932
5,prethanksgiving0005 25-11-24 17-22-28.fits,2025-11-24 17:22:28,1136.5614130965143,847.3142496298066,168.98938012277856,161.3750055447496,397.9395797104736,380.009097823757,23644.106376730917,26015.95792037344,16483.889004439647,29565.986330547134,True,8,7,1920,1080,538.9381236872988,331.6358888771071,False,False,100.70278526818917,278.56022265547443,True,908.8577233650066
6,prethanksgiving0006 25-11-24 17-23-27.fits,2025-11-24 17:23:27,1138.3963126980952,847.3548816881084,169.5574467119752,161.39940746691212,399.2772743016262,380.06655995920255,23504.297993550692,25928.416088217495,16485.438380972748,29574.50645530868,True,8,7,1920,1080,546.2694312140953,326.14660999274776,False,False,108.13739082705645,260.15687601833514,True,910.151082619312
7,prethanksgiving0007 25-11-24 17-24-28.fits,2025-11-24 17:24:28,1138.9467237867548,844.787094371928,170.03150272907757,161.6987314768914,400.3935909131664,380.7714141378608,23478.327691409562,25847.649759845528,16470.682459305957,29557.24920126655,True,8,7,1920,1080,547.0323480280679,311.0203053172196,False,False,91.3260324514062,256.23227677467213,True,908.6728648133159
8,prethanksgiving0008 25-11-24 17-25-28.fits,2025-11-24 17:25:28,1138.7856832446903,843.8765743189119,170.32568178503746,161.55078476534186,401.08632965096905,380.42302625590753,23395.12468731651,25790.276353690293,16469.415690328424,29556.971983874693,True,7,7,1920,1080,546.0030094533187,324.42721481680053,False,False,98.91615278510123,288.0070293840704,True,907.9035988624088
9,prethanksgiving0009 25-11-24 17-26-27.fits,2025-11-24 17:26:27,1139.9443752012298,842.4545849785892,170.64558084344512,161.92978723901624,401.83963436609395,381.31550887803223,23391.176806859767,25752.480422351484,16469.33114126913,29557.632169912264,True,8,7,1920,1080,550.0165149128427,320.72658570948033,False,False,94.17884141624612,272.7439042198753,True,906.3598039603628
10,prethanksgiving0010 25-11-24 17-27-28.fits,2025-11-24 17:27:28,1140.2175179417059,840.2922762899683,170.83329752961072,161.76178738448775,402.28167338146346,380.9198994530263,23423.399534674907,25749.91752471662,16467.829155830084,29568.691486272124,True,8,7,1920,1080,554.6823134397143,323.5031997237788,False,False,90.19591811020642,246.9054215530412,True,904.983606234884
