frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,prethanksgiving0001 25-11-24 17-18-27.fits,2025-11-24 17:18:27,1134.9853065510936,848.4194290158721,165.54140657108962,160.11384210805525,389.82022247621995,377.03928488296896,24521.166675251076,26774.680117543103,16512.409333400334,29567.887467487595,True,8,7
2,prethanksgiving0002 25-11-24 17-19-28.fits,2025-11-24 17:19:28,1135.1369784781666,849.4856912835478,166.56147282553772,160.61617857041406,392.222294939454,378.2221968538814,24216.043662482163,26569.70443932494,16506.384348321957,29554.782072505765,True,7,7
3,prethanksgiving0003 25-11-24 17-20-27.fits,2025-11-24 17:20:27,1136.9348615888448,848.1809603338356,167.61404342760767,160.77382373390037,394.7009092920186,378.5934228448612,23976.627843738497,26352.041157352087,16497.781543908703,29562.170337750777,True,8,7
4,prethanksgiving0004 25-11-24 17-21-27.fits,2025-11-24 17:21:27,1136.9506932345164,847.2278048829545,168.36139520916862,161.21617375903307,396.4607882479279,379.6350775509636,23799.070302775024,26152.39095785598,16497.447218194597,29575.13171978154,True,8,8
5,prethanksgiving0005 25-11-24 17-22-28.fits,2025-11-24 17:22:28,1136.5614197645293,847.3142477643551,168.9893910849691,161.37499862316855,397.93960552445964,380.0090815246792,23644.10595834853,26015.95811997908,16483.888758344026,29565.986546697004,True,8,7
6,prethanksgiving0006 25-11-24 17-23-27.fits,2025-11-24 17:23:27,1138.396319614754,847.35487779317,169.55746049676716,161.39939381924088,399.2773067623307,380.06652782139275,23504.29747240599,25928.416482332086,16485.438073595764,29574.506877520045,True,8,7
7,prethanksgiving0007 25-11-24 17-24-28.fits,2025-11-24 17:24:28,1138.946730997064,844.7870936383363,170.0315182354037,161.6987283594509,400.393627427774,380.7714067968494,23478.327111814182,25847.649847141427,16470.682113001305,29557.24930034562,True,8,7
8,prethanksgiving0008 25-11-24 17-25-28.fits,2025-11-24 17:25:28,1138.7855885261501,843.8765742004083,170.32557745356007,161.5507843076206,401.0860839691148,380.4230251780563,23395.12856502439,25790.276366998925,16469.418014525567,29556.97199817307,True,7,7
9,prethanksgiving0009 25-11-24 17-26-27.fits,2025-11-24 17:26:27,1139.9442880438082,842.4545858892479,170.645525760873,161.92979109155831,401.83950465654897,381.31551795007556,23391.178843786107,25752.480314527143,16469.332369507945,29557.632047238483,True,8,7
10,prethanksgiving0010 25-11-24 17-27-28.fits,2025-11-24 17:27:28,1140.2174290954574,840.2922772928091,170.83326472746975,161.7617906406442,402.2815961383244,380.9199071206888,23423.400750062057,25749.917432339877,16467.829888024207,29568.69138401191,True,8,7
