frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,thanksgiving0001 25-11-25 14-17-25.fits,2025-11-25 14:17:25,1442.0250642208973,1260.494384311409,176.8542409149611,167.03128232825688,416.4599115552831,393.32861177380306,20310.209195898467,20855.09851133916,25171.832819146523,33704.26609126637,True,8,7,2560,1920,367.3515087709135,255.1581839846981,False,False,62.280587811985455,192.7380346953803,True,972.7365541901381
2,thanksgiving0002 25-11-25 14-18-25.fits,2025-11-25 14:18:25,1442.3908284958243,1263.3204766671308,177.09595189745937,167.01265516653268,417.0290974219741,393.2847481599929,20148.231614767406,20748.686798860297,25174.218572847767,33700.12733297116,True,9,7,2560,1920,357.1588677704875,252.08681429893508,False,False,63.35729720602905,221.38051863773708,True,972.2149455250207
3,thanksgiving0003 25-11-25 14-19-25.fits,2025-11-25 14:19:25,1442.063933862032,1261.3502971237178,177.5134538994239,166.89703044702253,418.0122395050407,393.01247275278934,20094.7719947307,20688.979476306013,25161.459522767433,33697.837771402345,True,8,6,2560,1920,363.0500748246082,250.52451766739068,False,False,53.817302514563735,207.8378062265624,True,966.3072459561614
4,thanksgiving0004 25-11-25 14-20-25.fits,2025-11-25 14:20:25,1444.0777007299198,1263.1985744700808,177.95313191363198,167.18262248031314,419.04760210625733,393.6849905974832,20020.066096901242,20655.73537063438,25170.075871467503,33703.060953240376,True,9,7,2560,1920,353.5939431715648,249.83515266700826,False,False,59.30390179293498,207.56400547510097,True,969.801443911035
5,thanksgiving0005 25-11-25 14-21-25.fits,2025-11-25 14:21:25,1440.2120303386394,1264.2300383192364,177.52981173487967,167.4749701239898,418.0507592638653,394.37341668893055,20051.98670823436,20637.32682930528,25173.37927252842,33699.9517319817,True,9,7,2560,1920,349.65613627873023,246.53152473168294,False,False,63.537104222628855,198.20594219662763,True,967.8674434228506
6,thanksgiving0006 25-11-25 14-22-25.fits,2025-11-25 14:22:25,1435.7403668965003,1262.7577432016656,177.21042800188354,167.47476736351967,417.2986680473492,394.3729392245112,20066.475586054385,20602.313499579297,25167.0504349921,33694.15754905603,True,9,7,2560,1920,350.75774247594273,247.9160800227932,False,False,49.45111281636277,194.95554381356158,True,679.7786508530266
7,thanksgiving0007 25-11-25 14-23-25.fits,2025-11-25 14:23:25,1443.255094578642,1260.0532917124165,177.8509196130584,167.84229935632413,418.8069105320179,395.23841092835727,20005.112931565545,20554.212024322176,25171.946386566986,33703.86545826599,True,8,6,2560,1920,350.05463443301244,249.3312761698457,False,False,60.78530967122685,198.01935058722952,True,956.3092458651488
8,thanksgiving0008 25-11-25 14-24-25.fits,2025-11-25 14:24:25,1438.5773869166558,1266.343041437167,177.6882948379927,167.93848118433553,418.4239584518745,395.46490182492624,20027.716220721908,20540.175980443753,25169.834437384146,33702.57638458619,True,9,7,2560,1920,349.00917208778276,247.81401819158765,False,False,61.46169624644995,195.55087188047972,True,956.232825392577
9,thanksgiving0009 25-11-25 14-25-26.fits,2025-11-25 14:25:26,1442.4676740838727,1263.2566053806704,178.1541740718044,167.49363051720218,419.521020210218,394.41735855691525,19899.64936742525,20517.436321702862,25168.061879631758,33699.48304481765,True,9,7,2560,1920,344.82549076477113,250.2296288773711,False,False,62.26920042535,198.39367938943494,True,950.9666107659364
10,thanksgiving0010 25-11-25 14-26-25.fits,2025-11-25 14:26:25,1441.3604332245773,1259.5299621315417,177.8700327212929,167.6379116632031,418.85191846241133,394.75711469163826,19929.700902794913,20490.75007368732,25166.984794687567,33699.60401047596,True,8,7,2560,1920,347.40584931736,250.99630243891187,False,False,60.7864500180161,198.6721312672494,True,943.2810767597828
