frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,snowday0001 25-12-01 16-31-28.fits,2025-12-01 16:31:28,1449.5526271032072,1303.8575133213244,180.0902381670283,167.99585935170424,424.080102750116,395.60001708359323,19688.639371190875,20363.13131063999,25157.19513100161,33706.423859338676,True,8,8
2,snowday0002 25-12-01 16-32-28.fits,2025-12-01 16:32:28,1449.3775052450155,1301.8641378625596,180.29443182780085,168.40805038919595,424.5609420755714,396.5706528010608,19693.142041904877,20345.145748166993,25152.58603617885,33699.577915775946,True,8,8
3,snowday0003 25-12-01 16-33-28.fits,2025-12-01 16:33:28,1448.4492127216163,1301.3324414028787,180.1544512986234,167.91216315065572,424.2313131195503,395.4029275916712,19672.418566706827,20366.16910882657,25155.347842651736,33703.31984907772,True,8,7
4,snowday0004 25-12-01 16-34-29.fits,2025-12-01 16:34:29,1449.2207809829874,1301.3124310536593,180.24680192939934,168.26722806539294,424.44878223607276,396.23904157018166,19705.385672974775,20368.428311545773,25160.744378708678,33710.72475489124,True,9,8
5,snowday0005 25-12-01 16-35-29.fits,2025-12-01 16:35:29,1451.0448572167013,1301.5305283125506,180.38940289864377,168.3631343576847,424.7845818568904,396.46488362971485,19657.974221047192,20320.80270178011,25147.671470236208,33693.72131844011,True,8,8
6,snowday0006 25-12-01 16-36-28.fits,2025-12-01 16:36:28,1450.1040726235144,1300.8785346832271,180.21147022702178,168.66553214887705,424.365582435089,397.1769760099877,19697.342692514627,20340.139709334835,25157.703510584466,33699.52001029042,True,8,8
7,snowday0007 25-12-01 16-37-29.fits,2025-12-01 16:37:29,1448.1902516883563,1302.0893699244025,180.08873640288664,167.82719717475442,424.07656636581225,395.2028480084732,19667.375152945784,20334.75162948055,25161.540878290594,33717.850878703975,True,8,8
8,snowday0008 25-12-01 16-38-29.fits,2025-12-01 16:38:29,1447.6607143359265,1300.6098080420688,179.82997449209984,168.02735705706024,423.467228631401,395.674188511538,19693.523897130533,20366.000008990017,25160.445434158497,33703.70906246846,True,8,7
9,snowday0009 25-12-01 16-39-29.fits,2025-12-01 16:39:29,1447.8454914248875,1301.5007789557374,179.95620563515448,168.2260972365136,423.76448025737324,396.14218586986783,19715.518154652626,20373.613237357193,25154.465137302268,33697.21251430621,True,9,7
10,snowday0010 25-12-01 16-40-28.fits,2025-12-01 16:40:28,1449.7247401674117,1299.0780399348105,180.02303893200545,168.07827870439047,423.92186064447344,395.79409982739725,19672.112693799758,20343.903144132604,25158.17681093161,33704.09436603299,True,9,8
11,snowday0011 25-12-01 16-41-29.fits,2025-12-01 16:41:29,1450.8876074088637,1300.307373376315,180.14379542060465,168.12378311286827,424.2062204443944,395.901254520618,19662.260766249885,20360.738399868893,25160.663173712503,33703.307159457276,True,9,6
12,snowday0012 25-12-01 16-42-29.fits,2025-12-01 16:42:29,1450.1585357630604,1300.358436597144,180.21026108488138,167.85339858531916,424.3627351229395,395.2645476152791,19690.16548640139,20390.587068862675,25156.82569356233,33707.09678970534,True,9,7
13,snowday0013 25-12-01 16-43-29.fits,2025-12-01 16:43:29,1449.1318016371094,1300.2277612591806,180.07208714468055,168.34963978491035,424.0373603588537,396.4331063392467,19744.970534730157,20394.33340281702,25150.23121722271,33693.62473492672,True,8,7
14,snowday0014 25-12-01 16-44-29.fits,2025-12-01 16:44:29,1450.5181030707465,1299.5560016916004,180.0597419040843,168.145396460253,424.0082895388369,395.9521500642798,19716.921112059557,20379.624674467526,25161.224542676,33710.019351941824,True,9,7
15,snowday0015 25-12-01 16-45-30.fits,2025-12-01 16:45:30,1449.9542208345788,1298.6267068294424,179.9506270558737,168.23926474226565,423.7513437070601,396.1731929763558,19768.13630492061,20415.987505644865,25150.28320637746,33694.16424522091,True,8,7
16,snowday0016 25-12-01 16-46-30.fits,2025-12-01 16:46:30,1449.3133011543405,1299.1824974387607,179.95299828052805,167.77923047006243,423.75692751440744,395.08989505077045,19697.10424975363,20409.35923194785,25157.239185374958,33700.51093241524,True,8,8
17,snowday0017 25-12-01 16-47-30.fits,2025-12-01 16:47:30,1448.8130212892484,1299.638709107761,180.0178813677972,167.67948355713168,423.9097155088923,394.85500902077115,19704.917287371027,20405.141879403254,25158.55831352917,33709.356082229024,True,8,7
18,snowday0018 25-12-01 16-48-29.fits,2025-12-01 16:48:29,1446.9236257115124,1299.852813836052,179.77612909756084,167.86085777034572,423.340432417008,395.2821126536993,19743.453929413885,20415.468208099745,25162.74073718368,33710.674436465844,True,8,7
19,snowday0019 25-12-01 16-49-30.fits,2025-12-01 16:49:30,1453.0795549556608,1298.5268458942237,179.93417659805826,168.0119186436251,423.71260583924635,395.63783382611746,19706.64084923447,20390.160715118178,25160.930597553877,33705.20271639545,True,9,6
20,snowday0020 25-12-01 16-50-30.fits,2025-12-01 16:50:30,1449.8931607434538,1298.866241189185,180.0224272394285,168.1355871063967,423.92042021853183,395.9290508011902,19757.774478386695,20448.298702456395,25150.37460078665,33689.37350413542,True,8,7
21,snowday0021 25-12-01 16-51-29.fits,2025-12-01 16:51:29,1450.9774155827138,1298.781462991653,179.97234484135902,167.72828753323031,423.8024851836546,394.9699336019654,19681.9388494376,20398.21849889038,25134.34436853187,33670.70856548277,True,8,7
22,snowday0022 25-12-01 16-52-30.fits,2025-12-01 16:52:30,1448.3148837159417,1297.8847281169228,179.77214918973397,167.8698680007283,423.3310604502799,395.3033301248145,19737.380468034673,20434.73796370573,25126.788314841113,33656.72488288741,True,9,8
23,snowday0023 25-12-01 16-53-30.fits,2025-12-01 16:53:30,1449.9959125685855,1298.7078186048223,179.86804080192925,168.03611984828757,423.55686794082766,395.6948233079705,19772.24506628973,20448.15608709996,25124.301087810843,33656.7047886747,True,9,8
24,snowday0024 25-12-01 16-54-30.fits,2025-12-01 16:54:30,1450.8964327763067,1298.985926758589,179.77315483344677,167.99106889424047,423.33342856025297,395.58873641833264,19753.628179494346,20387.400447656164,25130.503795535104,33672.683536169796,True,8,7
25,snowday0025 25-12-01 16-55-29.fits,2025-12-01 16:55:29,1448.6801979604302,1298.9445639913874,179.90089589749525,167.80109898736282,423.6342357784479,395.1413914736645,19709.28404712435,20404.0630771718,25132.572018531693,33669.717867280866,True,8,6
26,snowday0026 25-12-01 16-56-30.fits,2025-12-01 16:56:30,1449.2810366701167,1299.744027915662,180.0056397264196,167.87659619473365,423.88088864639224,395.3191738109252,19699.060495832273,20388.259557393303,25127.917015409188,33665.268600662894,True,8,8
27,snowday0027 25-12-01 16-57-30.fits,2025-12-01 16:57:30,1449.4596949179731,1299.9631622274685,179.99120562982444,168.1027037691649,423.846898946398,395.8516164595292,19708.68927846165,20365.96094986341,25132.441820888907,33672.080922120585,True,8,7
28,snowday0028 25-12-01 16-58-29.fits,2025-12-01 16:58:29,1448.7801749648297,1298.6705794699774,179.84498815662735,167.84329130757405,423.50258310957975,395.2407467950443,19701.156646492935,20374.877970077294,25136.327849185527,33676.64816144729,True,9,7
29,snowday0029 25-12-01 16-59-30.fits,2025-12-01 16:59:30,1446.937605721235,1299.2139676948864,179.68248491156848,168.29689022652417,423.1199172107326,396.3088906217924,19769.93230647685,20395.043603923295,25135.41050954871,33670.9099967079,True,8,7
30,snowday0030 25-12-01 17-00-30.fits,2025-12-01 17:00:30,1448.0470474946653,1300.7712154369704,179.70605461841592,168.12765498731278,423.1754196288724,395.9103720881718,19724.99456615605,20372.318785259624,25136.488036825805,33671.91638688752,True,9,8
31,snowday0031 25-12-01 17-01-30.fits,2025-12-01 17:01:30,1446.11015859845,1300.5496312117948,179.83288801081795,167.6203920057443,423.47408944368,394.71585905107213,19686.299707882696,20367.765921285212,25134.980845921164,33678.549650979374,True,8,6
32,snowday0032 25-12-01 17-02-29.fits,2025-12-01 17:02:29,1446.93670725009,1301.3398633553525,179.9720721129925,168.19854549660158,423.80184295743027,396.07730648044753,19735.13675754381,20386.748401936544,25124.191106883896,33659.710613093775,True,8,7
33,snowday0033 25-12-01 17-03-30.fits,2025-12-01 17:03:30,1446.3800810911882,1300.5522088491268,179.92154025730588,167.95393302037343,423.6828495307468,395.5012881181608,19690.508834683995,20359.2000343587,25133.72070701395,33673.16102843187,True,8,7
