frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,lowhumidity0001 25-12-05 10-32-56.fits,2025-12-05 10:32:56,1458.1707559211284,1092.8084584863375,184.00683038021063,172.18261397780137,433.30297260192987,405.4590708007528,22094.472004185,22495.313161313832,27386.015285402915,36765.656662057096,True,9,8,2560,1920,388.97518146327934,387.58906298073043,False,False,116.72578820743078,299.06467947586407,True,907.8134548980918
2,lowhumidity0002 25-12-05 10-33-56.fits,2025-12-05 10:33:56,1458.962785095834,1087.8554696858982,184.13411802227995,172.92502971318402,433.6027120929594,407.20732625617825,22067.028710128347,22482.026368561794,27382.053210257567,36738.6442242354,True,9,8,2560,1920,386.2646162297512,390.96347852856866,False,False,126.02076758605817,285.7673286428098,True,905.3461449228269
3,lowhumidity0003 25-12-05 10-34-56.fits,2025-12-05 10:34:56,1458.3708954379053,1089.2665347191762,184.2954201512204,172.3991204410407,433.98254957949456,405.96890456026756,22002.76430284583,22438.951663935535,27385.95803558083,36758.16619725477,True,9,8,2560,1920,386.3469031687349,382.2263346558503,False,False,115.59265384025952,275.80725773358745,True,910.1787462766496
4,lowhumidity0004 25-12-05 10-35-56.fits,2025-12-05 10:35:56,1461.3467207976921,1090.3443002672768,184.43542470199796,173.40392396036702,434.3122351020611,408.33503602889476,22086.633552024476,22462.415784598463,27386.766896903704,36748.71421447933,True,8,8,2560,1920,389.5787634718918,391.07094865158143,False,False,119.84219345436311,287.84465052157293,True,911.5355166177795
5,lowhumidity0005 25-12-05 10-36-56.fits,2025-12-05 10:36:56,1460.4112567057673,1092.2475307910854,184.41396911226838,173.4920112921684,434.2617110492879,408.54246584353393,22113.66712889128,22410.829911472818,27382.624856808325,36758.182694043804,True,9,8,2560,1920,387.67015945638786,388.9417678906314,False,False,120.83157905664288,284.88849714887294,True,913.6944947760028
6,lowhumidity0006 25-12-05 10-37-56.fits,2025-12-05 10:37:56,1464.002656010773,1091.966585116461,184.5436450638954,174.22848063388048,434.56707457953775,410.2767186119483,22146.918834005875,22454.868188999866,27389.04451178725,36746.93303212254,True,8,8,2560,1920,387.6913116401177,415.4144077800469,False,False,120.9646615720975,288.3035853702184,True,909.1480803718587
7,lowhumidity0007 25-12-05 10-38-56.fits,2025-12-05 10:38:56,1462.2569360771577,1090.4682573330997,184.44450336613238,173.41404317994125,434.3336137223469,408.35886496998825,22104.60698457098,22490.46433534596,27381.38121443328,36739.47620389124,True,9,8,2560,1920,389.49895339841567,393.42804432252234,False,False,115.6830965218818,265.0267588833183,True,905.9872791918243
8,lowhumidity0008 25-12-05 10-39-56.fits,2025-12-05 10:39:56,1462.6108904782448,1089.795291403438,184.6105632490457,172.6493905471917,434.7246548633067,406.55824562290394,22018.530829254356,22467.440091941404,27380.28461095471,36749.70150517114,True,8,8,2560,1920,384.84726643459084,394.72651535196496,False,False,127.54482944865485,294.37615117020545,True,907.351486492583
9,lowhumidity0009 25-12-05 10-40-56.fits,2025-12-05 10:40:56,1464.2539061355037,1090.3260077481686,184.70305791002795,172.84704954183712,434.9424631450461,407.0236969855756,22043.07696347297,22479.68027558383,27386.337186975357,36757.78976244957,True,8,8,2560,1920,387.3193572039043,391.17320401770024,False,False,120.3372980939541,279.90676435393834,True,904.7336518982193
10,lowhumidity0010 25-12-05 10-41-56.fits,2025-12-05 10:41:56,1464.6344001282598,1091.4435343643981,184.6187911748073,172.80908654167177,434.74403014781916,406.93430095181674,22059.46157288311,22519.21909030309,27385.869898057015,36750.88477219473,True,9,8,2560,1920,383.5396021252252,388.48093649578357,False,False,121.57378553564344,297.00396004579665,True,904.7996659681978
