frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y,nx,ny,resid_x,resid_y,on_bound_x,on_bound_y,noise_x,noise_y,two_component,two_comp_sep
1,frosty0001 25-12-10 15-58-34.fits,2025-12-10 15:58:34,1385.6241727209858,1033.3035166259601,173.2603443758148,171.8591104470543,407.996931945134,404.6972782019113,20552.602462181734,20228.12458774181,25509.394370287842,34122.92703577542,True,8,8,2560,1920,300.51183047228324,306.6191819035326,False,False,156.41660236869967,240.71096922013152,True,682.7081260683369
2,frosty0002 25-12-10 15-59-35.fits,2025-12-10 15:59:35,1384.4798046830467,1033.7237112420225,172.78683255756968,171.90252702319674,406.8818968239713,404.79951642569813,20432.905247366853,20210.597365274345,25647.228979396976,34269.786939837875,True,8,7,2560,1920,313.23422050589556,302.7730756417318,False,False,196.36019570920155,300.1228748587538,True,674.6885416324474
3,frosty0003 25-12-10 16-00-35.fits,2025-12-10 16:00:35,1384.8013903774254,1034.7416092817289,172.95123435765416,171.0223195825579,407.2690334782494,402.7267863006964,20365.87282648924,20069.093377136796,25822.67230433709,34547.78060458003,True,8,8,2560,1920,337.84710720967803,327.21615359471775,False,False,233.54041691588426,377.9955174834364,False,
4,frosty0004 25-12-10 16-01-35.fits,2025-12-10 16:01:35,1383.6291443987063,1032.8609415988067,173.35264720402833,172.0468004465219,408.21428849522425,405.13925437490946,20299.502553621445,20101.59494659994,25758.856258725034,34424.202112204366,True,8,8,2560,1920,338.24581689760174,316.243121728074,False,False,224.39933956580842,345.31476400456546,True,675.1372032652291
5,frosty0005 25-12-10 16-02-35.fits,2025-12-10 16:02:35,1386.9255311569875,1032.7505513171789,173.81899331900962,171.58282832236824,409.3124496747045,404.04668351661684,20246.75790198458,20043.278603506013,25775.38891157765,34471.87487757938,True,9,8,2560,1920,341.53918251779163,313.610161169973,False,False,232.2216127104628,345.858692699751,False,
6,frosty0006 25-12-10 16-03-35.fits,2025-12-10 16:03:35,1387.1463021415182,1033.09805527575,170.6120363017791,170.31471130815808,401.76064300697743,401.0604961521099,20494.909662312464,20147.067536361108,25912.431397686083,34635.20780578187,True,9,8,2560,1920,335.6369107919521,316.3245333300662,False,False,247.662485344676,384.01439825845176,False,
7,frosty0007 25-12-10 16-04-35.fits,2025-12-10 16:04:35,1391.3241665207424,1032.7449600425775,171.57132589201282,170.67622099227887,404.01959736304934,401.9117864027504,20548.033177292644,20221.16742333773,25835.60315844606,34544.317087402,True,8,8,2560,1920,337.45285614191187,314.65500174606984,False,False,234.23431477658605,348.53010956193793,False,
8,frosty0008 25-12-10 16-05-35.fits,2025-12-10 16:05:35,1389.0355357323795,1032.915138819728,171.53845352369987,171.42805034222977,403.94218885121836,403.68220922645736,20599.409223427137,20251.056835638243,25765.17905684907,34434.50485761538,True,8,8,2560,1920,332.98623158148393,321.9690464523457,False,False,223.1471295230213,335.57608607889676,True,669.4322997274539
9,frosty0009 25-12-10 16-06-35.fits,2025-12-10 16:06:35,1387.6422654404043,1034.0949486484617,171.74891340178172,170.74082929173548,404.43778399080026,402.0639273213862,20496.9373263071,20176.882469667176,25753.55332932976,34436.390259639105,True,9,8,2560,1920,330.70751395347855,318.74106742530046,False,False,231.79636985615355,340.3251061047894,False,
10,frosty0010 25-12-10 16-07-36.fits,2025-12-10 16:07:36,1388.1627626689067,1032.7951729823267,171.69788688872976,171.027128235926,404.31762573503744,402.7381098140372,20521.795881147904,20241.866859108977,25751.71698428342,34416.097171319954,True,8,8,2560,1920,331.1725254019024,328.4442298931921,False,False,227.55907973831555,352.45280330364557,True,790.5050906742355
11,frosty0011 25-12-10 16-08-35.fits,2025-12-10 16:08:35,1388.2795269437368,1029.8213087622298,171.0322771389008,169.86851657919286,402.75023455397223,400.00978786035546,20457.75759862082,20139.4060767962,25949.777702123698,34701.386692818916,True,9,8,2560,1920,339.9070712618098,323.55144337152143,False,False,256.15221073914176,375.0564805237767,False,
12,frosty0012 25-12-10 16-09-35.fits,2025-12-10 16:09:35,1387.5079823502679,1033.2965906000977,171.41535418280665,171.0705600725698,403.6523120557529,402.8403839735586,20507.047671274475,20237.19836860979,25860.906655470095,34550.70823258162,True,9,8,2560,1920,335.66756740916514,322.2521946782122,False,False,243.06720097124503,363.99760940164435,False,
13,frosty0013 25-12-10 16-10-35.fits,2025-12-10 16:10:35,1386.6130843702983,1032.8796941952464,171.60350822357003,170.3429674593915,404.09538096249605,401.1270343034298,20490.50952101426,20188.658207390265,25839.246123399254,34553.177792873736,True,8,8,2560,1920,333.16527121470824,322.51520028535697,False,False,242.7871514689454,361.55867477212007,False,
14,frosty0014 25-12-10 16-11-35.fits,2025-12-10 16:11:35,1389.2565712277271,1035.1866029950786,172.28052948378954,170.25458201750496,405.68964419697306,400.91890249318647,20458.943967553936,20180.281750304694,25788.795007673933,34501.11248727379,True,8,8,2560,1920,333.1457161958667,324.5201143257783,False,False,231.65237311282775,370.46324362904704,True,666.9944112337095
15,frosty0015 25-12-10 16-12-36.fits,2025-12-10 16:12:36,1385.3934697426512,1034.7469890258428,171.79256473616218,169.8532299149529,404.5405750279917,399.9737905169816,20454.591570447523,20158.608571535497,25779.924894399355,34490.65605964977,True,8,8,2560,1920,329.9392665795728,307.0968752791489,False,False,231.42885719980848,353.3247417597752,False,
16,frosty0016 25-12-10 16-13-35.fits,2025-12-10 16:13:35,1385.8218129428124,1034.2855518139074,171.96701446552555,170.33253759903937,404.95137274754677,401.10247385920576,20517.442663252434,20243.29108870599,25741.198009993237,34426.34381999715,True,8,8,2560,1920,327.41932290224236,316.13307456507414,False,False,226.41533568015933,320.7993401201466,True,720.5690940726407
17,frosty0017 25-12-10 16-14-36.fits,2025-12-10 16:14:36,1386.0875332581213,1036.63112614012,171.82251782938243,170.18334855346967,404.6111091723174,400.7511605041992,20431.732875581165,20186.138833817895,25809.90785264025,34511.50091679078,True,8,8,2560,1920,329.54218114871026,319.65320705379725,False,False,232.76819888722707,357.26694611354895,False,
18,frosty0018 25-12-10 16-15-35.fits,2025-12-10 16:15:35,1390.037291457841,1031.9925526888426,172.04780469278333,169.95756257085054,405.141619194136,400.2194751464407,20466.43754796605,20190.17337128853,25814.962248796295,34537.09968150346,True,8,8,2560,1920,332.5407527034426,323.5695324525683,False,False,238.4921169130847,347.853621214851,True,664.3717498046062
19,frosty0019 25-12-10 16-16-35.fits,2025-12-10 16:16:35,1386.187312864189,1034.5464221081427,167.8575944897819,166.92355860480623,395.27442821521504,393.0749417904961,20105.53697505357,19966.410412061818,26126.328036291256,34889.94044054585,True,8,8,2560,1920,307.7738594832575,248.65969484720753,False,False,210.82121614633888,181.98146443647585,False,
20,frosty0020 25-12-10 16-17-35.fits,2025-12-10 16:17:35,1385.1710260474167,1031.8186256916388,167.33479289848395,166.22750539087147,394.0433245484526,391.43586172991434,19988.962156032223,19948.28762354568,26166.961451823434,34927.005266959444,True,8,8,2560,1920,304.07894911877696,231.63481829528013,False,False,206.43986638009187,176.44531502776772,True,662.2231338794562
21,frosty0021 25-12-10 16-18-35.fits,2025-12-10 16:18:35,1384.955826180353,1031.143152908385,167.35148793900458,167.0638517532811,394.0826383645232,393.40530690870526,20057.99551893219,19912.711828348805,26156.17544841863,34914.12049766767,True,7,8,2560,1920,302.0030388080414,233.87925460318425,False,False,194.22390594529867,152.45411289655485,True,842.422849866667
22,frosty0022 25-12-10 16-19-36.fits,2025-12-10 16:19:36,1386.5410674149498,1032.7540565867114,167.08084802244144,166.5872250498746,393.44533006401474,392.28293679352663,20047.38524137848,19924.31613710656,26236.03908245545,35021.07080083603,True,8,8,2560,1920,309.9038103278608,228.62396133185746,False,False,222.98597794057773,168.48303146001305,False,
23,frosty0023 25-12-10 16-20-35.fits,2025-12-10 16:20:35,1384.6128949268132,1037.1164410390431,167.148299807722,166.21747464377128,393.60416688006654,391.41224112557614,20009.568841293454,19916.95187828875,26245.48545805561,35038.395128199096,True,8,7,2560,1920,307.0767585762368,222.87558087454946,False,False,218.63423638420846,168.71252960311887,False,
24,frosty0024 25-12-10 16-21-36.fits,2025-12-10 16:21:36,1385.5027252042169,1038.8035269652646,167.83742993900478,167.46017630173222,395.226944326846,394.33857989973575,20112.518612180218,19940.042418446847,26135.900699588023,34895.481339174075,True,8,8,2560,1920,310.72589879017187,245.47550682663962,False,False,213.2543367792703,212.34326066841595,True,659.1406233505868
25,frosty0025 25-12-10 16-22-35.fits,2025-12-10 16:22:35,1386.3563961455468,1039.182201872081,167.17619879688607,166.2563108488195,393.6698639789862,391.50369339969666,20032.483337796246,19944.01168560747,26215.541471965757,34997.3165778216,True,8,8,2560,1920,312.2764433175408,229.8899065054202,False,False,221.25635756079615,159.70293195159095,False,
26,frosty0026 25-12-10 16-23-35.fits,2025-12-10 16:23:35,1382.5141181028346,1035.8420771813935,167.01082951998785,166.66119681723364,393.280449090914,392.45712699407005,20061.954036760377,19905.686974773154,26189.332258091552,34962.26828280329,True,8,8,2560,1920,300.9190812967823,223.41507206621398,False,False,189.77460442732016,159.61370619836126,True,688.8213566619521
27,frosty0027 25-12-10 16-24-36.fits,2025-12-10 16:24:36,1386.7923045379544,1037.7141660137656,167.38297642481618,166.48112579036356,394.1567880821,392.0330921304671,20065.094391772924,19906.865702423103,26162.55801549456,34941.42608266951,True,8,8,2560,1920,306.7672815368859,235.94285718958912,False,False,194.7602725330064,176.43021110896683,True,685.7443562523747
28,frosty0028 25-12-10 16-25-35.fits,2025-12-10 16:25:35,1388.4895044748216,1037.1383365661736,167.34743903035596,166.53501350149773,394.07310391327684,392.15998799282664,20031.708122644955,19879.41464005738,26257.71160101773,35064.64027804829,True,8,8,2560,1920,320.25195838442767,235.51373027381203,False,False,242.3038043829075,187.87861579750444,False,
