runname,filename,number of frames,start time,stop time,notes,frame rate,x position,x position std,y position,y position std,FWHM x,FWHM x std,FWHM y,FWHM y std,total frames,good frames,frame interval (s),x position (px),x pos std (px),y position (px),y pos std (px),x position (as),x pos std (as),y position (as),y pos std (as),FWHM x (px),FWHM x std (px),FWHM y (px),FWHM y std (px)
lasersimultaneous,lasersimultaneous,994.0,25-11-17 16-54-29,25-11-18 09-27-53,laser and dot overnight test,0.0166666666666666,-0.608409271056246,0.7623129395711121,-7.4497060241132464,0.9388231759501504,60.47981488658503,0.3914680673425514,59.90959450991254,0.4822870755858897,,,,,,,,,,,,,,,
lasermirror,lasermirror,2726.0,25-11-18 16-40-57,25-11-20 14-06-59,"laser and dot weekday test, accelerometers on mirror again, pumps on -> off midday 11-19",0.0166666666666666,1.551432143292694,0.6497569293628525,-7.118281816624352,1.2190398097308142,66.77214825332311,0.2384840785299967,59.53339575091925,0.167361524773047,,,,,,,,,,,,,,,
pumpsoff,pumpsoff,5600.0,25-11-20 16-19-13,25-11-24 13-39-54,pumps off,0.0166666666666666,0.5853522628143597,1.7020618953125106,-2.612993033165218,2.165676982954568,65.33022749552659,0.8646478440463106,58.61297419998616,0.6082320017820663,,,,,,,,,,,,,,,
prethanksgiving,prethanksgiving,1083.0,25-11-24 17-18-27,25-11-25 11-20-37,"prethanksgiving, pumps turned back on",0.0166666666666666,-2.4776321727351043,1.3059032971726907,1.055548158838138,1.268973854562382,61.61762308105274,0.3993586143612714,58.4642695780362,0.4733452009457332,,,,,,,,,,,,,,,
thanksgiving,thanksgiving,8557.0,25-11-25 14-17-25,25-12-01 12-55-43,"thanksgiving break, pumps on",0.0166666666666666,0.5413351171490123,2.61599627121134,1.5403425412792062,4.827099212901586,62.766534474938,0.997391612200898,59.01709661131874,0.9276804861894282,,,,,,,,,,,,,,,
snowday,snowday,2449.0,25-12-01 16-31-28,25-12-03 09-20-22,"snowday, pumps off",0.0166666666666666,-0.2798478237080691,0.8507571193331989,0.0900383938457117,1.0047736405244136,63.7187234540975,0.1986829645287625,59.54583823504878,0.315433991122846,,,,,,,,,,,,,,,
lowhumidity,lowhumidity,7156.0,25-12-05 10-32-56,25-12-10 09-52-01,low average humidity due to snow outside,0.0166666666666666,0.300523856867351,5.400994529255007,-2.4154913296845204,2.99780826233704,64.2993006878159,1.0666370617324663,60.74339009353713,0.4018335232991573,,,,,,,,,,,,,,,
frosty,frosty,6865.0,25-12-10 15-58-34,25-12-15 10-24-46,continued snow outside testing,0.0166666666666666,0.2299056927568321,0.8265105559267084,-0.3007030902443787,1.5933885217081467,58.9230062013717,0.3788232322688856,58.24055192646059,0.3893821214222324,,,,,,,,,,,,,,,
warming,warming,5191.0,25-12-17 08-45-55,25-12-21 14-29-32,"warming weather, increased humidity",0.0166666666666666,2.0936962958543885,2.447044201389848,-15.479764208052966,4.313686232706341,58.53487986134674,0.9002315582362703,57.696069619416924,0.873403913846647,,,,,,,,,,,,,,,
realwinterbreak,realwinterbreak,18530.0,25-12-23 13-18-45,25-12-30 11-59-27,winter break,0.0166666666666666,-0.0705069640914271,1.2312873648278737,-3.881204646981481,2.629792849150609,57.46073014572806,0.9023003053271608,56.88059612724209,0.8719372986471475,,,,,,,,,,,,,,,
postwinterbreak,postwinterbreak,11069.0,26-01-05 17-13-28,26-01-12 15-53-31,warm temperatures after winter break,0.0166666666666666,2.300442123311534,2.056314789569317,-9.928511753036554,4.790333150341489,56.83266972218829,0.8981350124345355,56.13348983940816,0.8182848033386007,,,,,,,,,,,,,,,
newsecondary,newsecondary,3999.0,26-01-30 16-37-16,26-02-02 11-16-02,replaced secondary foam and recollimated. Very cold outside.,0.0166666666666666,4.468223853822907,1.2418119224973168,14.603384719262683,2.6823868672909943,1.278733734336029,0.1933669972762569,2.8207140448986703,0.5367952501452098,,,,,,,,,,,,,,,
replacedprimary,replacedprimary,5711.0,26-02-06 16-32-41,26-02-10 15-44-18,"primary was taken out for measurement. Replaced, with new aluminum brackets.",0.0166666666666666,8.289773927385093,2.504740317215698,-15.358604149911685,7.784398668480468,1.3924532947772392,0.3328900027894123,2.85459646111171,0.6800583447890813,,,,,,,,,,,,,,,
allmetal,allmetal,3922.0,26-02-13 16-36-54,26-02-16 09-58-52,LED holder and secondary are now metal. poorly collimated.,0.0166666666666666,-4.718437561776436,3.22389252680805,5.928937269134922,4.138323675278865,1.5031934372747526,0.0863207404608464,2.241870152366514,0.4395459651198815,,,,,,,,,,,,,,,
morewarming,morewarming,3083.0,26-02-17 11-42-12,26-02-19 15-05-05,temperatures expected to rise,0.0166666666666666,-1.475002561499989,0.8539092108736472,3.38545732851124,5.888921761563345,1.7105867875683185,0.1866459434762437,2.5194065211653798,0.6480536075321133,,,,,,,,,,,,,,,
hotandcold,hotandcold,15806.0,26-02-19 16-18-51,26-02-26 15-00-05,temperatures expected to fluctuate,0.0166666666666666,-5.017721030734821,5.357484094801354,20.9898754288416,13.102400803873056,1.561254127722598,0.124229548527375,2.675284090420916,0.5475148949870863,,,,,,,,,,,,,,,
