run_key,runname,stale_mirror,frames,good,bad,bad_pct,phantom_input_png,no_convergence,sigma_railed_to_bound,fwhm_over_max,fwhm_under_min,nonfinite_centroid,unclassified,kept_but_truth_would_drop,image_shape,multipeak_pct_of_good,median_peaks_x_good
bridgetstatic,bridgetstatic,True,6743,293,6450,95.65,0,0,648,5802,0,0,0,18,1944x2592,100.0,4.0
longweekend,longweekend,True,6970,3556,3414,48.98,0,0,2963,451,0,0,0,1308,1200x1600,71.9,24.0
newsecondary,newsecondary,True,3999,1124,2875,71.89,0,0,2424,451,0,0,0,103,1944x2592,96.4,1.0
fansoff,fansoff,True,3991,1800,2191,54.9,0,0,1505,686,0,0,0,304,1920x2560,84.5,1.0
laserweekend,laserweekend,True,3995,3007,988,24.73,0,0,668,320,0,0,0,37,1920x2560,17.4,1.0
zoeysecondary,zoeysecondary,True,10156,9350,806,7.94,0,0,685,121,0,0,0,639,1024x1280,15.8,1.0
overnight,overnight,True,1090,353,737,67.61,0,0,729,8,0,0,0,2,1920x2560,38.5,1.0
allmetal,allmetal,True,3922,3273,649,16.55,0,0,629,20,0,0,0,85,1024x1280,96.9,1.0
statictest,statictest,True,5660,5593,67,1.18,0,0,64,3,0,0,0,22,1080x1920,1.2,1.0
hotandcold,hotandcold,True,15806,15789,17,0.11,0,0,17,0,0,0,0,3,1080x1920,50.4,1.0
warming,warming,True,79,66,13,16.46,3,0,10,0,0,0,0,4,1024x1280,84.8,1.0
springbreak,springbreak,True,14174,14166,8,0.06,0,0,8,0,0,0,0,1,1080x1920,26.7,1.0
secondarylaser,secondarylaser,True,2572,2568,4,0.16,0,0,4,0,0,0,0,0,1080x1920,16.9,1.0
night_accel,night_accel,True,251,248,3,1.2,3,0,0,0,0,0,0,0,480x640,0.0,1.0
overnightvideo,overnightvideo,True,1376,1373,3,0.22,3,0,0,0,0,0,0,137,480x640,97.9,1.0
morning25,morning25,True,11523,11520,3,0.03,3,0,0,0,0,0,0,0,480x640,0.0,1.0
morning_c5237,morning_c5237,True,8055,8052,3,0.04,3,0,0,0,0,0,0,0,480x640,0.0,1.0
weekenddrift,weekenddrift,True,1045,1042,3,0.29,3,0,0,0,0,0,0,0,480x640,0.0,1.0
dotrefound,dotrefound,True,4061,4058,3,0.07,3,0,0,0,0,0,0,0,480x640,0.1,1.0
fanoff,fanoff,True,9252,9249,3,0.03,3,0,0,0,0,0,0,0,480x640,0.1,1.0
fan_restart5237,fan_restart5237,True,6235,6232,3,0.05,3,0,0,0,0,0,0,0,480x640,0.0,1.0
fanoff5237,fanoff5237,True,9132,9129,3,0.03,3,0,0,0,0,0,0,0,480x640,0.0,1.0
stability,stability,True,4482,4479,3,0.07,3,0,0,0,0,0,0,1,480x640,0.1,1.0
