run_key,runname,truth_frames,reprocess_total,reprocess_good,reldiff:x position,reldiff:x position std,reldiff:y position,reldiff:y position std,reldiff:FWHM x,reldiff:FWHM x std,reldiff:FWHM y,reldiff:FWHM y std,worst_reldiff,worst_column,name_collision,truth_gate_drops,baseline_shift_px,verdict
20251117_lasersimultaneous,lasersimultaneous,994.0,994,994,4.004488158078709e-06,1.5421226544043746e-06,2.6507931879916977e-07,8.34548429709082e-07,1.6817076141427085e-08,9.420263362194104e-07,2.3799829945372253e-07,5.155038372884407e-06,5.155038372884407e-06,FWHM y std,False,0,0.0,MATCH
20251118_lasermirror,lasermirror,2726.0,2726,2726,6.614522318308651e-07,4.2154609785455104e-07,5.78746695199463e-07,1.6356370533134776e-07,2.2150109403678107e-08,4.443919084403965e-06,2.9718262775927744e-07,1.5936404935704666e-06,4.443919084403965e-06,FWHM x std,False,0,0.0,MATCH
20251120_pumpsoff,pumpsoff,5600.0,5600,5600,1.0490829894245065e-06,1.1216095261222282e-07,7.764829138251132e-07,3.3068602370023365e-07,3.158976546556717e-08,4.0833200117161423e-07,1.5666337639591134e-07,9.130066768176346e-06,9.130066768176346e-06,FWHM y std,False,0,0.0,MATCH
20251124_prethanksgiving,prethanksgiving,1083.0,1083,1083,1.437261946949822e-06,1.0887552819680654e-06,3.1001510859416853e-07,3.8187084433231144e-08,1.9378238163725165e-07,8.193658649728717e-06,7.20562638302219e-08,2.1193170617192973e-07,8.193658649728717e-06,FWHM x std,False,0,0.0,MATCH
20251125_thanksgiving,thanksgiving,8557.0,8557,8557,1.2309300181824173e-05,2.614068816826721e-07,1.278002993862522e-06,1.911391506422146e-07,3.7214936182689195e-07,3.295376514502302e-08,1.1688980684588136e-07,3.6449929954674833e-06,1.2309300181824173e-05,x position,False,0,0.0,MATCH
20251201_snowday,snowday,2449.0,2449,2449,1.0974694076585834e-05,2.1647418078803514e-07,6.907085086466906e-08,5.974734446209995e-07,3.742939088910959e-07,1.1776825735644634e-05,6.846774497873164e-08,1.4501096766116423e-05,1.4501096766116423e-05,FWHM y std,False,0,0.0,MATCH
20251205_lowhumidity,lowhumidity,7156.0,7156,7156,2.031283207282951e-05,4.0046585886107103e-07,1.1700820902697583e-06,2.7964968822773354e-08,7.659725097907098e-09,7.3924960075771415e-06,7.826598418998875e-08,1.0483488670866433e-05,2.031283207282951e-05,x position,False,0,0.0,MATCH
20251210_frosty,frosty,6865.0,6865,6865,4.066539462313412e-06,4.402196196081249e-06,6.36562061476817e-08,5.3400124572467265e-08,1.4792298872736612e-07,2.15929592211861e-06,1.13935167679793e-08,9.019276811440366e-07,4.402196196081249e-06,x position std,False,0,0.0,MATCH
20251217_warming,warming,5191.0,5191,5191,8.098159794686087e-07,5.573834079451637e-07,3.877813984591114e-08,2.617677309656568e-10,2.7876497545339396e-07,5.412206289198422e-08,2.603881864727319e-08,4.640371589043122e-06,4.640371589043122e-06,FWHM y std,True,0,0.0,MATCH
20251223_realwinterbreak,realwinterbreak,18530.0,18530,18530,3.646660135519762e-05,1.39637205158616e-06,3.598642687153535e-07,1.9228094145192521e-07,2.908573515942538e-07,9.855900744669364e-08,1.4018491494590879e-08,1.1664146565466683e-06,3.646660135519762e-05,x position,False,0,0.0,MATCH
