frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,fanoffrefocus0001 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.62708729864505,175.3464635582421,2.596454145555289,3.3989603273457907,6.114182267957301,8.003939911098826,1469.1225770020135,1145.5689886081564,6805.241316985271,9073.24131736895,True,1,1
2,fanoffrefocus0002 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.363572292479,181.01151667167179,2.662270806380667,3.2896942912286016,6.269168660165904,7.746638059008992,1429.579498166379,1186.088411947792,6805.624927900322,9073.665555520693,True,1,1
3,fanoffrefocus0003 25-09-29 11-08-11.fits,2025-09-29 11:08:11,382.56567714976114,189.68160641476163,2.5764880320056656,3.3058675171345446,6.067165663549283,7.784723095565121,1460.1542657737814,1156.6589392911267,6808.670139046477,9077.904691707587,True,1,1
4,fanoffrefocus0004 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.03572953551225,186.28200779331368,2.568936274463986,3.3003799218976586,6.049382633514923,7.771800796302285,1515.3653889037923,1158.0436357760225,6806.810943984032,9076.118139436023,True,1,1
5,fanoffrefocus0005 25-09-29 11-08-11.fits,2025-09-29 11:08:11,385.00877937996836,177.5598094443669,2.656524486587523,3.2151601993220567,6.25563711113185,7.571123685349281,1469.0520699887384,1191.8047373118116,6804.038594816258,9072.420819998537,True,1,1
6,fanoffrefocus0006 25-09-29 11-08-11.fits,2025-09-29 11:08:11,386.4958733789356,176.55717355923164,2.6473151918219253,3.4403453384471048,6.233950879217223,8.101394164804027,1458.3197668830453,1133.3450050393815,6806.945047634763,9075.725854567178,True,1,1
7,fanoffrefocus0007 25-09-29 11-08-11.fits,2025-09-29 11:08:11,386.2240558585608,182.2271778816141,2.6289956376244614,3.5176555767028526,6.190811625777004,8.283445863534782,1477.2646779562467,1121.3960002196466,6805.988986933952,9074.333627730306,True,1,1
8,fanoffrefocus0008 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.49752957016466,187.69899559261071,2.5747613778351304,3.4287800918491733,6.063099703697671,8.074160090289492,1492.7948999061173,1159.5097119827694,6806.361792175438,9074.459142502736,True,1,1
9,fanoffrefocus0009 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.30775170657427,186.38427342426309,2.712858687842706,3.644811970846946,6.388294017468363,8.582876289319149,1484.3376121901329,1144.6574871506089,6810.5583028243045,9079.98581906751,True,1,1
10,fanoffrefocus0010 25-09-29 11-08-11.fits,2025-09-29 11:08:11,383.5944995025377,177.5322439742476,2.5738338886711634,3.4539265056532416,6.0609156336228125,8.133375369575957,1499.957127903889,1142.7295680523275,6810.543452180511,9080.274122867659,True,1,1
11,fanoffrefocus0011 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.7523041066919,175.9679431063612,2.5936404094426893,3.5553221067672416,6.107556425757924,8.372143763557165,1488.9223330292916,1129.3741111772995,6806.170438396388,9074.092007707226,True,1,1
12,fanoffrefocus0012 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.98403863450585,186.1995851214564,2.646144756548683,3.319152096159653,6.23119471477438,7.816005888543244,1431.959419401434,1140.8551413244109,6807.562428993083,9076.762961594692,True,1,1
13,fanoffrefocus0013 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.54158262772467,190.45002671774077,2.644870562218755,3.4445707367147613,6.228194216425002,8.111344217342944,1507.6926240278317,1161.112637560408,6806.991311176616,9075.92636134742,True,1,1
14,fanoffrefocus0014 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.2945447596717,175.60919523884007,2.5639948120699056,3.435517307466592,6.037746378817576,8.090025020673087,1486.1713266118945,1133.2569204616927,6807.71313093045,9076.518509520982,True,1,1
15,fanoffrefocus0015 25-09-29 11-08-11.fits,2025-09-29 11:08:11,384.13935608777814,181.72796673636324,2.6548553104823327,3.5326703555410526,6.251706501780662,8.318802965714681,1456.8797087050075,1125.391902566294,6809.168517263242,9078.328233010736,True,1,1
