frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,1-833-stability-fan-off0001 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,407.67399275453937,154.1708170714824,3.0641868131318795,3.392399842060948,7.215608529282454,7.988491148844947,411.9497642889477,349.3920322278445,7706.696727499572,10275.997812429412,True,1,1
2,1-833-stability-fan-off0002 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,408.38447140956583,177.58213070274644,3.0177155360401935,3.801081626008616,7.106177034468764,8.950863205723923,465.74356857370304,358.41807335145825,7705.506218867158,10274.233393568404,True,1,1
3,1-833-stability-fan-off0003 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,409.4142465750601,167.0175766723713,3.118085586867946,3.94045910704901,7.342530442078731,9.279072091903764,442.7834644757895,346.1193466461302,7707.344151427708,10276.546431393312,True,1,1
4,1-833-stability-fan-off0004 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,411.24277937652994,165.52478076202425,3.0775795663450722,4.1975515194099815,7.247146053007032,9.884478457956742,448.4563221051637,354.2299224688804,7709.810081073598,10279.189371989882,True,1,1
5,1-833-stability-fan-off0005 25-09-18 11-16-34.bmp,2025-09-18 11:16:34,409.0240255670371,162.63326992231183,2.956748428767852,3.8029887391047117,6.962610468176302,8.95535411387075,447.4236617704665,342.9243657872313,7708.603020788564,10278.23544179861,True,1,1
6,1-833-stability-fan-off0006 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,406.79720441623454,196.25183275302552,3.036947265148234,3.6773230817231655,7.151464295672983,8.659434104896693,413.45908828094963,309.8072748012007,7706.616474320663,10276.096448029512,True,1,1
7,1-833-stability-fan-off0007 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,408.8291887004066,158.72190950510964,3.1629517816068122,4.27712641273842,7.448182256794075,10.07186301184775,452.4515360902801,335.5691696971146,7707.177825644441,10276.21522338797,True,1,1
8,1-833-stability-fan-off0008 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,409.72819381498806,152.14495565967584,3.1293935131869084,4.2927375535389185,7.369158573642356,10.108624439130564,418.07386617797385,307.99001464456916,7710.597709373678,10280.72486638817,True,1,1
9,1-833-stability-fan-off0009 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,410.9831842264948,182.17306618036758,2.940683401527693,3.548299117681742,6.924780220007206,8.355605888082598,467.7577135054881,350.2923358204825,7708.664162916867,10278.911263481901,True,1,1
10,1-833-stability-fan-off0010 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,410.9448766687247,176.4787179741968,2.9243722115573907,4.014819460528818,6.8863703029068315,9.454177342833603,430.9819809516084,336.5166002387945,7708.293385500115,10277.250856994817,True,1,1
11,1-833-stability-fan-off0011 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,411.3655853298909,155.88249229665783,3.045665138333675,4.31461453201613,7.171993318200097,10.160140786573413,462.8698011811315,327.14405645085054,7707.462952767038,10276.608110281699,True,1,1
12,1-833-stability-fan-off0012 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,408.4275239160493,167.09768298395616,2.9090870790889074,3.756798836237863,6.850376566579094,8.846585204721862,432.53977497185883,332.9589591960945,7708.2795624873315,10277.744915376288,True,1,1
13,1-833-stability-fan-off0013 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,407.55788254622627,181.20269707760517,3.0157904487898604,3.878499047214909,7.101643800423246,9.133167301015106,439.38262824310056,328.46245814080254,7707.002347079136,10276.270213827522,True,1,1
14,1-833-stability-fan-off0014 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,405.5125872366404,148.82633501779912,3.0800635731202193,4.194803991169093,7.252995441953141,9.878008523380808,463.1818569471012,317.53145974594975,7706.853078113961,10276.298365974026,True,1,1
15,1-833-stability-fan-off0015 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,407.58663000067804,177.0998751009774,3.1463547378673393,4.445113338682865,7.409099205508109,10.467441992364858,446.0043185116115,324.919799888059,7707.460123627164,10276.39929876114,True,1,1
16,1-833-stability-fan-off0016 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,410.17139547627204,169.0270334018879,3.169376226631386,4.469099135265746,7.46331066871614,10.52392422695426,442.16744934907854,320.908621631296,7709.6862869733195,10279.410547502,True,1,1
17,1-833-stability-fan-off0017 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,411.46376780362897,166.52047748547608,3.1200835995320917,3.911918089721429,7.347235402350487,9.2118631321952,403.6147159601064,289.078195382116,7707.5458965577645,10277.398705952253,True,1,1
18,1-833-stability-fan-off0018 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,410.68735078879763,161.85166639884096,3.0940759774033215,5.386451322683712,7.285992132438068,12.684123546239075,521.6409987683053,294.4093712011975,7707.434859027234,10276.726946603614,True,1,1
19,1-833-stability-fan-off0019 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,407.00457688957323,170.8123596272737,3.026398509031433,3.7422049673407556,7.126623873318997,8.8122192697084,397.0080855581715,335.5217357340322,7709.270741252249,10278.74520798027,True,1,1
20,1-833-stability-fan-off0020 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,406.79854567831364,188.76509945317298,3.068967817472942,4.052054390745806,7.226866934140167,9.541858902883895,477.89105554373725,330.7856794273163,7706.416715756312,10275.88169125333,True,1,1
21,1-833-stability-fan-off0021 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,408.6509130515817,153.24590796458858,3.144922605721616,4.388863359672887,7.405726792024227,10.334983414259591,440.5016955978395,315.5690446354296,7706.911653453595,10275.88405492589,True,1,1
22,1-833-stability-fan-off0022 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,411.3928509262428,177.4263489739288,3.272154950678019,4.352751692088277,7.705336068303857,10.249946935571858,411.64093390751293,299.5507797302405,7708.390140197021,10278.078504544663,True,1,1
23,1-833-stability-fan-off0023 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,413.44195873574915,163.70393024653768,3.075177602919591,4.494807760725626,7.241489861385278,10.58446341351738,454.4184760655771,315.8631573146525,7706.279990207361,10274.923393997082,True,1,1
24,1-833-stability-fan-off0024 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,413.20513220813547,170.62678884692534,3.253838001170146,3.9138265453224426,7.662202948438898,9.21635720169952,424.80896889072403,337.30407372203143,7708.03935795011,10277.710157480999,True,1,1
25,1-833-stability-fan-off0025 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,407.99933258998874,177.6748994511399,3.080566862036859,4.779385909023002,7.254180596782486,11.25459374150583,461.4874503073303,302.80640356643147,7708.021046239701,10277.227782754471,True,1,1
26,1-833-stability-fan-off0026 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,405.48367039356225,171.53461504341234,3.250875638250914,4.054905851541624,7.655227116856033,9.548573579923506,370.10574923320235,309.81118761439524,7709.267352600007,10278.745906669626,True,1,1
27,1-833-stability-fan-off0027 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,407.8012300063434,169.75021834208056,3.153593256933056,4.462486273965171,7.426144615300397,10.508352128608657,421.4533291586476,281.11404897423,7707.6163429179815,10277.2114918305,True,1,1
28,1-833-stability-fan-off0028 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,411.7989437078639,161.95998363357117,3.3755709693297935,5.015821165573159,7.948862182002349,11.811356222982175,443.3460204393428,293.2924693680168,7709.594868112613,10279.592693098193,True,1,1
29,1-833-stability-fan-off0029 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,413.57252945821523,170.92381642192484,3.3109053944020195,3.8749451968254456,7.796586389938977,9.124798622880956,374.1885046140954,317.00746244434134,7710.046142759008,10280.116440742031,True,1,1
30,1-833-stability-fan-off0030 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,411.7207774363414,164.73288490686113,3.267505149138302,4.3638535041425355,7.694386622432715,10.27608970513339,373.02092434749625,297.9857240320528,7706.7168776007,10275.196803543586,True,1,1
31,1-833-stability-fan-off0031 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,408.18830295591647,167.8694166426325,3.263782508287145,4.218781088685834,7.685620473135959,9.934470273234892,422.9685775914468,327.0588650738154,7711.891650317784,10282.525791638489,True,1,1
32,1-833-stability-fan-off0032 25-09-18 11-16-35.bmp,2025-09-18 11:16:35,404.45046826003284,180.62100569340606,3.2999785784618543,4.541693816185176,7.7708557047347115,10.69487163674596,436.1521147363954,321.9035452844185,7709.1253568500615,10278.71529414857,True,1,1
