frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,frosty0001 25-12-10 15-58-34.fits,2025-12-10 15:58:34,1385.6242457931728,1033.3034994448717,173.26046344495953,171.85916070882146,407.99721233154276,404.6973965593281,20552.5976294172,20228.12300343041,25509.392793997922,34122.92606376668,True,8,8
2,frosty0002 25-12-10 15-59-35.fits,2025-12-10 15:59:35,1384.479848720024,1033.7237027953756,172.78691271603944,171.90255071390172,406.8820855827427,404.7995722130451,20432.90199797235,20210.596621019697,25647.22792547578,34269.78648177733,True,8,7
3,frosty0003 25-12-10 16-00-35.fits,2025-12-10 16:00:35,1384.8014646119404,1034.7415934522505,172.9513590744087,171.0223565856916,407.269327163763,402.72687343641735,20365.867795676277,20069.092207307825,25822.670669254072,34547.779896294414,True,8,8
4,frosty0004 25-12-10 16-01-35.fits,2025-12-10 16:01:35,1383.6292430547965,1032.8609368114767,173.3527708109098,172.04681323911686,408.21457956718643,405.13928449916847,20299.4976002981,20101.594547893146,25758.854642655228,34424.20186603917,True,8,8
5,frosty0005 25-12-10 16-02-35.fits,2025-12-10 16:02:35,1386.9255653757523,1032.750548805444,173.8190873590569,171.5828347624411,409.3126711220929,404.0466986818295,20246.754162767127,20043.27840344475,25775.387683745488,34471.87475392413,True,9,8
6,frosty0006 25-12-10 16-03-35.fits,2025-12-10 16:03:35,1387.146331874472,1033.0980547135398,170.61210796657898,170.31471491307167,401.7608117646847,401.0605046410327,20494.90668765205,20147.067420827967,25912.43045633883,34635.20773665084,True,9,8
7,frosty0007 25-12-10 16-04-35.fits,2025-12-10 16:04:35,1391.3242175129344,1032.7449582249164,171.57142122139146,170.67622701980264,404.019821846581,401.91180059648417,20548.029248816405,20221.16723127149,25835.601900482714,34544.316971078486,True,8,8
8,frosty0008 25-12-10 16-05-35.fits,2025-12-10 16:05:35,1389.035587969051,1032.9151381117842,171.5385526084841,171.42805287720725,403.9424221780544,403.68221519587314,20599.40512783832,20251.056755579146,25765.177746260448,34434.5048084889,True,8,8
9,frosty0009 25-12-10 16-06-35.fits,2025-12-10 16:06:35,1387.6423036401422,1034.0949480124928,171.74899681222396,170.74083201967687,404.4379804073816,402.06393374519723,20496.93390228047,20176.882383729466,25753.552231141148,34436.39020703497,True,9,8
10,frosty0010 25-12-10 16-07-36.fits,2025-12-10 16:07:36,1388.1628194142165,1032.7951720783858,171.69798742125803,171.02713178626286,404.3178624710502,402.7381181744416,20521.791746445266,20241.866744726027,25751.715659344656,34416.09710303451,True,8,8
11,frosty0011 25-12-10 16-08-35.fits,2025-12-10 16:08:35,1388.279558852982,1029.8213081840684,171.0323527726968,169.86851860662463,402.75041265795113,400.0097926345925,20457.75447880827,20139.406011730083,25949.776709596295,34701.3866539602,True,9,8
12,frosty0012 25-12-10 16-09-35.fits,2025-12-10 16:09:35,1387.5080095118674,1033.2965863179925,171.4154257186575,171.07057314403696,403.6524805098084,402.8404147545114,20507.044724277355,20237.197952151324,25860.90571373232,34550.707980208776,True,9,8
13,frosty0013 25-12-10 16-10-35.fits,2025-12-10 16:10:35,1386.6131253979897,1032.8797045800927,171.60359351278228,170.3429356680081,404.0955818032427,401.12695944044293,20490.506015167102,20188.65922843053,25839.24500128859,34553.17840381904,True,8,8
14,frosty0014 25-12-10 16-11-35.fits,2025-12-10 16:11:35,1389.2566410132843,1035.1865939008915,172.28063810228858,170.25461733156135,405.6898999739919,400.91898565143435,20458.939538820865,20180.280616807828,25788.793578910332,34501.111808856134,True,8,8
15,frosty0015 25-12-10 16-12-36.fits,2025-12-10 16:12:36,1385.393537307728,1034.7469845209303,171.79266927129657,169.8532455049925,404.5408211894216,399.9738272287193,20454.587289582556,20158.60806874613,25779.923520837627,34490.65576090919,True,8,8
16,frosty0016 25-12-10 16-13-35.fits,2025-12-10 16:13:35,1385.8218633781082,1034.2855444344095,171.96710623352374,170.33256205010798,404.95158884466844,401.10253143707223,20517.438899830602,20243.290302189598,25741.196800100934,34426.34334868582,True,8,8
17,frosty0017 25-12-10 16-14-36.fits,2025-12-10 16:14:36,1386.0875973592094,1036.6311229753887,171.8226187370462,170.18336131007433,404.6113467917068,400.75119054370754,20431.728748567923,20186.138424148012,25809.906528228774,34511.50067161749,True,8,8
18,frosty0018 25-12-10 16-15-35.fits,2025-12-10 16:15:35,1390.0373540535008,1031.9925463529798,172.04790458481116,169.95758024147983,405.1418544218855,400.2195167575927,20466.433464409256,20190.172800715918,25814.960934882456,34537.09934231726,True,8,8
19,frosty0019 25-12-10 16-16-35.fits,2025-12-10 16:16:35,1386.1873249094529,1034.5464239522955,167.85765376887917,166.9235594321039,395.27456780682155,393.07494373863324,20105.534499342386,19966.41038449591,26126.32727617487,34889.94042498911,True,8,8
20,frosty0020 25-12-10 16-17-35.fits,2025-12-10 16:17:35,1385.1710473864584,1031.8186250472045,167.3348350251642,166.22750679093215,394.04342374920367,391.4358650268053,19988.960398808107,19948.287576758128,26166.960915254935,34927.00524064723,True,8,8
21,frosty0021 25-12-10 16-18-35.fits,2025-12-10 16:18:35,1384.955787057109,1031.1431519363773,167.35155842388158,167.06385307944632,394.0828043437244,393.40531003158566,20057.992569224818,19912.71178430122,26156.174547483904,34914.12047279862,True,7,8
22,frosty0022 25-12-10 16-19-36.fits,2025-12-10 16:19:36,1386.5410389549186,1032.7540623346933,167.0809239027712,166.58722142675066,393.44550874853627,392.28292826172174,20047.382057874533,19924.31625823891,26236.038113716113,35021.070868744675,True,8,8
23,frosty0023 25-12-10 16-20-35.fits,2025-12-10 16:20:35,1384.6128600399456,1037.1164356496067,167.14838163363444,166.21748306311378,393.60435956536537,391.4122609516126,20009.565418618564,19916.951598819025,26245.484415115992,35038.394969957706,True,8,7
24,frosty0024 25-12-10 16-21-36.fits,2025-12-10 16:21:36,1385.5026965613522,1038.8035264814503,167.83751021353365,167.4601784376887,395.2271333589157,394.33858492952896,20112.515260025095,19940.042348612576,26135.89966962971,34895.48129887007,True,8,8
25,frosty0025 25-12-10 16-22-35.fits,2025-12-10 16:22:35,1386.3563634578202,1039.1821939600889,167.17628728042587,166.2563247773584,393.67007234179937,391.50372619889924,20032.479631811013,19944.011219666565,26215.54034295634,34997.31631627632,True,8,8
