frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,laserday0001 25-11-11 12-45-39.bmp,2025-11-11 12:45:39,1369.380378361625,656.6103773768965,172.87301826678802,163.4501006402313,407.0848486596339,384.8955733499427,11545.027219818116,11786.706106524018,25166.61948390625,33646.02031055339,True,7,7
2,laserday0002 25-11-11 12-46-40.bmp,2025-11-11 12:46:40,1370.3643403749,656.0171732754894,172.23384172586873,164.31227900795307,405.5797029287636,386.92584825264595,11533.876436154796,11699.612547266706,25170.477794101214,33644.447071577684,True,7,7
3,laserday0003 25-11-11 12-47-39.bmp,2025-11-11 12:47:39,1370.0313743675354,656.5216294086088,171.8158155282866,164.60884933163254,404.59532645934917,387.6242179956077,11485.292179652031,11621.063562499796,25171.7495922265,33641.301713290835,True,7,8
4,laserday0004 25-11-11 12-48-39.bmp,2025-11-11 12:48:39,1372.9065711459025,658.7990220447791,171.47584745627196,164.8685586037005,403.79476282869854,388.2357865953537,11459.379399948597,11537.714771548532,25168.24000409768,33639.720485272286,True,7,7
5,laserday0005 25-11-11 12-49-40.bmp,2025-11-11 12:49:40,1370.990115267846,654.4121273857695,170.94182638691063,164.88192382158354,402.5372393100976,388.2672592783309,11476.185718421299,11526.952433393095,25178.2396673089,33650.93954330138,True,7,7
6,laserday0006 25-11-11 12-50-39.bmp,2025-11-11 12:50:39,1370.7517968856098,657.1585213398382,170.97423134289522,165.18755557781708,402.61354715000846,388.98696706430763,11434.125371554728,11466.09457777794,25168.400048561296,33637.43856588263,True,7,7
7,laserday0007 25-11-11 12-51-40.bmp,2025-11-11 12:51:40,1376.5818679852525,624.0067621112013,170.49794435499942,164.7002471848347,401.491977003724,387.8394434924009,11579.379840233216,11662.488047932651,25177.350355590694,33639.76339714763,True,7,7
8,laserday0008 25-11-11 12-52-39.bmp,2025-11-11 12:52:39,1374.53605738975,624.5168803495088,170.3702441992168,165.17157456708227,401.1912661171336,388.9493346598895,11604.006724155952,11630.898459151382,25175.29898524109,33640.21689318921,True,7,6
9,laserday0009 25-11-11 12-53-39.bmp,2025-11-11 12:53:39,1374.5559580838828,623.5296692437096,170.28136391832177,165.18709521430097,400.98196905007393,388.98588299107195,11587.969774583864,11599.736037685949,25177.049117727,33644.12797958443,True,7,7
10,laserday0010 25-11-11 12-54-39.bmp,2025-11-11 12:54:39,1374.272505600613,624.2772057780904,170.17266490304922,165.10022533357733,400.726002430035,388.7813200546344,11600.629346286503,11606.726556314168,25178.616808857805,33647.18999350023,True,7,7
11,laserday0011 25-11-11 12-55-39.bmp,2025-11-11 12:55:39,1376.5613364875471,623.5218527212219,170.07794351184376,165.46794465243488,400.50295059933114,389.64723287762536,11676.881833791302,11639.755541953615,25179.62549082523,33651.3358914201,True,7,7
