frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,laserdaytest0001 25-11-07 10-50-52.fits,2025-11-07 10:50:52,356.43900071564013,341.365801296941,128.6238274017443,148.9644209607675,302.8859670342286,350.7844044748438,97403.3356066009,102934.36373056716,-19.51115276268957,-729.3354032270056,True,2,3
2,laserdaytest0002 25-11-07 10-51-52.fits,2025-11-07 10:51:52,356.01126012722165,340.092653005313,128.4655247980451,149.46427091695463,302.51319288985707,351.9614611711811,97750.02270030121,103283.62917263505,-52.64901789757912,-1124.6465029189867,True,2,2
3,laserdaytest0003 25-11-07 10-52-52.fits,2025-11-07 10:52:52,356.17941899217664,340.3196494867143,128.4320907449064,149.33602527364727,302.43446171133945,351.65946575963306,97680.20604317289,103133.11380678338,-37.542577976235435,-1009.5429324304557,True,2,2
4,laserdaytest0004 25-11-07 10-53-52.fits,2025-11-07 10:53:52,356.02920505679583,339.451738552556,128.32698235123175,149.2079850115098,302.1869503590134,351.35795398378076,97823.06064902405,103233.76579240034,-60.12118325197858,-1126.402196408167,True,2,3
5,laserdaytest0005 25-11-07 10-54-52.fits,2025-11-07 10:54:52,356.5734175568843,338.91656175126474,128.2884848285306,149.20012656531614,302.0962956208727,351.3394487571611,97891.4598201545,103272.38253649972,-37.35675504651319,-1163.4825690657667,True,2,2
6,laserdaytest0006 25-11-07 10-55-52.fits,2025-11-07 10:55:52,355.59346656337686,338.43052607160485,128.47268934295977,149.46608089431624,302.5300641038357,351.9657233421533,98131.16101633094,103512.82496726661,-190.56545921893206,-1397.8744312222962,True,2,2
7,laserdaytest0007 25-11-07 10-56-52.fits,2025-11-07 10:56:52,355.245721324684,338.2159280559503,128.4844155807321,149.46133740638837,302.5576772835948,351.9545532816974,98179.17982960139,103523.48075698788,-213.69706816952106,-1418.6472018243205,True,2,2
8,laserdaytest0008 25-11-07 10-57-52.fits,2025-11-07 10:57:52,355.51565566809035,337.73795132476573,128.40995394797943,149.53227696609125,302.38233353820306,352.1216031788714,98283.20610960004,103607.70852554386,-197.27380841311063,-1496.4572215817705,True,2,3
9,laserdaytest0009 25-11-07 10-58-52.fits,2025-11-07 10:58:52,355.25291696840674,337.7554141778445,128.4817408389955,149.1535740588445,302.5513787481382,351.22982598177526,98234.98962065262,103473.46082465957,-187.15686125244886,-1287.4527499269682,True,2,2
10,laserdaytest0010 25-11-07 10-59-52.fits,2025-11-07 10:59:52,355.3807779225429,337.85217473255716,128.38917570882836,148.98213120435352,302.33340452414967,350.8261089114426,98162.56426436591,103363.16966591588,-155.22168858840615,-1207.477615957064,True,2,2
11,laserdaytest0011 25-11-07 11-00-52.fits,2025-11-07 11:00:52,355.445846880375,337.66593972686064,128.46039567229846,149.35300180247623,302.5011147217354,351.6994424300145,98342.50276745803,103572.65758964643,-229.3850915624885,-1413.6474351604063,True,2,2
12,laserdaytest0012 25-11-07 11-01-52.fits,2025-11-07 11:01:52,355.5051184527874,337.16756854236377,128.51078272871226,149.06471849977504,302.61976717218874,351.02058713016606,98351.62260894926,103563.99739765444,-200.08844914157078,-1322.025915409361,True,2,2
13,laserdaytest0013 25-11-07 11-02-52.fits,2025-11-07 11:02:52,355.0646312817148,337.4063138774024,128.57355073029908,148.89012360175064,302.7675745205119,350.6094475645381,98331.47007441105,103443.13910318274,-288.8749703197867,-1265.7997145604113,True,2,2
14,laserdaytest0014 25-11-07 11-03-52.fits,2025-11-07 11:03:52,354.7703796896857,337.017719312074,128.53793421462987,149.07868375746665,302.68370403547993,351.05347279891225,98432.62616025409,103478.29367954528,-289.8072236371348,-1333.3059362437207,True,2,2
15,laserdaytest0015 25-11-07 11-04-52.fits,2025-11-07 11:04:52,354.6139074086793,336.80277396629947,128.4861871500779,149.24410420615519,302.56184901060146,351.44300818734206,98509.45985760647,103513.77660807913,-271.67620665885,-1373.6027232350486,True,2,2
16,laserdaytest0016 25-11-07 11-05-52.fits,2025-11-07 11:05:52,354.91767617632655,336.38771041618827,128.58460731477683,149.64561814678194,302.7936107872697,352.3885012630893,98703.60063917193,103886.37620820622,-375.71637574469423,-1741.14879865712,True,2,2
17,laserdaytest0017 25-11-07 11-06-52.fits,2025-11-07 11:06:52,354.30880489239115,336.5022665489565,128.4589716371309,149.445281139505,302.497761375178,351.91674366259207,98631.88533357868,103637.36297555815,-306.57507932995793,-1517.7398436799967,True,2,2
18,laserdaytest0018 25-11-07 11-07-52.fits,2025-11-07 11:07:52,354.4043507826569,336.4583617709233,128.52564185052927,149.06511132911632,302.654757730095,351.0215121725732,98553.67064731443,103579.31264883012,-318.6544449992213,-1420.2580575590944,True,2,3
19,laserdaytest0019 25-11-07 11-08-52.fits,2025-11-07 11:08:52,354.47078433011256,336.3938066011241,128.35969735932687,149.21694660339404,302.26398831584913,351.3790569199851,98573.9371299678,103602.28712508656,-287.9932838622317,-1506.4520621808495,True,2,2
20,laserdaytest0020 25-11-07 11-09-52.fits,2025-11-07 11:09:52,354.0488833559201,336.08122310735246,128.52265466673822,149.30255562372133,302.64772344982566,351.5806507570873,98686.00485968267,103666.8863289697,-360.27249222258564,-1551.2207466371476,True,2,2
21,laserdaytest0021 25-11-07 11-10-52.fits,2025-11-07 11:10:52,354.53433201697464,336.567060882358,128.41418288764507,149.63027243664445,302.3922919300969,352.3523648772523,98655.59271004552,103675.11557064639,-329.6566842320142,-1623.238177848224,True,2,3
22,laserdaytest0022 25-11-07 11-11-52.fits,2025-11-07 11:11:52,354.79756913200976,336.19787940846675,128.34177714168047,149.65069723672903,302.22178942812405,352.4004616059072,98679.44888205068,103738.67492254819,-284.1896216290588,-1673.7087672809557,True,2,2
23,laserdaytest0023 25-11-07 11-12-52.fits,2025-11-07 11:12:52,354.23227838185204,336.23472415543114,128.40008084587032,149.7618831370075,302.3590841594499,352.6622843926077,98765.94308275625,103765.01209994452,-355.06930155145574,-1720.1244810736594,True,2,3
24,laserdaytest0024 25-11-07 11-13-52.fits,2025-11-07 11:13:52,354.3995280813579,336.17105245972107,128.2646054719614,150.2183754424119,302.0400640333611,353.73724162377647,98836.7154553065,103925.67396454903,-327.19403619803904,-1935.6983317109425,True,2,3
25,laserdaytest0025 25-11-07 11-14-52.fits,2025-11-07 11:14:52,353.9438469440735,336.0721166709044,128.42958231764277,150.11521681443665,302.42855481653754,353.4943216188024,98813.38180161625,103981.05185161803,-367.04203713310613,-1942.1581311359137,True,2,2
26,laserdaytest0026 25-11-07 11-15-52.fits,2025-11-07 11:15:52,353.5947482152497,336.5626406502201,128.47233932106406,150.5721191336092,302.52923986525946,354.5702443586111,98847.93536677455,104040.43111981505,-375.4536265787184,-2010.5948379382532,True,2,3
27,laserdaytest0027 25-11-07 11-16-52.fits,2025-11-07 11:16:52,353.6512395166352,336.56317059439084,128.57911550884148,150.94617349726408,302.78067857256974,355.4510750720769,98961.89724829888,104309.03790286384,-439.85944350059674,-2247.584337841874,True,2,2
28,laserdaytest0028 25-11-07 11-17-52.fits,2025-11-07 11:17:52,353.4601326347687,336.5500181530789,128.56127081898683,151.46609435970996,302.7386575392026,356.6753951407942,99103.71036737059,104531.79110997562,-495.16172616059487,-2519.8839837832766,True,2,3
29,laserdaytest0029 25-11-07 11-18-52.fits,2025-11-07 11:18:52,353.0690295322278,336.7720213550655,128.54768427496091,151.11238838136433,302.7066636729877,355.84248121293865,98955.33022182797,104255.40550089767,-424.50458136002544,-2223.9848380367757,True,2,2
30,laserdaytest0030 25-11-07 11-19-52.fits,2025-11-07 11:19:52,353.36173691076834,336.38262848195296,128.55916711973842,151.10797647086582,302.73370370604374,355.8320919576599,98959.51429733915,104348.73291370929,-396.0001262710925,-2287.543108720762,True,2,2
31,laserdaytest0031 25-11-07 11-20-52.fits,2025-11-07 11:20:52,353.94779054333964,336.3433860147436,128.53464341891052,151.2368000114103,302.6759548037559,356.1354482132059,98971.52361585657,104506.64038939156,-359.42797218203884,-2391.0034039652096,True,2,2
32,laserdaytest0032 25-11-07 11-21-52.fits,2025-11-07 11:21:52,352.78119165444656,336.1337839091815,128.51816515929343,151.7850276470483,302.6371514677023,357.4264256388462,99167.5107787606,104689.30382294928,-466.3104719114528,-2689.1978931360472,True,2,2
33,laserdaytest0033 25-11-07 11-22-52.fits,2025-11-07 11:22:52,353.20241449463356,336.2838906530556,128.512950547869,151.9761063197695,302.624871996193,357.876381527548,99145.65433545836,104764.69535058297,-422.6253758449975,-2735.4753790676573,True,2,2
34,laserdaytest0034 25-11-07 11-23-52.fits,2025-11-07 11:23:52,353.9287588696739,336.6412457664778,128.5175703860727,152.0658815764512,302.6357508837999,358.08778610152984,99062.18567266305,104770.60327549237,-369.57137608188896,-2711.7754593722193,True,2,2
35,laserdaytest0035 25-11-07 11-24-52.fits,2025-11-07 11:24:52,353.4757123930093,335.8688014388785,128.52465370275743,152.58577344573078,302.6524308199144,359.31203789655797,99368.47202385541,105124.38125114478,-443.4846556079783,-3062.7773607130835,True,2,3
36,laserdaytest0036 25-11-07 11-25-52.fits,2025-11-07 11:25:52,352.7093284486356,336.27301854508966,128.53506060426534,152.1892817242612,302.6769372001919,358.3783712431526,99267.6655234867,104926.5865206823,-505.6770612841197,-2913.139565869976,True,2,2
37,laserdaytest0037 25-11-07 11-26-52.fits,2025-11-07 11:26:52,352.15584604149825,336.00847945611304,128.81392173992498,152.34113789630138,303.33360499222334,358.73596520103445,99450.9588933478,105124.20836134533,-645.4185091009781,-3044.584770343574,True,2,2
