frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,lasernight0001 25-11-11 15-51-01.bmp,2025-11-11 15:51:01,1392.2639135902457,582.9923689405254,185.2834754300002,190.50060007196015,436.3092419555639,448.59463163987607,11172.768246148371,10681.518812033502,25178.36261250676,33620.13835916604,True,8,8
2,lasernight0002 25-11-11 15-52-01.bmp,2025-11-11 15:52:01,1380.7826963858429,600.163453207553,180.4428370364771,189.0628945831573,424.91040963574926,445.2090939359921,12108.861923595668,11409.764126929203,25175.173049022225,33605.27889048913,True,7,8
3,lasernight0003 25-11-11 15-53-02.bmp,2025-11-11 15:53:02,1377.5995315158877,606.3471419462475,180.35369492757053,185.10130409434956,424.70049601083974,435.8802612427437,12682.118660361906,12137.493482248086,25171.986705777803,33617.18580068119,True,7,9
4,lasernight0004 25-11-11 15-54-01.bmp,2025-11-11 15:54:01,1375.0528994809517,602.715333462991,182.9238274952191,179.70755753624758,430.7526956995254,423.17895872990846,14299.874996876775,14174.648580389934,25167.00514534699,33646.743139355385,True,7,8
5,lasernight0005 25-11-11 15-55-01.bmp,2025-11-11 15:55:01,1368.939475531945,621.4286120318134,178.72498295209766,184.41101217627352,420.86517240341425,434.2547479971353,13515.409486992923,12896.985107518029,25171.701095080654,33611.98422659034,True,7,8
6,lasernight0006 25-11-11 15-56-01.bmp,2025-11-11 15:56:01,1368.2152764299894,627.3340733926823,178.41479564285495,184.91013821477728,420.13473710989535,435.4300999976009,13869.183687875502,13205.483647649793,25172.77406871328,33607.403635895695,True,7,8
7,lasernight0007 25-11-11 15-57-01.bmp,2025-11-11 15:57:01,1365.1500916668836,630.7093303181325,178.76517736444583,185.31446183362132,420.95982301131,436.3822093599343,14131.940381242453,13468.200384775935,25170.335127257433,33601.26924992403,True,7,9
8,lasernight0008 25-11-11 15-58-01.bmp,2025-11-11 15:58:01,1366.2739783349696,631.4925045599427,178.6993691060522,183.8817884874159,420.80485640531606,433.0085214463082,13950.688976435084,13374.603236285675,25169.543574937285,33604.24541274007,True,8,8
9,lasernight0009 25-11-11 15-59-02.bmp,2025-11-11 15:59:02,1363.2513063372355,628.6296979055223,179.01943113207187,181.80843213671062,421.55854487984044,428.1261403511752,13903.999001343256,13443.244321733433,25163.461201303922,33610.8792358417,True,8,8
10,lasernight0010 25-11-11 16-00-01.bmp,2025-11-11 16:00:01,1365.0113899529636,630.2578111609489,179.06184227076477,180.69492320580162,421.658415479367,425.5040272003497,13984.165120599728,13602.537793118898,25157.28268608663,33604.028829801464,True,8,8
11,lasernight0011 25-11-11 16-01-01.bmp,2025-11-11 16:01:01,1362.4894385079363,631.8374298203554,179.06701879813386,180.9640955921317,421.6706052697794,426.13787973124863,14107.94240800935,13684.649691818317,25155.957514234677,33607.10899678301,True,8,8
12,lasernight0012 25-11-11 16-02-01.bmp,2025-11-11 16:02:01,1365.0820837973733,630.0311589223004,179.0424964062145,179.9090804130889,421.6128594497356,423.6535088398267,14213.182681338265,13860.074704092103,25163.943490018602,33619.525661748994,True,8,7
13,lasernight0013 25-11-11 16-03-01.bmp,2025-11-11 16:03:01,1360.2882000067436,630.6401422816465,180.63278380776333,178.7670811954649,425.357700100263,420.964306190756,14430.708901695296,14244.627510948623,25148.586540808905,33610.716534923406,True,8,8
14,lasernight0014 25-11-11 16-04-01.bmp,2025-11-11 16:04:01,1362.7183302198725,632.3688580118633,180.64457695359832,177.902099511808,425.38547083646915,418.9274299834961,14235.904239869915,14100.068317061761,25146.509071808337,33611.81121047163,True,8,8
15,lasernight0015 25-11-11 16-05-02.bmp,2025-11-11 16:05:02,1362.6159575444285,633.5072410935286,179.88913568132025,177.40291379669452,423.6065425856651,417.7519374553538,14004.768073347499,13839.846282179898,25157.307144649018,33627.294250727,True,8,8
16,lasernight0016 25-11-11 16-06-01.bmp,2025-11-11 16:06:01,1362.2707609968031,633.4656533089784,179.76373979940473,177.2452890362706,423.3112578493661,417.38075950991436,13989.343134164468,13842.037808068122,25157.80459845676,33624.3789658351,True,8,8
17,lasernight0017 25-11-11 16-07-01.bmp,2025-11-11 16:07:01,1360.7033982689304,633.023461577355,179.64580882185453,177.08592334969384,423.03355161950077,417.00548199667327,13940.78972607372,13800.766607996684,25155.308986220312,33619.92803642179,True,8,9
18,lasernight0018 25-11-11 16-08-01.bmp,2025-11-11 16:08:01,1363.9722518971773,634.8323293616211,179.6275168908253,177.27666175739697,422.9904774136508,417.4546366224899,13998.295930966677,13835.987944696992,25157.552146468643,33624.472180799,True,8,7
19,lasernight0019 25-11-11 16-09-01.bmp,2025-11-11 16:09:01,1363.9497419131937,635.8312628626467,179.54499209354228,176.7791512971366,422.7961463667967,416.2830890180562,13979.829776314864,13841.166693200423,25161.954261071474,33632.26348708691,True,7,7
20,lasernight0020 25-11-11 16-10-01.bmp,2025-11-11 16:10:01,1361.896235772697,635.7765257299071,179.46784986379313,176.91751718399735,422.614490297865,416.60891578198436,13938.137737304509,13786.953396783714,25153.395973153212,33619.701991096365,True,8,8
21,lasernight0021 25-11-11 16-11-01.bmp,2025-11-11 16:11:01,1362.8222511188144,634.3721913240244,179.33579017922042,176.6743451510828,422.30351350549273,416.0362894044863,13874.12701911508,13746.206208512318,25150.262959940344,33611.9139742924,True,8,7
22,lasernight0022 25-11-11 16-12-02.bmp,2025-11-11 16:12:02,1364.0460626880895,637.6936945175485,179.1958193054729,176.58916953434064,421.9739072862715,415.83571615483396,13898.775922767805,13759.513460403565,25153.85166226391,33618.351697518236,True,8,8
23,lasernight0023 25-11-11 16-13-01.bmp,2025-11-11 16:13:01,1363.2058021143316,637.1790843446985,179.269337445787,176.63382093276368,422.14702927675654,415.9408621628792,13882.694128130495,13761.376259489809,25159.369333212715,33622.05441921009,True,7,8
24,lasernight0024 25-11-11 16-14-01.bmp,2025-11-11 16:14:01,1362.9436366210734,636.5059017568819,179.1958119067759,176.42529221232508,421.97388986367156,415.4498145520257,13947.590923626465,13830.994732099845,25156.701532574756,33620.05939245678,True,8,7
25,lasernight0025 25-11-11 16-15-01.bmp,2025-11-11 16:15:01,1364.5569334439847,638.8533436638476,179.3762643924197,176.65794689587133,422.3988229940412,415.9976744644108,14091.091624988123,13959.914914328345,25159.176125752863,33626.304978231674,True,7,7
26,lasernight0026 25-11-11 16-16-01.bmp,2025-11-11 16:16:01,1363.8720198716696,639.4088827205048,179.58855329891927,176.6060091050824,422.8987251664041,415.87537031356635,14140.47018789242,14050.093702426266,25158.995022692765,33621.69579264668,True,7,8
27,lasernight0027 25-11-11 16-17-02.bmp,2025-11-11 16:17:02,1362.5901182901437,638.9521299629386,179.64506330690617,176.64979906422292,423.03179606595654,415.97848778712154,14230.471465647046,14107.232635261058,25155.938041181616,33625.798997063255,True,8,7
28,lasernight0028 25-11-11 16-18-01.bmp,2025-11-11 16:18:01,1362.78706126116,638.6910654868253,179.68797363669287,176.0086075651347,423.1328421706771,414.46859719236517,14205.593189680643,14145.386565473911,25147.348515820013,33612.32759057257,True,7,7
29,lasernight0029 25-11-11 16-19-01.bmp,2025-11-11 16:19:01,1362.291635736638,640.4455485885608,179.63265370063883,176.12906846618984,423.00257367636726,414.7522609368123,14264.228283358576,14198.751533655877,25154.645032343808,33620.27465494622,True,7,7
30,lasernight0030 25-11-11 16-20-01.bmp,2025-11-11 16:20:01,1364.808404431036,634.418373996085,176.5221408633693,172.62151600642702,415.67787569683884,406.4926060955652,13093.241268513804,13009.01125666504,25168.92850446078,33644.57424045434,True,7,7
31,lasernight0031 25-11-11 16-21-01.bmp,2025-11-11 16:21:01,1366.1737937746977,635.3048967721189,176.29696702136295,172.71927769235785,415.14763182006567,406.72281727323116,13113.530408067018,13025.299895034366,25166.590296349565,33636.94058680615,True,7,8
32,lasernight0032 25-11-11 16-22-01.bmp,2025-11-11 16:22:01,1366.4075276086705,634.7620808684575,176.50012301928479,173.42395553682735,415.6260276362403,408.38220678667716,13152.662060776343,13042.795996680978,25166.951810888597,33634.00031786059,True,7,7
33,lasernight0033 25-11-11 16-23-01.bmp,2025-11-11 16:23:01,1366.8664175139947,636.3349770213333,176.49765202987305,173.22880292358505,415.6202089008425,407.922657501174,13162.767289600815,13058.093627395836,25167.43492452247,33636.775385166016,True,7,7
34,lasernight0034 25-11-11 16-24-02.bmp,2025-11-11 16:24:02,1367.1071250688085,633.880876929279,176.51710021607488,172.53019541803394,415.66600587955,406.27756254349316,13047.69709591687,12987.102723599346,25160.990626927607,33629.89516729036,True,7,7
35,lasernight0035 25-11-11 16-25-01.bmp,2025-11-11 16:25:01,1365.77863663283,631.1937027409562,176.41603142834492,170.02911506770707,415.42800707227656,400.3879684003104,12938.191017209916,12991.993462304667,25155.84263745447,33637.356385774896,True,7,7
36,lasernight0036 25-11-11 16-26-02.bmp,2025-11-11 16:26:02,1371.8442237557845,627.3556300621445,171.79433438877288,167.50780232473696,404.5447422414321,394.45073061337246,11346.900284092208,11308.490282041357,25173.45794146376,33636.73033548533,True,7,7
37,lasernight0037 25-11-11 16-27-01.bmp,2025-11-11 16:27:01,1371.1643739083534,627.2570337903355,172.31303686329932,167.7906650012449,405.7661932258541,395.1168213140044,11484.548628027584,11455.666520027366,25166.530246630467,33629.73629054056,True,7,7
38,lasernight0038 25-11-11 16-28-02.bmp,2025-11-11 16:28:02,1371.0785961755232,629.5632722348269,171.85542748144346,167.59475773191699,404.68860548066573,394.6554949492238,11385.400800815483,11339.158993691519,25176.018566068466,33641.68453648916,True,7,7
39,lasernight0039 25-11-11 16-29-01.bmp,2025-11-11 16:29:01,1369.9854503123465,628.4055345824374,172.69037077115203,167.80046979233413,406.65474667573557,395.1399098325987,11586.38950274723,11550.166187180945,25171.821100215337,33644.55593166833,True,7,7
40,lasernight0040 25-11-11 16-30-01.bmp,2025-11-11 16:30:01,1370.5714427939445,629.2017216459835,171.6748153056385,167.29577372033378,404.26329630870356,393.95144140560393,11284.663399601086,11233.128224154778,25172.301496460204,33639.04396936082,True,7,7
41,lasernight0041 25-11-11 16-31-01.bmp,2025-11-11 16:31:01,1371.3002178150657,629.8511963394734,172.04307158854755,167.87330793922445,405.1304735854064,395.31143056093896,11392.582154817848,11332.869417349095,25173.36539662091,33639.80809463874,True,7,7
42,lasernight0042 25-11-11 16-32-01.bmp,2025-11-11 16:32:01,1366.6063334272428,634.8998205649779,176.40470357610883,172.3007623412422,415.40133201876387,405.73728893527084,12987.975976092903,12928.350803161913,25166.601392263376,33638.79739767559,True,7,7
43,lasernight0043 25-11-11 16-33-02.bmp,2025-11-11 16:33:02,1366.5021467199408,638.5957899409922,177.27842213073913,174.24374764531697,417.4587819849228,410.3126696765067,13439.511521855055,13334.587658299093,25139.127112918228,33596.32105591924,True,7,7
44,lasernight0044 25-11-11 16-34-01.bmp,2025-11-11 16:34:01,1366.2409393313628,640.5163409143607,177.2858290822934,174.5405000184618,417.4762240229153,411.01146811319865,13508.64370471527,13367.92957967981,25141.356740900424,33602.6556974569,True,7,8
45,lasernight0045 25-11-11 16-35-01.bmp,2025-11-11 16:35:01,1365.4696410118459,641.5451499571311,177.28709884904967,174.5379813355033,417.4792140951255,411.00553706808086,13499.21538455217,13368.596835115753,25141.563335572515,33600.654826184575,True,7,7
46,lasernight0046 25-11-11 16-36-01.bmp,2025-11-11 16:36:01,1367.0167561523517,640.6364861818021,177.43893122405802,174.56151493795582,417.83675201527984,411.0609544668679,13504.202519033997,13382.571891378995,25133.39193900643,33590.003664991855,True,7,7
47,lasernight0047 25-11-11 16-37-01.bmp,2025-11-11 16:37:01,1365.5517944278279,640.4569575812299,177.50095416353074,174.62587615234344,417.98280487640193,411.2125135446303,13524.325146618437,13396.34680314234,25141.25497952565,33601.98334129328,True,7,8
48,lasernight0048 25-11-11 16-38-02.bmp,2025-11-11 16:38:02,1364.1180108131302,638.8119500769438,177.58866643341304,174.66199600249632,418.18935148771595,411.2975692917939,13503.919137313313,13385.639161777022,25140.601942057085,33599.75490933837,True,7,8
49,lasernight0049 25-11-11 16-39-01.bmp,2025-11-11 16:39:01,1366.6288472301508,638.4942391623151,177.32627275558818,174.41186344100134,417.57146159548455,410.70855212207056,13507.678674782428,13391.444859778197,25141.297162001494,33599.969983879564,True,7,8
50,lasernight0050 25-11-11 16-40-01.bmp,2025-11-11 16:40:01,1365.6758403434974,638.2772296737872,177.26923107519318,174.13300912713632,417.4371387030882,410.0519003941379,13416.486726247613,13301.107884674904,25139.93635136976,33601.44723296958,True,7,7
51,lasernight0051 25-11-11 16-41-01.bmp,2025-11-11 16:41:01,1365.4267797711998,638.8587512529982,177.38312267657912,174.57605950439878,417.70533292899245,411.095204303474,13515.490995387716,13389.247961077754,25137.27353465991,33595.04923598301,True,7,7
52,lasernight0052 25-11-11 16-42-01.bmp,2025-11-11 16:42:01,1365.905334525083,638.5953733088878,177.48214288356016,174.68778004749026,417.9385076972545,411.35828607778757,13544.05334143236,13412.59533865827,25141.151462711816,33601.31435005603,True,7,7
53,lasernight0053 25-11-11 16-43-02.bmp,2025-11-11 16:43:02,1368.2074885418258,638.8107824516691,177.43830426584228,174.82315266424573,417.835275641506,411.67706422927165,13537.686810874462,13396.48066909638,25141.259654427573,33600.518403096576,True,7,8
54,lasernight0054 25-11-11 16-44-01.bmp,2025-11-11 16:44:01,1366.3818368092175,641.0536027586458,177.6460169274672,174.81009273641249,418.3244015807071,411.64631044942325,13560.35801242798,13436.764400567208,25131.948784292857,33588.049430048,True,7,7
55,lasernight0055 25-11-11 16-45-01.bmp,2025-11-11 16:45:01,1365.7981313246248,638.5207913849252,177.44095550576031,174.91630239672673,417.84151883440916,411.8964150865072,13540.50864973102,13397.210134206545,25139.30845895185,33596.827387065205,True,7,7
56,lasernight0056 25-11-11 16-46-01.bmp,2025-11-11 16:46:01,1367.2648347248085,638.0447684566752,177.57879668307837,174.70922345939704,418.1661100017884,411.40878145397954,13521.735021922905,13402.541810932082,25139.708506819614,33597.84813971389,True,7,7
57,lasernight0057 25-11-11 16-47-01.bmp,2025-11-11 16:47:01,1367.9049968794,637.8647560431363,177.5379644353021,174.52855213686274,418.06995740624114,410.9833330021135,13535.041521703191,13410.828167405747,25137.69885277993,33598.80085704811,True,7,7
58,lasernight0058 25-11-11 16-48-01.bmp,2025-11-11 16:48:01,1365.2465622833163,637.671875388947,177.39151321778397,174.7391426660696,417.72509114361026,411.4792358015835,13534.88006927475,13414.042440470894,25138.259980764644,33592.512442621475,True,7,7
59,lasernight0059 25-11-11 16-49-01.bmp,2025-11-11 16:49:01,1368.0009337834326,640.1267515853154,177.52612624700157,175.0495673892354,418.04208060313425,412.2102301621675,13516.76417226864,13377.109051335954,25139.000381069596,33594.671911470796,True,7,7
60,lasernight0060 25-11-11 16-50-01.bmp,2025-11-11 16:50:01,1364.6476764287502,637.7447581208623,177.59009390871836,175.36662068644543,418.1927129351787,412.95683362178085,13548.912556741547,13379.317041745877,25133.66043986064,33590.12418783474,True,7,7
61,lasernight0061 25-11-11 16-51-01.bmp,2025-11-11 16:51:01,1368.2471740911178,637.6644526630722,177.44379472296512,174.96511138118709,417.84820467999526,412.01135146149204,13551.296887611019,13384.784256276513,25137.350326476542,33598.75955285466,True,7,7
62,lasernight0062 25-11-11 16-52-01.bmp,2025-11-11 16:52:01,1368.2390996096776,637.9781504462818,177.60656074620542,174.82012878348547,418.2314893741715,411.6699435342436,13519.078887407,13401.415833987543,25139.81415528958,33596.184042048866,True,7,8
63,lasernight0063 25-11-11 16-53-02.bmp,2025-11-11 16:53:02,1366.1339229972848,638.1232651174664,177.53723193367242,174.68466294286958,418.06823249672055,411.35094585734436,13518.089044274655,13391.172324057967,25140.183243773237,33599.92308420696,True,7,7
64,lasernight0064 25-11-11 16-54-02.bmp,2025-11-11 16:54:02,1367.9641260032784,636.5077841738347,177.6075679978084,175.1802661035104,418.23386127043653,412.51800211440207,13532.875243187413,13382.743920594214,25132.35625775019,33587.45196747562,True,7,7
65,lasernight0065 25-11-11 16-55-02.bmp,2025-11-11 16:55:02,1365.4030159402134,637.2253901871794,177.54234999040852,175.0476273323047,418.0802845993144,412.2056616772186,13543.658310314493,13378.607677148233,25141.93887523294,33604.827045329635,True,7,7
66,lasernight0066 25-11-11 16-56-02.bmp,2025-11-11 16:56:02,1366.6323519959058,640.4469080267968,177.47419893922768,175.09893043619374,417.9198011379038,412.3264712546288,13533.343131195623,13381.382611294224,25142.237111186503,33600.072552268204,True,7,8
67,lasernight0067 25-11-11 16-57-02.bmp,2025-11-11 16:57:02,1366.7334334267266,637.5499774325237,177.60324870662325,174.85618518291434,418.22369011697344,411.75484986637036,13507.2823139002,13366.630169796083,25139.880521460782,33600.79292105125,True,7,8
68,lasernight0068 25-11-11 16-58-02.bmp,2025-11-11 16:58:02,1369.0722896401778,637.703594491464,177.64816797446687,175.34330075515547,418.32946690929975,412.9019193801305,13465.29489340869,13303.157910117092,25133.76491454824,33589.73623268157,True,7,8
69,lasernight0069 25-11-11 16-59-02.bmp,2025-11-11 16:59:02,1369.1903622826665,638.9652041447483,177.72525545163322,175.15439751013201,418.5109940457519,412.45708623217786,13467.211410138623,13319.305570589077,25141.138474963285,33600.93827061056,True,7,7
70,lasernight0070 25-11-11 17-00-03.bmp,2025-11-11 17:00:03,1368.3079277459424,638.5684598013092,177.5654867479095,175.28342498807402,418.1347674996547,412.7609227235955,13481.077074361187,13309.478128683375,25143.391162915,33604.36012972506,True,7,8
71,lasernight0071 25-11-11 17-01-02.bmp,2025-11-11 17:01:02,1366.8673271819603,637.7964740765789,177.68881219694774,175.41306848437696,418.4251767391124,413.0662098273976,13477.257965622186,13305.312660985088,25138.60819827188,33597.98018282309,True,7,7
72,lasernight0072 25-11-11 17-02-02.bmp,2025-11-11 17:02:02,1368.299932086739,639.0742307012187,177.79723441761385,174.92434047933526,418.6804915576637,411.91534332455734,13511.171729374628,13371.711826581683,25139.79367815602,33602.63993586251,True,7,8
73,lasernight0073 25-11-11 17-03-03.bmp,2025-11-11 17:03:03,1368.1687019430706,638.0323483435953,177.75447128633044,175.34048088404467,418.57979207892924,412.8952790911144,13513.958354988801,13343.48399461947,25139.462294790384,33601.31050085353,True,7,8
74,lasernight0074 25-11-11 17-04-03.bmp,2025-11-11 17:04:03,1368.6038306885034,641.6144407134948,177.76719538510042,175.03559857270062,418.60975504176776,412.17733611298604,13444.108037808419,13302.745570341353,25137.965817956276,33597.906418640436,True,7,8
75,lasernight0075 25-11-11 17-05-03.bmp,2025-11-11 17:05:03,1367.4944486094898,638.6796855749459,177.54682304142216,175.03861430780765,418.0908178295037,412.1844376264666,13479.072517756416,13333.582554714556,25142.696163121822,33601.37705292304,True,7,8
76,lasernight0076 25-11-11 17-06-03.bmp,2025-11-11 17:06:03,1366.426898352972,638.0362954713471,177.5125079752448,174.745325344169,418.0100120238227,411.49379489590393,13441.423139284147,13305.542218689088,25142.38631595339,33603.13204932718,True,7,7
77,lasernight0077 25-11-11 17-07-03.bmp,2025-11-11 17:07:03,1369.7998265959418,638.6836122951565,177.5138538235891,174.96553970271322,418.0131812544814,412.0123600816075,13393.468831890481,13244.326680313785,25139.279074991868,33598.05706601715,True,7,8
78,lasernight0078 25-11-11 17-08-03.bmp,2025-11-11 17:08:03,1371.4890391072759,642.0445781675642,177.53406282121026,175.05581211876967,418.0607698071697,412.2249353764506,13426.130852293509,13252.655967022944,25136.21405416186,33598.40437122297,True,7,7
