frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,lasernight0001 25-11-12 15-00-39.bmp,2025-11-12 15:00:39,938.3730230818128,675.5088642496391,184.2823855982207,173.29447188990255,433.95185555281284,408.0772960993949,22539.33192745088,23304.889571130523,28300.397640880627,37884.24306817387,True,10,8
2,lasernight0002 25-11-12 15-01-39.bmp,2025-11-12 15:01:39,930.7680268756246,673.7181299065662,184.4100378179599,172.41694684631386,434.2524535586474,406.0108825367356,22549.28767216175,23253.828854728054,28279.850534409255,37901.18098222888,True,9,9
3,lasernight0003 25-11-12 15-02-38.bmp,2025-11-12 15:02:38,932.6007138531357,674.0906146007014,184.54295373266655,172.2359164147056,434.56544661890223,405.58458844762384,22542.016779957696,23255.572473941917,28214.53980618842,37821.35855291357,True,9,8
4,lasernight0004 25-11-12 15-03-38.bmp,2025-11-12 15:03:38,930.679124276039,678.9019780927873,184.26768269562012,172.05973749686862,433.91723286304887,405.1697188003895,22442.701303391284,23195.654088083087,28277.66517499658,37892.310964278906,True,9,8
5,lasernight0005 25-11-12 15-04-39.bmp,2025-11-12 15:04:39,933.4402070522881,672.6200920544846,184.09341817895327,172.52310455951095,433.50687128606415,406.2608648477068,22526.067569204664,23147.196692998317,28325.03839593298,37967.33234593196,True,9,8
6,lasernight0006 25-11-12 15-05-38.bmp,2025-11-12 15:05:38,934.4355832139745,675.772341270795,184.2760167171261,172.44805353940995,433.9368579839469,406.0841332011729,22471.523472839162,23152.804667910932,28279.61621075288,37900.002860385306,True,9,8
7,lasernight0007 25-11-12 15-06-38.bmp,2025-11-12 15:06:38,931.8871340221996,672.1836065627047,184.15223072116638,172.65231632995895,433.64536423936676,406.56513531481164,22521.55254754896,23169.765963505466,28298.269423415768,37923.29862395678,True,9,8
8,lasernight0008 25-11-12 15-07-39.bmp,2025-11-12 15:07:39,933.0135625550375,673.5242208256354,184.72766772759738,173.01326970035504,435.0004148367631,407.41511554674184,22538.612413646646,23210.82233612265,28215.425056601227,37813.682422733975,True,9,8
9,lasernight0009 25-11-12 15-08-38.bmp,2025-11-12 15:08:38,934.0595082016446,674.6111664476364,184.33994186391882,172.65330859138953,434.0873902009959,406.5674719119183,22432.79925767954,23202.744169753674,28290.071149143238,37889.049760086666,True,9,8
10,lasernight0010 25-11-12 15-09-38.bmp,2025-11-12 15:09:38,932.4087898400135,674.9923306072708,184.59451014976767,172.50981947492357,434.68685270334197,406.22958086422045,22485.73728360638,23146.51173483393,28241.806967066394,37861.91564907413,True,9,8
11,lasernight0011 25-11-12 15-10-39.bmp,2025-11-12 15:10:39,933.7009033102557,676.3361258512726,183.8679639583822,172.179568441491,432.97596716822653,405.45189911080126,22406.937408703525,23111.25533037822,28333.315270694766,37961.57248817478,True,10,8
12,lasernight0012 25-11-12 15-11-39.bmp,2025-11-12 15:11:39,933.5571787735784,673.9465420046005,184.32567356418323,172.47900776039717,434.05379092277,406.1570248212319,22420.10133969877,23165.37614498594,28283.34858466789,37890.30641143472,True,9,9
13,lasernight0013 25-11-12 15-12-38.bmp,2025-11-12 15:12:38,936.0268773093877,676.0931657714092,184.37791929904463,172.253037110202,434.17682022648904,405.62490460456365,22375.743887066285,23075.182415349012,28293.918610173103,37922.35071080933,True,9,8
14,lasernight0014 25-11-12 15-13-38.bmp,2025-11-12 15:13:38,935.1282009754532,676.0219206615345,185.20156533511405,173.25886706578083,436.1163584222356,407.99345314585327,22540.393410510882,23152.99493008777,28199.063316899188,37811.87035561663,True,10,8
15,lasernight0015 25-11-12 15-14-39.bmp,2025-11-12 15:14:39,931.0133902746574,676.9960078757488,184.40940323007013,172.57692408019625,434.25095921836424,406.38760013383046,22372.883234575384,23053.193599080856,28291.347428567482,37914.35245847163,True,8,8
