frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,lasersimultaneous0001 25-11-17 16-54-29.fits,2025-11-17 16:54:29,1309.3126740011794,1255.5330393326547,171.86636031682076,170.8787702808819,404.7143503405612,402.38875352765956,20510.226468950514,20082.84720489101,25201.49346936018,33724.00779985209,True,7,7
2,lasersimultaneous0002 25-11-17 16-55-29.fits,2025-11-17 16:55:29,1309.482100976759,1250.5053468606357,172.68598721239513,169.31414138614454,406.64442418370623,398.7043340432974,20817.352969722037,20635.890232352758,25203.789990149802,33736.98154265714,True,8,7
3,lasersimultaneous0003 25-11-17 16-56-28.fits,2025-11-17 16:56:28,1308.8898440772455,1244.813208918692,171.97098507874486,168.7371900895507,404.9607228271467,397.3457175650716,20933.377035732676,20757.84129720375,25197.881241263385,33724.36720362598,True,8,7
4,lasersimultaneous0004 25-11-17 16-57-29.fits,2025-11-17 16:57:29,1310.5242652244388,1234.3622156430094,171.3764353651694,168.81166097977692,403.5606652438518,397.52108311014763,20967.98003619572,20738.744334466428,25208.338926681547,33731.96183212846,True,7,7
5,lasersimultaneous0005 25-11-17 16-58-28.fits,2025-11-17 16:58:28,1314.2315136154905,1230.5297727667505,171.2136995856486,168.47203780335988,403.1774517681925,396.7213316465637,21033.83084089438,20788.12649951539,25205.25849234245,33736.439054422684,True,7,7
6,lasersimultaneous0006 25-11-17 16-59-29.fits,2025-11-17 16:59:29,1314.5990899275007,1227.262415921481,170.93117431787297,168.09759643486262,402.5121556044067,395.83958960633754,21060.25608419973,20843.9800360973,25203.29781925038,33729.85682895289,True,7,7
7,lasersimultaneous0007 25-11-17 17-00-29.fits,2025-11-17 17:00:29,1314.794490626212,1225.202079230458,170.68730182502532,167.8614528030497,401.93787976981736,395.28351384863805,21050.332989140607,20863.689255937712,25206.987537360925,33727.960130981424,True,7,7
8,lasersimultaneous0008 25-11-17 17-01-29.fits,2025-11-17 17:01:29,1313.599251974117,1225.352641886768,170.57975806541188,167.96888729987467,401.68463356896166,395.5365027552893,21101.842636122685,20884.13490195145,25207.384056075305,33729.595945182,True,7,8
9,lasersimultaneous0009 25-11-17 17-02-29.fits,2025-11-17 17:02:29,1315.5197963028631,1221.2566332252447,170.50339698317643,167.75298810542657,401.50481696185335,395.0280990044969,21069.652123941793,20880.91951905883,25209.289891386063,33729.4483962107,True,8,7
10,lasersimultaneous0010 25-11-17 17-03-28.fits,2025-11-17 17:03:28,1316.1308112446013,1221.0830292278022,170.61581526835906,167.77955681994746,401.7695417932294,395.0906635460214,21110.057479243278,20916.170808042734,25205.374496630666,33727.87448249907,True,8,7
11,lasersimultaneous0011 25-11-17 17-04-29.fits,2025-11-17 17:04:29,1313.4739153551063,1219.6265310671013,170.433537704465,167.45503188210475,401.3403109320123,394.32646571727696,21111.06866285809,20933.274672859767,25206.62107393394,33729.85535658767,True,8,8
12,lasersimultaneous0012 25-11-17 17-05-29.fits,2025-11-17 17:05:29,1316.8274913375594,1219.1285091423676,170.26829320841185,167.61822070749727,400.9511898803753,394.71074603443634,21153.269316575745,20958.08055014729,25209.833234997514,33729.07708231517,True,8,7
