frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,lasersimultaneous0001 25-11-17 16-54-29.fits,2025-11-17 16:54:29,1309.3126914599713,1255.5329615128833,171.86638717216704,170.87893633175446,404.71441358006894,402.38914454758276,20510.225367772393,20082.841936950932,25201.49311534566,33724.00462466165,True,7,7
2,lasersimultaneous0002 25-11-17 16-55-29.fits,2025-11-17 16:55:29,1309.4821182733906,1250.505272191868,172.68601716624315,169.31429921421028,406.64449471962797,398.70470569999026,20817.3517318893,20635.884983167736,25203.7895889152,33736.978453420634,True,8,7
3,lasersimultaneous0003 25-11-17 16-56-28.fits,2025-11-17 16:56:28,1308.8898658159064,1244.8131576062335,171.9710226798997,168.73730261084174,404.96081137109985,397.34598253246327,20933.375461997628,20757.837503785155,25197.880735543204,33724.36499145273,True,8,7
4,lasersimultaneous0004 25-11-17 16-57-29.fits,2025-11-17 16:57:29,1310.5242833720215,1234.362176737758,171.3764722787294,168.8117483661599,403.5607521686428,397.5212888893539,20967.97848044794,20738.74139447055,25208.33842985406,33731.96011497297,True,7,7
5,lasersimultaneous0005 25-11-17 16-58-28.fits,2025-11-17 16:58:28,1314.231533287051,1230.5297392736297,171.2137395023134,168.47211473121652,403.1775457647548,396.7215127978225,21033.829151658374,20788.123894223772,25205.2579534439,33736.437540349194,True,7,7
6,lasersimultaneous0006 25-11-17 16-59-29.fits,2025-11-17 16:59:29,1314.5991148259614,1227.2623860091994,170.93122290492218,168.09766518801564,402.5122700181641,395.8397515076404,21060.254018715343,20843.977689536237,25203.297163016712,33729.8554735602,True,7,7
7,lasersimultaneous0007 25-11-17 17-00-29.fits,2025-11-17 17:00:29,1314.7945154561876,1225.2020530875175,170.68735246488137,167.86151371989706,401.93799901756546,395.2836572968513,21050.330831689826,20863.687168485427,25206.986854085644,33727.958929651984,True,7,7
8,lasersimultaneous0008 25-11-17 17-01-29.fits,2025-11-17 17:01:29,1313.5992763554443,1225.3526031401982,170.5798096966656,167.96897504349374,401.68475515127284,395.53670937572235,21101.840430168308,20884.13189638476,25207.383357673196,33729.59421262864,True,7,8
9,lasersimultaneous0009 25-11-17 17-02-29.fits,2025-11-17 17:02:29,1315.5198229719285,1221.2566021115992,170.5034462833107,167.7530576204249,401.50493305479773,395.0282626998084,21069.65001968515,20880.917132035378,25209.289225647695,33729.44702436432,True,8,7
10,lasersimultaneous0010 25-11-17 17-03-28.fits,2025-11-17 17:03:28,1316.1308672502537,1221.083001197234,170.6158926109356,167.77961870217567,401.76972392107893,395.0908092675328,21110.054174743247,20916.168680970324,25205.37344992943,33727.87325905802,True,8,7
11,lasersimultaneous0011 25-11-17 17-04-29.fits,2025-11-17 17:04:29,1313.4739445096384,1219.6265024437816,170.43358938404677,167.45509474800417,401.34043262812736,394.32661375515704,21111.066452063023,20933.27249960702,25206.620374754453,33729.854113936926,True,8,8
12,lasersimultaneous0012 25-11-17 17-05-29.fits,2025-11-17 17:05:29,1316.827524192405,1219.1284875811332,170.2683487142466,167.61826919663622,400.95132058662756,394.71086021763267,21153.266932155795,20958.078877327407,25209.832482913305,33729.07612196702,True,8,7
13,lasersimultaneous0013 25-11-17 17-06-29.fits,2025-11-17 17:06:29,1317.285146154766,1215.6976277041372,170.21150682042583,167.6195212798143,400.8174681556609,394.7138086481985,21142.931093643107,20936.37825882486,25197.1031104875,33712.94575705349,True,8,8
14,lasersimultaneous0014 25-11-17 17-07-29.fits,2025-11-17 17:07:29,1316.0448813455987,1215.8974786283204,170.14125932484745,167.2641130569895,400.6520479449597,393.8768862409218,21153.217281941557,20976.102294500957,25206.33517171596,33726.63881986346,True,8,8
15,lasersimultaneous0015 25-11-17 17-08-28.fits,2025-11-17 17:08:28,1314.2378346643973,1213.4180420632704,170.11725563480226,167.53722381671773,400.5955235744866,394.5200129324435,21142.055215305852,20963.98091222985,25208.52755065575,33721.59018663075,True,8,7
16,lasersimultaneous0016 25-11-17 17-09-29.fits,2025-11-17 17:09:29,1316.9616552644518,1213.730522011378,170.15789025007336,167.2318184436975,400.6912107810491,393.8008382381953,21162.79810057935,20983.803149620904,25200.663194651883,33720.86339974458,True,8,7
17,lasersimultaneous0017 25-11-17 17-10-29.fits,2025-11-17 17:10:29,1315.8329978643715,1212.4881763891676,169.94864052990485,167.16123845043757,400.19846534557917,393.63463505528864,21172.962372255082,21001.026402249918,25209.442165743712,33727.215178045335,True,8,7
18,lasersimultaneous0018 25-11-17 17-11-29.fits,2025-11-17 17:11:29,1316.6580107609216,1211.8013352209493,169.93524107936935,167.23881808006024,400.16691205086573,393.8173211222102,21191.204037630265,21007.49112760473,25208.548745493033,33726.161596453094,True,8,8
19,lasersimultaneous0019 25-11-17 17-12-29.fits,2025-11-17 17:12:29,1318.1710232742623,1211.704357378609,169.96279951836573,167.09887804807212,400.23180721542417,393.4877875297823,21169.121846984395,21006.491461612597,25207.369406432248,33724.506766966704,True,8,8
20,lasersimultaneous0020 25-11-17 17-13-28.fits,2025-11-17 17:13:28,1319.244050142525,1210.8782080437334,170.1143363010957,167.327800473942,400.5886490689563,394.0268586469778,21159.801411494223,21003.825269335794,25195.496884662727,33705.09935477581,True,8,7
21,lasersimultaneous0021 25-11-17 17-14-29.fits,2025-11-17 17:14:29,1316.5730085647745,1210.0799603772316,169.87549816234488,167.1581170439556,400.0262282323079,393.6272847047362,21168.829371369622,21023.064160033748,25205.45886848629,33714.23866167681,True,8,8
22,lasersimultaneous0022 25-11-17 17-15-29.fits,2025-11-17 17:15:29,1320.6166151982022,1210.2851179672316,169.93255790661559,167.25066376129894,400.1605936618809,393.8452155698381,21193.541877250194,21027.795328557586,25204.85527090028,33716.92106897249,True,8,7
23,lasersimultaneous0023 25-11-17 17-16-29.fits,2025-11-17 17:16:29,1317.6377890693325,1212.0819559014028,169.82387603401784,166.80530424901926,399.90466740975626,392.79647406307674,21175.168481138397,21047.518388818415,25206.62516819388,33720.13117363842,True,8,7
24,lasersimultaneous0024 25-11-17 17-17-29.fits,2025-11-17 17:17:29,1319.0647029127563,1209.654108619172,169.761634314161,167.15091036650134,399.75809936020016,393.61031427620884,21199.600396582424,21026.015750318555,25206.52172560717,33718.88185769372,True,8,8
25,lasersimultaneous0025 25-11-17 17-18-28.fits,2025-11-17 17:18:28,1316.821571120452,1208.3198020348136,169.6911096076242,167.22653852868436,399.59202636757743,393.78840498848626,21217.734039297342,21041.932838090353,25208.214873294724,33717.652474450006,True,8,6
26,lasersimultaneous0026 25-11-17 17-19-29.fits,2025-11-17 17:19:29,1319.6821630714098,1209.3317137133872,169.7119755641383,167.0673964254145,399.6411619402355,393.41365397369805,21204.931459299303,21037.24013727865,25205.37640605963,33717.00495195261,True,8,6
27,lasersimultaneous0027 25-11-17 17-20-28.fits,2025-11-17 17:20:28,1317.9915035424435,1207.957842413773,169.66497253829945,166.91300326624545,399.53047827281307,393.0500858676711,21201.49599676449,21050.320256156963,25204.70117324997,33715.429938539324,True,8,6
28,lasersimultaneous0028 25-11-17 17-21-29.fits,2025-11-17 17:21:29,1318.6354282456955,1206.7749285692355,169.5838257210787,167.2636103693426,399.3393921210312,393.87570250197444,21230.800754732074,21053.21655780616,25207.453718547204,33713.074584467395,True,8,7
29,lasersimultaneous0029 25-11-17 17-22-29.fits,2025-11-17 17:22:29,1316.5309603261242,1206.665847895978,169.48649082896586,167.06494403558793,399.110185966003,393.40787903697617,21235.536221825056,21077.69598677022,25197.883846446613,33698.78480341672,True,7,7
30,lasersimultaneous0030 25-11-17 17-23-30.fits,2025-11-17 17:23:30,1318.50478624016,1206.5339873694718,169.539478231231,166.8537541340874,399.234961762991,392.91056482361466,21219.595791798416,21075.88609032525,25201.591168937335,33707.87306260571,True,8,7
31,lasersimultaneous0031 25-11-17 17-24-30.fits,2025-11-17 17:24:30,1317.461079697529,1207.995056528868,169.52046383718172,166.79193691795422,399.1901862867397,392.7649964039362,21217.436049333486,21072.78102844957,25205.61815984427,33714.61612599254,True,8,6
32,lasersimultaneous0032 25-11-17 17-25-30.fits,2025-11-17 17:25:30,1318.1728998787287,1207.6693664978811,169.38267085398687,166.626679994742,398.8657086078478,392.37584608857594,21228.861712492104,21087.17120052518,25180.705391153813,33681.52360240051,True,8,6
33,lasersimultaneous0033 25-11-17 17-26-30.fits,2025-11-17 17:26:30,1319.6120288458683,1205.0927111590333,169.3151733820757,166.78163541028917,398.7067642080025,392.7407382071925,21245.436236767295,21073.254017245217,25175.781694544745,33675.513893971096,True,7,8
34,lasersimultaneous0034 25-11-17 17-27-29.fits,2025-11-17 17:27:29,1317.902109919599,1205.434355864542,169.3294185971626,167.04172573672855,398.7403091260349,393.3532041214106,21246.801295702764,21082.318883829947,25183.16567349441,33676.92542335891,True,7,8
35,lasersimultaneous0035 25-11-17 17-28-30.fits,2025-11-17 17:28:30,1318.1955547048979,1207.223034125363,169.42489538653282,166.60492450211265,398.9651397834791,392.32461581844285,21194.533507174485,21083.358101876995,25181.952966743153,33678.19188488669,True,8,6
36,lasersimultaneous0036 25-11-17 17-29-29.fits,2025-11-17 17:29:29,1317.9538425607,1207.2424058575439,169.3720082856693,167.00736103960148,398.8406001782421,393.2722814437744,21242.54156551277,21062.229209796606,25182.34545665411,33681.39928639126,True,8,7
