frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,laserweekend0001 25-11-07 14-33-22.fits,2025-11-07 14:33:22,978.1690961938392,1365.0938758263728,201.20151787251575,193.0445309873334,473.79336737685287,454.5851311525709,4491.400196172168,4493.370145865646,25313.405134231205,33800.84985188597,True,9,9
2,laserweekend0002 25-11-07 14-34-22.fits,2025-11-07 14:34:22,976.5951016871976,1363.9965523619865,202.9730860824175,196.55082113132923,477.9650917086691,462.84181346734675,3736.0877958076258,3682.769547348412,25301.894079677862,33783.090191769916,True,9,8
3,laserweekend0003 25-11-07 14-35-21.fits,2025-11-07 14:35:21,976.1394856114903,1360.6704537374262,214.06621431494747,210.0625891115373,504.0874124327295,494.6595955509481,2892.6594826955816,2843.2159977072424,25285.48980453214,33745.70723382362,True,12,10
4,laserweekend0004 25-11-07 14-36-22.fits,2025-11-07 14:36:22,976.8530339871883,1358.590749016252,213.37292214066957,209.66630642004503,502.4548341236768,493.72642112552325,3001.9975253847724,2973.157299931935,25289.744357524134,33745.1171585726,True,10,9
5,laserweekend0005 25-11-07 14-37-22.fits,2025-11-07 14:37:22,970.0900957925684,1360.5103621080032,205.23811341797858,198.92831082801675,483.2988234809914,468.44037386196106,4045.635471174641,4018.974693734361,25306.341128099135,33784.62298564833,True,9,8
6,laserweekend0006 25-11-07 14-38-22.fits,2025-11-07 14:38:22,970.5135890893328,1358.3616672021733,206.36947202104247,201.01284236607708,485.96296939760447,473.34907051228475,4016.380125706014,3959.446402104199,25301.125437186496,33780.5864967895,True,9,8
7,laserweekend0007 25-11-07 14-39-22.fits,2025-11-07 14:39:22,969.6257247115925,1360.9063638418902,208.80593323028842,202.84942677788072,491.7003970920772,477.6738962995913,3840.435824333311,3824.6380022534654,25301.87136038577,33772.8591384836,True,9,8
8,laserweekend0008 25-11-07 14-40-22.fits,2025-11-07 14:40:22,972.8820995905598,1358.570706357474,214.3905688943125,207.00612406444654,504.85120909791584,487.4621703911223,3234.8134822837537,3208.702700288877,25289.6188786353,33760.65124786026,True,11,10
9,laserweekend0009 25-11-07 14-41-22.fits,2025-11-07 14:41:22,968.9119658617755,1358.3229228823204,215.57588902547766,214.9165074172658,507.64242470256227,506.0896996742202,2930.0453931863626,2879.2697389500663,25295.034717877807,33747.1242405164,True,10,10
10,laserweekend0010 25-11-07 14-42-22.fits,2025-11-07 14:42:22,971.3779967015106,1354.657237012234,228.12914428275303,230.64603567501888,537.2030818127844,543.1299081144579,2232.9283313955916,2175.159337347425,25279.20099545433,33720.34446849188,True,13,11
11,laserweekend0011 25-11-07 14-43-22.fits,2025-11-07 14:43:22,964.5056062077105,1366.9569491531465,221.83506575466785,201.17613135953752,522.3816595298506,473.7335867072183,818.6566861331102,818.211960392147,28811.113069497154,38437.65966923151,True,7,8
12,laserweekend0012 25-11-07 14-44-22.fits,2025-11-07 14:44:22,960.5975048290726,1371.6480297149405,217.58489584560812,190.82321661848474,512.3732742332094,449.3543355504908,778.6266043222779,772.198106265531,28812.38816691748,38445.71544847306,True,6,7
13,laserweekend0013 25-11-07 14-45-21.fits,2025-11-07 14:45:21,968.7450539741698,1347.9787831700887,292.9800017180015,291.79833155649817,689.9151808387519,687.1325602558289,427.51790037166535,414.49958632783864,28800.59440958225,38410.29504250981,True,1,4
14,laserweekend0014 25-11-07 14-46-22.fits,2025-11-07 14:46:22,961.4811195104962,1358.7957772115233,233.23327723154563,223.8544478352843,549.2223963931042,527.1369409318625,940.0874915728997,930.726502842361,27271.04049925224,36377.2950020543,True,9,9
15,laserweekend0015 25-11-07 14-47-22.fits,2025-11-07 14:47:22,969.8239207782158,1350.0891739900353,239.96548800539313,237.26919839845797,565.0755412707335,558.7262644571141,1496.6472411102816,1489.7815428240049,27271.55702179662,36373.24329893866,True,12,13
16,laserweekend0016 25-11-07 14-48-22.fits,2025-11-07 14:48:22,970.5294163327976,1345.0134685440266,241.7097465499047,241.24539775844036,569.182956255066,568.0894984130398,1700.4397976959058,1680.5984162633904,27270.00188765542,36371.83198727013,True,12,12
17,laserweekend0017 25-11-07 14-49-22.fits,2025-11-07 14:49:22,966.6569139384757,1349.5049629140137,241.54705675728277,236.16581814126087,568.7998510702779,556.128002510175,1616.5232549797126,1604.1261969972634,27272.768075035514,36382.76077510438,True,14,12
18,laserweekend0018 25-11-07 14-50-22.fits,2025-11-07 14:50:22,963.2553315676719,1351.3203508454303,239.99738892008713,236.0065271374631,565.1506621841098,555.7529008614389,1401.7766630326635,1371.5399005738368,27270.011422488566,36380.01625874545,True,11,12
19,laserweekend0019 25-11-07 14-51-22.fits,2025-11-07 14:51:22,966.3157544597203,1333.2079111604457,259.70353967084526,278.8960679951083,611.5551009823968,656.7500513951957,576.7938369862467,549.1481831217868,27270.803361873215,36360.21840040096,True,1,11
20,laserweekend0020 25-11-07 14-52-22.fits,2025-11-07 14:52:22,966.8639863401178,1340.0954542929471,255.5576011441211,257.8092486802021,601.7921618342007,607.0943865865087,429.9065361228309,421.9298336182448,27268.574691301215,36361.257335428876,True,1,5
21,laserweekend0021 25-11-07 14-53-22.fits,2025-11-07 14:53:22,939.8338755517391,1363.140654978608,179.64666063836452,159.65074308580682,423.0355574940932,375.9487700225441,197.95881448819338,210.74859979143056,29113.56940874425,38820.605375660016,True,1,1
22,laserweekend0022 25-11-07 14-54-21.fits,2025-11-07 14:54:21,931.4507349118112,1407.2561134718471,155.77190867988097,158.44644185216646,366.8148130121142,373.11285733731233,77.86061196168072,76.27984712676813,29109.743890036247,38813.056652566396,True,1,2
23,laserweekend0023 25-11-07 14-55-22.fits,2025-11-07 14:55:22,936.5788178456888,1384.3328708007812,157.8863587685075,121.71337148135083,371.7939624650295,286.61308691258324,125.15201981724721,149.71735954255084,29111.684974010215,38817.58695484249,True,1,1
