frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,minutely0001 25-09-23 10-06-38.fits,2025-09-23 10:06:38,382.9128297077617,238.09332317017842,2.7904162245472595,3.992981437423168,6.570928059543469,9.40275272828057,1177.3495535126883,875.3040222850755,7728.503103000103,10303.575316488028,True,1,1
2,minutely0002 25-09-23 10-07-39.fits,2025-09-23 10:07:39,382.9959609904688,225.19359341379928,2.950816064363412,3.841484713114211,6.948640817562299,9.04600520512131,1137.3640500433423,876.3293394344937,7727.561522230161,10303.361816947276,True,1,1
3,minutely0003 25-09-23 10-08-39.fits,2025-09-23 10:08:39,383.15720795949363,227.1581931744853,2.490720632578349,5.162628350989627,5.865198872167662,12.15706072595545,1299.4516290022132,679.3026989306405,7725.397061966606,10299.117263107943,True,1,1
4,minutely0004 25-09-23 10-09-39.fits,2025-09-23 10:09:39,383.76953927980213,234.26533234347386,2.9867738579968433,4.315595365609029,7.033314950785389,10.162450473178811,1111.1069248206172,785.082292718418,7727.935063202491,10303.550622911891,True,1,1
5,minutely0005 25-09-23 10-10-39.fits,2025-09-23 10:10:39,382.6206173045607,238.6240725356026,2.6207879739749456,4.870007189966119,6.171484054892252,11.467990550377062,1247.12435679755,692.0285214521103,7729.8050227063895,10305.875420432196,True,1,1
6,minutely0006 25-09-23 10-11-39.fits,2025-09-23 10:11:39,385.66209433910313,231.00181623768592,2.5676012317371297,5.6203059639071515,6.0462388481407485,13.234809143015552,1261.727248941538,625.4370977177673,7728.846087284128,10303.689231267557,True,1,1
7,minutely0007 25-09-23 10-12-39.fits,2025-09-23 10:12:39,384.8608635236921,228.31568363385358,2.5019664087812954,4.813981306840553,5.891680651392293,11.33605967775242,1304.3898681767423,712.8895997466153,7725.674248872666,10300.020124628763,True,1,1
8,minutely0008 25-09-23 10-13-39.fits,2025-09-23 10:13:39,386.6907239618945,230.4703553736185,2.911579776293928,7.0852229959245205,6.856246419923669,16.684425134317298,1081.9624192462911,507.7602955575487,7729.516515203906,10303.685764261963,True,1,1
9,minutely0009 25-09-23 10-14-39.fits,2025-09-23 10:14:39,387.1314656540622,236.10435494128052,2.6775032769521974,4.3526368415453796,6.305038387203088,10.24967648321126,1212.0342555006878,771.7063188544633,7727.8053523801045,10303.146546917487,True,1,1
10,minutely0010 25-09-23 10-15-39.fits,2025-09-23 10:15:39,384.3728470413696,229.97379235350246,2.6655315973295313,6.32224982458948,6.276847236054945,14.88776061663671,1228.166500074758,580.355538968778,7727.943764646878,10301.859996012885,True,1,1
11,minutely0011 25-09-23 10-16-39.fits,2025-09-23 10:16:39,386.9910712435521,228.37290519261146,2.5751633640408897,3.523438999276849,6.064046308872819,8.297064782940913,1272.261511789272,934.8051503580692,7729.255595031937,10305.583012397055,True,1,1
12,minutely0012 25-09-23 10-17-38.fits,2025-09-23 10:17:38,386.4062028165105,229.64843902242373,2.805696398084835,4.33180392464195,6.606910118481304,10.2006187128906,1145.5343778490162,772.6359664556483,7729.069753727927,10304.732389580002,True,1,1
13,minutely0013 25-09-23 10-18-39.fits,2025-09-23 10:18:39,386.81707110091077,233.02936033499503,2.5276111530016827,4.886276956676385,5.952069409132152,11.506302923154374,1276.1625175104791,695.8476553735543,7728.797676599526,10304.152504716814,True,1,1
14,minutely0014 25-09-23 10-19-39.fits,2025-09-23 10:19:39,386.4036780886628,229.81696478969036,2.5700132572798515,4.869395680251522,6.051918734237876,11.466550555043398,1269.847766874598,735.508600560125,7726.607116354356,10300.482406135698,True,1,1
15,minutely0015 25-09-23 10-20-39.fits,2025-09-23 10:20:39,386.33646187638067,228.64436264647713,2.688164947589054,4.300123495073753,6.330144702932276,10.126017002308219,1210.4439082798453,805.4940949210038,7727.812109724324,10302.653606829837,True,1,1
16,minutely0016 25-09-23 10-21-39.fits,2025-09-23 10:21:39,389.1371735380967,232.88904426435332,2.986959201209828,4.57384324563242,7.033751400698535,10.77057775764464,1086.3282556568854,717.0229675733568,7726.986635945228,10302.467469980364,True,1,1
17,minutely0017 25-09-23 10-22-38.fits,2025-09-23 10:22:38,389.4370650440666,233.94515834660208,2.629890728110331,4.3315264937114435,6.192919402795246,10.199965412974331,1227.3312892806393,792.9259904128929,7726.869121344559,10301.412051707424,True,1,1
18,minutely0018 25-09-23 10-23-39.fits,2025-09-23 10:23:39,390.3034703199433,232.2107687347751,2.8795208273725876,5.166365203989853,6.780753364381074,12.165860342305717,1133.4175646351844,652.2495186483774,7725.0158103033355,10299.467221379578,True,1,1
19,minutely0019 25-09-23 10-24-39.fits,2025-09-23 10:24:39,389.28177176364534,233.40682020789941,2.627306424504114,4.595057794043596,6.18683383286088,10.820534201489556,1232.913760952612,728.6134308495662,7728.96472468788,10304.718242368497,True,1,1
20,minutely0020 25-09-23 10-25-39.fits,2025-09-23 10:25:39,389.50262483941606,230.19982925885128,2.8067288987870436,4.053300945031699,6.609341471831373,9.544794313903536,1172.7602486936362,825.5843479464796,7726.997081304007,10302.377010378254,True,1,1
21,minutely0021 25-09-23 10-26-38.fits,2025-09-23 10:26:38,387.92134043864064,232.46986222421802,2.5753825100323673,4.845825487020521,6.064562358246339,11.411046991557786,1289.507736403362,724.2004102365119,7725.980544506547,10300.323681365477,True,1,1
22,minutely0022 25-09-23 10-27-39.fits,2025-09-23 10:27:39,389.38127112511603,231.4945178126547,2.5255157012676093,5.1897249855533705,5.947134997385361,12.22086842417903,1291.0238109942795,674.6027461569472,7726.843962874392,10301.202682445055,True,1,1
23,minutely0023 25-09-23 10-28-39.fits,2025-09-23 10:28:39,387.6321269486074,234.47772497672,2.6836968960149346,5.299714109692429,6.3196232455233075,12.479873018437084,1195.029168105826,643.3299797429389,7729.453128615183,10304.880705629539,True,1,1
24,minutely0024 25-09-23 10-29-39.fits,2025-09-23 10:29:39,388.91415229875764,238.807837891703,2.650589719212703,4.35588874668567,6.241661801955028,10.257334134620155,1272.0361710285588,803.9158219015012,7726.374276266958,10301.152853365293,True,1,1
25,minutely0025 25-09-23 10-30-39.fits,2025-09-23 10:30:39,389.86893061725993,233.93695731211596,2.684829348547422,5.767006149688924,6.322289967446855,13.580261681104233,1212.052682107141,610.6510909734756,7728.21881880748,10302.894971219026,True,1,1
26,minutely0026 25-09-23 10-31-39.fits,2025-09-23 10:31:39,388.46602184342925,231.68787046999788,2.88841390453916,4.398715899140982,6.801694960754925,10.35818437169352,1135.1068085877455,755.4276886137852,7728.0525350438875,10303.838948680299,True,1,1
27,minutely0027 25-09-23 10-32-39.fits,2025-09-23 10:32:39,389.5540506904803,234.7966598713199,2.5221831985264185,4.515197115488329,5.939287553130285,10.63247667481784,1308.5401819654617,729.4142433271261,7729.950279739563,10306.636557074187,True,1,1
28,minutely0028 25-09-23 10-33-39.fits,2025-09-23 10:33:39,387.97605021477665,236.8786976293174,2.7113984255886106,5.116673102250943,6.384855362641417,12.048844385051213,1217.533158950079,668.0331667351868,7730.901679528187,10307.258490636585,True,1,1
29,minutely0029 25-09-23 10-34-40.fits,2025-09-23 10:34:40,391.772409567472,236.4544461101248,2.9301410290117773,5.84156047599195,6.899954829884545,13.755823703126378,1144.5026211172649,617.7597631529559,7726.598260159554,10300.798704438434,True,1,1
30,minutely0030 25-09-23 10-35-40.fits,2025-09-23 10:35:40,391.0725512604373,237.0836812382547,2.682282354957896,4.710907574389158,6.316292255887673,11.093339586459718,1170.8101724531477,703.2919930774223,7728.632930642682,10303.942042977862,True,1,1
31,minutely0031 25-09-23 10-36-40.fits,2025-09-23 10:36:40,390.30759595293944,237.0023940350362,2.5736696126659404,4.316024425477364,6.060528793192796,10.163460831957284,1256.9955814548473,790.6438821041777,7727.395044684401,10302.267261778494,True,1,1
32,minutely0032 25-09-23 10-37-40.fits,2025-09-23 10:37:40,390.9200173978508,240.33275562277208,2.8547611732843863,4.061340140415576,6.722448834626144,9.563725172339408,1180.1436193158752,816.4435939618726,7728.4110917118605,10304.825799478136,True,1,1
