frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,newcomp0001 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.4540461327717,269.4405853418105,4.430386593376078,4.753454714778427,10.432763157318371,11.193530445507115,2801.335871326189,2639.2396509959685,6809.870678524197,9079.125165683343,True,1,1
2,newcomp0002 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.3400444390009,269.4668167095167,4.418617836766655,4.662107669296351,10.40504985334941,10.978424591751567,2792.016126649707,2655.2272065156403,6815.482964547983,9087.090752243812,True,1,1
3,newcomp0003 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.41470767916195,269.53978686097014,4.388088110179631,4.718967228457366,10.333157841212973,11.112318621415548,2811.371717095203,2650.7328866112357,6815.284160886054,9086.146426457264,True,1,1
4,newcomp0004 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.47667430947723,269.45084482347295,4.41448819627413,4.644024653085734,10.395325293138841,10.935842342704186,2787.9799531873623,2686.81367816539,6812.0119702965585,9081.794213438721,True,1,1
5,newcomp0005 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.3775817022843,269.49233493816945,4.426111067559253,4.606464040632392,10.422695063421862,10.847393859595417,2790.765776454374,2682.998334567908,6811.935199594014,9082.544253922577,True,1,1
6,newcomp0006 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.39023545405547,269.5689580843814,4.497592880687098,4.7105140450592184,10.59102186983047,11.092412895705268,2758.1422638834983,2654.3186843474496,6812.525427689972,9082.854399400172,True,1,1
7,newcomp0007 25-10-29 16-23-32.fits,2025-10-29 16:23:32,399.37425832599985,269.49685184629925,4.4110139120622485,4.669171307440123,10.387143979034567,10.995058188443366,2801.035283778344,2650.5649089779477,6812.230610885183,9082.866905844197,True,1,1
8,newcomp0008 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.22277610620057,269.379386703793,4.366599915740298,4.578754604657198,10.282557010215708,10.782143124324529,2798.8816765195484,2646.0426322996614,6810.653126047271,9081.42446852553,True,1,1
9,newcomp0009 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.37879829706065,269.5049810251671,4.406277946005924,4.66191352952632,10.375991631232548,10.97796742752956,2771.410385985007,2648.0742390871487,6813.112573395702,9083.453001096572,True,1,1
10,newcomp0010 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.48408987019144,269.25521830210766,4.3894995935270344,4.658213177885533,10.336481630492665,10.969253765312173,2792.9263209765995,2653.2709512285246,6810.204481204422,9079.750674072046,True,1,1
11,newcomp0011 25-10-29 16-23-33.fits,2025-10-29 16:23:33,399.4874936971443,269.0449437064778,4.3766117015791055,4.64894145571971,10.30613296419549,10.947420528104134,2780.7447735959777,2646.844485143821,6812.773018775572,9082.99349224762,True,1,1
