frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,night0001 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.46050398736463,218.55667290988313,4.510104618535285,4.763247994098021,10.620484760913554,11.21659185595548,2866.394807642943,2640.419202355495,6843.662437866144,9126.715016054224,True,1,1
2,night0002 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.26597500492477,218.63717033813566,4.453114297717333,5.000407639783352,10.486282811078693,11.775060143487735,2875.0173912377227,2643.825924981964,6841.208104722078,9119.430946773431,True,1,1
3,night0003 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9574896818259,218.26078196526575,4.510231554265004,4.850818210693656,10.620783671714324,11.422803957342584,2867.9904991414246,2679.3479553887437,6845.170325240217,9126.57141141547,True,1,1
4,night0004 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.912094275599,218.427961465886,4.528888087471541,4.787092235331489,10.664716450079865,11.272740753170604,2852.2528121654136,2750.2882601061547,6846.657100901155,9127.579216596856,True,1,1
5,night0005 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.99372740221884,218.76369607712684,4.510238401489104,4.807850316488977,10.62079979569489,11.321622298776639,2837.722290811389,2700.4670392374915,6843.670556077189,9123.929872724051,True,1,1
6,night0006 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.238627263393,219.13492203488772,4.459666204902891,4.815369462036835,10.501711373452428,11.339328533434237,2881.180889304744,2689.4674289451186,6845.240734370745,9126.456688243868,True,1,1
7,night0007 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2872587263887,218.58973188148107,4.522789305328821,4.73190268975623,10.65035491563991,11.142779304973836,2867.117992106483,2729.823026441403,6843.327534725907,9124.698413662285,True,1,1
8,night0008 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.029513254627,217.8663461214417,4.489656762522743,4.917121460090252,10.572333739697312,11.578936178072375,2872.2188466737425,2705.5896780749626,6843.469272880627,9122.492784714983,True,1,1
9,night0009 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.83795137073827,217.40727532794637,4.534395387299367,4.842066765942224,10.677685150108424,11.402195879818931,2851.0479559587525,2727.3895852078444,6839.470100596511,9117.839498942125,True,1,1
10,night0010 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0475573473658,217.4749999759047,4.583864799138574,4.919334780122434,10.794176712723281,11.584148148450225,2825.58120512028,2661.4615915593017,6851.045225755809,9133.993056429475,True,1,1
11,night0011 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.1380918344644,217.25206394741403,4.513899355641915,4.774854015557552,10.629420683917868,11.243921947931444,2835.6122841159654,2698.4730830910585,6842.646858007118,9123.084496491609,True,1,1
12,night0012 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.18005915272516,217.9413551161484,4.587160956462974,4.755289750955144,10.801938570062353,11.197851625479403,2865.729965528238,2747.2559087455156,6842.44211885271,9123.682111594015,True,1,1
13,night0013 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9639874083249,218.19536950507276,4.532245770359987,4.638466100809725,10.672623189050434,10.92275295238329,2842.0354828858726,2732.8046304829286,6839.496272274349,9120.39776196812,True,1,1
14,night0014 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6348722622966,217.88668264939963,4.497640868528515,4.705382880426934,10.591134872561357,11.08032992637481,2859.3670141090797,2759.3585223569403,6844.740223194054,9125.675715983742,True,1,1
15,night0015 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6596819825843,218.24229753222428,4.542926653718044,4.715165121333748,10.697774747280624,11.103365343347498,2858.977749135682,2791.441697816514,6845.7478056052005,9126.755180417184,True,1,1
16,night0016 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0980071214376,218.40255495695283,4.55640615338406,4.731344502432279,10.729516543291147,11.141464874274513,2844.700652595927,2734.0927384302013,6846.3250906053845,9128.56754261023,True,1,1
17,night0017 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.4316473667031,218.84917551367863,4.590871564244752,4.635632418559,10.810676383646133,10.916080140618034,2820.866274054565,2755.6819545081476,6850.319649022476,9134.678139026857,True,1,1
18,night0018 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.3849795380569,218.51082745230084,4.527352915247321,4.677610368865388,10.661101395753697,11.014930659448828,2856.658413458299,2733.630968802205,6847.307068534352,9130.506445339566,True,1,1
19,night0019 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2243333601843,218.69642092761538,4.597640974578968,4.623337722472233,10.826617126794183,10.887128343825351,2825.250135845595,2791.227326759941,6845.867480700953,9128.26561884923,True,1,1
