frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,night0001 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.460503617893,218.5566774166302,4.510105619529065,4.763257357391488,10.62048711807377,11.216613904826625,2866.3944970561856,2640.4167018318512,6843.662432115359,9126.714949145973,True,1,1
2,night0002 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.26597537385635,218.63718748887905,4.4531132697225635,5.000421861923294,10.486280390336004,11.775093634067954,2875.0177135936588,2643.822303449385,6841.208110676937,9119.430844980925,True,1,1
3,night0003 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9574897908388,218.26079106912724,4.510231148419864,4.850831802163779,10.620782716022054,11.422835962808872,2867.9906239118764,2679.344339576261,6845.170327595402,9126.57131283847,True,1,1
4,night0004 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9120938079114,218.42798085376984,4.528890055402327,4.787116186620898,10.664721084202727,11.27279715414701,2852.2522096581934,2750.2816310177586,6846.657089608467,9127.579038322821,True,1,1
5,night0005 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.99372829079056,218.76370378944176,4.51023703535371,4.807860588488929,10.620796578691879,11.321646487488028,2837.7227123517714,2700.4642564553646,6843.670563815249,9123.929797735096,True,1,1
6,night0006 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2386300971798,219.1349406744975,4.459660172176427,4.815392886059601,10.501697167467226,11.339383692792582,2881.182788666804,2689.46112973538,6845.240769270163,9126.4565176716,True,1,1
7,night0007 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.2872565761181,218.58975744006037,4.522793086718077,4.7319338852377255,10.65036382013113,11.142852764718976,2867.1168245656418,2729.8143560218623,6843.327512944003,9124.698183224447,True,1,1
8,night0008 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.02951424619664,217.8663619036636,4.489655395895139,4.9171375767834595,10.572330521535235,11.5789741299846,2872.2192713875897,2705.585408090594,6843.469280785235,9122.492666653248,True,1,1
9,night0009 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.8379509939125,217.4072883973421,4.534395864710665,4.842071161034412,10.677686274326119,11.402206229470115,2851.0478099434117,2727.3883946865362,6839.470097860577,9117.839466438058,True,1,1
10,night0010 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.04755676946326,217.47501582592832,4.583865729685327,4.919357832219652,10.794178903993426,11.584202431990834,2825.580927620604,2661.455583237927,6851.045220440901,9133.992890377764,True,1,1
11,night0011 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.13809273997424,217.25207249713495,4.513897252983376,4.774866827400681,10.62941573253539,11.243952117516457,2835.6129275817493,2698.469594241402,6842.64686998428,9123.084402942468,True,1,1
12,night0012 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.1800609849739,217.94136626392455,4.587157171850864,4.755306933265918,10.801929657981892,11.197892086729235,2865.7311158775256,2747.251128203024,6842.442140661198,9123.681983809774,True,1,1
13,night0013 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.9639879566988,218.19539159083004,4.532244558170422,4.638471997191808,10.672620334562149,10.922766837302012,2842.0358517209515,2732.802958715123,6839.496279219021,9120.39771832013,True,1,1
14,night0014 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.6348724580756,217.8866925179968,4.497639901044569,4.705395085737913,10.591132594310766,11.08035866768576,2859.3673111909784,2759.355065046593,6844.740228796279,9125.675625062422,True,1,1
15,night0015 25-10-27 16-48-25.fits,2025-10-27 16:48:25,307.65968238380407,218.24231571391198,4.542926087215272,4.7151847237471145,10.697773413268541,11.103411503503425,2858.9779230021395,2791.436105744798,6845.747808852657,9126.755032350387,True,1,1
16,night0016 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.0980068036655,218.4025698436471,4.556407037099307,4.731371719092958,10.729518624281525,11.14152896461264,2844.700384170883,2734.0851568687262,6846.32508553582,9128.567341329503,True,1,1
17,night0017 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.43164497563356,218.849176940622,4.590869862213305,4.635626681963192,10.810672375668362,10.916066631967233,2820.8667818637673,2755.683599476523,6850.31965867646,9134.678181757015,True,1,1
18,night0018 25-10-27 16-48-25.fits,2025-10-27 16:48:25,308.3849800998294,218.51082741706193,4.52735201593122,4.6776060356227065,10.661099278026116,11.014920455442102,2856.658690297692,2733.6321867757356,6847.307073692895,9130.506477446272,True,1,1
