frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,nightdriftB0001 25-10-23 16-18-36.bmp,2025-10-23 16:18:36,431.66976363682056,196.20498516467336,5.132181326926858,3.9783800405121226,12.0853634633809,9.368369066148986,2250.218089287968,2813.81799482538,6821.926773499267,9097.751472550619,True,1,1
2,nightdriftB0002 25-10-23 16-19-36.bmp,2025-10-23 16:19:36,428.76009013909595,195.53967399077035,5.335827154198742,3.920844139634867,12.564912739527644,9.232882373454311,2243.2417130676863,2913.170876237446,6812.824667842239,9086.625143462225,True,1,1
3,nightdriftB0003 25-10-23 16-20-36.bmp,2025-10-23 16:20:36,428.1641670841691,195.07450778294793,4.7922510597701455,3.6604712664898647,11.284888856367548,8.619751112590158,2314.355186775313,2923.411476764044,6813.361028524476,9086.517523191196,True,1,1
4,nightdriftB0004 25-10-23 16-21-36.bmp,2025-10-23 16:21:36,429.5357253804542,195.8220760761782,5.9986455100925316,3.5003108787537918,14.125730690200797,8.242602221129326,2033.2106400592636,3326.946056023614,6815.638880451855,9090.396766186885,True,1,1
5,nightdriftB0005 25-10-23 16-22-36.bmp,2025-10-23 16:22:36,427.6767985204998,196.61680847713973,5.186333589174252,3.628061640924671,12.212882296004837,8.543432276657294,2186.7187543289147,2998.7013774765887,6809.41436886262,9081.629592209132,True,1,1
6,nightdriftB0006 25-10-23 16-23-36.bmp,2025-10-23 16:23:36,428.46722176599906,196.83635299891833,5.4708800585846,3.5602808883752344,12.88293802591511,8.383820801886598,2088.2127358738326,3085.1645186087735,6814.706832278216,9088.575133336386,True,1,1
7,nightdriftB0007 25-10-23 16-24-36.bmp,2025-10-23 16:24:36,428.7121029573641,197.9130584950148,5.288677478928366,3.731410846468871,12.453883739084263,8.786801057510798,2214.5686932248436,3032.9745614916324,6811.682843423104,9084.305834497669,True,1,1
8,nightdriftB0008 25-10-23 16-25-36.bmp,2025-10-23 16:25:36,428.83492798188,197.3696272792206,5.900195219776403,3.7045991486959258,13.893897973125263,8.723664334153757,2038.8947804579113,3126.3449845975883,6816.810264961491,9091.419989298498,True,1,1
9,nightdriftB0009 25-10-23 16-26-36.bmp,2025-10-23 16:26:36,427.5315017054792,197.85603120911185,5.080546425485846,3.655982181990517,11.963772562444408,8.609180126427258,2219.614142090521,2940.735547615172,6816.226753409551,9091.046970153237,True,1,1
10,nightdriftB0010 25-10-23 16-27-36.bmp,2025-10-23 16:27:36,428.25464813763847,198.24359610367503,5.8244933095952405,3.7124587248327563,13.715633597583528,8.742172221586213,2100.774235941824,3141.094303188329,6814.067239186198,9088.424477285844,True,1,1
11,nightdriftB0011 25-10-23 16-28-36.bmp,2025-10-23 16:28:36,427.7213009708641,198.29438464117624,5.25862229877245,3.799168781679353,12.383109198396095,8.946358801554352,2219.5117279099672,2993.665670903837,6812.63078584894,9085.064605851585,True,1,1
12,nightdriftB0012 25-10-23 16-29-36.bmp,2025-10-23 16:29:36,427.4415333226659,198.59561936923143,4.9277456812394655,3.856546510493716,11.603954306997384,9.081473027504762,2313.184044020174,2871.0274009137197,6811.875764103016,9084.206215250144,True,1,1
13,nightdriftB0013 25-10-23 16-30-36.bmp,2025-10-23 16:30:36,427.4370095318448,198.79058850640178,5.87307024014848,3.571098748396784,13.830023527376373,8.409294915509681,2108.4743602270323,3302.1113884790025,6811.916993102739,9085.642549311306,True,1,1
14,nightdriftB0014 25-10-23 16-31-36.bmp,2025-10-23 16:31:36,427.6891288415042,196.93343903846508,5.551169056581025,3.6050126893287184,13.072004167792542,8.489156143422196,2148.8460069396415,3145.6893539028624,6813.264711346593,9087.425434613751,True,1,1
15,nightdriftB0015 25-10-23 16-32-36.bmp,2025-10-23 16:32:36,427.2419862350926,197.02098613658168,5.010950034608182,3.831648314550474,11.799885586143876,9.022842256612508,2286.740024818031,2906.0305163335893,6814.56437235916,9087.777036637544,True,1,1
16,nightdriftB0016 25-10-23 16-33-36.bmp,2025-10-23 16:33:36,427.4615205114709,197.82075977889335,5.353551618114497,3.918599859391537,12.606650662443892,9.22759749735065,2275.4394779292784,2961.554839486128,6814.404765178317,9088.883764471959,True,1,1
17,nightdriftB0017 25-10-23 16-34-36.bmp,2025-10-23 16:34:36,427.94203633206047,198.70789894783533,5.589176509286777,3.603107285580699,13.161504879284614,8.484669260482484,2132.392468002453,3119.378608326467,6811.534699042933,9085.59137984361,True,1,1
18,nightdriftB0018 25-10-23 16-35-36.bmp,2025-10-23 16:35:36,426.5726280907238,196.3169718028051,5.483732739834634,3.64681981548611,12.913203777355085,8.58760440212276,2160.320003861696,3114.4851277115044,6809.32333364089,9081.64958559301,True,1,1
19,nightdriftB0019 25-10-23 16-36-36.bmp,2025-10-23 16:36:36,426.5831455850632,195.40634256687324,5.412679975606063,3.701709974728498,12.745887303894788,8.716860849381677,2150.7181448066503,3045.9035887949854,6812.6358854341925,9085.426326289826,True,1,1
20,nightdriftB0020 25-10-23 16-37-36.bmp,2025-10-23 16:37:36,427.48655239461954,194.71637735973394,5.756238171390719,3.8163698540421986,13.554905029963162,8.986864231550408,2140.776418690633,3018.527798485807,6813.472302537062,9088.82311926005,True,1,1
21,nightdriftB0021 25-10-23 16-38-36.bmp,2025-10-23 16:38:36,426.2931726876024,195.37243890239225,5.443275564074397,3.581554952104811,12.817934408909537,8.433917393596271,2166.467052471747,3125.5402148718695,6810.9564718426545,9084.400137621651,True,1,1
22,nightdriftB0022 25-10-23 16-39-36.bmp,2025-10-23 16:39:36,426.0150247557013,194.34483857989883,5.81080545985621,3.7176096957461695,13.683401174644688,8.754301831144488,2163.622290826899,3174.819268840046,6819.621400319027,9096.847752010268,True,1,1
23,nightdriftB0023 25-10-23 16-40-36.bmp,2025-10-23 16:40:36,426.144172374956,194.62096427868877,5.557652403888185,3.8353864806080606,13.08727128399034,9.031644964976568,2181.200336883465,3035.760544509843,6812.465260115396,9085.78861986237,True,1,1
24,nightdriftB0024 25-10-23 16-41-36.bmp,2025-10-23 16:41:36,427.5040928680556,194.70427552348164,5.852289462932281,3.567464527091383,13.781088536636343,8.400736978331645,2085.310927248897,3196.2591329020934,6811.124221342153,9085.683475282809,True,1,1
