frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,noon0001 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.0252819396296,184.07756881978335,4.140912025527556,5.604186317253094,9.751102642422,13.19685027595576,3231.2746057726417,2434.6663420391055,7734.420704993674,10311.182817017429,True,1,1
2,noon0002 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.0339263561118,183.9857438603681,4.139847157748216,5.564083718186599,9.748595070429902,13.10241587181614,3253.302688462975,2481.0412310584215,7731.092639854405,10306.36603275428,True,1,1
3,noon0003 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.0864754153044,184.013426067277,4.1365170595982725,5.586058856518592,9.740753288554494,13.154163368052643,3246.1691973530983,2471.289992553906,7734.00220463877,10310.03452043246,True,1,1
4,noon0004 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.044203852619,184.3599132822234,4.126954209724583,5.621560641658083,9.718234497984309,13.2377636833335,3259.190818719846,2430.3130910938444,7738.041434394363,10316.283463440886,True,1,1
5,noon0005 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,404.9461173992668,184.2093951627439,4.133888864374777,5.542979912116186,9.734564361759952,13.052720206255085,3233.395865466937,2455.2468587070475,7734.581492604236,10311.506944210218,True,1,1
6,noon0006 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,404.88185019143424,184.0919229876498,4.126132067843132,5.637138955841338,9.716298501802008,13.274447809840018,3262.140926156365,2472.255996502894,7732.276128983433,10307.213539398554,True,1,1
7,noon0007 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,404.85084749470565,184.1806215722912,4.1624380719606515,5.559491957205162,9.801792608052919,13.09160310101506,3235.889475108015,2459.1041528621063,7731.9511697576945,10308.212412516938,True,1,1
8,noon0008 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,404.95648011531523,183.96744247219763,4.150581929382076,5.633297517880369,9.773873525852144,13.265401914727784,3221.676140225785,2455.457574023459,7739.182485791606,10316.505224832461,True,1,1
9,noon0009 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.0448082583317,183.8248581649867,4.143991100296382,5.580610432303981,9.758353309407779,13.141333309498247,3230.371587710916,2461.015869047193,7732.3245186844515,10307.952167468808,True,1,1
10,noon0010 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.0434792389461,183.9759982685136,4.130860509113969,5.589078935154662,9.727433130088327,13.161275109762432,3239.030902689623,2460.851962305571,7733.720861994213,10309.675199454365,True,1,1
11,noon0011 25-10-23 11-23-13.bmp,2025-10-23 11:23:13,405.1587032333843,183.54971065425053,4.1160734008873385,5.571007858938363,9.692612151228214,13.118720977253009,3249.3510329526366,2481.84801929808,7731.4639551632345,10306.259099598405,True,1,1
