frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,prethanksgiving0001 25-11-24 17-18-27.fits,2025-11-24 17:18:27,1134.985412530999,848.4194309026839,165.54150078771875,160.11384967092826,389.8204443394268,377.0393026921739,24521.16276713627,26774.6798886665,16512.407162173724,29567.887223312977,True,8,7
2,prethanksgiving0002 25-11-24 17-19-28.fits,2025-11-24 17:19:28,1135.1369979408294,849.4856974550428,166.56150644308036,160.61620475104868,392.22237410271725,378.22225850456465,24216.04230204927,26569.703660412546,16506.38358121562,29554.78123435217,True,7,7
3,prethanksgiving0003 25-11-24 17-20-27.fits,2025-11-24 17:20:27,1136.9348814808773,848.1809663321226,167.61408012301294,160.77384905844326,394.70099570309446,378.5934824796024,23976.626395414256,26352.0404156042,16497.780712227403,29562.16952898089,True,8,7
4,prethanksgiving0004 25-11-24 17-21-27.fits,2025-11-24 17:21:27,1136.9507156572633,847.2278115281882,168.36143381018599,161.2162021868047,396.46087914637735,379.6351444932501,23799.068805175655,26152.390140292813,16497.446348237223,29575.130814604374,True,8,8
5,prethanksgiving0005 25-11-24 17-22-28.fits,2025-11-24 17:22:28,1136.5615325695314,847.3142495734998,168.98949101340264,161.375005341533,397.939840837938,380.00909734521844,23644.10213577852,26015.957925364153,16483.88651713603,29565.986337043214,True,8,7
6,prethanksgiving0006 25-11-24 17-23-27.fits,2025-11-24 17:23:27,1138.3964441455228,847.3548855274408,169.55756331503488,161.3994209197684,399.2775488808485,380.06659163825816,23504.293593746872,25928.41569793054,16485.435777384388,29574.50603964263,True,8,7
7,prethanksgiving0007 25-11-24 17-24-28.fits,2025-11-24 17:24:28,1138.9468558907827,844.7870983343499,170.03162717457244,161.69874827021619,400.3938839599123,380.77145368311864,23478.32303023972,25847.649289228328,16470.679680071196,29557.24866784072,True,8,7
8,prethanksgiving0008 25-11-24 17-25-28.fits,2025-11-24 17:25:28,1138.785782126547,843.8765798811897,170.32580026274448,161.55080637811386,401.08660864464844,380.4230771500963,23395.120281955788,25790.275745726747,16469.413051647844,29556.971300905432,True,7,7
9,prethanksgiving0009 25-11-24 17-26-27.fits,2025-11-24 17:26:27,1139.944382263276,842.4545911920857,170.64568660568014,161.92981359698828,401.83988341712495,381.3155709463132,23391.172891441754,25752.479695600392,16469.328784125144,29557.63132682095,True,8,7
10,prethanksgiving0010 25-11-24 17-27-28.fits,2025-11-24 17:27:28,1140.2175066605528,840.2922828376717,170.83337517242992,161.7618086698649,402.2818562163305,380.91994957625906,23423.396664377422,25749.916922763055,16467.827421714916,29568.69081655767,True,8,7
11,prethanksgiving0011 25-11-24 17-28-27.fits,2025-11-24 17:28:27,1141.7191794409925,840.6039181429703,171.14850348562834,161.8843241627781,403.0239266850069,381.20845151479796,23368.279663999892,25741.172103053344,16460.982261981193,29551.94671684216,True,8,7
12,prethanksgiving0012 25-11-24 17-29-27.fits,2025-11-24 17:29:27,1142.8996316807127,840.3044312574171,171.3034306788645,161.795820124919,403.3887523451598,381.0000404323811,23374.339146766986,25764.578459161585,16461.103436274927,29556.269021603734,True,8,8
13,prethanksgiving0013 25-11-24 17-30-28.fits,2025-11-24 17:30:28,1143.0103731123595,839.7708729275861,171.33265453635488,161.8204455318736,403.4575692705713,381.0580288342949,23357.813290931572,25717.07576440313,16454.634293664916,29551.05022287278,True,8,8
14,prethanksgiving0014 25-11-24 17-31-27.fits,2025-11-24 17:31:27,1149.182563750765,836.1998502217016,171.93415607768645,162.53311748482426,404.87399715721585,382.7362430346344,23368.475897791865,25644.937614956667,16455.795955520716,29556.001813088908,True,8,8
15,prethanksgiving0015 25-11-24 17-32-28.fits,2025-11-24 17:32:28,1144.571215830644,836.2334518807417,171.29740605421412,161.67643531090968,403.3745654382693,380.7189106792797,23415.976638418346,25766.149952526393,16461.397255205153,29545.790678511963,True,8,7
16,prethanksgiving0016 25-11-24 17-33-27.fits,2025-11-24 17:33:27,1145.9310546651764,833.4410155849473,171.21984502904888,161.66690982286264,403.19192318149703,380.6964798690878,23524.218484506477,25815.92841948944,16454.16065387501,29533.465973801958,True,8,7
17,prethanksgiving0017 25-11-24 17-34-28.fits,2025-11-24 17:34:28,1147.4774160290624,830.9467827574317,171.35869927315824,161.35712933142707,403.5188999388634,379.9670025582958,23527.033757031913,25845.889676652183,16457.205433979754,29532.471017369622,True,8,7
18,prethanksgiving0018 25-11-24 17-35-27.fits,2025-11-24 17:35:27,1146.7151030226137,831.3746261616022,171.27109184995015,161.48632462100667,403.3126002225995,380.2712342159214,23590.25315327017,25879.69332896514,16452.924514039045,29530.648825568856,True,8,8
19,prethanksgiving0019 25-11-24 17-36-28.fits,2025-11-24 17:36:28,1147.7985579093202,829.2576986808842,171.2843741213293,161.30131306890846,403.34387758148665,379.8355653044783,23605.38405816923,25857.653016173757,16463.88558601559,29557.579390267216,True,7,8
20,prethanksgiving0020 25-11-24 17-37-28.fits,2025-11-24 17:37:28,1149.496887997572,829.06640005465,171.32897308846307,161.12052991329745,403.4489001232809,379.4098535058415,23615.88537106793,25886.128965708835,16458.416852660393,29551.277056766565,True,7,8
21,prethanksgiving0021 25-11-24 17-38-27.fits,2025-11-24 17:38:27,1149.3562885298038,827.597314193445,171.1710345224627,161.2617633868701,403.07698322217976,379.74243292043974,23649.03553604117,25889.619815629354,16462.067940389577,29544.18115804783,True,7,7
22,prethanksgiving0022 25-11-24 17-39-28.fits,2025-11-24 17:39:28,1151.1143077685763,826.394455464221,171.37858918278118,161.39679930611433,403.56573709673734,380.06041820987525,23666.97587176516,25884.954900302164,16456.075318049043,29539.07841089741,True,7,7
23,prethanksgiving0023 25-11-24 17-40-28.fits,2025-11-24 17:40:28,1150.1867797323982,825.7080094379137,171.14637089255584,161.58007177089124,403.0189048120919,380.4919918836341,23711.00094573186,25862.28449012802,16430.075044706147,29492.43885586486,True,8,8
24,prethanksgiving0024 25-11-24 17-41-27.fits,2025-11-24 17:41:27,1149.1732458953604,825.5217062121624,171.12312760949854,161.3644670112153,402.9641710632362,379.98428147374517,23704.694730017727,25886.842611847464,16425.83044777446,29480.981166478417,True,8,8
25,prethanksgiving0025 25-11-24 17-42-28.fits,2025-11-24 17:42:28,1148.8064936863639,825.5602061037838,171.28312284140918,161.73260171928428,403.3409310424488,380.8511724635776,23687.976657636234,25863.473641012733,16427.84523797059,29478.444711998192,True,7,8
26,prethanksgiving0026 25-11-24 17-43-27.fits,2025-11-24 17:43:27,1148.3147644725946,824.2448064604672,171.16504652598962,161.69957709106797,403.06288256805544,380.7734054070741,23714.163187139922,25824.647513967382,16430.235763909626,29492.729517514377,True,8,8
27,prethanksgiving0027 25-11-24 17-44-27.fits,2025-11-24 17:44:27,1147.4388755668504,826.810464513568,171.15352149237344,161.34251611596002,403.0357431878764,379.9325910655916,23592.111740268778,25794.030483870825,16437.161990958328,29500.801534340873,True,8,8
