frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,warming_FFT_reprocess.png,2026-08-21 14:55:58,,,,,,,,,,,False,0,0
-1,warming_FWHM_reprocess.png,2026-08-21 14:55:58,,,,,,,,,,,False,0,0
-1,warming_position_reprocess.png,2026-08-21 14:55:56,,,,,,,,,,,False,0,0
1,warming0001 26-02-16 10-03-27.bmp,2026-02-16 10:03:27,620.9760922383507,530.404919947511,4.3357555353141715,6.443262908522439,10.209924044911705,15.172724652393056,869.9815100334202,616.8874630242639,16833.464789137994,21041.334701026975,True,1,4
2,warming0002 26-02-16 10-04-27.bmp,2026-02-16 10:04:27,621.424076537703,532.1261013815509,4.542001135662422,4.5762721062128655,10.695595318811208,10.776297287226058,822.304966260688,708.6335004164675,16881.515600593662,21103.09888266597,True,1,3
3,warming0003 26-02-16 10-05-28.bmp,2026-02-16 10:05:28,623.6250757128495,529.8581026476148,5.029916044234921,5.193838885888004,11.844547125787171,12.230555919150286,762.5508736370759,626.965037272387,16882.61926533018,21104.691921381505,True,1,6
4,warming0004 26-02-16 10-06-28.bmp,2026-02-16 10:06:28,624.5844770688391,531.2895986672668,4.633914887050285,4.14488103939758,10.912035662993338,9.760448955842138,815.0566967330208,786.9653441221541,16843.248208770878,21055.32098146686,True,1,1
5,warming0005 26-02-16 10-07-28.bmp,2026-02-16 10:07:28,624.7934860241937,530.284319177682,4.317672947415456,5.734557732119233,10.167342804461777,13.503851496981591,850.4782736685253,661.3717521888042,16875.13940844449,21093.62907701303,True,1,1
6,warming0006 26-02-16 10-08-28.bmp,2026-02-16 10:08:28,625.2998086025459,530.5409392432651,4.757657099575563,6.052878472221435,11.203426305464342,14.253439556523343,801.1825109700837,567.5045616297436,16841.372933991734,21052.63832154363,True,1,11
7,warming0007 26-02-16 10-09-28.bmp,2026-02-16 10:09:28,625.0070396323672,531.4179081138127,4.177540923294033,6.189064723520922,9.837357105109888,14.574133670940999,887.7447082037503,627.1471284871225,16865.746049861296,21081.759411343868,True,1,13
8,warming0008 26-02-16 10-10-28.bmp,2026-02-16 10:10:28,624.8071518057995,531.6139815614738,4.404894050677963,5.307824543293995,10.37273280677404,12.498971630055943,874.6587937242746,649.1520484046348,16783.173839396768,20979.964061282113,True,1,3
9,warming0009 26-02-16 10-11-28.bmp,2026-02-16 10:11:28,625.0754019763651,530.489052213662,4.313019236291194,6.21556605611834,10.15638415222258,14.63653954016143,898.2409551872473,600.6157241608681,16873.278121016054,21091.942713638247,True,1,10
10,warming0010 26-02-16 10-12-28.bmp,2026-02-16 10:12:28,625.0488327014154,532.7706741577074,4.795877930950686,3.29384778821506,11.29342948532423,7.7564187969696805,805.0140349166692,748.9143540766048,16853.78088850011,21070.6383052311,True,1,7
11,warming0011 26-02-16 10-13-28.bmp,2026-02-16 10:13:28,625.5741861765333,531.2748025320084,4.730423227345282,5.076271069076283,11.139295437232667,11.953704867471517,813.7130834465779,696.4405208082254,16826.76130329464,21034.219985098436,True,1,5
