frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
-1,weekenddrift_FWHM_reprocess.png,2026-08-21 14:12:34,,,,,,,,,,,False,0,0
-1,weekenddrift_position_reprocess.png,2026-08-21 14:12:34,,,,,,,,,,,False,0,0
-1,weekenddrift_FFT_reprocess.png,2026-08-21 14:12:34,,,,,,,,,,,False,0,0
1,weekenddrift0001 25-10-24 16-22-38.bmp,2025-10-24 16:22:38,230.9850065421555,294.4330436946594,4.527564980128835,4.228543125368216,10.661600770387532,9.957458112894894,2503.670604346458,2666.4480571116633,6815.2078697026245,9087.25893424731,True,1,1
2,weekenddrift0002 25-10-24 16-23-38.bmp,2025-10-24 16:23:38,230.10774704438188,295.68784857781196,5.2689944534509,3.9966582032221374,12.40753375614307,9.411410850084867,2244.261647440473,2902.5839876173086,6812.154867508138,9084.044828195058,True,1,1
3,weekenddrift0003 25-10-24 16-24-39.bmp,2025-10-24 16:24:39,233.88449513016369,294.640616076249,4.7630862281700255,3.9301701231419957,11.216210926305633,9.254843386356526,2403.6475546863903,2827.4741950832636,6813.864317073779,9086.908764760317,True,1,1
4,weekenddrift0004 25-10-24 16-25-39.bmp,2025-10-24 16:25:39,234.32604115060968,295.5694919540059,4.9753083148411665,3.6148666905404223,11.715955749997132,8.512360542999277,2227.284762023731,2934.6325108247015,6817.129653531991,9091.976920747007,True,1,1
5,weekenddrift0005 25-10-24 16-26-38.bmp,2025-10-24 16:26:38,233.0321743400902,294.8703163749874,4.237755312985153,4.1850999716689365,9.979151156953844,9.85515730374447,2578.4222706059427,2596.8273888207714,6816.34651248543,9088.76876760757,True,1,1
6,weekenddrift0006 25-10-24 16-27-38.bmp,2025-10-24 16:27:38,233.97090649353942,292.97395275993955,5.104915068603462,3.5919776548121463,12.021156331727976,8.458460982854902,2252.295956569827,3051.0949694768456,6815.688032246146,9090.395198481889,True,1,1
7,weekenddrift0007 25-10-24 16-28-38.bmp,2025-10-24 16:28:38,233.31255475205174,293.61308496160507,5.008362643672119,3.692913281927501,11.793792746103303,8.696146220843909,2283.7033946931665,2968.3739559301494,6814.773674096778,9088.848900378658,True,1,1
8,weekenddrift0008 25-10-24 16-29-39.bmp,2025-10-24 16:29:39,233.5404446584687,292.5828385918676,5.221097888556029,3.8377547914621553,12.294745965040503,9.037221910848654,2266.59851529778,2961.33113779052,6814.903481737572,9088.988570126137,True,1,1
9,weekenddrift0009 25-10-24 16-30-39.bmp,2025-10-24 16:30:39,233.90002177103884,294.84580484666463,5.023537300608538,3.7987797755824775,11.829526332433652,8.94544276219979,2277.8783823437875,2873.316676866057,6812.08224227821,9085.533142776587,True,1,1
10,weekenddrift0010 25-10-24 16-31-38.bmp,2025-10-24 16:31:38,232.78258003521157,294.98926135047964,4.933473961976764,3.873464368260991,11.61744337730114,9.121311538094124,2325.7805567703313,2868.9275147404965,6813.694533520581,9086.813793312349,True,1,1
11,weekenddrift0011 25-10-24 16-32-38.bmp,2025-10-24 16:32:38,232.01022568730335,295.04291695330033,5.153688568412566,3.565775659162854,12.136009146744767,8.396759998280135,2176.846433649316,3026.6538703203228,6813.538542710664,9086.944882224025,True,1,1
12,weekenddrift0012 25-10-24 16-33-38.bmp,2025-10-24 16:33:38,232.34779302912372,293.6816116649273,4.816698310543317,3.6256518997771097,11.342457732534111,8.537757769899681,2304.7040299946043,2949.238504954748,6814.593373562257,9088.255924939413,True,1,1
13,weekenddrift0013 25-10-24 16-34-39.bmp,2025-10-24 16:34:39,232.27194875342468,293.91320749207006,5.265512034216469,3.639540405011524,12.399333285524632,8.570462700421198,2161.1242056765473,3015.370977287059,6811.49220353358,9084.103846463657,True,1,1
14,weekenddrift0014 25-10-24 16-35-38.bmp,2025-10-24 16:35:38,231.33500851713524,295.52884520419053,4.864631991704994,3.6749335408383184,11.45533292576575,8.653807166122634,2293.3954808775748,2936.640054434097,6814.460529563587,9087.85119866464,True,1,1
15,weekenddrift0015 25-10-24 16-36-38.bmp,2025-10-24 16:36:38,233.6402477537441,295.18930329559794,4.7911519976124275,3.7579629383911892,11.28230076276782,8.84932645580698,2360.43484544463,2885.327417358671,6812.485990921236,9085.74947119712,True,1,1
16,weekenddrift0016 25-10-24 16-37-38.bmp,2025-10-24 16:37:38,232.07824783709157,293.7862057384184,5.446241925523297,3.9572644044512995,12.824919656310215,9.318645543089382,2233.0831189244304,2943.811895360424,6812.95407851416,9086.61495673265,True,1,1
17,weekenddrift0017 25-10-24 16-38-38.bmp,2025-10-24 16:38:38,233.2109091695915,293.67276357328643,5.177241271780011,4.160309974079428,12.191471524749096,9.796781320504426,2484.2965828521833,3002.2097482369595,6812.11443974786,9084.76021694397,True,1,1
18,weekenddrift0018 25-10-24 16-39-39.bmp,2025-10-24 16:39:39,233.2100492195681,292.7510309825135,5.016125995646289,4.015625971450954,11.812074042948709,9.456076530919585,2399.185413305432,2934.3406662528582,6815.599516342381,9088.778877388648,True,1,1
19,weekenddrift0019 25-10-24 16-40-39.bmp,2025-10-24 16:40:39,233.66101617826283,293.99269206080135,5.10857991282849,3.7030111572640987,12.029786380370988,8.719924900098752,2273.681267549652,3003.565524876879,6812.732507170809,9086.218098198464,True,1,1
20,weekenddrift0020 25-10-24 16-41-38.bmp,2025-10-24 16:41:38,232.9771942455717,293.1450217610428,4.93636858954603,4.128397469104598,11.624259704324146,9.721633114102547,2430.2089970737175,2817.5849268307575,6815.866353311409,9089.724214530826,True,1,1
21,weekenddrift0021 25-10-24 16-42-38.bmp,2025-10-24 16:42:38,233.1350038433596,294.57956470916787,5.156059441918218,3.8415893071235003,12.141592127200111,9.046251505190975,2246.0945108901647,2928.556011216983,6816.9730405460705,9091.024283779274,True,1,1
22,weekenddrift0022 25-10-24 16-43-38.bmp,2025-10-24 16:43:38,232.44952861566122,293.5314800880716,5.231484631398152,3.7916974064883537,12.319204875287715,8.928765057490638,2297.2739128777043,3012.000806756387,6816.081183521376,9091.228775077574,True,1,1
