dot_x,dot_y,dot_fwhm_x,dot_fwhm_y,laser_x,laser_y
1.392222221878577102e+03,6.604378444961301966e+02,7.918786840830453855e+01,1.493658666620311770e+01,1.261986135829900377e+03,1.093937055778580998e+03
1.394159276435404990e+03,6.359674175482787177e+02,7.826941675847544388e+01,5.789736175136578822e+03,1.262878425572121159e+03,1.094783300226031315e+03
1.392699070761716712e+03,6.374856558731678433e+02,7.904685707828430452e+01,5.604499601318081659e+03,1.261370218241808516e+03,1.093729598775531031e+03
1.393121446017927610e+03,6.360048427829449338e+02,7.887421772820013643e+01,5.430214262262775264e+03,1.262830232567428993e+03,1.093787521671067907e+03
1.394471490862113342e+03,6.352322651052838864e+02,7.771245882203736244e+01,5.628241816991156156e+03,1.262304696597087741e+03,1.095326680303132434e+03
1.391790156744293427e+03,6.370437091965291074e+02,8.149297181115821331e+01,5.763306307219008886e+03,1.262590697728131545e+03,1.093643379021695182e+03
1.392562701305261498e+03,6.380439331883732166e+02,7.952646934811951951e+01,5.926720459988121547e+03,1.262073089903357641e+03,1.093749815926487827e+03
1.391261611060873520e+03,6.375071480251156117e+02,8.161177547711268687e+01,6.945715364741128724e+03,1.261768375955195779e+03,1.093039942826051174e+03
1.393276988676240308e+03,6.363073979358879342e+02,7.904461126261873005e+01,4.903858947565699054e+03,1.262563787409098268e+03,1.094072742256915490e+03
1.393205891233593320e+03,6.599836293797982307e+02,7.873553380719359041e+01,1.438297726079351868e+01,1.262823156794793476e+03,1.094172886682436001e+03
1.393536284207498056e+03,6.376169972984671404e+02,7.778750732339030094e+01,5.593426072202670184e+03,1.261020246583110747e+03,1.094259660198199526e+03
1.395149982968071072e+03,6.344674812113814824e+02,7.621995281072187822e+01,6.592930146238450106e+03,1.262571252681060059e+03,1.093900349057706535e+03
1.392854570962597563e+03,6.361466900029157614e+02,7.932010203977476692e+01,6.224921827837782075e+03,1.261991052197260160e+03,1.094105234204766475e+03
1.393048201144128370e+03,6.592904981846968440e+02,8.018473161895038004e+01,1.335253197490813903e+01,1.263277191657709636e+03,1.093837311534480705e+03
1.394341637739814360e+03,6.349740555172703580e+02,7.753229767524966576e+01,5.183773703102857326e+03,1.262201469225999972e+03,1.095163159490579346e+03
1.391378858998601800e+03,6.379841800762097819e+02,8.187413219050657176e+01,6.267226064591771319e+03,1.262229377476936406e+03,1.092746811597658507e+03
1.393923774355916521e+03,6.356076430483502691e+02,7.812487803919290741e+01,5.220007990852805051e+03,1.262280414530845974e+03,1.095131914959794813e+03
1.393761581389905814e+03,6.361619574470007592e+02,7.819946657556910452e+01,7.115735286077847377e+03,1.261779053633447575e+03,1.094606720849714748e+03
1.383745596227339092e+03,6.471808633245818783e+02,9.201501219730916148e+01,8.248216376642065370e+03,1.263659105687023839e+03,1.090880955728267509e+03
1.392032365952177543e+03,6.596777418873671195e+02,8.150767735249495161e+01,1.453420518854432864e+01,1.263411487743277121e+03,1.093593607641029394e+03
1.393022972366049771e+03,6.357012913390666426e+02,7.921074953726252943e+01,6.013922622158712329e+03,1.261481872293952620e+03,1.094377987673003418e+03
1.391692003484010911e+03,6.369856955006581529e+02,8.131780116604291209e+01,6.851922093387134737e+03,1.262059369343894105e+03,1.094151497267982222e+03
1.394146870328533851e+03,6.582813503023263593e+02,7.772285718540443611e+01,1.153186701443375739e+01,1.262460000335490577e+03,1.095019921321214497e+03
1.393754876581828285e+03,6.351451767861892677e+02,7.857723107251737815e+01,6.348115546265698868e+03,1.262379420546223855e+03,1.095093343460115193e+03
1.392144632248194966e+03,6.369040459180861262e+02,8.051811104336361780e+01,6.917934717720691879e+03,1.261244214713981592e+03,1.094850261188335708e+03
1.393334020039623965e+03,6.361302278135460710e+02,7.949099976292245628e+01,6.378513601137465230e+03,1.262513325748065881e+03,1.095620851757349328e+03
1.390509567289554298e+03,6.384439965581187835e+02,8.313771577779434097e+01,5.402596332771821835e+03,1.261313604722488208e+03,1.094179454264057313e+03
1.392107576210644993e+03,6.375785386613397350e+02,8.034974831711006971e+01,6.542058452159149965e+03,1.260861969119967625e+03,1.095217920344963659e+03
1.391483641509991685e+03,6.379065031324047368e+02,8.208897763218313059e+01,6.573899948901313110e+03,1.262172076373905156e+03,1.094743616980457773e+03
1.391347907672078918e+03,6.380276792685830287e+02,8.186059117866177814e+01,5.905095812193078928e+03,1.262163819212301405e+03,1.094740769466589882e+03
1.389581301058393819e+03,6.398127198089101739e+02,8.499607141855101133e+01,6.991406187494141705e+03,1.262613667886387702e+03,1.094556810230636529e+03
1.388670433286823027e+03,6.407271310164609304e+02,8.653341248050843149e+01,7.040207860521041766e+03,1.263374367863179032e+03,1.095276774766434755e+03
1.389708287434087879e+03,6.400996865507042912e+02,8.505441957452001134e+01,6.468945986006136991e+03,1.262580461645921787e+03,1.095650917081034549e+03
1.389377956831155188e+03,6.405264316461876888e+02,8.551070793193584052e+01,6.360518602662550620e+03,1.262311120352817625e+03,1.095393788538245872e+03
1.388181309223595235e+03,6.444559990433735948e+02,8.639185977486476986e+01,8.094390611213933880e+03,1.263336351147838513e+03,1.095439629173546109e+03
1.386302288238486653e+03,6.451487248749848504e+02,8.942464607349454297e+01,7.892397293846802313e+03,1.262390872124803991e+03,1.095235763987059954e+03
1.386866712663763110e+03,6.467552548520141045e+02,8.847202917744820638e+01,7.881338749168562572e+03,1.262781678113500902e+03,1.096229501697270507e+03
1.384407866008352357e+03,6.498781585502005100e+02,9.158800868099106651e+01,8.356159533902955445e+03,nan,nan
1.383641062254670942e+03,6.491713314912201440e+02,9.377284773705264342e+01,7.903481472961130748e+03,1.266769016116511466e+03,1.097173719192091312e+03
1.385598793876743684e+03,6.481220635400692345e+02,9.079394184604110762e+01,8.152762012195779789e+03,1.263271442856281510e+03,1.097916830978703956e+03
1.379138412411376066e+03,6.571779249355283810e+02,9.875996106031405475e+01,8.210240303177872192e+03,1.263351932900488919e+03,1.097381829227453181e+03
1.379598987457746034e+03,6.577358754778757657e+02,9.791429887946688382e+01,9.627336558487839284e+03,1.266622776573541387e+03,1.097775118586096141e+03
1.368385678416645305e+03,nan,1.092772394971651693e+02,nan,1.264679945614055441e+03,1.096610930227068366e+03
1.374649669066507386e+03,6.783042393003731831e+02,1.026374523782125578e+02,9.150646274394008287e+03,1.263593148075731960e+03,1.096667068472441770e+03
1.375919917428771669e+03,6.661759135952717088e+02,1.020045608417157865e+02,8.928819909977366478e+03,1.263797206932384142e+03,1.096051073740652100e+03
1.378055035793544448e+03,6.620838117895265214e+02,9.745043096643836122e+01,1.002897799640207268e+04,1.262901472179208213e+03,1.097850715865828988e+03
1.378221883909861845e+03,nan,9.712043160421568189e+01,nan,1.268751756481405664e+03,1.099062148083658258e+03
1.378127920527158267e+03,nan,9.668734660756106791e+01,nan,1.269110556877060617e+03,1.099761485598976151e+03
1.377732770982281409e+03,nan,9.733188367645006167e+01,nan,1.268467217844538482e+03,1.099654648412030838e+03
1.380283487332754930e+03,nan,9.393623310269890681e+01,nan,1.268713087610133698e+03,1.100309752730386890e+03
1.377207710093387277e+03,nan,9.645930790347085804e+01,nan,1.263429576354224082e+03,1.097234418797319904e+03
1.374317207959181360e+03,6.660369287741822291e+02,1.007052859664081694e+02,2.368730872809858212e+01,1.268390357187299060e+03,1.100328660479406153e+03
1.378981611007555557e+03,nan,9.388095856048613541e+01,nan,nan,nan
1.377162800763730957e+03,6.642098424854058294e+02,9.616960701844409698e+01,2.116362202790238456e+01,nan,nan
1.377395188507179000e+03,nan,9.554762470860595158e+01,nan,1.263234355018046472e+03,1.100469427148407476e+03
1.373724631173796524e+03,nan,1.005239647194848089e+02,nan,nan,nan
1.374306377781211495e+03,6.612954914097900883e+02,9.888814025179480893e+01,1.737265975592226042e+01,1.271061164694264789e+03,1.101173654853669404e+03
1.375085636349497463e+03,6.633390259695595432e+02,9.856302501988450615e+01,2.004781467998846622e+01,1.269892890842775387e+03,1.102221821201647572e+03
1.377949108380619919e+03,6.657268250993611218e+02,9.372740705488850210e+01,2.333279611945582133e+01,1.265626679199427144e+03,1.102094130765577802e+03
1.374255239610109584e+03,6.622065929346262010e+02,9.829839740245758151e+01,1.943514627063250799e+01,1.269398865731950764e+03,1.101674832478918233e+03
1.374683496049046880e+03,1.002934230199804006e+04,9.781701181700435654e+01,5.033437948060888630e+03,nan,nan
1.379056216849238808e+03,6.653515900560736327e+02,9.256488028842684912e+01,2.253685827483347737e+01,1.266898612619235564e+03,1.103741161540282974e+03
1.374020009406887311e+03,6.664800646842791139e+02,9.718151631498517418e+01,2.498953648133738881e+01,1.263938085502868489e+03,1.101883397558692877e+03
1.378437959232589719e+03,6.642979669999199359e+02,9.306381575119659999e+01,2.103318409962599844e+01,1.269941224009390680e+03,1.103258770999039143e+03
1.378204813195359066e+03,nan,9.271183476347569297e+01,nan,1.267663246793807957e+03,1.103735318211593039e+03
1.376624295537543503e+03,6.634771331039443112e+02,9.403430469285581239e+01,2.083225891727241219e+01,1.268831592097985094e+03,1.103001010838922866e+03
1.376651650355774564e+03,nan,9.437798393144063880e+01,nan,1.268101273506594907e+03,1.103829478328260393e+03
1.376370260967576769e+03,6.679482942982468785e+02,9.414593825140669026e+01,2.580975106064045832e+01,1.268618896626045853e+03,1.103796516349499143e+03
1.376398140634532183e+03,nan,9.355229894802420176e+01,nan,1.264382342977583903e+03,1.104327761156580891e+03
1.377776533467384525e+03,6.629243908110838674e+02,9.111915360871981306e+01,1.986443659727955691e+01,1.271098763458104486e+03,1.103874532048887431e+03
1.376537177094621029e+03,6.641129172399101890e+02,9.284423541342599151e+01,2.094843467687365646e+01,1.271388498851320037e+03,1.104780009771857294e+03
1.379162829066648328e+03,6.678695199260171194e+02,8.943865658470005542e+01,2.479996507073238377e+01,1.269495994450129047e+03,1.105234703788623847e+03
1.378583887239800788e+03,nan,8.997977549506147454e+01,nan,nan,nan
1.374635463838359783e+03,6.626667667598497928e+02,9.426976293606799118e+01,2.007582484770110298e+01,1.271522734608768133e+03,1.104766109824863861e+03
1.379535652355805723e+03,6.635331317128582214e+02,8.884876757798383551e+01,1.998162338622306322e+01,1.270468931538373226e+03,1.105583859393827424e+03
1.379809450269366835e+03,nan,8.821671424879514234e+01,nan,nan,nan
1.379343998173098953e+03,6.653030672550430609e+02,8.891734328020602618e+01,2.195672074168603416e+01,1.267662718134181887e+03,1.107430581926221066e+03
1.378524352073493901e+03,nan,8.859529711451249057e+01,nan,1.263502913071768035e+03,1.106809004872713331e+03
1.374119315185574351e+03,6.627512203274130798e+02,9.356687330738212438e+01,2.048986878987729909e+01,1.269541816288012797e+03,1.105800562880371672e+03
1.376362873856551005e+03,6.653098129881686873e+02,9.104559234278548274e+01,2.313033425229653517e+01,1.266935068738562904e+03,1.106454579715225236e+03
1.376622474557745818e+03,6.623865512200270587e+02,9.092502224416840306e+01,1.979089182161963478e+01,1.269145804863571357e+03,1.106677490580572112e+03
1.374851434028210633e+03,6.644771630675251117e+02,9.367521251184140851e+01,2.193334529187500692e+01,1.267772151124888751e+03,1.107393537608794759e+03
1.378523880452404455e+03,nan,8.959163491522585332e+01,nan,nan,nan
1.375220299925152858e+03,6.647117571815751944e+02,9.251691972587931900e+01,2.296263914023043284e+01,1.264503922491460571e+03,1.107722197525294860e+03
1.378390794472949210e+03,6.699720961185306578e+02,8.870107533110852671e+01,2.735517350936339298e+01,1.263651159856131926e+03,1.109041164572854768e+03
1.377607338279097803e+03,6.638086525523542605e+02,8.922702195005000192e+01,2.117803479279224987e+01,1.267471977374846574e+03,1.108002964708860645e+03
1.377143585749712202e+03,6.645577014952446007e+02,9.056716547899878833e+01,2.223977029390002258e+01,1.264645557861479119e+03,1.108563403646850929e+03
1.379558748065035843e+03,6.660827253165139155e+02,8.854878639688435271e+01,2.286053745575372531e+01,1.265416131529972063e+03,1.109311793318447599e+03
1.380160930666569584e+03,6.636875283978364450e+02,8.659805261602821247e+01,2.073399501236034581e+01,1.266027427974011971e+03,1.109273011554827008e+03
1.382928120995078189e+03,6.625474632484753101e+02,8.286068513828486459e+01,1.849575848065659045e+01,1.271149417285720574e+03,1.108133911810435393e+03
1.376277103041601777e+03,6.618672854964758017e+02,9.054213529326649734e+01,1.965628848977542376e+01,1.271174036081653412e+03,1.106575045379634503e+03
1.380479344702637491e+03,6.703425744208221886e+02,8.608917602722173967e+01,2.751555279701578982e+01,1.263458808413673296e+03,1.109103616566862684e+03
1.382043589229599775e+03,6.627258161883075900e+02,8.450305724574091926e+01,1.904332265652707790e+01,nan,nan
1.380525808292237571e+03,nan,8.692780659081766714e+01,nan,1.263396021143757025e+03,1.111028789226096706e+03
1.380526361805806573e+03,6.629493062821100011e+02,8.562604993875734749e+01,2.023766669082898062e+01,nan,nan
1.380392044541202949e+03,nan,8.651245394809642164e+01,nan,1.264591513930134624e+03,1.110631898822745597e+03
1.377840311781969604e+03,6.663694681899600027e+02,8.885633175546703910e+01,2.376723274166102939e+01,nan,nan
1.380483144489693359e+03,6.639826905416091449e+02,8.630538812189939790e+01,2.068515516098169371e+01,1.269272851941210547e+03,1.109836339411227527e+03
1.379909711835575990e+03,6.652569581816850359e+02,8.742549850311665693e+01,2.187256660677418907e+01,1.271187931728507920e+03,1.110411786275623626e+03
1.381146228864804925e+03,6.632700694254857581e+02,8.517383457583804329e+01,2.002518563514860972e+01,1.269281276679678740e+03,1.109613971248997132e+03
1.381286754975146096e+03,6.672402597465264762e+02,8.527524664542603716e+01,2.392469512341450510e+01,nan,nan
1.380379436674707449e+03,6.641143936401774681e+02,8.636605821359896140e+01,2.080170366578353125e+01,1.271564241595789554e+03,1.109651090724820733e+03
1.380580040862960232e+03,nan,8.632568856896368459e+01,nan,1.264595098885697780e+03,1.111642948260060393e+03
1.378075246304481652e+03,6.644593363705214415e+02,8.911309244021362019e+01,2.176461499489998275e+01,1.270644109664841835e+03,1.109183969382799205e+03
1.381966858943881562e+03,nan,8.482287729301064871e+01,nan,nan,nan
1.381108394276480340e+03,6.647115419565361663e+02,8.500128821074906682e+01,2.163403232471549487e+01,1.269850134652610905e+03,1.110105576282636775e+03
1.379896622295484804e+03,nan,8.691474169271062067e+01,nan,nan,nan
1.377938377902992443e+03,6.650549039507412772e+02,8.925059130051641887e+01,2.193366323499672887e+01,1.269451905900889642e+03,1.110130189146418161e+03
