Timestamp,SHT_Temperature_C,MCP_Temperature_C,HDC_Temperature_C,SHT_Relative_Humidity,HDC_Relative_Humidity
2026-04-26 00:00:00,20.59,20.25,20.86,42.26,54.4
2026-04-26 00:00:01,20.59,20.31,20.88,42.28,54.4
2026-04-26 00:00:02,20.62,20.25,20.86,42.22,54.41
2026-04-26 00:00:03,20.59,20.31,20.86,42.25,54.41
2026-04-26 00:00:04,20.6,20.31,20.86,42.25,54.4
2026-04-26 00:00:05,20.59,20.38,20.88,42.22,54.4
2026-04-26 00:00:06,20.59,20.25,20.86,42.25,54.4
2026-04-26 00:00:07,20.6,20.31,20.86,42.26,54.4
2026-04-26 00:00:08,20.58,20.31,20.86,42.22,54.4
2026-04-26 00:00:09,20.61,20.38,20.84,42.24,54.41
2026-04-26 00:00:10,20.59,20.31,20.86,42.27,54.4
2026-04-26 00:00:11,20.61,20.31,20.88,42.28,54.41
2026-04-26 00:00:12,20.61,20.31,20.84,42.25,54.4
2026-04-26 00:00:13,20.62,20.31,20.86,42.26,54.4
2026-04-26 00:00:14,20.6,20.31,20.86,42.21,54.41
2026-04-26 00:00:15,20.6,20.31,20.86,42.23,54.41
2026-04-26 00:00:16,20.59,20.31,20.88,42.28,54.4
2026-04-26 00:00:17,20.6,20.31,20.86,42.31,54.4
2026-04-26 00:00:18,20.59,20.31,20.86,42.29,54.4
2026-04-26 00:00:19,20.62,20.31,20.84,42.25,54.41
2026-04-26 00:00:20,20.6,20.31,20.84,42.24,54.4
2026-04-26 00:00:21,20.62,20.31,20.84,42.24,54.42
2026-04-26 00:00:23,20.6,20.31,20.86,42.25,54.41
2026-04-26 00:00:24,20.6,20.31,20.86,42.24,54.42
2026-04-26 00:00:25,20.61,20.31,20.86,42.25,54.41
2026-04-26 00:00:26,20.58,20.31,20.86,42.27,54.42
2026-04-26 00:00:27,20.6,20.31,20.86,42.23,54.42
2026-04-26 00:00:28,20.6,20.38,20.86,42.24,54.42
2026-04-26 00:00:29,20.59,20.31,20.86,42.26,54.42
2026-04-26 00:00:30,20.59,20.31,20.86,42.29,54.42
2026-04-26 00:00:31,20.59,20.31,20.86,42.25,54.41
2026-04-26 00:00:32,20.59,20.31,20.84,42.25,54.42
2026-04-26 00:00:33,20.56,20.31,20.84,42.25,54.42
2026-04-26 00:00:34,20.6,20.31,20.86,42.28,54.42
2026-04-26 00:00:35,20.61,20.31,20.86,42.26,54.43
2026-04-26 00:00:36,20.62,20.31,20.86,42.26,54.42
2026-04-26 00:00:37,20.59,20.31,20.86,42.29,54.42
2026-04-26 00:00:38,20.59,20.38,20.86,42.25,54.43
2026-04-26 00:00:39,20.59,20.38,20.86,42.28,54.42
2026-04-26 00:00:40,20.6,20.31,20.86,42.27,54.41
2026-04-26 00:00:41,20.61,20.31,20.86,42.28,54.42
2026-04-26 00:00:42,20.6,20.38,20.86,42.27,54.42
2026-04-26 00:00:43,20.58,20.31,20.86,42.25,54.42
2026-04-26 00:00:44,20.59,20.31,20.84,42.27,54.41
2026-04-26 00:00:45,20.6,20.25,20.84,42.26,54.42
2026-04-26 00:00:46,20.6,20.31,20.86,42.28,54.42
2026-04-26 00:00:47,20.57,20.31,20.86,42.26,54.42
