Timestamp,SHT_Temperature_C,MCP_Temperature_C,HDC_Temperature_C,SHT_Relative_Humidity,HDC_Relative_Humidity
2025-12-10 10:02:13,21.02,20.19,23.28,19.76,25.65
2025-12-10 10:02:14,21.0,20.19,23.3,19.73,25.66
2025-12-10 10:02:15,21.0,20.19,23.28,19.74,25.65
2025-12-10 10:02:16,21.01,20.19,23.3,19.74,25.64
2025-12-10 10:02:17,21.0,20.19,23.3,19.74,25.63
2025-12-10 10:02:19,21.0,20.19,23.3,19.74,25.62
2025-12-10 10:02:20,21.02,20.19,23.3,19.75,25.62
2025-12-10 10:02:21,21.0,20.12,23.32,19.74,25.61
2025-12-10 10:02:22,21.0,20.19,23.3,19.78,25.61
2025-12-10 10:02:23,21.01,20.19,23.32,19.81,25.6
2025-12-10 10:02:24,21.01,20.12,23.32,19.74,25.59
2025-12-10 10:02:25,21.02,20.19,23.34,19.73,25.6
2025-12-10 10:02:26,20.99,20.12,23.32,19.78,25.59
2025-12-10 10:02:27,20.99,20.12,23.34,19.81,25.59
2025-12-10 10:02:28,20.99,20.12,23.34,19.74,25.57
2025-12-10 10:02:29,21.0,20.19,23.34,19.78,25.56
2025-12-10 10:02:30,21.0,20.19,23.38,19.78,25.56
2025-12-10 10:02:31,20.99,20.19,23.34,19.78,25.55
2025-12-10 10:02:32,21.02,20.19,23.38,19.83,25.54
2025-12-10 10:02:33,21.01,20.19,23.38,19.8,25.54
2025-12-10 10:02:34,21.01,20.19,23.38,19.78,25.54
2025-12-10 10:02:35,20.98,20.19,23.38,19.85,25.53
2025-12-10 10:02:36,20.99,20.12,23.38,19.75,25.52
2025-12-10 10:02:37,20.98,20.19,23.38,19.79,25.51
2025-12-10 10:02:38,20.99,20.12,23.38,19.8,25.51
2025-12-10 10:02:39,20.98,20.19,23.42,19.77,25.51
2025-12-10 10:02:40,21.0,20.19,23.4,19.8,25.5
2025-12-10 10:02:41,21.01,20.19,23.4,19.93,25.9
2025-12-10 10:02:42,21.01,20.19,23.42,20.5,26.31
2025-12-10 10:02:43,21.01,20.19,23.42,20.83,26.64
2025-12-10 10:02:44,21.01,20.19,23.4,20.86,26.68
2025-12-10 10:02:45,21.02,20.25,23.42,21.1,26.63
2025-12-10 10:02:46,21.02,20.19,23.42,21.09,26.77
2025-12-10 10:02:47,21.02,20.19,23.42,21.2,26.92
2025-12-10 10:02:49,21.02,20.19,23.38,21.32,27.04
2025-12-10 10:02:50,21.03,20.19,23.38,21.45,27.05
2025-12-10 10:02:51,21.05,20.19,23.38,21.58,27.05
2025-12-10 10:02:52,21.06,20.25,23.36,21.81,27.04
2025-12-10 10:02:53,21.06,20.25,23.32,21.9,27.02
2025-12-10 10:02:54,21.07,20.25,23.32,21.89,26.99
2025-12-10 10:02:55,21.09,20.19,23.3,21.92,26.99
2025-12-10 10:02:56,21.06,20.25,23.3,21.88,26.95
2025-12-10 10:02:57,21.09,20.19,23.3,21.92,26.93
2025-12-10 10:02:58,21.11,20.25,23.3,22.4,26.88
2025-12-10 10:02:59,21.11,20.25,23.26,22.39,26.83
2025-12-10 10:03:00,21.12,20.25,23.26,22.44,26.81
2025-12-10 10:03:01,21.15,20.19,23.26,22.34,26.8
2025-12-10 10:03:02,21.17,20.25,23.26,22.68,27.54
2025-12-10 10:03:03,21.18,20.19,23.26,23.52,28.31
2025-12-10 10:03:04,21.21,20.25,23.23,24.09,28.29
2025-12-10 10:03:05,21.2,20.25,23.26,24.21,28.94
2025-12-10 10:03:06,21.23,20.25,23.23,24.09,28.95
2025-12-10 10:03:07,21.23,20.25,23.26,23.95,29.21
2025-12-10 10:03:08,21.24,20.25,23.23,23.64,29.36
2025-12-10 10:03:09,21.24,20.25,23.21,23.28,29.32
2025-12-10 10:03:10,21.29,20.25,23.21,22.88,28.52
2025-12-10 10:03:11,21.28,20.25,23.21,22.4,27.15
2025-12-10 10:03:12,21.27,20.25,23.19,21.95,27.02
2025-12-10 10:03:13,21.31,20.19,23.21,21.66,26.89
2025-12-10 10:03:14,21.32,20.25,23.21,21.56,26.66
2025-12-10 10:03:15,21.36,20.25,23.23,21.51,26.49
2025-12-10 10:03:16,21.38,20.25,23.21,21.41,26.38
2025-12-10 10:03:17,21.38,20.31,23.21,21.32,26.35
2025-12-10 10:03:18,21.41,20.25,23.17,21.27,26.23
2025-12-10 10:03:19,21.43,20.31,23.17,21.13,26.09
2025-12-10 10:03:21,21.43,20.31,23.15,20.96,26.04
2025-12-10 10:03:22,21.46,20.31,23.15,20.79,26.03
2025-12-10 10:03:23,21.49,20.31,23.15,20.62,26.01
2025-12-10 10:03:24,21.51,20.31,23.15,20.47,25.97
2025-12-10 10:03:25,21.49,20.25,23.13,20.28,25.88
2025-12-10 10:03:26,21.5,20.25,23.11,20.09,25.84
2025-12-10 10:03:27,21.49,20.25,23.11,20.04,25.88
2025-12-10 10:03:28,21.47,20.31,23.09,19.97,25.83
2025-12-10 10:03:29,21.48,20.25,23.06,19.88,25.76
2025-12-10 10:03:30,21.49,20.31,23.09,19.77,25.71
2025-12-10 10:03:31,21.47,20.31,23.06,19.68,25.66
2025-12-10 10:03:32,21.48,20.31,23.04,19.62,25.65
2025-12-10 10:03:33,21.48,20.31,23.02,19.56,25.68
2025-12-10 10:03:34,21.46,20.31,23.02,19.56,25.67
2025-12-10 10:03:35,21.47,20.31,23.0,19.59,25.67
2025-12-10 10:03:36,21.49,20.31,22.98,19.5,25.67
2025-12-10 10:03:37,21.49,20.31,22.96,19.49,25.67
2025-12-10 10:03:38,21.48,20.31,22.94,19.49,25.66
2025-12-10 10:03:39,21.49,20.25,22.92,19.46,25.68
2025-12-10 10:03:40,21.47,20.25,22.9,19.49,25.67
2025-12-10 10:03:41,21.48,20.31,22.9,19.4,25.69
2025-12-10 10:03:42,21.45,20.31,22.87,19.38,25.68
2025-12-10 10:03:43,21.46,20.31,22.85,19.43,25.69
2025-12-10 10:03:44,21.47,20.31,22.85,19.41,25.72
2025-12-10 10:03:45,21.46,20.31,22.83,19.38,25.74
2025-12-10 10:03:46,21.46,20.31,22.79,19.37,25.76
2025-12-10 10:03:47,21.45,20.25,22.77,19.39,25.78
2025-12-10 10:03:48,21.45,20.31,22.77,19.41,25.8
2025-12-10 10:03:49,21.44,20.31,22.75,19.41,25.8
2025-12-10 10:03:50,21.42,20.31,22.7,19.4,25.8
2025-12-10 10:03:52,21.41,20.31,22.7,19.43,25.78
2025-12-10 10:03:53,21.41,20.25,22.68,19.43,25.79
2025-12-10 10:03:54,21.42,20.31,22.7,19.43,25.79
2025-12-10 10:03:55,21.4,20.31,22.68,19.43,25.81
2025-12-10 10:03:56,21.4,20.25,22.66,19.41,25.84
2025-12-10 10:03:57,21.41,20.25,22.68,19.43,25.87
2025-12-10 10:03:58,21.41,20.31,22.64,19.42,25.89
2025-12-10 10:03:59,21.4,20.31,22.62,19.45,25.89
2025-12-10 10:04:00,21.39,20.31,22.62,19.4,25.92
2025-12-10 10:04:01,21.39,20.25,22.58,19.4,25.94
2025-12-10 10:04:02,21.37,20.25,22.6,19.4,25.94
2025-12-10 10:04:03,21.39,20.31,22.56,19.46,25.96
2025-12-10 10:04:04,21.38,20.31,22.56,19.49,25.98
2025-12-10 10:04:05,21.39,20.31,22.56,19.45,25.98
2025-12-10 10:04:06,21.38,20.31,22.56,19.41,26.02
2025-12-10 10:04:07,21.38,20.25,22.54,19.48,26.04
2025-12-10 10:04:08,21.37,20.31,22.54,19.47,26.05
2025-12-10 10:04:09,21.37,20.31,22.51,19.43,26.05
2025-12-10 10:04:10,21.36,20.31,22.49,19.49,26.07
2025-12-10 10:04:11,21.36,20.25,22.47,19.49,26.1
2025-12-10 10:04:12,21.37,20.25,22.47,19.47,26.13
2025-12-10 10:04:13,21.37,20.31,22.45,19.53,26.15
2025-12-10 10:04:14,21.35,20.25,22.45,19.48,26.19
2025-12-10 10:04:15,21.36,20.25,22.47,19.51,26.2
2025-12-10 10:04:16,21.34,20.25,22.45,19.51,26.2
2025-12-10 10:04:17,21.37,20.25,22.43,19.47,26.2
2025-12-10 10:04:18,21.32,20.25,22.41,19.49,26.2
2025-12-10 10:04:19,21.34,20.25,22.43,19.54,26.2
2025-12-10 10:04:20,21.34,20.25,22.39,19.56,26.2
2025-12-10 10:04:21,21.35,20.25,22.41,19.58,26.2
2025-12-10 10:04:23,21.36,20.25,22.36,19.54,26.21
2025-12-10 10:04:24,21.34,20.25,22.36,19.51,26.2
2025-12-10 10:04:25,21.34,20.25,22.39,19.53,26.21
2025-12-10 10:04:26,21.34,20.25,22.34,19.51,26.23
2025-12-10 10:04:27,21.32,20.25,22.34,19.56,26.22
2025-12-10 10:04:28,21.3,20.25,22.34,19.54,26.22
2025-12-10 10:04:29,21.31,20.25,22.32,19.5,26.22
2025-12-10 10:04:30,21.29,20.25,22.32,19.5,26.23
2025-12-10 10:04:31,21.28,20.25,22.32,19.49,26.24
2025-12-10 10:04:32,21.27,20.31,22.3,19.54,26.25
2025-12-10 10:04:33,21.27,20.25,22.28,19.51,26.27
2025-12-10 10:04:34,21.28,20.25,22.3,19.53,26.28
2025-12-10 10:04:35,21.26,20.25,22.28,19.57,26.29
2025-12-10 10:04:36,21.27,20.25,22.28,19.58,26.29
2025-12-10 10:04:37,21.26,20.25,22.26,19.57,26.29
2025-12-10 10:04:38,21.26,20.25,22.22,19.57,26.3
2025-12-10 10:04:39,21.26,20.25,22.22,19.6,26.31
2025-12-10 10:04:40,21.23,20.25,22.2,19.56,26.31
2025-12-10 10:04:41,21.26,20.31,22.2,19.6,26.32
2025-12-10 10:04:42,21.22,20.25,22.2,19.54,26.33
2025-12-10 10:04:43,21.22,20.31,22.15,19.52,26.35
2025-12-10 10:04:44,21.25,20.25,22.15,19.57,26.36
2025-12-10 10:04:45,21.2,20.25,22.13,19.55,26.36
2025-12-10 10:04:46,21.2,20.25,22.15,19.54,26.38
2025-12-10 10:04:47,21.22,20.31,22.11,19.56,26.39
2025-12-10 10:04:48,21.19,20.25,22.09,19.58,26.4
2025-12-10 10:04:49,21.18,20.31,22.09,19.56,26.41
2025-12-10 10:04:50,21.15,20.31,22.07,19.55,26.42
2025-12-10 10:04:51,21.18,20.25,22.07,19.54,26.42
2025-12-10 10:04:53,21.15,20.25,22.05,19.6,26.44
2025-12-10 10:04:54,21.15,20.25,22.03,19.57,26.45
2025-12-10 10:04:55,21.14,20.25,22.03,19.56,26.45
2025-12-10 10:04:56,21.14,20.25,22.0,19.62,26.46
2025-12-10 10:04:57,21.15,20.25,22.03,19.65,26.45
2025-12-10 10:04:58,21.12,20.25,22.0,19.66,26.47
2025-12-10 10:04:59,21.12,20.31,22.0,19.63,26.47
2025-12-10 10:05:00,21.11,20.25,21.98,19.64,26.48
2025-12-10 10:05:01,21.14,20.31,21.96,19.64,26.49
2025-12-10 10:05:02,21.13,20.25,21.96,19.65,26.49
2025-12-10 10:05:03,21.14,20.31,21.96,19.7,26.51
2025-12-10 10:05:04,21.16,20.25,21.94,19.66,26.51
2025-12-10 10:05:05,21.17,20.25,21.94,19.64,26.52
2025-12-10 10:05:06,21.16,20.25,21.98,19.64,26.53
2025-12-10 10:05:07,21.19,20.25,21.92,19.61,26.54
2025-12-10 10:05:08,21.19,20.25,21.94,19.66,26.55
2025-12-10 10:05:09,21.2,20.25,21.92,19.66,26.56
2025-12-10 10:05:10,21.21,20.25,21.92,19.63,26.57
2025-12-10 10:05:11,21.22,20.31,21.92,19.64,26.58
